Date,Open,High,Low,Close,Volume,OpenInt
20090918,10.327,11.202,9.974,10.337,203954,0
20090921,10.465,10.927,10.16,10.298,48957,0
20090922,10.219,10.406,9.924,10.317,38794,0
20090923,10.308,10.308,10.082,10.298,18590,0
20090924,10.121,10.18,9.983,10.111,7643,0
20090925,10.111,10.111,9.679,9.826,18596,0
20090928,9.816,9.816,9.58,9.679,6734,0
20090929,9.3839,9.639,9.3839,9.63,8691,0
20090930,9.512,9.61,9.3839,9.433,9041,0
20091001,9.571,9.58,9.4429,9.58,2653,0
20091002,9.571,9.571,9.2365,9.571,3665,0
20091005,9.4822,9.531,9.3053,9.531,409,0
20091006,9.3446,9.502,9.3348,9.502,555,0
20091007,9.531,9.531,9.3446,9.531,5371,0
20091008,9.531,9.531,9.3053,9.4134,2431,0
20091009,9.4134,9.561,9.3839,9.3937,8810,0
20091012,9.4232,9.4723,9.2562,9.433,4802,0
20091013,9.2267,9.3937,9.2267,9.2857,9263,0
20091014,9.3348,9.3348,9.1874,9.2857,3293,0
20091015,9.2857,9.4036,9.2857,9.2857,1623,0
20091016,9.2857,9.325,9.1383,9.325,4430,0
20091019,9.0597,9.2758,9.0597,9.099,4756,0
20091020,9.2365,9.2365,8.9614,9.0891,6394,0
20091021,9.04,9.0891,8.8533,9.0891,3712,0
20091022,8.8828,9.0793,8.8828,9.0793,1855,0
20091023,9.0891,9.2758,9.04,9.2758,3658,0
20091026,9.0597,9.266,9.04,9.2562,2031,0
20091027,9.2169,9.2562,8.9417,8.9417,105,0
20091028,9.2758,9.2758,9.04,9.2267,2125,0
20091029,9.2267,9.2562,9.2169,9.2562,4953,0
20091030,9.2365,9.2857,9.0891,9.0891,3066,0
20091102,9.0498,9.3348,9.0498,9.325,304,0
20091103,9.325,9.325,9.0891,9.2758,2832,0
20091104,9.2758,9.2758,9.1972,9.2365,939,0
20091105,9.3053,9.816,9.2169,9.806,8292,0
20091106,9.806,9.806,9.551,9.63,3132,0
20091109,9.649,10.003,9.649,9.974,6352,0
20091110,10.023,10.2,9.924,10.2,8773,0
20091112,10.2,10.2,10.023,10.18,2072,0
20091113,10.2,10.2,10.042,10.141,7302,0
20091116,10.2,10.2,9.816,10.121,5010,0
20091117,10.121,10.2,9.531,9.63,10747,0
20091118,9.777,9.915,9.58,9.679,4102,0
20091119,9.679,9.777,9.531,9.63,4133,0
20091120,9.915,9.915,9.531,9.826,2175,0
20091123,9.826,10.023,9.531,10.023,3801,0
20091124,9.974,9.974,9.63,9.974,1406,0
20091125,9.964,9.964,9.826,9.924,743,0
20091126,9.924,9.924,9.63,9.865,1364,0
20091127,9.531,9.905,9.531,9.728,1590,0
20091130,9.875,9.875,9.551,9.708,246,0
20091201,9.816,10.023,9.3544,9.983,10456,0
20091202,9.974,9.974,9.531,9.62,8787,0
20091203,9.62,9.728,9.522,9.698,1193,0
20091204,9.433,9.698,9.433,9.669,1603,0
20091207,9.4527,9.61,9.433,9.4429,3407,0
20091208,9.4232,9.522,9.1677,9.3741,3572,0
20091209,9.3643,9.3741,9.1874,9.1874,2551,0
20091210,9.3151,9.3348,9.3151,9.325,2595,0
20091211,9.04,9.3151,9.04,9.3151,4780,0
20091215,9.58,9.58,9.099,9.531,535,0
20091217,9.325,9.325,9.1383,9.3151,1323,0
20091218,9.1383,9.3053,9.04,9.3053,846,0
