Date,Open,High,Low,Close,Volume,OpenInt
20040420,7.6233,8.0287,7.6233,7.9053,682704,0
20040421,7.8259,8.0111,7.7554,7.8789,205156,0
20040422,7.8789,7.8789,7.6497,7.6497,99686,0
20040423,7.6233,7.6497,7.5263,7.5528,57585,0
20040426,7.5263,7.5263,7.4206,7.447,44059,0
20040427,7.5792,7.5792,7.2972,7.447,24811,0
20040428,7.4206,7.4206,7.2972,7.35,20822,0
20040429,7.3236,7.3677,7.1209,7.165,34906,0
20040430,7.0416,7.1209,6.9887,7.1209,34918,0
20040504,7.2443,7.2443,7.1209,7.2443,20126,0
20040505,7.1209,7.1209,7.0152,7.1209,38017,0
20040506,7.1209,7.165,7.0152,7.0416,9169,0
20040507,7.068,7.1386,7.068,7.1386,21813,0
20040510,7.1209,7.1209,6.9887,7.0416,17321,0
20040511,7.0416,7.1209,7.0416,7.1209,11958,0
20040512,7.1209,7.2178,7.1209,7.2178,3107,0
20040513,7.165,7.165,7.0152,7.0152,10138,0
20040514,6.9887,7.1209,6.9887,7.1209,2218,0
20040517,7.068,7.068,6.9887,7.068,12549,0
20040518,7.068,7.068,6.9887,6.9887,1336,0
20040519,7.068,7.068,7.0416,7.0416,5680,0
20040520,7.0152,7.068,6.9887,6.9887,4327,0
20040521,6.9182,6.9182,6.7332,6.9182,12934,0
20040524,7.068,7.068,6.9623,6.9623,3313,0
20040525,6.9623,7.0416,6.786,6.786,2817,0
20040526,6.8654,6.9887,6.8654,6.9358,1200,0
20040527,6.786,7.0152,6.786,7.0152,3076,0
20040528,6.8654,6.9358,6.8654,6.8654,1388,0
20040531,6.786,6.8918,6.7332,6.7332,3147,0
20040601,6.7332,6.8654,6.7332,6.8654,899,0
20040602,6.9182,6.9182,6.8654,6.8654,2045,0
20040603,6.9623,7.0152,6.8654,7.0152,7483,0
20040604,7.0416,7.0416,7.0416,7.0416,449,0
20040607,7.068,7.068,6.9182,6.9887,5424,0
20040608,6.9182,7.0152,6.9182,7.0152,8505,0
20040609,7.0152,7.0945,6.9887,7.0152,28093,0
20040611,7.0152,7.1386,7.0152,7.1209,29421,0
20040614,7.068,7.165,7.068,7.165,10298,0
20040615,7.165,7.4206,7.165,7.2972,52177,0
20040616,7.3236,7.3941,7.2443,7.3236,12478,0
20040617,7.2443,7.2708,7.2443,7.2708,13304,0
20040618,7.2443,7.3236,7.2443,7.3236,12136,0
20040621,7.3677,7.3941,7.35,7.3941,12321,0
20040622,7.4206,7.447,7.4206,7.4206,9351,0
20040623,7.165,7.4999,7.165,7.4735,10079,0
20040625,7.4735,7.5528,7.447,7.5528,17045,0
20040628,7.5528,7.5528,7.5528,7.5528,177,0
20040629,7.3941,7.5528,7.3941,7.5263,4532,0
20040630,7.5263,7.5263,7.4206,7.5263,13339,0
20040701,7.4206,7.4735,7.4206,7.4735,1025,0
20040702,7.4206,7.447,7.4206,7.447,2811,0
20040705,7.4206,7.447,7.4206,7.447,5122,0
20040706,7.4206,7.4735,7.35,7.4735,1438,0
20040707,7.4999,7.5263,7.4735,7.5263,14181,0
20040708,7.5263,7.8789,7.4999,7.7026,26486,0
20040709,7.7554,7.7554,7.5528,7.5792,9461,0
20040712,7.6233,7.7554,7.5968,7.5968,2750,0
20040713,7.5528,7.5528,7.3677,7.447,2250,0
20040714,7.4999,7.4999,7.35,7.4999,6349,0
20040715,7.3941,7.3941,7.3677,7.3677,1577,0
20040716,7.3677,7.4735,7.3677,7.4735,9225,0
20040719,7.4999,7.4999,7.447,7.447,2651,0
20040720,7.3677,7.5792,7.3677,7.5792,295,0
20040721,7.5792,7.5792,7.4735,7.5792,2214,0
20040722,7.4735,7.4735,7.4735,7.4735,51,0
20040723,7.5528,7.7554,7.5528,7.6233,21000,0
20040726,7.5528,7.7291,7.5528,7.7291,428,0
20040727,7.6497,7.7819,7.6497,7.7554,14910,0
20040728,7.7554,7.8789,7.7554,7.8789,29796,0
20040729,7.8259,7.9317,7.8259,7.9317,15975,0
20040730,7.9317,8.1609,7.9317,8.1609,20476,0
20040802,8.3372,8.39,8.2578,8.3372,19544,0
20040803,8.3372,8.3372,8.1874,8.2578,14634,0
20040804,8.1609,8.2137,8.0111,8.2137,15672,0
20040805,8.1344,8.2578,8.1344,8.2578,15778,0
20040806,8.2842,8.2842,8.1609,8.1609,2235,0
20040809,8.1344,8.1609,7.4206,8.1344,9948,0
20040810,8.2402,8.5398,8.2402,8.5398,60409,0
20040811,8.5663,8.5663,8.2578,8.3372,19606,0
20040812,8.3635,8.4165,8.3372,8.39,28522,0
20040813,8.3635,8.39,8.3635,8.39,20259,0
20040816,8.2402,8.3372,8.2402,8.3372,1183,0
20040817,8.3372,8.3372,8.0815,8.0815,747,0
20040818,8.1344,8.3635,8.1344,8.3635,5314,0
20040819,8.3635,8.4429,8.3635,8.39,3280,0
20040820,8.1344,8.3635,8.1344,8.2578,4059,0
20040823,8.2578,8.2578,8.0111,8.0111,1379,0
20040824,8.0551,8.3635,8.0111,8.3107,4170,0
20040825,8.3635,8.3635,8.1609,8.1609,609,0
20040826,8.1344,8.3372,8.1344,8.3372,1180,0
20040827,8.2402,8.3635,8.2402,8.3635,582,0
20040830,8.3635,8.3635,8.1609,8.3372,2926,0
20040831,8.3372,8.3372,8.1874,8.2137,677,0
20040901,8.1344,8.2578,8.1344,8.2578,1789,0
20040902,8.2578,8.39,8.1344,8.2578,4791,0
