Date,Open,High,Low,Close,Volume,OpenInt
20061024,99.276,106.5,87.863,92.431,840438,0
20061025,97.383,97.985,93.191,96.618,151472,0
20061026,98.444,98.444,92.05,92.05,74255,0
20061027,92.05,93.191,91.289,92.431,67395,0
20061030,93.877,93.877,88.244,90.147,34029,0
20061031,91.137,91.365,89.766,91.289,22045,0
20061102,91.594,91.594,90.528,90.908,63799,0
20061103,91.289,91.289,90.375,90.756,10428,0
20061106,91.289,93.573,89.766,92.05,15778,0
20061107,94.333,97.077,92.05,96.924,49830,0
20061108,97.383,97.383,94.333,97.383,13517,0
20061109,96.618,97.306,95.853,95.853,10023,0
20061110,95.853,95.853,94.561,95.251,6562,0
20061113,95.853,95.853,94.333,94.333,20218,0
20061114,93.953,94.714,92.05,93.573,25325,0
20061115,95.018,95.018,91.365,92.202,13327,0
20061116,92.735,95.018,92.735,93.573,45808,0
20061117,93.724,94.714,92.964,93.573,36553,0
20061120,93.573,94.333,92.964,93.953,20004,0
20061121,94.333,95.624,93.953,95.095,27117,0
20061122,95.095,96.541,95.095,96.235,61726,0
20061123,96.541,96.541,95.853,96.235,17606,0
20061124,96.235,98.138,95.853,97.679,42874,0
20061127,98.138,102.7,98.138,102.24,92815,0
20061128,100.18,102.47,99.123,102.47,34219,0
20061129,102.32,104.98,101.18,104.83,40642,0
20061130,104.98,106.04,103.69,104.45,24960,0
20061201,104.98,106.43,103.77,106.12,37769,0
20061204,106.5,111.83,105.6,110.46,37147,0
20061205,111.9,112.21,111.07,111.83,39109,0
20061206,111.98,112.58,109.17,109.93,120611,0
20061207,109.93,112.21,109.93,111.83,15974,0
20061208,112.51,112.51,110.38,111.23,21346,0
20061211,111.69,111.69,109.55,109.77,15587,0
20061212,110.31,110.31,108.41,109.09,81978,0
20061213,108.64,109.55,107.65,107.65,17481,0
20061214,107.79,109.4,103.69,106.5,26794,0
20061215,104.98,108.02,101.93,108.02,43730,0
20061218,108.02,109.48,105.75,109.4,31488,0
20061219,109.17,109.48,107.27,109.17,70070,0
20061220,108.02,110.31,105.81,107.27,44213,0
20061221,105.37,106.5,105.37,105.81,15541,0
20061222,105.81,106.5,105.06,105.75,39008,0
20061227,105.75,107.95,105.75,107.27,14728,0
20061228,107.27,108.02,105.75,108.02,24938,0
20061229,105.21,114.11,105.21,114.11,60242,0
20070102,112.58,113.27,111.83,111.83,17358,0
20070103,112.43,112.43,108.41,109.71,27353,0
20070104,109.55,109.55,106.89,107.65,21770,0
20070105,108.41,113.73,108.02,111.75,81710,0
20070108,111.83,113.58,108.79,113.58,18723,0
20070109,112.97,117.15,111.83,116.39,63411,0
20070110,117.15,117.92,115.33,117.15,12885,0
20070111,116.02,119.82,116.02,119.59,22868,0
20070112,120.96,121.34,118.37,118.98,39835,0
20070115,120.19,125.52,118.67,124.61,18517,0
20070116,125.52,125.52,121.26,124.61,21009,0
20070117,124.01,124.01,121.72,122.48,19709,0
20070118,123.17,125.14,121.72,124.84,44470,0
20070119,124.76,124.76,122.33,123.24,16929,0
20070122,121.88,123.24,121.49,122.48,48386,0
20070123,122.86,122.86,118.67,121.72,35967,0
20070124,121.8,123.24,120.96,123.24,15853,0
20070125,124.08,125.75,124.08,125.52,52536,0
20070126,124.84,125.37,121.72,124.01,24392,0
20070129,124.69,129.09,123.24,127.65,35631,0
20070130,127.96,128.42,125.52,127.8,19119,0
20070131,126.28,129.09,126.28,127.8,19501,0
20070201,129.09,130.77,128.57,129.4,25336,0
20070202,130.46,134.65,130.09,133.51,13568,0
20070205,133.13,135.57,132.37,134.28,11838,0
20070206,134.28,134.65,132.37,133.51,5261,0
20070207,131.3,133.13,130.17,131.61,12897,0
20070208,130.84,130.84,120.65,125.14,35048,0
20070209,124.08,127.42,124.08,125.21,18679,0
20070212,125.52,127.12,124.01,127.12,64004,0
20070213,128.03,129.71,127.12,128.57,46382,0
20070214,130.84,130.84,128.57,129.48,8058,0
20070215,130.39,130.39,123.24,125.52,13493,0
