Date,Open,High,Low,Close,Volume,OpenInt
20041223,2.9391,3.4583,2.902,3.1987,1043311,0
20041224,3.2636,3.3934,3.2172,3.3934,178652,0
20041227,3.5325,3.9775,3.4768,3.9682,1116249,0
20041228,4.0887,4.4967,3.9775,4.2927,1061705,0
20041229,4.3298,4.3669,3.9775,4.0887,448808,0
20041230,3.9682,3.9775,3.7457,3.7642,457778,0
20041231,3.8106,4.0238,3.8106,3.9775,191070,0
20050103,4.0238,4.1907,3.9775,4.0702,242518,0
20050104,4.0702,4.0795,3.9775,3.996,94405,0
20050105,4.0238,4.0238,3.9126,3.9775,86371,0
20050106,3.8477,3.9219,3.8199,3.8477,76390,0
20050107,3.8477,3.9404,3.8477,3.894,36363,0
20050110,3.857,3.857,3.6715,3.6993,75922,0
20050111,3.6623,3.6623,3.4861,3.4861,161642,0
20050112,3.4583,3.5417,3.4583,3.5046,60816,0
20050113,3.5417,3.551,3.4583,3.4768,46736,0
20050114,3.4861,3.4954,3.3748,3.4305,97181,0
20050117,3.3841,3.4212,3.2543,3.2914,110440,0
20050118,3.2636,3.2914,3.1152,3.1709,112923,0
20050119,3.1616,3.4212,3.1245,3.4026,172028,0
20050120,3.3748,3.3748,3.2728,3.3007,37000,0
20050121,3.3285,3.3563,3.2172,3.2914,37834,0
20050124,3.3007,3.3007,3.1987,3.2914,28986,0
20050125,3.3007,3.5417,3.2914,3.5325,177965,0
20050126,3.6344,3.7086,3.4675,3.5603,212130,0
20050127,3.5695,3.5881,3.4583,3.5417,108789,0
20050128,3.5603,3.5603,3.4954,3.551,55374,0
20050131,3.551,3.6344,3.5046,3.5881,72065,0
20050201,3.5881,3.5881,3.5417,3.5788,21991,0
20050202,3.5881,3.5881,3.5046,3.551,36280,0
20050203,3.5232,3.551,3.4861,3.4954,23919,0
20050204,3.4954,3.5417,3.4954,3.5139,31864,0
20050207,3.5139,3.5139,3.4212,3.4954,76942,0
20050208,3.4583,3.4954,3.4305,3.4954,21976,0
20050209,3.5139,3.5139,3.449,3.4861,12455,0
20050210,3.4583,3.4861,3.449,3.4861,13128,0
20050211,3.4768,3.4768,3.4397,3.4583,17411,0
20050214,3.449,3.449,3.3748,3.3748,45932,0
20050215,3.3748,3.3748,3.2636,3.3285,57834,0
20050216,3.4212,3.4861,3.3285,3.3748,70357,0
20050217,3.3377,3.449,3.3007,3.4212,33627,0
20050218,3.4212,3.4212,3.3748,3.4212,11050,0
20050221,3.3748,3.4212,3.3377,3.4212,7489,0
20050222,3.3841,3.3841,3.3285,3.3748,12300,0
20050223,3.3748,3.3748,3.3377,3.3377,24857,0
20050224,3.3377,3.5417,3.3285,3.5232,97245,0
20050225,3.551,3.5881,3.4583,3.5232,93925,0
20050228,3.4768,3.4768,3.4212,3.4305,12627,0
20050301,3.4212,3.4768,3.4119,3.4305,7654,0
20050302,3.4119,3.4212,3.3563,3.3841,16469,0
20050303,3.3563,3.4212,3.3285,3.3563,18814,0
20050304,3.4119,3.4119,3.3377,3.3377,6910,0
20050307,3.3285,3.3748,3.3285,3.3656,28788,0
20050308,3.3656,3.3656,3.2914,3.3192,7989,0
20050309,3.3563,3.3563,3.3007,3.3099,7493,0
20050310,3.3099,3.3377,3.3099,3.3099,3352,0
20050311,3.3099,3.3192,3.2172,3.2914,7813,0
20050314,3.2914,3.2914,3.2543,3.2914,3008,0
20050315,3.245,3.245,3.1987,3.2172,21876,0
20050316,3.1987,3.1987,3.0781,3.1523,53867,0
20050317,3.1152,3.1245,3.0689,3.0781,24109,0
20050318,3.0967,3.1338,3.0689,3.1152,26645,0
20050321,3.1152,3.143,3.0596,3.1152,45276,0
20050322,3.0874,3.1152,3.0689,3.0967,35838,0
20050323,3.0967,3.106,3.0225,3.0596,20579,0
20050324,3.0225,3.0411,2.9854,3.004,11241,0
20050329,3.0318,3.0318,3.004,3.0132,5239,0
20050330,3.0318,3.1709,3.0318,3.1709,22724,0
20050331,3.1245,3.1709,3.1152,3.1152,10931,0
20050401,3.1801,3.1801,3.0689,3.0781,6639,0
20050404,3.0689,3.0689,3.0132,3.0132,7757,0
20050405,3.0318,3.0318,3.004,3.0132,4788,0
20050406,3.004,3.0503,3.004,3.0503,6889,0
20050407,3.0318,3.0596,3.0318,3.0596,3803,0
20050411,3.0596,3.0596,3.0318,3.0318,4623,0
20050412,3.0225,3.0318,3.0225,3.0318,2077,0
20050413,3.0318,3.0318,2.9113,2.9391,9896,0
20050414,2.9391,2.9391,2.8,2.9205,15563,0
20050415,2.902,2.902,2.8278,2.902,18966,0
20050418,2.902,2.902,2.7722,2.7907,24322,0
20050419,2.7722,2.7815,2.7536,2.7815,7566,0
20050420,2.7815,2.8,2.7073,2.7722,14775,0
20050421,2.7907,2.8,2.7166,2.7629,5892,0
20050422,2.8,2.902,2.8,2.8464,10888,0
20050425,2.8556,2.902,2.8185,2.902,8540,0
20050426,2.902,2.9205,2.8185,2.8185,17165,0
20050427,2.8185,2.8185,2.8185,2.8185,747,0
20050428,2.7722,2.7722,2.7629,2.7722,9214,0
20050429,2.8185,2.8185,2.7444,2.8185,2069,0
20050502,2.8185,2.8185,2.8185,2.8185,1170,0
20050504,2.8371,2.8742,2.8,2.8,4162,0
20050505,2.8556,2.8556,2.8556,2.8556,2889,0
20050506,2.7722,2.7722,2.5868,2.7258,34904,0
20050509,2.7073,2.7073,2.596,2.596,31247,0
20050510,2.6053,2.6331,2.5868,2.6238,11225,0
20050511,2.5868,2.6331,2.5775,2.6331,9711,0
20050512,2.6331,2.6331,2.5775,2.5775,1052,0
20050513,2.5404,2.596,2.494,2.596,11803,0
20050516,2.596,2.6053,2.5311,2.5868,8439,0
20050517,2.5311,2.5311,2.4013,2.4106,26905,0
20050518,2.457,2.4662,2.4477,2.457,8691,0
20050519,2.4291,2.4848,2.4291,2.4848,9486,0
20050520,2.4384,2.4848,2.4384,2.4848,1315,0
20050523,2.494,2.494,2.4013,2.4755,32048,0
20050524,2.494,2.5682,2.494,2.5219,39902,0
20050525,2.5126,2.5219,2.494,2.5219,22513,0
20050527,2.5219,2.5219,2.494,2.5126,9115,0
20050530,2.5126,2.5404,2.494,2.5404,19329,0
20050531,2.5404,2.7351,2.5219,2.7258,111782,0
20050601,2.7073,2.7073,2.6424,2.6702,25832,0
20050602,2.6424,2.7073,2.6238,2.6238,15023,0
20050603,2.6053,2.6331,2.5775,2.6238,15867,0
20050606,2.596,2.6609,2.596,2.6609,14935,0
20050607,2.6887,2.7722,2.6795,2.7258,46234,0
20050608,2.7629,2.7722,2.6609,2.698,39487,0
20050609,2.7444,2.7444,2.6424,2.6795,12456,0
20050610,2.6795,2.6795,2.6238,2.6795,9840,0
20050613,2.6424,2.6795,2.6331,2.6702,11746,0
20050614,2.6424,2.6609,2.6146,2.6609,18066,0
