Date,Open,High,Low,Close,Volume,OpenInt
20080515,4.3025,4.3272,4.129,4.129,45449,0
20080516,4.0465,4.2694,4.0465,4.2694,8653,0
20080519,4.3355,4.3685,4.319,4.319,2905,0
20080520,4.319,4.352,4.319,4.319,1453,0
20080521,4.3355,4.3355,4.3355,4.3355,2422,0
20080526,4.2612,4.2612,4.2612,4.2612,3754,0
20080527,4.2612,4.2942,4.2612,4.2942,36690,0
20080528,4.2777,4.4098,4.2777,4.4098,2785,0
20080529,4.2859,4.3355,4.2694,4.2694,12109,0
20080530,4.2116,4.2116,4.2116,4.2116,1240,0
20080602,4.2942,4.2942,4.2942,4.2942,303,0
20080605,4.2529,4.2529,4.1703,4.1703,868,0
20080606,4.1703,4.1703,4.1703,4.1703,1816,0
20080611,4.2281,4.2281,4.2281,4.2281,242,0
20080613,4.2446,4.2446,4.2446,4.2446,1,0
20080616,4.2364,4.2364,4.2364,4.2364,1,0
20080617,4.2364,4.2364,4.2364,4.2364,1,0
20080618,4.0547,4.1703,3.9721,4.1703,1585,0
20080619,4.2116,4.2116,4.2116,4.2116,1,0
20080625,4.129,4.1703,4.129,4.1703,86,0
20080626,4.1621,4.1621,4.1621,4.1621,1,0
20080627,4.129,4.129,4.129,4.129,1,0
20080630,4.129,4.129,4.129,4.129,1,0
20080701,4.129,4.129,4.129,4.129,1,0
20080702,4.129,4.129,4.129,4.129,1,0
20080703,4.129,4.129,4.129,4.129,1,0
20080704,3.9721,4.0052,3.9721,4.0052,1939,0
20080707,4.0052,4.0052,4.0052,4.0052,1,0
20080708,3.9969,3.9969,3.9969,3.9969,1,0
20080709,4.0052,4.129,3.9639,4.129,4373,0
20080710,4.129,4.129,4.129,4.129,1816,0
20080711,3.9639,4.129,3.9474,3.9639,4378,0
20080714,3.9639,3.9639,3.9639,3.9639,12,0
20080716,3.7822,3.9639,3.7822,3.9639,2986,0
20080717,4.129,4.2942,4.129,4.2942,4845,0
20080718,4.2446,4.2446,4.2446,4.2446,1,0
20080721,4.2529,4.2529,4.2529,4.2529,1,0
20080724,4.2446,4.2446,4.2446,4.2446,12,0
20080725,4.2446,4.2446,4.2446,4.2446,6,0
20080728,4.2446,4.2446,4.2446,4.2446,1,0
20080729,4.1951,4.1951,4.1951,4.1951,1,0
20080731,4.2116,4.2116,4.2116,4.2116,1,0
20080801,4.2281,4.2281,4.2281,4.2281,1,0
20080804,4.2281,4.2281,4.2281,4.2281,1,0
20080805,4.2281,4.2281,4.2281,4.2281,1,0
20080806,4.2281,4.2281,4.2281,4.2281,1,0
20080807,4.2529,4.2529,4.2529,4.2529,1,0
20080808,4.129,4.2529,4.129,4.2529,3844,0
20080811,4.2529,4.2529,4.2529,4.2529,1,0
20080812,4.2529,4.2529,4.2529,4.2529,12,0
20080813,4.2446,4.2446,4.2446,4.2446,1,0
20080814,4.2446,4.2446,4.2446,4.2446,1,0
20080818,4.0547,4.0877,4.0547,4.0877,1818,0
20080819,4.0877,4.0877,4.0877,4.0877,1,0
20080910,4.0465,4.0465,4.0465,4.0465,1,0
20080911,3.8978,3.8978,3.8978,3.8978,1701,0
20080912,3.7822,3.7822,3.7822,3.7822,1,0
20080915,3.7409,3.7409,3.7409,3.7409,2059,0
20080916,3.5675,3.5675,3.4023,3.4271,4541,0
20080919,3.4271,3.4271,3.4271,3.4271,121,0
20080925,3.4188,3.4188,3.4188,3.4188,6055,0
20080930,3.2702,3.4271,3.2702,3.4271,132,0
20081006,3.4271,3.4271,3.2702,3.2702,992,0
20081009,3.2702,3.2702,3.2702,3.2702,2422,0
20081015,3.2702,3.2702,3.2702,3.2702,11,0
20081023,3.1133,3.1133,3.1133,3.1133,2422,0
20081029,2.9564,2.9729,2.9564,2.9564,7629,0
20081030,2.9729,2.9729,2.9729,2.9729,3875,0
20081031,2.9894,2.9894,2.9564,2.9564,7992,0
20081103,2.8325,2.8325,2.8325,2.8325,2543,0
20081107,2.7665,2.7665,2.7665,2.7665,1,0
20081110,2.7665,2.7665,2.7665,2.7665,484,0
20081113,2.7004,2.7004,2.7004,2.7004,2664,0
20081118,2.5765,2.5765,2.5765,2.5765,605,0
20081124,2.6426,2.6426,2.6426,2.6426,1,0
20081202,2.5765,2.5765,2.5765,2.5765,99,0
20081203,2.5765,2.5765,2.4609,2.4609,12582,0
20081209,2.3948,2.3948,2.3948,2.3948,1,0
20081212,2.3453,2.3453,2.3453,2.3453,3088,0
20081217,2.2379,2.2379,2.2379,2.2379,3270,0
20081219,2.2379,2.2379,2.2379,2.2379,1,0
20081222,2.1388,2.1388,2.1388,2.1388,4355,0
20081223,2.1388,2.1388,2.1388,2.1388,1,0
20081229,2.048,2.048,2.048,2.048,61,0
20081230,2.1471,2.1471,1.8415,1.8415,11673,0
20090105,1.759,1.759,1.6516,1.6516,8221,0
20090107,1.5773,1.5773,1.5773,1.5773,4844,0
20090109,1.4617,1.4617,1.4617,1.4617,5207,0
20090112,1.3956,1.3956,1.3626,1.3626,7284,0
20090113,1.3048,1.3048,1.2387,1.2387,1211,0
20090114,1.2965,1.3048,1.2965,1.3048,7216,0
20090115,1.3461,1.3461,1.3461,1.3461,121,0
20090116,1.2965,1.3378,1.2965,1.3378,68394,0
20090205,1.3461,1.3461,1.3461,1.3461,74,0
20090206,1.3378,1.3378,1.3378,1.3378,1211,0
20090212,1.3378,1.3378,1.3378,1.3378,1938,0
20090218,1.2883,1.2883,1.2883,1.2883,6230,0
20090219,1.2222,1.2222,1.0735,1.1066,17922,0
20090220,1.1148,1.1148,1.1148,1.1148,831,0
20090311,0.8258,0.8258,0.8258,0.8258,388,0
20090312,1.1148,1.1148,1.0735,1.0735,2137,0
20090313,1.1148,1.1148,1.0735,1.0735,1841,0
20090316,1.0735,1.0735,1.0735,1.0735,6,0
20090317,1.0735,1.1148,0.9662,1.1148,1624,0
20090319,0.9084,1.1974,0.9084,1.1974,9293,0
20090320,1.1231,1.1726,1.1231,1.1726,12394,0
20090323,1.1231,1.1726,1.057,1.1726,16081,0
20090324,1.1726,1.1726,1.1726,1.1726,1433,0
20090325,1.1561,1.1974,1.1479,1.1644,9780,0
20090327,1.1644,1.1974,1.1561,1.1561,3863,0
20090330,1.1479,1.1974,1.1479,1.1974,7118,0
20090331,1.1974,1.1974,1.1892,1.1974,2482,0
20090401,1.1479,1.1974,1.1479,1.1974,2829,0
20090403,1.2222,1.6929,1.1892,1.6929,33337,0
20090407,3.3858,3.7161,2.4774,3.4188,348565,0
20090408,3.7161,4.2859,3.0555,3.5923,831298,0
20090409,3.551,3.551,3.1959,3.2454,119451,0
20090414,3.2206,3.3858,2.8986,2.9894,155823,0
20090415,3.0555,3.2619,2.8077,2.9646,84893,0
20090416,2.8738,2.9564,2.6591,2.7252,78380,0
20090417,2.6756,2.6921,2.593,2.6178,29656,0
20090420,2.5517,2.5517,2.2297,2.2297,37166,0
20090421,2.1801,2.7582,2.0728,2.7499,155924,0
20090422,2.8903,3.0142,2.7252,2.8738,90331,0
20090423,2.8903,2.8903,2.7252,2.7582,37207,0
20090424,2.7169,2.7169,2.6013,2.6013,17993,0
20090427,2.6839,2.6839,2.4609,2.6343,42460,0
20090428,2.6343,2.6343,2.5187,2.593,2366,0
20090429,2.6343,2.6426,2.4939,2.6426,21725,0
20090430,2.6013,3.2372,2.5848,3.2372,196984,0
20090504,3.3858,3.617,3.1794,3.2785,172360,0
20090505,3.3032,3.3032,3.0555,3.1381,71301,0
20090506,3.0555,3.5014,3.0307,3.4188,101864,0
20090507,3.4684,3.7822,3.2372,3.7822,159895,0
20090508,3.7987,3.9639,3.5097,3.7905,105717,0
20090511,3.9556,3.9639,3.3197,3.4023,151641,0
20090512,3.4023,3.4023,3.2041,3.3528,161179,0
20090513,3.3858,3.3858,3.1381,3.2372,44221,0
20090514,3.2041,3.2206,2.9729,3.0803,40114,0
20090515,3.0968,3.2124,3.0555,3.0637,24440,0
20090518,2.9812,3.0803,2.9564,3.039,16631,0
20090519,3.0472,3.1959,3.0059,3.0637,26047,0
20090520,3.072,3.072,2.9316,2.9316,34497,0
20090521,3.0059,3.0059,2.8325,2.9068,10871,0
20090522,2.8903,2.8903,2.816,2.849,12663,0
20090525,2.8077,2.9151,2.7169,2.7912,20278,0
20090526,2.7912,2.9316,2.5352,2.7169,25588,0
20090527,2.7995,2.7995,2.7252,2.7912,27727,0
20090528,2.8077,3.0555,2.7665,3.039,33792,0
20090529,3.0555,3.0968,2.9564,3.0142,13473,0
20090601,3.0142,3.039,2.9151,3.0225,4087,0
20090602,3.039,3.0472,2.9151,3.0059,5650,0
20090603,3.0059,3.0059,2.8243,2.9564,6673,0
20090604,2.849,2.9316,2.849,2.9316,6229,0
20090605,2.9646,2.9729,2.9151,2.9564,21576,0
20090608,2.8903,2.9564,2.816,2.8325,11922,0
20090609,2.7912,2.816,2.7665,2.7995,10995,0
20090610,2.7747,2.783,2.7169,2.7665,49044,0
20090612,2.7912,2.7912,2.7086,2.7086,9230,0
20090615,2.7912,2.7995,2.6013,2.6839,43944,0
20090616,2.56,2.6839,2.4939,2.6178,23906,0
20090617,2.6426,2.7912,2.56,2.7169,51663,0
20090618,2.7252,2.7252,2.6013,2.6013,15777,0
20090619,2.6013,2.6095,2.5352,2.593,13716,0
20090622,2.593,2.593,2.4526,2.5187,15947,0
20090623,2.4444,2.4939,2.2957,2.3948,25585,0
20090624,2.3948,2.4361,2.2957,2.4114,45270,0
20090625,2.4196,2.4279,2.3123,2.3618,23278,0
20090626,2.3618,2.3618,2.2297,2.304,30543,0
20090629,2.2297,2.304,2.2297,2.2957,20206,0
20090630,2.2875,2.304,2.2214,2.2297,20264,0
20090701,2.2627,2.2627,2.1554,2.1554,11196,0
20090702,2.2297,2.8903,2.1636,2.8903,207759,0
20090703,2.8903,3.0472,2.527,2.5435,135445,0
20090706,2.56,2.5848,2.3535,2.3948,33153,0
20090707,2.5022,2.7499,2.4031,2.56,45044,0
20090708,2.4774,2.5435,2.3948,2.5187,10056,0
20090709,2.4444,2.6674,2.4031,2.527,24451,0
20090710,2.4609,2.4774,2.4031,2.4114,26418,0
20090713,2.4031,2.4774,2.3866,2.4692,8983,0
20090714,2.5187,2.5187,2.3948,2.4609,24537,0
20090715,2.5352,2.849,2.5352,2.7169,214221,0
20090716,2.6591,2.849,2.6591,2.6591,85334,0
20090717,2.6426,2.7169,2.5187,2.6591,16066,0
20090720,2.6591,2.7252,2.56,2.6591,28551,0
20090721,2.56,2.7004,2.5517,2.6756,19531,0
20090722,2.6426,2.6839,2.6095,2.6839,7452,0
20090723,2.6426,2.6426,2.5517,2.5683,29900,0
20090724,2.6426,2.6839,2.5683,2.5765,13629,0
20090727,2.6591,2.6674,2.5765,2.6261,7249,0
20090728,2.56,2.6178,2.5517,2.56,11675,0
