Date,Open,High,Low,Close,Volume,OpenInt
20071204,16.817,20.524,15.863,19.563,10030,0
20071205,22.583,22.583,17.847,18.877,2753,0
20071206,17.847,18.856,17.161,18.19,1251,0
20071207,18.19,18.533,16.577,17.504,2833,0
20071210,17.504,17.504,16.611,16.611,1609,0
20071211,16.543,17.229,16.543,16.611,808,0
20071212,16.543,16.611,15.788,16.131,1333,0
20071213,16.46,16.474,15.822,15.822,555,0
20071214,17.092,17.092,17.092,17.092,13,0
20071217,18.19,18.19,16.673,16.673,607,0
20071219,16.955,16.955,16.955,16.955,13,0
20071220,16.989,17.01,16.989,17.01,300,0
20071221,18.019,19.906,18.019,19.213,1580,0
20071227,18.533,19.22,18.533,19.22,532,0
20071228,18.547,20.586,18.547,20.586,163,0
20080102,20.249,20.249,20.249,20.249,437,0
20080103,20.243,20.243,20.243,20.243,29,0
20080104,20.243,20.249,20.243,20.249,148,0
20080107,19.289,19.289,17.524,17.524,1530,0
20080108,17.394,17.394,17.394,17.394,437,0
20080109,16.543,16.811,16.543,16.811,466,0
20080110,16.811,16.811,16.811,16.811,7,0
20080111,16.474,16.474,16.474,16.474,72,0
20080114,16.474,16.474,16.467,16.474,613,0
20080115,16.474,16.474,16.131,16.131,294,0
20080117,16.474,16.474,16.474,16.474,7,0
20080118,16.474,16.474,16.474,16.474,7,0
20080121,16.474,16.474,15.788,15.788,783,0
20080122,15.788,15.788,15.788,15.788,7,0
20080123,15.856,15.856,15.856,15.856,2,0
20080124,20.593,24.025,17.161,19.22,5368,0
20080125,19.426,19.426,17.847,17.847,874,0
20080128,17.504,17.847,17.504,17.504,618,0
20080129,18.19,18.19,17.984,17.984,726,0
20080130,18.533,18.884,18.053,18.053,260,0
20080131,18.877,18.877,18.19,18.19,475,0
20080201,17.367,17.367,17.367,17.367,2,0
20080204,18.19,18.19,18.19,18.19,272,0
20080205,18.176,18.176,18.176,18.176,2,0
20080206,18.176,18.176,17.325,17.325,438,0
20080207,17.161,17.161,17.161,17.161,437,0
20080208,16.611,16.611,16.611,16.611,903,0
20080211,16.611,16.611,16.611,16.611,684,0
20080212,15.856,15.925,15.822,15.829,358,0
20080213,16.474,16.474,15.822,15.822,512,0
20080214,15.856,15.856,15.856,15.856,82,0
20080215,15.925,15.925,15.925,15.925,1,0
20080218,16.474,16.474,16.474,16.474,364,0
20080220,16.467,16.467,16.467,16.467,437,0
20080222,16.467,16.467,16.467,16.467,1,0
20080225,16.474,16.474,16.474,16.474,254,0
20080226,15.788,16.474,15.788,16.474,216,0
20080227,16.467,16.467,16.467,16.467,1,0
20080228,15.788,16.474,15.788,16.474,2,0
20080229,15.856,15.856,15.788,15.788,1602,0
20080303,15.788,15.788,15.788,15.788,7,0
20080304,15.788,15.788,15.788,15.788,1,0
20080305,15.788,15.788,15.788,15.788,1,0
20080306,15.788,15.788,15.788,15.788,178,0
20080307,15.788,15.788,15.788,15.788,13,0
20080310,15.788,15.788,15.788,15.788,7,0
20080311,15.788,15.788,15.788,15.788,7,0
20080312,15.444,15.788,15.444,15.788,166,0
20080313,15.788,15.788,15.444,15.444,39,0
20080314,15.788,15.856,15.101,15.856,279,0
20080317,15.136,15.856,15.101,15.856,8,0
20080318,15.101,15.856,15.101,15.856,4,0
20080319,15.856,15.856,15.856,15.856,13,0
20080320,15.239,16.001,15.239,16.001,14,0
20080325,15.994,15.994,15.994,15.994,71,0
20080326,15.994,16.001,15.239,16.001,40,0
20080327,15.239,15.925,15.239,15.925,4,0
20080328,15.17,15.17,15.17,15.17,1,0
20080331,15.239,15.239,15.239,15.239,2,0
20080401,15.239,15.239,15.239,15.239,2,0
20080402,15.925,16.646,15.925,16.646,1164,0
20080403,16.474,16.474,16.474,16.474,364,0
20080404,15.802,24.471,15.802,24.471,4645,0
20080407,24.471,24.711,19.343,19.357,10556,0
20080408,19.323,19.323,17.456,18.732,4763,0
20080409,17.847,17.984,17.167,17.174,2364,0
20080410,16.749,16.749,16.268,16.268,2758,0
20080411,16.268,16.268,16.001,16.001,355,0
20080414,16.268,16.268,15.513,16.268,563,0
20080415,16.268,16.268,16.268,16.268,2,0
20080416,16.268,16.268,16.268,16.268,72,0
20080417,16.261,16.261,16.261,16.261,88,0
20080418,15.527,16.193,15.513,16.193,437,0
20080421,16.605,17.298,15.444,15.499,6150,0
20080422,15.644,15.65,14.381,14.381,2662,0
20080423,14.415,14.415,14.415,14.415,728,0
20080424,14.415,14.415,14.278,14.278,877,0
20080425,14.408,14.408,14.408,14.408,7,0
20080428,13.728,13.728,13.015,13.694,2455,0
20080429,13.591,13.591,13.591,13.591,276,0
20080430,13.591,13.591,13.591,13.591,583,0
20080505,13.694,13.694,13.694,13.694,145,0
20080506,13.214,13.317,13.049,13.317,1707,0
20080507,13.248,13.433,13.248,13.433,429,0
20080508,13.317,13.317,13.317,13.317,364,0
20080509,13.282,16.11,13.282,15.444,3887,0
20080512,15.554,15.554,15.101,15.101,472,0
20080513,14.895,15.101,14.895,15.101,948,0
20080514,15.101,15.101,15.101,15.101,222,0
20080515,14.84,14.84,14.84,14.84,116,0
20080516,14.84,14.84,14.84,14.84,479,0
20080519,14.463,14.463,14.463,14.463,555,0
20080520,14.415,14.415,14.044,14.044,584,0
20080521,13.667,13.667,13.667,13.667,422,0
20080523,13.468,13.866,13.454,13.866,1180,0
20080526,13.866,13.866,13.131,13.131,661,0
20080527,13.131,13.131,13.131,13.131,145,0
20080528,13.131,13.131,13.131,13.131,82,0
20080529,13.042,13.042,13.042,13.042,10,0
20080602,13.042,13.042,13.042,13.042,1,0
20080603,13.179,14.346,13.179,14.346,2084,0
20080604,13.927,13.927,13.179,13.385,4618,0
20080605,13.248,13.248,13.042,13.173,2681,0
20080606,13.138,14.628,12.884,13.447,7580,0
20080609,12.884,13.179,12.884,13.042,2072,0
20080610,13.214,13.358,13.042,13.042,534,0
20080611,13.179,13.179,12.012,13.028,4163,0
20080612,12.369,12.369,12.019,12.356,1330,0
20080613,12.012,12.356,12.012,12.047,170,0
20080616,12.081,12.218,12.081,12.218,2,0
20080617,12.363,12.363,12.047,12.047,1749,0
20080618,12.012,12.356,11.868,12.356,2396,0
20080619,12.356,12.356,11.669,12.012,1094,0
20080620,11.601,12.012,11.601,12.012,234,0
20080623,12.15,12.15,11.669,12.15,2964,0
20080624,11.807,12.143,11.807,12.143,2230,0
20080625,12.143,12.349,12.143,12.349,3149,0
20080626,12.356,12.356,12.198,12.198,1530,0
20080627,12.493,12.562,12.493,12.562,145,0
20080630,12.153,12.153,12.153,12.153,1,0
20080701,12.493,12.493,12.493,12.493,1,0
20080702,12.493,12.493,12.493,12.493,1,0
20080703,12.486,12.486,12.486,12.486,1,0
20080704,12.486,12.486,12.486,12.486,1,0
20080707,12.493,12.493,12.493,12.493,1,0
20080708,12.493,12.493,12.493,12.493,1,0
20080709,12.493,12.514,12.493,12.514,896,0
