Date,Open,High,Low,Close,Volume,OpenInt
20021223,1.13,1.13,1.13,1.13,144000,0
20021227,1.13,1.14,1.13,1.14,10800,0
20021230,1.14,1.14,1.14,1.14,42732,0
20021231,1.14,1.14,1.14,1.14,3600,0
20030102,1.13,1.13,1.12,1.12,3384,0
20030103,1.12,1.12,1.11,1.11,12780,0
20030106,1.09,1.11,1.09,1.11,78570,0
20030107,1.12,1.12,1.12,1.12,2160,0
20030108,1.11,1.11,1.11,1.11,58896,0
20030109,1.12,1.12,1.12,1.12,26856,0
20030110,1.12,1.12,1.12,1.12,22968,0
20030113,1.13,1.14,1.13,1.14,55530,0
20030114,1.14,1.17,1.14,1.17,13860,0
20030115,1.2,1.23,1.2,1.23,110898,0
20030116,1.25,1.25,1.24,1.24,60588,0
20030117,1.24,1.24,1.23,1.23,15822,0
20030120,1.23,1.23,1.23,1.23,14652,0
20030121,1.24,1.24,1.23,1.23,26064,0
20030122,1.21,1.22,1.21,1.22,28458,0
20030123,1.22,1.24,1.22,1.24,20520,0
20030124,1.24,1.24,1.24,1.24,21060,0
20030127,1.22,1.22,1.22,1.22,12600,0
20030128,1.22,1.22,1.22,1.22,3600,0
20030129,1.22,1.22,1.22,1.22,6300,0
20030130,1.22,1.22,1.18,1.22,933606,0
20030131,1.22,1.22,1.18,1.21,1403892,0
20030203,1.22,1.22,1.19,1.19,16524,0
20030204,1.19,1.21,1.18,1.21,34668,0
20030205,1.22,1.22,1.2,1.21,14400,0
20030206,1.2,1.21,1.2,1.21,2052,0
20030207,1.21,1.21,1.2,1.2,19800,0
20030210,1.21,1.21,1.21,1.21,11700,0
20030211,1.19,1.19,1.19,1.19,1800,0
20030212,1.19,1.22,1.18,1.22,97470,0
20030213,1.21,1.21,1.2,1.21,73800,0
20030214,1.21,1.21,1.2,1.21,63126,0
20030217,1.22,1.22,1.21,1.21,7776,0
20030218,1.22,1.22,1.2,1.21,44100,0
20030219,1.21,1.21,1.21,1.21,2700,0
20030220,1.21,1.21,1.21,1.21,18900,0
20030221,1.2,1.21,1.19,1.21,22932,0
20030224,1.21,1.21,1.21,1.21,180,0
20030225,1.2,1.21,1.18,1.21,5436,0
20030226,1.2,1.2,1.2,1.2,180,0
20030227,1.18,1.21,1.16,1.2,737046,0
20030228,1.21,1.21,1.21,1.21,9684,0
20030303,1.21,1.21,1.21,1.21,720,0
20030304,1.22,1.22,1.22,1.22,252,0
20030305,1.2,1.22,1.19,1.22,11430,0
20030306,1.22,1.22,1.22,1.22,16236,0
20030307,1.21,1.22,1.21,1.22,5436,0
20030310,1.22,1.24,1.22,1.22,24552,0
20030311,1.21,1.21,1.21,1.21,180,0
20030312,1.21,1.21,1.21,1.21,12960,0
20030313,1.21,1.21,1.21,1.21,48600,0
20030314,1.21,1.22,1.21,1.21,48888,0
20030317,1.21,1.21,1.21,1.21,270,0
20030318,1.21,1.21,1.18,1.2,25110,0
20030319,1.19,1.21,1.19,1.21,53028,0
20030320,1.2,1.2,1.2,1.2,180,0
20030321,1.19,1.2,1.19,1.2,19350,0
20030324,1.19,1.19,1.19,1.19,180,0
20030325,1.19,1.19,1.19,1.19,180,0
20030326,1.19,1.19,1.19,1.19,180,0
