Date,Open,High,Low,Close,Volume,OpenInt
20071010,8.2076,9.3405,8.0519,8.5189,1120721,0
20071011,8.6486,8.7265,8.2162,8.2249,152331,0
20071012,8.2249,8.2595,7.7924,8.1297,98021,0
20071015,7.9741,8.1297,7.8703,8.0259,33284,0
20071016,7.8703,7.9395,7.7232,7.8876,28980,0
20071017,7.7492,8.0086,7.7059,7.9914,22580,0
20071018,7.9827,7.9827,7.7838,7.9049,19157,0
20071019,7.8703,7.9308,7.7578,7.8184,15509,0
20071022,7.7492,7.7838,7.507,7.6368,11027,0
20071023,7.5157,7.6714,7.1005,7.187,47178,0
20071024,7.2649,7.4465,7.187,7.4205,18135,0
20071025,7.4811,7.68,7.3514,7.5503,10268,0
20071026,7.5503,7.5849,7.1784,7.5849,5240,0
20071029,7.2735,7.853,7.2735,7.7838,19661,0
20071030,7.7838,7.7838,7.5762,7.6886,2307,0
20071031,7.6108,7.6108,7.4378,7.5762,3625,0
20071102,7.3514,7.507,7.0141,7.3514,3518,0
20071105,7.2389,7.5762,7.2216,7.507,1100,0
20071106,7.5243,7.5243,7.2649,7.507,4665,0
20071107,7.507,7.507,6.9362,7.0054,5007,0
20071108,6.7546,7.1784,6.5038,6.8238,17240,0
20071109,6.8324,6.9189,6.4432,6.7805,9148,0
20071112,6.8324,6.8324,6.1838,6.6249,6078,0
20071113,6.3135,6.6076,6.1924,6.547,7218,0
20071114,6.4519,6.6508,6.2443,6.3308,2087,0
20071115,6.2184,6.2184,5.6216,5.6216,17137,0
20071116,5.5351,5.5351,5.1892,5.5351,8806,0
20071119,5.3622,5.5784,5.1027,5.3189,12071,0
20071120,5.2757,5.2757,5.0162,5.2065,14889,0
20071121,5.1027,5.1027,4.8432,4.8778,14495,0
20071122,4.4973,5.1632,4.4541,4.5405,36874,0
20071123,4.6184,4.8346,4.4195,4.627,13297,0
20071126,4.627,4.8432,4.5492,4.7481,50485,0
20071127,4.4195,6.5903,4.4195,5.5784,204746,0
20071128,5.5351,6.0541,5.0162,5.4486,127849,0
20071129,5.6649,6.227,5.5351,5.7341,42730,0
20071130,5.7514,6.0541,5.7081,5.8205,47394,0
20071203,6.0281,6.0281,5.5438,5.6303,20760,0
20071204,5.8032,5.9243,5.6735,5.7946,16583,0
20071205,6.0541,6.3568,6.0454,6.3568,36484,0
20071206,6.9103,7.7059,6.7632,7.2216,185117,0
20071207,7.7838,9.712,7.4551,9.678,587062,0
20071210,9.73,9.946,8.4843,9.2973,517940,0
20071211,9.2368,9.2368,8.5362,8.6832,129309,0
20071212,7.8703,8.2249,7.7146,8.0173,557153,0
20071213,7.9568,9.0205,7.8011,8.2249,871221,0
20071214,8.6919,8.8995,8.5276,8.7351,430421,0
20071217,8.7265,8.7265,8.0865,8.1384,155716,0
20071218,8.1816,8.5535,7.2649,7.7838,298813,0
20071219,8,8,7.3514,7.5243,107821,0
20071220,7.4638,7.6541,7.2216,7.3946,91108,0
20071221,7.4378,7.5935,6.9622,7.1697,161173,0
20071227,7.1784,7.3427,6.9968,7.0141,100386,0
20071228,6.9189,6.9622,6.7286,6.7459,128336,0
20080102,6.9189,8.0259,6.6595,7.9049,316370,0
20080103,7.9049,8.1211,7.5676,7.7232,348148,0
20080104,7.7838,8.1297,7.4205,7.5935,208020,0
20080107,7.3514,7.4551,6.9449,7.1005,132595,0
20080108,7.0054,7.2216,6.7286,6.9622,228884,0
20080109,6.6595,6.7027,6.2876,6.4519,145242,0
20080110,6.7373,6.7373,6.1405,6.4865,184623,0
20080111,6.6162,6.9103,6.5297,6.5557,245404,0
20080114,6.4432,6.5297,6.0973,6.4259,119568,0
20080115,6.4346,6.6595,6.08,6.0973,188051,0
20080116,5.7081,5.9589,5.293,5.613,386345,0
20080117,5.8811,6.0541,5.4573,5.7946,284366,0
20080118,5.5784,6.2184,5.5351,6.0022,339340,0
20080121,5.6389,5.8638,5.2757,5.3189,260847,0
20080122,4.8,5.3535,4.8,5.267,291210,0
20080123,5.5351,5.6216,5.0249,5.3189,180006,0
20080124,5.5438,5.7946,5.4486,5.7081,267199,0
20080125,5.9157,5.9157,5.5957,5.6735,137998,0
20080128,5.3362,5.5178,5.2757,5.3362,144874,0
