Date,Open,High,Low,Close,Volume,OpenInt
20050427,24.5,24.5,23.1,24,433984,0
20050428,23.5,24.1,23.5,24.1,52916,0
20050429,24,24.1,23.9,24.1,61667,0
20050502,24.1,24.1,24,24,20324,0
20050504,24,24.4,24,24.3,94576,0
20050505,24.3,24.4,24,24.3,83407,0
20050506,24.3,24.3,24,24.3,24051,0
20050509,24,24.6,24,24.6,147604,0
20050510,24.6,24.6,24.4,24.6,20376,0
20050511,24.5,24.6,24.2,24.6,117934,0
20050512,24.5,25,24.5,24.7,159597,0
20050513,24.7,24.8,24.7,24.8,16215,0
20050516,24.7,24.8,24.6,24.6,25174,0
20050517,24.3,24.7,24.3,24.5,23878,0
20050518,24.4,24.6,24.4,24.6,23019,0
20050519,24.6,24.9,24.3,24.9,41591,0
20050520,24.8,25.4,24.8,25.2,47020,0
20050523,25.2,25.4,25.2,25.3,27669,0
20050524,25.3,25.4,24.9,25.2,30886,0
20050525,25,25.1,24.8,25,17476,0
20050527,25,25,24.7,24.7,12225,0
20050530,24.6,24.9,24.3,24.9,998,0
20050531,24.9,25.1,24.6,25,54491,0
20050601,25,25.3,25,25.2,75724,0
20050602,25.3,25.8,25.3,25.8,44772,0
20050603,25.8,26.1,25.5,26.1,66915,0
20050606,26,26.1,26,26.1,30562,0
20050607,26.1,26.1,25.8,26.1,42145,0
20050608,25.9,26,25.9,26,3351,0
20050609,25.9,25.9,25.7,25.9,47307,0
20050610,26,26.1,25.9,26.1,52958,0
20050613,26.1,26.1,25.6,26.1,6827,0
20050614,26,26,25.4,25.9,754,0
20050615,26,26,25.4,25.9,296,0
20050616,25.9,25.9,25.9,25.9,610,0
20050617,25.9,25.9,25.6,25.9,8117,0
20050620,25.9,25.9,25.2,25.5,6820,0
20050621,25.5,25.5,25.2,25.5,284,0
20050622,25.3,25.3,24.5,25.2,16204,0
20050623,25.2,25.3,25,25.3,6793,0
20050624,25.3,25.3,25,25,7030,0
20050627,24.9,25.1,24.9,25,19703,0
20050628,24.9,25,24.4,25,30298,0
20050629,25,25.7,25,25.5,49208,0
20050630,25.8,25.8,25.1,25.7,51377,0
20050701,25.7,26,25.7,26,46303,0
20050704,26.3,26.5,25.7,26,165217,0
20050705,25.9,26,25.3,26,20882,0
20050706,26,26,25.5,26,3349,0
20050707,25.5,26,25.1,26,12006,0
20050708,25.6,26.5,25.3,26.5,21959,0
20050711,26.4,26.4,25.9,26,13414,0
20050712,26.3,26.3,26,26,10305,0
20050713,25.6,26,25.5,25.5,7413,0
20050714,25.3,25.9,25.3,25.9,447,0
20050715,25.6,25.8,25.5,25.5,2486,0
20050718,25.1,26,25.1,26,125412,0
20050719,25.7,25.7,25.5,25.5,14195,0
20050720,25.3,25.5,25.2,25.2,43400,0
20050721,25.3,25.5,25.2,25.5,2787,0
20050722,25.4,26.3,25.4,26.1,78369,0
20050725,26,28,26,28,147314,0
20050726,27.7,28.5,27.7,28.5,84183,0
20050727,28.8,28.8,27.7,28.2,28403,0
20050728,28,28.2,27.8,28,3143,0
20050729,28.1,28.1,27.8,28,2222,0
20050801,28,28.8,27,28.8,23136,0
20050802,28.5,29.2,28,29,85443,0
20050803,29,29,28.6,28.9,2692,0
20050804,28.5,28.6,28.2,28.6,4697,0
20050805,28.6,28.6,28.1,28.6,1920,0
20050808,27.7,29.2,27.7,29.2,51936,0
20050809,29.2,29.2,28.8,29.2,84838,0
20050810,29.1,29.3,29,29.1,74491,0
20050811,29.2,29.2,29,29.2,24184,0
20050812,29.3,29.5,29.2,29.4,5024,0
20050816,29.4,29.5,29.4,29.5,5665,0
20050817,29,29.8,29,29.5,22157,0
20050818,29.4,29.4,29.1,29.1,25308,0
20050819,29,30,29,29.3,107623,0
20050822,30,30,29.5,29.5,1720,0
20050823,30,30,29.5,29.9,6491,0
20050824,29.9,29.9,29.2,29.2,11572,0
20050825,29.7,29.7,29.1,29.2,4381,0
20050826,29.5,29.5,29.2,29.2,8901,0
20050829,29,29.2,28.8,29.2,4582,0
20050830,29.5,29.5,29.2,29.2,9273,0
20050831,29.2,29.2,28.8,28.8,10825,0
20050901,28.9,29,28.5,28.7,3640,0
20050902,28.9,28.9,28.5,28.5,4467,0
20050905,28.9,29,28,28.5,32556,0
20050906,28.5,29,28.5,28.6,7514,0
20050907,29,29,28.5,28.9,25149,0
20050908,29,29,28,28,9788,0
20050909,27.7,28.1,27.7,28.1,105236,0
20050912,28.4,28.5,28.1,28.2,25755,0
20050913,28,28,27,28,2169,0
20050914,28,28,27.9,28,344,0
20050915,28,28.4,27.8,28.4,2946,0
20050916,28.1,28.4,28,28,1789,0
20050919,28,29.8,28,29.4,28599,0
20050920,30,30.8,30,30.5,193824,0
20050921,30.8,31.7,30.8,31.1,27651,0
20050922,31.1,31.4,28,28,31973,0
20050923,30,30.3,29.5,29.5,4291,0
20050926,29.5,30.5,29.5,29.7,2758,0
20050927,29.7,30,29.5,29.6,60438,0
20050928,29.7,30.5,29.6,30,6058,0
20050929,30,30.4,30,30,1440,0
20050930,30.1,30.1,30,30,1743,0
20051003,30,30.5,30,30,6540,0
20051004,30,30.6,30,30,14503,0
20051005,30.4,30.5,30.1,30.4,9276,0
20051006,30,30.2,29.5,30,7871,0
20051007,29.2,30.5,29.2,30.4,12693,0
20051010,30.5,30.5,29.6,29.6,10283,0
20051011,29.7,29.7,29.2,29.7,112568,0
20051012,29.6,29.8,29.5,29.8,126390,0
20051013,29.9,29.9,29,29.5,54641,0
20051014,29,29,28.5,28.9,24541,0
20051017,29,29,28.2,28.5,35876,0
20051018,28.5,28.8,28.5,28.8,672,0
20051019,28.2,28.2,28,28.2,25221,0
20051020,28.2,28.5,28.2,28.5,10635,0
20051021,28.5,28.5,27.9,28,2509,0
20051024,28,28.6,28,28.6,8151,0
20051025,28.4,28.5,28.2,28.4,38186,0
20051026,28.5,29,28.4,29,5038,0
20051027,29,29.5,29,29.5,20940,0
20051028,29.2,29.9,29.2,29.8,6539,0
20051031,29.8,30.1,29.5,30.1,10492,0
20051102,30.4,30.4,29.8,30.4,11971,0
20051103,30.3,30.3,29.9,30,103915,0
20051104,30,30.9,30,30.3,12059,0
20051107,29.8,30,29.8,30,6628,0
20051108,30,30,29.7,30,16621,0
20051109,29.5,30,29.5,30,8664,0
20051110,29.6,30,29.6,30,1093,0
20051114,30,30,29.5,30,3277,0
20051115,30,30.3,29.8,30,30907,0
20051116,30.7,30.8,30.5,30.6,26509,0
20051117,30.8,31,30.8,31,8869,0
20051118,31,32.5,30.7,32.1,34374,0
20051121,32.3,33.5,32.2,33.5,2850,0
20051122,33.5,33.5,32.6,33.1,7575,0
20051123,32.5,33.5,32.5,33.5,1749,0
20051124,33.4,33.5,32.5,33,15189,0
20051125,33.2,33.2,33,33.2,10686,0
20051128,33.1,33.5,33,33.2,14206,0
20051129,33.2,35,33.2,35,6187,0
20051130,36,36,35.5,35.5,21464,0
20051201,35.5,35.8,35.5,35.6,59838,0
20051202,35.8,35.8,34.5,35,35555,0
20051205,34.4,35.8,34.4,35.8,69441,0
20051206,36,36,35.8,36,25135,0
20051207,36,36.9,36,36.9,223,0
20051208,36.9,36.9,36.3,36.8,727,0
20051209,36.9,36.9,36.9,36.9,946,0
20051212,37,37,36.5,37,114,0
20051213,37,37,36.5,36.9,139,0
20051214,36.5,37.4,34.7,37.4,5767,0
20051215,36.8,36.9,36.1,36.7,985,0
20051216,36,36.7,35.9,36.3,3719,0
20051219,36.4,36.4,36,36.4,40698,0
20051220,36.2,36.6,35.9,36.4,1392,0
20051221,36.8,36.8,36.2,36.6,1971,0
20051222,36.8,36.9,36.3,36.9,51224,0
20051223,36.9,36.9,36.2,36.9,1574,0
20051227,36.5,37,36.3,37,43426,0
20051228,36.9,36.9,36.5,36.9,577,0
20051229,36.5,36.9,36.5,36.9,1390,0
20051230,36.9,37,36.4,36.9,41529,0
20060102,36.4,37,36.4,36.9,708,0
20060103,37,39,37,38.9,5599,0
20060104,38.9,39,38.7,38.9,7015,0
20060105,38.9,38.9,38,38.9,5212,0
20060106,38.9,39.9,38.9,39.3,4998,0
20060109,39.4,39.9,38.5,39.2,15565,0
20060110,38.6,39.5,38.6,39,102405,0
20060111,39.8,40,39,39,7669,0
20060112,39.7,41.8,39.7,41,14048,0
20060113,41.5,41.5,40.2,40.5,4437,0
20060116,40,41.3,40,41,21518,0
20060117,41,41.1,40,41.1,20634,0
20060118,40.6,42.5,40.6,42.5,105251,0
20060119,42.8,45.9,42.8,45.9,3435,0
20060120,46,49.5,46,48,251584,0
20060123,48,48.9,48,48.1,65369,0
20060124,49.5,50,48.5,48.5,41674,0
20060125,49,49,47.6,47.9,39918,0
20060126,48,48,45.9,46.5,25662,0
20060127,46.5,46.5,45,46.4,49695,0
20060130,46.4,48,45.9,46.7,40270,0
20060131,47.3,47.3,45.9,46.5,2239,0
20060201,46,47.4,46,46.6,37460,0
20060202,46.1,47.4,46.1,46.9,2860,0
20060203,47.5,47.5,45.9,45.9,27990,0
20060206,46.5,49.4,43.5,46,3759,0
20060207,46.4,47.5,46,46.9,6685,0
20060208,47.7,47.7,46,46,30218,0
20060209,47,47,46,46.5,34102,0
20060210,45.7,46.8,45.5,46.5,11891,0
20060213,46.7,46.7,46,46.4,542,0
20060214,46.3,47,46.3,46.5,43100,0
20060215,46.7,46.8,46.2,46.8,25173,0
20060216,46.7,46.7,45.5,45.5,5829,0
20060217,45.8,45.8,45.4,45.6,4257,0
20060220,45.8,45.8,43.8,43.9,25509,0
20060221,43,43.8,41,43,28274,0
20060222,43.3,43.3,42.1,42.9,10187,0
20060223,42.9,43.4,42.1,43.4,160965,0
20060224,43.7,43.7,43.2,43.3,3138,0
20060227,43.4,43.4,42.2,42.7,4249,0
20060228,42.6,42.9,42.2,42.4,5949,0
20060301,41.5,42.6,41.5,41.5,91305,0
20060302,41.5,43,41.1,42.2,8675,0
20060303,42.3,42.3,41.5,42,55958,0
20060306,41.9,41.9,39.8,40,248310,0
20060307,40,41,38.7,39.6,9963,0
20060308,40,40,39,40,9194,0
20060309,40.5,42.6,40,41.5,13368,0
20060310,42,42,41,41.5,2601,0
20060313,42.3,42.5,42,42.5,55777,0
20060314,42.5,43.3,42.5,43,4475,0
20060315,43.5,43.6,43,43.3,2808,0
20060316,43.3,43.3,42.6,43.3,9124,0
20060317,42.5,43.3,42,43,28586,0
20060320,43,43.4,43,43.3,14524,0
20060321,43.4,43.5,42.6,43.5,28201,0
20060322,43.8,44.2,43,44.2,8399,0
20060323,44.5,45.5,44.4,45.5,6030,0
20060324,45,46.4,45,46.4,2218,0
20060327,46.4,47.5,46.3,47.5,10128,0
20060328,47.4,47.4,46.6,47,7149,0
20060329,45.9,47,42.5,47,58905,0
20060330,46.9,50,46.9,50,75111,0
20060331,50.5,52.9,49.1,50,28470,0
20060403,49.5,49.6,48.6,49.5,6531,0
20060404,49.5,49.5,48.9,48.9,13263,0
20060405,48.8,49,48.7,48.8,22010,0
20060406,48.2,49,48.2,49,8261,0
20060407,48.9,49,47.6,47.8,4852,0
20060410,48.3,49.3,47.6,47.7,6028,0
20060411,47.8,48,47.3,47.7,5631,0
20060412,47.6,48.8,47.6,47.8,9615,0
20060413,48,48,46.6,47.8,13351,0
20060418,47.7,47.7,47.4,47.5,35055,0
20060419,47.8,48,47.4,48,15454,0
20060420,49,49,48.5,48.5,17405,0
20060421,48.8,49.4,48.1,48.8,26721,0
20060424,48.8,49.5,48.1,49.5,103530,0
20060425,49.5,49.5,48.8,49.3,758,0
20060426,48.1,48.8,48.1,48.8,53881,0
20060427,49.1,49.1,48.3,48.6,1865,0
20060428,48.6,49.1,48.4,48.4,1787,0
20060502,48.5,48.9,48.1,48.9,1893,0
20060504,48.2,49.1,48.2,48.5,10921,0
20060505,48.5,49,48.4,48.5,15472,0
20060508,48.5,49,48.3,48.5,31112,0
20060509,49,49,48.3,48.5,43171,0
20060510,48.2,48.5,48.2,48.5,31534,0
20060511,48.3,48.3,48,48.3,11866,0
20060512,48.3,48.3,47.9,48.3,20073,0
20060515,48.2,48.2,47.3,47.9,16391,0
20060516,47.8,47.8,47,47.5,5453,0
20060517,47.2,48,47.2,48,34146,0
20060518,47.3,48,47.3,47.5,8067,0
20060519,47.5,47.5,47.2,47.5,748,0
20060522,46.6,47,43.6,47,7759,0
20060523,43,46.8,43,45.5,19795,0
20060524,45,45,43.1,43.1,44737,0
20060525,43.2,43.2,41.7,42.4,23240,0
20060526,43,44,43,43.9,13232,0
20060529,44.4,44.4,43.5,44,52172,0
20060530,43.8,43.8,42.3,43.4,45411,0
20060531,41.2,42.9,41.2,42.9,3610,0
20060601,42.1,42.6,42.1,42.5,77690,0
20060602,43,44,42.6,44,130694,0
20060605,43.6,44.1,43.6,44,7680,0
20060606,44,44.1,43.8,44,8150,0
20060607,44.9,44.9,43.7,44,193,0
20060608,43.5,43.8,42.9,42.9,13026,0
20060609,43,43.1,43,43.1,41303,0
20060612,43.1,43.1,42,42,40922,0
20060613,38,40,38,40,15804,0
20060614,40.1,40.1,39,39.2,1672,0
20060616,40.5,41.5,39.4,39.4,2624,0
20060619,39.6,39.7,39.6,39.7,30344,0
20060620,39.8,39.8,39.8,39.8,15,0
