Date,Open,High,Low,Close,Volume,OpenInt
20060712,1.58,2.84,1.55,2.21,8704858,0
20060713,2.3,2.81,2.18,2.31,6481662,0
20060714,2.32,2.52,2.09,2.39,2055005,0
20060717,2.33,2.38,2.15,2.17,1052294,0
20060718,2.15,2.15,1.96,2.03,1031983,0
20060719,1.99,2.03,1.81,1.83,863991,0
20060720,1.86,2.03,1.85,1.91,1048738,0
20060721,1.96,1.97,1.85,1.86,425758,0
20060724,1.88,1.88,1.78,1.8,358078,0
20060725,1.8,1.85,1.78,1.81,202617,0
20060726,1.81,1.85,1.77,1.81,295049,0
20060727,1.81,1.83,1.79,1.81,130373,0
20060728,1.82,1.82,1.78,1.8,171722,0
20060731,1.79,1.79,1.77,1.78,236168,0
20060801,1.78,1.79,1.72,1.73,250028,0
20060802,1.71,1.73,1.68,1.7,157244,0
20060803,1.7,1.71,1.62,1.62,203421,0
20060804,1.64,1.75,1.61,1.73,570716,0
20060807,1.73,1.82,1.73,1.81,507998,0
20060808,1.81,2.11,1.81,2.02,1945951,0
20060809,2.02,2.04,1.86,1.91,911123,0
20060810,1.93,1.93,1.83,1.85,309703,0
20060811,1.86,1.92,1.85,1.85,166736,0
20060814,1.86,1.86,1.8,1.83,121087,0
20060816,1.83,1.83,1.77,1.78,260221,0
20060817,1.81,1.81,1.72,1.75,398707,0
20060818,1.74,1.75,1.72,1.75,165496,0
20060821,1.76,1.76,1.71,1.73,41129,0
20060822,1.73,1.76,1.72,1.73,126110,0
20060823,1.74,1.85,1.73,1.81,803428,0
20060824,1.82,1.83,1.78,1.78,171199,0
20060825,1.77,1.78,1.73,1.75,181911,0
20060828,1.77,1.77,1.73,1.75,95786,0
20060829,1.75,1.83,1.74,1.8,375885,0
20060830,1.81,1.82,1.77,1.78,148839,0
20060831,1.78,1.89,1.78,1.81,639195,0
20060901,1.81,1.81,1.77,1.78,131827,0
20060904,1.79,1.87,1.78,1.83,261952,0
20060905,1.84,1.84,1.78,1.78,363481,0
20060906,1.79,1.82,1.75,1.8,219025,0
20060907,1.81,1.81,1.77,1.78,131231,0
20060908,1.78,1.79,1.75,1.77,167790,0
20060911,1.75,1.76,1.72,1.72,366460,0
20060912,1.74,1.78,1.72,1.75,72198,0
20060913,1.79,1.8,1.75,1.75,293039,0
20060914,1.75,1.76,1.71,1.73,143860,0
20060915,1.75,1.76,1.73,1.73,53983,0
20060918,1.74,1.75,1.73,1.74,70955,0
20060919,1.74,1.74,1.7,1.71,97234,0
20060920,1.71,1.71,1.65,1.67,177586,0
20060921,1.65,1.7,1.65,1.67,71752,0
20060922,1.67,1.7,1.64,1.67,70025,0
20060925,1.68,1.77,1.64,1.74,284401,0
20060926,1.75,1.76,1.68,1.72,151338,0
20060927,1.73,1.73,1.66,1.68,102414,0
20060928,1.67,1.7,1.65,1.67,102204,0
20060929,1.7,1.7,1.66,1.68,42430,0
20061002,1.71,1.74,1.67,1.7,115728,0
20061003,1.69,1.7,1.66,1.67,302950,0
20061004,1.68,1.69,1.67,1.68,117701,0
20061005,1.68,1.71,1.67,1.69,223746,0
20061006,1.7,1.81,1.7,1.77,452495,0
20061009,1.79,1.82,1.77,1.8,573180,0
20061010,1.82,1.82,1.75,1.75,160144,0
20061011,1.77,1.8,1.75,1.79,151628,0
20061012,1.8,1.8,1.75,1.77,65145,0
20061013,1.77,1.77,1.74,1.76,103977,0
20061016,1.75,1.77,1.73,1.76,125707,0
20061017,1.74,1.76,1.73,1.74,72881,0
20061018,1.73,1.77,1.73,1.73,126225,0
20061019,1.75,1.75,1.72,1.73,93912,0
20061020,1.73,1.8,1.72,1.78,237008,0
20061023,1.79,2.05,1.75,2.05,1761531,0
20061024,2.06,2.13,1.93,1.93,1158540,0
20061025,1.93,2.04,1.86,2.04,680659,0
20061026,2.1,2.12,1.98,2.03,483064,0
20061027,1.98,1.99,1.93,1.93,238544,0
20061030,1.91,1.99,1.86,1.93,193255,0
20061031,1.94,1.98,1.87,1.89,190330,0
20061102,1.91,1.97,1.91,1.92,164396,0
20061103,1.89,2.07,1.89,2.05,503508,0
20061106,2.06,2.11,1.88,1.88,1166614,0
20061107,1.89,1.91,1.8,1.86,772473,0
20061108,1.92,1.92,1.84,1.85,191327,0
20061109,1.89,1.89,1.8,1.81,226008,0
20061110,1.82,1.82,1.78,1.79,272007,0
20061113,1.79,1.83,1.78,1.8,269772,0
20061114,1.85,1.87,1.81,1.81,348083,0
20061115,1.81,1.86,1.77,1.79,195698,0
20061116,1.8,1.83,1.8,1.8,93320,0
20061117,1.82,1.82,1.79,1.8,62873,0
20061120,1.8,1.82,1.79,1.81,87852,0
20061121,1.82,1.89,1.82,1.88,413548,0
20061122,1.91,2.01,1.89,1.97,766296,0
20061123,1.98,1.99,1.92,1.95,248891,0
20061124,1.98,1.98,1.9,1.93,170033,0
20061127,1.94,1.94,1.85,1.9,89038,0
20061128,1.88,1.9,1.85,1.89,62833,0
20061129,1.88,1.9,1.86,1.87,123121,0
20061130,1.88,1.95,1.88,1.91,116409,0
20061201,1.89,1.92,1.89,1.89,55593,0
20061204,1.88,1.9,1.83,1.85,254175,0
20061205,1.83,1.87,1.83,1.86,95681,0
20061206,1.85,1.87,1.83,1.84,127785,0
20061207,1.86,1.87,1.83,1.86,85160,0
20061208,1.86,1.99,1.86,1.92,619995,0
20061211,1.99,1.99,1.91,1.92,235416,0
20061212,1.96,1.99,1.93,1.96,180152,0
20061213,1.96,1.97,1.93,1.95,80631,0
20061214,1.95,1.95,1.8,1.83,194185,0
20061215,1.83,1.85,1.76,1.83,314123,0
20061218,1.83,1.85,1.78,1.83,196800,0
20061219,1.79,1.79,1.73,1.77,195188,0
20061220,1.78,1.8,1.75,1.77,61571,0
20061221,1.77,1.77,1.72,1.75,120491,0
20061222,1.75,1.75,1.7,1.72,145733,0
20061227,1.75,1.82,1.75,1.81,107798,0
20061228,1.81,1.82,1.77,1.81,54902,0
20061229,1.8,1.81,1.78,1.81,32712,0
20070102,1.82,1.82,1.79,1.8,53300,0
20070103,1.81,1.81,1.8,1.81,20521,0
20070104,1.81,1.83,1.77,1.82,74603,0
20070105,1.82,1.82,1.78,1.82,19651,0
20070108,1.79,1.81,1.77,1.81,19507,0
20070109,1.78,1.81,1.77,1.79,38673,0
20070110,1.79,1.79,1.77,1.79,16168,0
20070111,1.78,1.82,1.77,1.81,127416,0
20070112,1.79,1.81,1.77,1.8,94092,0
20070115,1.8,1.87,1.76,1.81,265053,0
20070116,1.82,1.82,1.79,1.8,126108,0
20070117,1.77,1.81,1.73,1.79,222478,0
20070118,1.8,1.82,1.78,1.8,194089,0
20070119,1.78,1.88,1.78,1.83,268202,0
20070122,1.85,1.9,1.81,1.86,317304,0
20070123,1.86,1.86,1.84,1.84,55113,0
20070124,1.82,1.86,1.8,1.84,58706,0
20070125,1.86,1.9,1.86,1.88,184560,0
20070126,1.89,1.89,1.82,1.86,120615,0
20070129,1.86,1.87,1.84,1.86,24729,0
20070130,1.86,1.88,1.83,1.87,135721,0
20070131,1.87,1.87,1.83,1.83,97095,0
20070201,1.86,1.86,1.83,1.83,40861,0
20070202,1.83,1.89,1.83,1.86,80851,0
20070205,1.85,1.86,1.8,1.83,149537,0
20070206,1.85,1.86,1.81,1.84,274635,0
20070207,1.85,1.85,1.79,1.83,125218,0
20070208,1.79,1.82,1.68,1.74,273138,0
20070209,1.73,1.79,1.73,1.78,59217,0
20070212,1.78,1.8,1.75,1.77,185223,0
20070213,1.78,1.78,1.75,1.77,46522,0
20070214,1.8,1.81,1.76,1.77,216281,0
20070215,1.78,1.78,1.74,1.77,166884,0
20070216,1.74,1.76,1.71,1.74,178541,0
20070219,1.73,1.73,1.67,1.71,177170,0
20070220,1.73,1.78,1.7,1.77,227614,0
20070221,1.79,1.84,1.75,1.75,492386,0
20070222,1.77,1.86,1.76,1.86,752854,0
20070223,1.85,1.94,1.83,1.86,976402,0
20070226,1.87,1.89,1.79,1.79,138227,0
20070227,1.79,1.8,1.73,1.75,196237,0
20070228,1.68,1.74,1.68,1.74,190506,0
20070301,1.77,1.77,1.7,1.73,154505,0
20070302,1.75,1.78,1.73,1.78,82772,0
20070305,1.73,1.73,1.69,1.73,140598,0
20070306,1.73,1.75,1.73,1.75,41197,0
20070307,1.77,1.77,1.72,1.74,37771,0
20070308,1.73,1.76,1.73,1.75,74300,0
20070309,1.93,1.98,1.89,1.96,1493541,0
20070312,2,2,1.86,1.9,436413,0
20070313,1.9,1.91,1.81,1.81,315793,0
20070314,1.78,1.88,1.76,1.87,365559,0
20070315,1.89,1.89,1.82,1.87,130655,0
20070316,1.87,1.92,1.86,1.87,248430,0
20070319,1.87,2,1.87,1.93,348100,0
20070320,2.02,2.34,2,2.29,3302111,0
20070321,2.45,2.51,2.3,2.3,2092209,0
20070322,2.3,2.34,2.17,2.22,881359,0
20070323,2.26,2.3,2.15,2.26,365755,0
20070326,2.26,2.39,2.2,2.35,335121,0
20070327,2.36,2.38,2.27,2.29,292054,0
20070328,2.32,2.36,2.21,2.29,331590,0
20070329,2.29,2.42,2.28,2.41,488474,0
20070330,2.5,2.69,2.45,2.69,938257,0
20070402,2.86,2.94,2.81,2.85,682962,0
20070403,2.87,2.91,2.73,2.81,374751,0
20070404,2.75,3.25,2.73,3.22,984987,0
20070405,3.22,3.22,3.01,3.1,561181,0
20070410,3.13,3.25,3.01,3.04,417953,0
20070411,3.25,3.28,2.95,2.95,916675,0
20070412,2.92,2.92,2.6,2.72,536251,0
20070413,2.73,2.98,2.73,2.94,314044,0
20070416,3.04,3.04,2.88,2.92,168216,0
20070417,2.92,2.92,2.78,2.84,193883,0
20070418,2.9,2.92,2.69,2.7,321940,0
20070419,2.62,2.62,2.5,2.58,347256,0
20070420,2.63,2.87,2.63,2.75,385371,0
20070423,2.86,2.86,2.72,2.84,363594,0
20070424,2.87,2.88,2.78,2.87,246716,0
20070425,2.9,2.98,2.87,2.98,260293,0
20070426,2.98,3.15,2.98,2.99,418055,0
20070427,3.04,3.1,2.98,3.06,421912,0
20070430,3.08,3.1,3.01,3.08,444135,0
20070502,3.35,3.98,3.3,3.85,751667,0
20070504,3.82,4.3,3.62,4.19,586339,0
20070507,4.2,4.25,3.91,4.15,402102,0
20070508,3.88,4.09,3.71,3.8,528483,0
20070509,3.82,3.88,3.6,3.68,204454,0
20070510,3.66,3.74,3.53,3.53,197105,0
20070511,3.5,3.5,3.17,3.44,183095,0
20070514,3.51,3.65,3.31,3.51,203331,0
20070515,3.51,3.56,3.46,3.46,154069,0
20070516,3.48,3.48,3.29,3.47,88669,0
20070517,3.54,3.54,3.19,3.23,240596,0
20070518,3.23,3.3,3.18,3.27,135602,0
20070521,3.25,3.39,3.18,3.26,72198,0
20070522,3.39,3.39,3.27,3.28,117638,0
20070523,3.29,3.33,3.22,3.31,75556,0
20070524,3.31,3.37,3.2,3.37,98092,0
20070525,3.33,3.52,3.3,3.48,141353,0
20070528,3.51,3.58,3.48,3.56,153046,0
20070529,3.64,3.64,3.56,3.62,175055,0
20070530,3.62,3.62,3.45,3.58,133782,0
20070531,3.58,3.62,3.52,3.6,113953,0
20070601,3.64,3.76,3.54,3.58,133511,0
20070604,3.64,3.64,3.4,3.57,106740,0
20070605,3.61,3.64,3.42,3.44,107733,0
20070606,3.35,3.38,3.25,3.29,185722,0
20070608,3.24,3.27,3.15,3.24,150040,0
20070611,3.22,3.37,3.22,3.32,165767,0
20070612,3.35,3.35,3.2,3.27,114904,0
20070613,3.26,3.26,3.1,3.18,164071,0
20070614,3.18,3.29,3.07,3.19,233293,0
20070615,3.15,3.25,3.11,3.18,101264,0
20070618,3.14,3.17,3.09,3.1,108969,0
20070619,3.17,3.29,3.12,3.2,136046,0
20070620,3.25,3.29,3.16,3.2,238661,0
20070621,3.2,3.23,3.1,3.23,71901,0
20070622,3.25,3.26,3.16,3.2,56634,0
20070625,3.15,3.39,3.1,3.39,192957,0
20070626,3.38,3.38,3.28,3.33,138413,0
20070627,3.33,3.39,3.12,3.24,174170,0
20070628,3.26,3.27,3.17,3.21,21416,0
20070629,3.15,3.18,3.12,3.17,68381,0
20070702,3.16,3.16,2.88,2.93,267992,0
20070703,2.93,2.98,2.79,2.88,196920,0
20070704,2.88,2.88,2.72,2.82,161097,0
20070705,2.83,3.05,2.79,3,470093,0
20070706,3.06,3.06,2.92,2.93,209319,0
20070709,3.05,3.1,2.91,3.04,230470,0
20070710,2.99,3.03,2.9,2.98,102093,0
20070711,2.98,2.98,2.9,2.94,52917,0
20070712,2.94,2.98,2.85,2.91,41952,0
20070713,2.9,2.96,2.83,2.87,42183,0
20070716,2.87,2.93,2.68,2.75,91371,0
20070717,2.8,2.86,2.61,2.86,49790,0
20070718,2.85,2.91,2.79,2.88,25917,0
20070719,2.87,2.87,2.79,2.87,58394,0
20070720,2.85,2.85,2.75,2.76,36046,0
20070723,2.78,2.82,2.7,2.77,41511,0
20070724,2.72,2.77,2.7,2.74,47007,0
20070725,2.7,2.7,2.6,2.62,158542,0
20070726,2.64,2.7,2.56,2.6,34262,0
20070727,2.5,2.58,2.41,2.58,52357,0
20070730,2.56,2.56,2.35,2.49,92907,0
20070731,2.5,2.55,2.46,2.55,39334,0
20070801,2.56,2.56,2.46,2.48,22186,0
20070802,2.47,2.52,2.36,2.48,35285,0
20070803,2.43,2.43,2.25,2.25,72613,0
20070806,2.29,2.29,2,2.02,208653,0
20070807,2,2.08,1.85,1.91,140094,0
20070808,1.9,1.92,1.71,1.9,502023,0
20070809,1.84,1.86,1.69,1.69,268901,0
20070810,1.68,1.68,1.5,1.54,186017,0
20070813,1.55,1.59,1.48,1.59,95604,0
20070814,1.59,1.59,1.5,1.52,48299,0
20070816,1.46,1.46,1.15,1.21,241407,0
20070817,1.25,1.37,1.16,1.3,179232,0
20070820,1.35,1.41,1.34,1.39,203562,0
20070821,1.42,1.42,1.32,1.39,70239,0
20070822,1.39,1.49,1.38,1.45,123545,0
20070823,1.5,1.68,1.5,1.68,202780,0
20070824,1.67,1.84,1.62,1.82,330415,0
20070827,1.85,1.99,1.74,1.74,265520,0
20070828,1.78,1.9,1.75,1.81,159716,0
20070829,1.67,1.8,1.65,1.78,95956,0
20070830,1.82,1.89,1.73,1.78,131670,0
20070831,1.81,1.82,1.78,1.82,38357,0
20070903,1.85,1.85,1.77,1.77,40533,0
20070904,1.8,1.81,1.75,1.8,74076,0
20070905,1.8,1.8,1.75,1.75,32454,0
20070906,1.8,1.8,1.65,1.74,65293,0
20070907,1.78,1.78,1.5,1.5,125106,0
20070910,1.51,1.69,1.51,1.6,156113,0
20070911,1.6,1.68,1.55,1.66,68340,0
20070912,1.69,1.73,1.65,1.65,82007,0
20070913,1.67,1.67,1.55,1.65,66565,0
20070914,1.65,1.65,1.55,1.62,103502,0
20070917,1.64,1.64,1.58,1.61,31990,0
20070918,1.62,1.63,1.58,1.6,55004,0
20070919,1.64,1.68,1.6,1.63,148789,0
20070920,1.61,1.68,1.6,1.64,118866,0
20070921,1.64,1.67,1.61,1.64,104646,0
20070924,1.64,1.64,1.58,1.61,76581,0
20070925,1.62,1.63,1.57,1.61,49265,0
20070926,1.6,1.66,1.59,1.61,50183,0
20070927,1.63,1.65,1.61,1.65,31310,0
20070928,1.61,1.64,1.58,1.63,50011,0
20071001,1.63,1.63,1.57,1.59,37161,0
20071002,1.58,1.61,1.57,1.59,46547,0
20071003,1.59,1.6,1.54,1.56,74641,0
20071004,1.55,1.62,1.53,1.58,86971,0
20071005,1.58,1.6,1.55,1.59,36033,0
20071008,1.58,1.74,1.55,1.7,293366,0
20071009,1.78,2.07,1.75,1.98,2516439,0
20071010,2.05,2.19,1.9,1.95,1441309,0
20071011,1.94,1.98,1.8,1.88,410788,0
20071012,1.9,1.96,1.82,1.92,318787,0
20071015,1.93,1.96,1.85,1.87,174148,0
20071016,1.85,1.9,1.82,1.89,100027,0
20071017,1.89,2.07,1.85,2.04,922233,0
20071018,2.06,2.15,1.89,1.94,738612,0
20071019,1.9,1.97,1.9,1.9,126629,0
20071022,1.88,1.91,1.8,1.87,182117,0
20071023,1.87,1.9,1.82,1.86,124979,0
20071024,1.87,1.91,1.85,1.89,122567,0
20071025,1.92,1.92,1.84,1.86,71252,0
20071026,1.86,1.86,1.82,1.85,63655,0
20071029,1.86,1.86,1.78,1.8,126435,0
20071030,1.8,1.81,1.64,1.64,364675,0
20071031,1.65,1.72,1.64,1.66,257137,0
20071102,1.59,1.63,1.56,1.57,251716,0
20071105,1.59,1.62,1.53,1.58,216172,0
20071106,1.58,1.61,1.52,1.53,112657,0
20071107,1.55,1.59,1.4,1.44,226485,0
20071108,1.38,1.49,1.21,1.44,324422,0
20071109,1.47,1.47,1.35,1.41,198520,0
20071112,1.35,1.45,1.33,1.43,211489,0
20071113,1.4,1.41,1.36,1.4,141365,0
20071114,1.44,1.46,1.37,1.4,82985,0
20071115,1.38,1.38,1.3,1.3,100097,0
20071116,1.29,1.35,1.19,1.35,256620,0
20071119,1.32,1.32,1.28,1.3,47859,0
20071120,1.28,1.28,1.19,1.23,146205,0
20071121,1.21,1.21,1.12,1.12,143545,0
20071122,1.1,1.2,1.01,1.13,853919,0
20071123,1.16,1.22,1.14,1.19,218258,0
20071126,1.22,1.28,1.19,1.2,356157,0
20071127,1.19,1.19,1.14,1.17,158465,0
20071128,1.17,1.24,1.14,1.2,518460,0
20071129,1.26,1.26,1.18,1.19,337292,0
20071130,1.2,1.44,1.2,1.36,1059439,0
20071203,1.4,1.48,1.37,1.4,674136,0
20071204,1.4,1.44,1.34,1.42,355627,0
20071205,1.43,1.55,1.42,1.51,772936,0
20071206,1.52,1.53,1.47,1.5,192917,0
20071207,1.5,1.59,1.46,1.58,517358,0
20071210,1.6,1.68,1.51,1.59,225363,0
20071211,1.61,1.63,1.54,1.56,76356,0
20071212,1.5,1.55,1.46,1.51,266545,0
20071213,1.5,1.5,1.41,1.44,213633,0
20071214,1.42,1.48,1.4,1.41,207857,0
20071217,1.4,1.4,1.31,1.31,244964,0
20071218,1.3,1.33,1.23,1.32,207907,0
20071219,1.34,1.37,1.27,1.29,125804,0
20071220,1.28,1.34,1.22,1.25,220471,0
20071221,1.26,1.34,1.26,1.3,435402,0
20071227,1.32,1.36,1.32,1.33,78137,0
20071228,1.31,1.34,1.3,1.33,61285,0
20080102,1.33,1.33,1.28,1.32,44529,0
20080103,1.31,1.39,1.28,1.35,199812,0
20080104,1.38,1.42,1.33,1.36,328165,0
20080107,1.32,1.32,1.27,1.29,175553,0
20080108,1.28,1.34,1.28,1.3,65282,0
20080109,1.27,1.29,1.16,1.19,252222,0
20080110,1.2,1.22,1.11,1.15,294976,0
20080111,1.15,1.19,1.1,1.1,215600,0
20080114,1.08,1.12,1.02,1.1,110355,0
20080115,1.1,1.14,0.99,1.04,439791,0
20080116,0.95,1.01,0.88,0.99,573260,0
20080117,1.01,1.05,0.98,1.04,342347,0
20080118,1.02,1.09,1,1.08,246063,0
20080121,1.03,1.05,1.01,1.01,157099,0
20080122,0.98,1.03,0.95,1.03,191204,0
20080123,1.06,1.07,1,1.03,205041,0
20080124,1.06,1.12,1.04,1.09,658445,0
20080125,1.12,1.15,1.08,1.09,413133,0
20080128,1.05,1.09,1.04,1.05,175666,0
20080129,1.08,1.1,1.08,1.08,72588,0
20080130,1.09,1.18,1.06,1.15,545608,0
20080131,1.16,1.17,1.1,1.11,237871,0
20080201,1.14,1.16,1.13,1.15,218738,0
20080204,1.18,1.18,1.13,1.13,150077,0
20080205,1.15,1.15,1.04,1.04,165783,0
20080206,1.02,1.12,1,1.12,236814,0
20080207,1.11,1.13,1.07,1.1,154868,0
20080208,1.1,1.17,1.08,1.15,407850,0
20080211,1.15,1.16,1.11,1.11,138575,0
20080212,1.15,1.15,1.11,1.12,64503,0
20080213,1.14,1.14,1.09,1.11,99181,0
20080214,1.13,1.13,1.09,1.09,116940,0
20080215,1.09,1.1,1.06,1.08,92162,0
20080218,1.1,1.1,1.07,1.08,27291,0
20080219,1.08,1.09,1.06,1.09,59042,0
20080220,1.06,1.08,1.05,1.07,35665,0
20080221,1.06,1.09,1.06,1.06,82651,0
20080222,1.06,1.07,1.05,1.06,52383,0
20080225,1.07,1.08,1.05,1.05,68440,0
20080226,1.06,1.12,1.05,1.08,317721,0
20080227,1.07,1.08,1.06,1.07,32226,0
20080228,1.08,1.09,1.03,1.05,143578,0
20080229,1.04,1.05,1,1.02,70908,0
20080303,0.99,0.99,0.96,0.97,96875,0
20080304,1,1.01,0.97,0.99,43802,0
20080305,1,1.02,0.99,1,86372,0
20080306,1.03,1.03,1,1.02,42174,0
20080307,0.99,1.02,0.99,1.02,62764,0
20080310,1,1.03,0.99,1.03,44465,0
20080311,1.03,1.04,1.01,1.03,15345,0
20080312,1.04,1.04,0.98,1.01,60450,0
20080313,0.99,1,0.98,1,26596,0
20080314,1,1.01,0.98,1,24860,0
20080317,1,1,0.93,0.96,130439,0
