Date,Open,High,Low,Close,Volume,OpenInt
19960305,0.181,0.181,0.181,0.181,871760,0
19960306,0.198,0.198,0.198,0.198,2002720,0
19960307,0.202,0.202,0.202,0.202,644600,0
19960308,0.2,0.2,0.2,0.2,523600,0
19960311,0.189,0.189,0.189,0.189,74080,0
19960312,0.17,0.17,0.17,0.17,35240,0
19960313,0.178,0.178,0.178,0.178,154040,0
19960314,0.183,0.183,0.183,0.183,90240,0
19960315,0.184,0.184,0.184,0.184,122440,0
19960318,0.187,0.187,0.187,0.187,45520,0
19960319,0.2,0.2,0.2,0.2,112720,0
19960320,0.189,0.189,0.189,0.189,100520,0
19960321,0.189,0.189,0.189,0.189,37040,0
19960322,0.17,0.17,0.17,0.17,50000,0
19960325,0.187,0.187,0.187,0.187,125680,0
19960326,0.173,0.173,0.173,0.173,115400,0
19960327,0.184,0.184,0.184,0.184,51680,0
19960328,0.174,0.174,0.174,0.174,114720,0
19960329,0.178,0.178,0.178,0.178,69960,0
19960401,0.174,0.174,0.174,0.174,123280,0
19960402,0.174,0.174,0.174,0.174,166320,0
19960403,0.172,0.172,0.172,0.172,72560,0
19960404,0.178,0.178,0.178,0.178,25240,0
19960405,0.174,0.174,0.174,0.174,111880,0
19960409,0.178,0.178,0.178,0.178,72840,0
19960410,0.174,0.174,0.174,0.174,68840,0
19960411,0.174,0.174,0.174,0.174,34360,0
19960412,0.177,0.177,0.177,0.177,166200,0
19960415,0.173,0.173,0.173,0.173,80720,0
19960416,0.178,0.178,0.178,0.178,39240,0
19960417,0.177,0.177,0.177,0.177,107000,0
19960418,0.178,0.178,0.178,0.178,44840,0
19960419,0.178,0.178,0.178,0.178,434000,0
19960422,0.189,0.189,0.189,0.189,193080,0
19960423,0.194,0.194,0.194,0.194,496560,0
19960424,0.189,0.189,0.189,0.189,148120,0
19960425,0.189,0.189,0.189,0.189,60840,0
19960426,0.185,0.185,0.185,0.185,97400,0
19960429,0.178,0.178,0.178,0.178,190400,0
19960430,0.189,0.189,0.189,0.189,264480,0
19960506,0.196,0.196,0.196,0.196,304560,0
19960507,0.194,0.194,0.194,0.194,192960,0
19960508,0.181,0.181,0.181,0.181,102440,0
19960509,0.193,0.193,0.193,0.193,113840,0
19960510,0.185,0.185,0.185,0.185,238000,0
19960513,0.193,0.193,0.193,0.193,194000,0
19960514,0.19,0.19,0.19,0.19,136720,0
19960515,0.19,0.19,0.19,0.19,52560,0
19960516,0.194,0.194,0.194,0.194,293320,0
19960517,0.198,0.198,0.198,0.198,205080,0
19960520,0.217,0.217,0.217,0.217,556920,0
19960521,0.235,0.235,0.235,0.235,894600,0
19960522,0.231,0.231,0.231,0.231,822160,0
19960523,0.235,0.235,0.235,0.235,758640,0
19960524,0.252,0.252,0.252,0.252,593000,0
19960527,0.231,0.231,0.231,0.231,895720,0
19960528,0.231,0.231,0.231,0.231,270480,0
19960529,0.24,0.24,0.24,0.24,265120,0
19960530,0.246,0.246,0.246,0.246,484080,0
19960531,0.254,0.254,0.254,0.254,1184080,0
19960603,0.242,0.242,0.242,0.242,753320,0
19960604,0.217,0.217,0.217,0.217,880680,0
19960605,0.221,0.221,0.221,0.221,528160,0
19960607,0.227,0.227,0.227,0.227,368040,0
19960610,0.233,0.233,0.233,0.233,583200,0
19960611,0.231,0.231,0.231,0.231,512760,0
19960612,0.25,0.25,0.25,0.25,948000,0
19960613,0.274,0.274,0.274,0.274,2722920,0
19960614,0.295,0.295,0.295,0.295,1882000,0
19960617,0.296,0.296,0.296,0.296,1222080,0
19960618,0.302,0.302,0.302,0.302,233040,0
19960619,0.326,0.326,0.326,0.326,583480,0
19960620,0.325,0.325,0.325,0.325,624320,0
19960621,0.316,0.316,0.316,0.316,746480,0
19960624,0.323,0.323,0.323,0.323,697720,0
19960625,0.318,0.318,0.318,0.318,867160,0
19960626,0.35,0.35,0.35,0.35,823400,0
19960627,0.381,0.381,0.381,0.381,733040,0
19960628,0.378,0.378,0.378,0.378,1451800,0
19960701,0.416,0.416,0.416,0.416,652680,0
19960702,0.407,0.407,0.407,0.407,1338240,0
19960703,0.392,0.392,0.392,0.392,1083480,0
19960704,0.396,0.396,0.396,0.396,767680,0
19960705,0.389,0.389,0.389,0.389,1074240,0
19960708,0.351,0.351,0.351,0.351,199520,0
19960709,0.358,0.358,0.358,0.358,897560,0
19960710,0.362,0.362,0.362,0.362,390400,0
19960711,0.368,0.368,0.368,0.368,999600,0
19960712,0.394,0.394,0.394,0.394,555960,0
19960715,0.414,0.414,0.414,0.414,909720,0
19960716,0.41,0.41,0.41,0.41,789680,0
19960717,0.397,0.397,0.397,0.397,748000,0
19960718,0.394,0.394,0.394,0.394,817480,0
19960719,0.41,0.41,0.41,0.41,483320,0
19960722,0.405,0.405,0.405,0.405,626400,0
19960723,0.396,0.396,0.396,0.396,681840,0
19960724,0.402,0.402,0.402,0.402,400240,0
19960725,0.41,0.41,0.41,0.41,364920,0
19960726,0.41,0.41,0.41,0.41,390600,0
19960729,0.41,0.41,0.41,0.41,545600,0
19960730,0.389,0.389,0.389,0.389,487600,0
19960731,0.389,0.389,0.389,0.389,168520,0
19960801,0.389,0.389,0.389,0.389,288160,0
19960802,0.373,0.373,0.373,0.373,91200,0
19960805,0.347,0.347,0.347,0.347,1051480,0
19960806,0.368,0.368,0.368,0.368,599760,0
19960807,0.352,0.352,0.352,0.352,59680,0
19960808,0.368,0.368,0.368,0.368,217640,0
19960809,0.379,0.379,0.379,0.379,178040,0
19960812,0.379,0.379,0.379,0.379,122600,0
19960813,0.379,0.379,0.379,0.379,153000,0
19960814,0.379,0.379,0.379,0.379,274280,0
19960816,0.39,0.39,0.39,0.39,161640,0
19960819,0.42,0.42,0.42,0.42,560520,0
19960820,0.431,0.431,0.431,0.431,1042520,0
19960821,0.441,0.441,0.441,0.441,351280,0
19960822,0.483,0.483,0.483,0.483,600160,0
19960823,0.484,0.484,0.484,0.484,575120,0
19960826,0.495,0.495,0.495,0.495,196000,0
19960827,0.541,0.541,0.541,0.541,694120,0
19960828,0.593,0.593,0.593,0.593,769200,0
19960829,0.578,0.578,0.578,0.578,649080,0
19960830,0.625,0.625,0.625,0.625,424040,0
19960902,0.625,0.625,0.625,0.625,417640,0
19960903,0.609,0.609,0.609,0.609,252000,0
19960904,0.599,0.599,0.599,0.599,319000,0
19960905,0.578,0.578,0.578,0.578,469920,0
19960906,0.578,0.578,0.578,0.578,566920,0
19960909,0.599,0.599,0.599,0.599,158680,0
19960910,0.588,0.588,0.588,0.588,563600,0
19960911,0.604,0.604,0.604,0.604,150720,0
19960912,0.62,0.62,0.62,0.62,314640,0
19960913,0.672,0.672,0.672,0.672,796520,0
19960916,0.735,0.735,0.735,0.735,713320,0
19960917,0.756,0.756,0.756,0.756,827680,0
19960918,0.751,0.751,0.751,0.751,376120,0
19960919,0.72,0.72,0.72,0.72,308560,0
19960920,0.725,0.725,0.725,0.725,554640,0
19960923,0.73,0.73,0.73,0.73,410200,0
19960924,0.699,0.699,0.699,0.699,218280,0
19960925,0.683,0.683,0.683,0.683,684000,0
19960926,0.683,0.683,0.683,0.683,183840,0
19960927,0.741,0.741,0.741,0.741,353080,0
19960930,0.777,0.777,0.777,0.777,614320,0
19961001,0.83,0.83,0.83,0.83,517600,0
19961002,0.851,0.851,0.851,0.851,390800,0
19961003,0.851,0.851,0.851,0.851,547120,0
19961004,0.83,0.83,0.83,0.83,442880,0
19961007,0.83,0.83,0.83,0.83,392240,0
19961008,0.819,0.819,0.819,0.819,225800,0
19961009,0.819,0.819,0.819,0.819,644400,0
19961010,0.83,0.83,0.83,0.83,370520,0
19961011,0.83,0.83,0.83,0.83,320520,0
19961014,0.861,0.861,0.861,0.861,445240,0
19961015,0.946,0.946,0.946,0.946,397760,0
19961016,0.946,0.946,0.946,0.946,757880,0
19961017,0.988,0.988,0.988,0.988,750480,0
19961018,1.061,1.061,1.061,1.061,749800,0
19961021,1.166,1.166,1.166,1.166,1167240,0
19961022,1.281,1.281,1.281,1.281,1568040,0
19961023,1.334,1.334,1.334,1.334,954280,0
19961024,1.203,1.203,1.203,1.203,0,0
19961025,1.087,1.087,1.087,1.087,0,0
19961028,0.536,0.536,0.536,0.536,873560,0
19961029,0.588,0.588,0.588,0.588,813480,0
19961030,0.646,0.646,0.646,0.646,0,0
19961031,0.709,0.709,0.709,0.709,0,0
19961104,0.777,0.777,0.777,0.777,2951200,0
19961105,0.704,0.704,0.704,0.704,936400,0
19961106,0.746,0.746,0.746,0.746,880200,0
19961107,0.777,0.777,0.777,0.777,440600,0
19961108,0.762,0.762,0.762,0.762,494360,0
19961112,0.777,0.777,0.777,0.777,511400,0
19961113,0.751,0.751,0.751,0.751,197720,0
19961114,0.714,0.714,0.714,0.714,154720,0
19961115,0.756,0.756,0.756,0.756,308720,0
19961118,0.714,0.714,0.714,0.714,230960,0
19961119,0.735,0.735,0.735,0.735,490280,0
19961120,0.746,0.746,0.746,0.746,400880,0
19961121,0.714,0.714,0.714,0.714,219040,0
19961122,0.646,0.646,0.646,0.646,270920,0
19961125,0.646,0.646,0.646,0.646,724480,0
19961126,0.683,0.683,0.683,0.683,441520,0
19961127,0.704,0.704,0.704,0.704,270640,0
19961128,0.683,0.683,0.683,0.683,163280,0
19961129,0.693,0.693,0.693,0.693,261800,0
19961202,0.662,0.662,0.662,0.662,93680,0
19961203,0.63,0.63,0.63,0.63,146800,0
19961204,0.63,0.63,0.63,0.63,340360,0
19961205,0.63,0.63,0.63,0.63,126160,0
19961206,0.646,0.646,0.646,0.646,262360,0
19961209,0.588,0.588,0.588,0.588,170880,0
19961210,0.53,0.53,0.53,0.53,393080,0
19961211,0.525,0.525,0.525,0.525,870120,0
19961212,0.578,0.578,0.578,0.578,367000,0
19961213,0.609,0.609,0.609,0.609,377560,0
19961216,0.599,0.599,0.599,0.599,288080,0
19961217,0.588,0.588,0.588,0.588,319600,0
19961218,0.578,0.578,0.578,0.578,283880,0
19961219,0.567,0.567,0.567,0.567,198320,0
19961220,0.557,0.557,0.557,0.557,928680,0
19961223,0.609,0.609,0.609,0.609,967600,0
19961224,0.588,0.588,0.588,0.588,197160,0
19961230,0.646,0.646,0.646,0.646,0,0
19961231,0.709,0.709,0.709,0.709,720680,0
19970102,0.709,0.709,0.709,0.709,440760,0
19970103,0.688,0.688,0.688,0.688,566160,0
19970106,0.704,0.704,0.704,0.704,315400,0
19970107,0.73,0.73,0.73,0.73,528760,0
19970108,0.762,0.762,0.762,0.762,502280,0
19970109,0.777,0.777,0.777,0.777,667080,0
19970110,0.793,0.793,0.793,0.793,788720,0
19970113,0.767,0.767,0.767,0.767,254960,0
19970114,0.767,0.767,0.767,0.767,515800,0
19970115,0.735,0.735,0.735,0.735,342040,0
19970116,0.756,0.756,0.756,0.756,476680,0
19970117,0.735,0.735,0.735,0.735,589560,0
19970120,0.662,0.662,0.662,0.662,433720,0
19970121,0.714,0.714,0.714,0.714,830920,0
19970122,0.714,0.714,0.714,0.714,714680,0
19970123,0.725,0.725,0.725,0.725,398040,0
19970124,0.693,0.693,0.693,0.693,649840,0
19970127,0.693,0.693,0.693,0.693,708960,0
19970128,0.683,0.683,0.683,0.683,495040,0
19970129,0.662,0.662,0.662,0.662,218400,0
19970130,0.683,0.683,0.683,0.683,361000,0
19970131,0.672,0.672,0.672,0.672,145000,0
19970203,0.683,0.683,0.683,0.683,109080,0
19970204,0.704,0.704,0.704,0.704,347400,0
19970205,0.735,0.735,0.735,0.735,920000,0
19970206,0.777,0.777,0.777,0.777,1492360,0
19970207,0.819,0.819,0.819,0.819,1729480,0
19970210,0.819,0.819,0.819,0.819,625560,0
19970211,0.741,0.741,0.741,0.741,359200,0
19970212,0.767,0.767,0.767,0.767,590160,0
19970213,0.746,0.746,0.746,0.746,509520,0
19970214,0.777,0.777,0.777,0.777,588520,0
19970217,0.767,0.767,0.767,0.767,535960,0
19970218,0.756,0.756,0.756,0.756,663720,0
19970219,0.746,0.746,0.746,0.746,762280,0
19970220,0.735,0.735,0.735,0.735,552840,0
19970221,0.735,0.735,0.735,0.735,524920,0
19970224,0.72,0.72,0.72,0.72,563600,0
19970225,0.72,0.72,0.72,0.72,377360,0
19970226,0.762,0.762,0.762,0.762,519320,0
19970227,0.746,0.746,0.746,0.746,304360,0
19970228,0.725,0.725,0.725,0.725,340800,0
19970303,0.772,0.772,0.772,0.772,625560,0
19970304,0.819,0.819,0.819,0.819,1777080,0
19970305,0.84,0.84,0.84,0.84,2372880,0
19970306,0.903,0.903,0.903,0.903,2883120,0
19970307,0.893,0.893,0.893,0.893,1417320,0
19970310,0.809,0.809,0.809,0.809,681240,0
19970311,0.83,0.83,0.83,0.83,1052040,0
19970312,0.866,0.866,0.866,0.866,547600,0
19970313,0.819,0.819,0.819,0.819,659640,0
19970314,0.741,0.741,0.741,0.741,742000,0
19970317,0.741,0.741,0.741,0.741,687360,0
19970318,0.767,0.767,0.767,0.767,780560,0
19970319,0.746,0.746,0.746,0.746,438480,0
19970320,0.725,0.725,0.725,0.725,204200,0
19970321,0.672,0.672,0.672,0.672,300440,0
