Date,Open,High,Low,Close,Volume,OpenInt
20101027,7.0532,7.0532,6.6066,6.802,94327,0
20101028,6.8113,6.8113,6.2344,6.2436,47641,0
20101029,6.2457,6.3319,5.6805,6.3223,113592,0
20101102,6.3274,6.3274,6.2158,6.3181,25249,0
20101103,6.16,6.281,5.9738,5.9738,3817,0
20101104,6.281,6.281,6.0482,6.2716,1451,0
20101105,6.0482,6.2716,5.9645,6.1878,2525,0
20101108,6.1041,6.1972,6.0482,6.1972,6246,0
20101109,6.1972,6.2344,5.9087,6.1321,6090,0
20101110,6.0482,6.1413,5.9552,6.1321,2257,0
20101112,5.9645,6.1321,5.9552,6.1321,1386,0
20101115,5.9645,6.1321,5.9645,6.0948,280,0
20101116,5.9738,5.9924,5.8622,5.9552,4514,0
20101117,5.9552,5.9552,5.7691,5.7691,2857,0
20101118,5.7227,5.7227,5.4621,5.704,23255,0
20101119,5.704,5.8622,5.704,5.8622,11548,0
20101122,5.6575,5.8528,5.6202,5.6202,4030,0
20101123,5.7691,5.7691,5.5272,5.7598,5665,0
20101124,5.7691,5.7971,5.6761,5.7971,15051,0
20101125,5.6761,5.7505,5.5366,5.5737,6937,0
20101126,5.5737,5.6761,5.5086,5.6481,9049,0
20101129,5.6388,5.6388,5.6388,5.6388,1667,0
20101130,5.5737,5.6296,5.4435,5.6296,6022,0
20101201,5.6296,5.6296,5.6296,5.6296,3002,0
20101202,5.583,5.583,5.5737,5.5737,678,0
20101203,5.583,5.583,5.2108,5.583,15389,0
20101206,5.583,5.583,5.4062,5.49,5314,0
20101207,5.583,5.583,5.4992,5.583,3223,0
20101208,5.4621,5.732,5.4156,5.732,13817,0
20101209,5.7132,5.9552,5.7132,5.9552,5809,0
20101210,5.9552,5.9552,5.7598,5.7691,4963,0
20101213,5.6761,5.7691,5.6017,5.7691,4297,0
20101214,5.7691,6.0203,5.7227,6.0203,4847,0
20101215,5.8715,6.0018,5.7691,6.0018,6649,0
20101216,6.039,6.1785,5.9831,6.1785,1765,0
20101217,6.0575,6.2251,6.0018,6.2251,5335,0
20101220,5.918,5.9552,5.6761,5.8715,6221,0
20101221,5.8157,5.8157,5.6481,5.6761,2903,0
20101222,5.6296,5.9552,5.6296,5.8622,4302,0
20101223,5.9552,6.0018,5.9552,6.0018,913,0
20101227,5.8342,5.9738,5.7784,5.9645,5997,0
20101228,5.9552,5.9645,5.6947,5.732,6024,0
20101229,5.9366,6.1321,5.732,6.0297,9639,0
20101230,5.9552,6.1413,5.9552,6.1413,9533,0
20101231,6.0924,6.1499,5.9678,6.1403,9023,0
20110103,5.9645,5.9645,5.8622,5.8622,1551,0
20110104,5.8622,5.8622,5.8622,5.8622,1836,0
20110105,5.8622,5.8622,5.825,5.8622,14700,0
20110107,5.9552,5.9552,5.9087,5.9087,268,0
20110110,5.9087,5.9087,5.8342,5.8342,994,0
20110112,5.9831,6.0018,5.8715,6.0018,1939,0
20110113,6.039,6.0762,6.0018,6.039,2639,0
20110114,6.0482,6.0762,5.9087,6.0018,5195,0
20110117,5.9087,6.0297,5.9087,6.0297,142,0
20110118,6.0203,6.067,6.0203,6.067,184,0
20110119,6.067,6.0762,5.8715,5.8715,476,0
20110120,6.067,6.067,5.8157,5.9924,1549,0
20110121,5.9831,6.0575,5.8622,6.0575,3583,0
20110124,6.0482,6.0482,5.9552,6.0482,1045,0
20110125,6.0482,6.0482,5.9087,6.0482,446,0
20110126,6.0203,6.0203,5.9087,5.9087,302,0
20110127,5.9087,5.9924,5.9087,5.9924,4819,0
20110128,5.9924,5.9924,5.8715,5.946,761,0
20110131,5.9487,6.0062,5.8625,5.9487,1178,0
20110201,5.825,6.0018,5.8157,6.0018,2227,0
20110202,5.825,5.9924,5.825,5.9924,3456,0
20110203,5.9552,5.9552,5.8715,5.9552,613,0
20110204,5.9552,5.9552,5.8622,5.9552,355,0
20110207,5.946,6.0948,5.946,6.0948,3983,0
20110208,6.0482,6.0482,5.946,6.0018,413,0
20110209,6.039,6.039,5.9645,6.0018,465,0
20110210,6.0018,6.0018,5.9273,5.9924,628,0
20110211,5.9552,5.9924,5.9552,5.9924,118,0
20110214,6.0018,6.0018,5.9273,5.9831,343,0
20110215,5.9831,5.9831,5.9831,5.9831,10,0
20110216,5.9552,6.0018,5.9552,5.9552,717,0
20110217,5.9552,5.9552,5.8622,5.8622,3650,0
20110218,5.8622,5.9552,5.8622,5.946,3989,0
20110221,5.9087,6.0018,5.9087,5.9831,734,0
20110222,5.9087,5.9645,5.8622,5.9087,5145,0
20110223,5.9552,5.9552,5.8715,5.9552,398,0
20110224,5.8715,5.9366,5.8715,5.9366,7356,0
20110225,5.8622,5.9087,5.8622,5.9087,1419,0
20110228,5.9104,6.0062,5.9104,6.0062,4954,0
20110301,6.0297,6.0297,5.9087,6.0297,1719,0
20110302,5.9552,5.9552,5.9552,5.9552,826,0
20110303,5.9552,5.9552,5.9087,5.9552,1313,0
20110304,5.9552,5.9552,5.9552,5.9552,5241,0
20110307,6.0018,6.0018,6.0018,6.0018,357,0
20110308,6.0018,6.0018,6.0018,6.0018,323,0
20110309,6.0018,6.0111,5.9924,6.0018,1650,0
20110310,6.0297,6.0297,5.8901,5.8901,1640,0
20110311,6.0297,6.0297,5.8901,5.8901,2179,0
20110314,5.9645,5.9645,5.8901,5.8901,323,0
20110315,5.9552,5.9552,5.8808,5.946,9846,0
20110316,5.8808,5.946,5.8808,5.946,1356,0
20110317,5.9366,5.9366,5.9366,5.9366,53,0
20110318,5.9273,5.9273,5.9273,5.9273,32,0
20110321,5.9087,5.9087,5.9087,5.9087,715,0
20110322,5.9366,6.0575,5.8808,6.0482,11075,0
20110323,6.067,6.3274,6.067,6.281,16797,0
20110324,6.2716,6.5228,6.2716,6.4484,20553,0
20110325,6.5135,6.5135,6.2995,6.402,3619,0
20110328,6.3925,6.3925,6.2065,6.3274,4595,0
20110329,6.3274,6.3274,6.2344,6.3274,1486,0
20110330,6.3553,6.3553,6.16,6.16,1883,0
20110331,6.3223,6.3223,6.1595,6.1595,1833,0
20110401,6.0762,6.1413,6.0482,6.1413,1617,0
20110404,6.1413,6.1878,6.1413,6.1878,618,0
20110405,6.1785,6.1785,6.1785,6.1785,53,0
20110406,6.1413,6.16,6.0762,6.1506,1952,0
20110407,6.1506,6.1506,6.1321,6.1321,434,0
20110408,6.1321,6.1321,6.1321,6.1321,53,0
20110411,6.0762,6.0762,6.0018,6.0018,413,0
20110412,6.0018,6.0018,5.9087,5.9087,3676,0
20110413,5.918,5.9924,5.8622,5.9924,2971,0
20110414,5.9552,6.0855,5.9552,6.0855,1150,0
20110415,6.0948,6.0948,6.0948,6.0948,289,0
20110418,6.0855,6.0855,5.8528,6.0855,1893,0
20110419,5.9831,6.0111,5.8342,6.0018,4860,0
20110420,6.0018,6.0018,5.8622,5.9924,468,0
20110421,6.0018,6.0018,6.0018,6.0018,27,0
20110426,5.9738,5.9738,5.9738,5.9738,22,0
20110427,5.9738,5.9738,5.8157,5.9273,1423,0
20110428,5.9087,5.9087,5.8157,5.8622,1826,0
20110429,5.8625,5.8625,5.7188,5.8625,1985,0
20110502,5.8157,5.8157,5.8157,5.8157,22,0
20110504,5.7227,5.7691,5.6761,5.6947,1051,0
20110505,5.7132,5.7227,5.6761,5.7227,1742,0
20110506,5.7691,5.7691,5.49,5.6202,5593,0
20110509,5.49,5.5644,5.49,5.5644,2775,0
20110510,5.5644,5.5644,5.4435,5.5458,2864,0
20110511,5.583,5.583,5.4062,5.4062,4757,0
20110512,5.5737,5.5737,5.2573,5.3038,4584,0
20110513,5.3038,5.3038,5.0247,5.1642,1958,0
20110516,5.0247,5.0712,4.9782,4.9782,13238,0
20110517,5.0433,5.0433,4.9037,4.9037,1972,0
20110518,4.727,4.727,4.5595,4.5595,13186,0
20110519,4.4757,4.6897,4.4757,4.6618,9219,0
20110520,4.6618,4.6618,4.606,4.6618,6255,0
20110523,4.5687,4.6711,4.5687,4.6526,6034,0
20110524,4.6711,4.6711,4.6526,4.6526,604,0
20110525,4.6433,4.7456,4.6433,4.7456,2452,0
20110526,4.5967,4.7456,4.5967,4.7456,2807,0
20110527,4.8386,4.8386,4.6897,4.6897,505,0
20110530,4.8014,4.8014,4.6897,4.7921,554,0
