Date,Open,High,Low,Close,Volume,OpenInt
20090716,3.5829,3.5829,1.8352,1.8643,87294,0
20090717,1.8352,1.8352,1.4759,1.6409,51903,0
20090720,1.6506,1.6895,1.573,1.6506,36646,0
20090721,1.6506,1.6506,1.5633,1.6506,6596,0
20090722,1.5633,1.6312,1.3788,1.4273,5388,0
20090723,1.5633,1.573,1.437,1.573,3051,0
20090724,1.5536,1.5536,1.3108,1.5342,19458,0
20090727,1.4953,1.5536,1.204,1.3205,47877,0
20090728,1.3108,1.3399,1.068,1.1457,160475,0
20090729,1.1555,1.1555,1.0778,1.1555,17960,0
20090730,1.1555,1.1555,0.9419,1.1069,81318,0
20090731,1.0972,1.1166,0.9224,1.0195,155461,0
20090803,1.0195,1.136,0.9224,1.0875,173827,0
20090804,1.1069,1.2817,0.9322,1.0292,1284210,0
20090805,1.0292,1.1069,0.9807,1.0486,91715,0
20090806,1.0292,1.0292,0.9322,1.0099,480323,0
20090807,0.9904,1.0099,0.9516,1.0001,31216,0
20090810,1.0195,1.1846,1.0195,1.136,398759,0
20090811,1.1457,1.1846,1.0389,1.0486,138974,0
20090812,1.0292,1.0875,1.0099,1.0778,30495,0
20090813,1.0778,1.1457,1.0778,1.1263,40968,0
20090814,1.1263,1.1652,1.0875,1.0875,82266,0
20090817,1.1166,1.2526,1.0875,1.1943,183972,0
20090818,1.1943,1.272,1.1943,1.2623,78735,0
20090819,1.272,1.505,1.204,1.505,220910,0
20090820,1.6506,1.6506,1.3788,1.4565,296304,0
20090821,1.4565,1.4565,1.3399,1.4565,116689,0
20090824,1.437,1.5923,1.3399,1.505,151577,0
20090825,1.4759,1.5147,1.4273,1.4759,45936,0
20090826,1.4273,1.4759,1.369,1.3788,50910,0
20090827,1.369,1.4079,1.3205,1.3496,76391,0
20090828,1.3788,1.4662,1.3302,1.3982,97522,0
20090831,1.4565,1.4662,1.3593,1.3982,35436,0
20090901,1.4176,1.4176,1.3108,1.3496,51486,0
20090902,1.3496,1.3496,1.2137,1.2429,48253,0
20090903,1.2429,1.2817,1.1749,1.1749,23991,0
20090904,1.2332,1.2332,1.1846,1.2234,3184,0
20090907,1.2429,1.3108,1.1943,1.2623,69425,0
20090908,1.2623,1.437,1.204,1.3496,89026,0
20090909,1.3011,1.3302,1.2817,1.3011,27532,0
20090910,1.2817,1.3011,1.2137,1.2623,24067,0
20090911,1.2137,1.3011,1.2137,1.2914,17583,0
20090914,1.2332,1.3011,1.0099,1.0486,497907,0
20090915,1.0875,1.0875,0.9224,1.0583,1042335,0
20090916,1.0389,1.1749,1.0292,1.1069,253572,0
20090917,1.1457,1.1457,1.068,1.1166,49333,0
20090918,1.1069,1.1069,1.068,1.1069,5764,0
20090921,1.0972,1.0972,1.0292,1.0875,3925,0
20090922,1.0778,1.0778,1.0001,1.0486,83056,0
20090923,1.068,1.068,0.971,1.0292,69071,0
20090924,1.0292,1.0972,0.9904,1.0389,52571,0
20090925,1.0389,1.0583,1.0292,1.0389,4853,0
20090928,1.0389,1.0389,0.9807,1.0389,12939,0
20090929,1.0389,1.0389,1.0099,1.0099,5009,0
20090930,1.0292,1.0389,1.0099,1.0389,14717,0
20091001,1.0583,1.0583,1.0001,1.0389,7812,0
20091002,1.0389,1.0389,1.0001,1.0099,14682,0
20091005,1.0292,1.0292,0.9807,1.0292,5981,0
20091006,1.0389,1.0972,1.0195,1.0486,35501,0
20091007,1.0778,1.0778,1.0389,1.0778,18416,0
20091008,1.0875,1.0875,1.0389,1.0778,20457,0
20091009,1.0778,1.0778,1.068,1.068,2311,0
20091012,1.068,1.068,1.0195,1.0583,25964,0
20091013,1.068,1.068,1.0195,1.0486,12531,0
20091014,1.0486,1.0486,1.0195,1.0195,16110,0
20091015,1.0486,1.0486,1.0001,1.0486,29335,0
20091016,1.0486,1.0583,1.0195,1.0486,5997,0
20091019,1.0486,1.0486,1.0099,1.0389,9733,0
20091020,1.0389,1.0389,0.9904,0.9904,31248,0
20091021,1.0195,1.0195,0.9516,0.9904,45689,0
20091022,1.0292,1.0292,0.9807,1.0099,22403,0
20091023,1.0099,1.0099,0.9613,0.971,22658,0
20091026,1.0001,1.0001,0.9516,0.9807,31998,0
20091027,0.9807,0.9807,0.9516,0.9807,8051,0
20091028,0.9516,1.0001,0.9322,0.9516,91257,0
20091029,0.9516,1.0292,0.9419,1.0001,41009,0
20091030,1.0195,1.1749,1.0099,1.1263,236998,0
20091102,1.1555,1.3399,1.0972,1.3011,413615,0
20091103,1.3205,1.3302,1.2429,1.3108,123017,0
20091104,1.2623,1.2623,1.1555,1.2234,172561,0
20091105,1.1943,1.2332,1.136,1.2234,97177,0
20091106,1.2332,1.2332,1.1652,1.204,16295,0
20091109,1.2429,1.2429,1.1652,1.1943,16817,0
20091110,1.1749,1.1943,1.136,1.1749,56025,0
20091112,1.1943,1.2332,1.1263,1.2137,128925,0
20091113,1.2332,1.2332,1.1555,1.2234,10223,0
20091116,1.2234,1.2332,1.1652,1.2234,11791,0
20091117,1.204,1.3788,1.1652,1.3011,187282,0
20091118,1.3399,1.3496,1.2526,1.2914,53825,0
20091119,1.2817,1.3496,1.2429,1.3011,28507,0
20091120,1.3011,1.3011,1.2429,1.3011,42687,0
20091123,1.3205,1.3205,1.2429,1.3011,17258,0
20091124,1.3011,1.3011,1.204,1.2429,31422,0
20091125,1.2623,1.2914,1.2623,1.2914,8076,0
20091126,1.2817,1.2817,1.272,1.272,2,0
20091127,1.2817,1.2817,1.2137,1.2623,6539,0
20091130,1.2623,1.2623,1.1846,1.2429,20152,0
20091201,1.2234,1.2526,1.1846,1.2526,25009,0
20091202,1.2623,1.2623,1.1943,1.2429,4407,0
20091203,1.2429,1.2429,1.136,1.204,17644,0
20091204,1.2137,1.2429,1.1457,1.2429,16584,0
20091207,1.2429,1.2429,1.204,1.2429,23296,0
20091208,1.2526,1.2526,1.2137,1.2526,35327,0
20091209,1.2526,1.2526,1.1943,1.2234,17438,0
20091210,1.2234,1.2526,1.1555,1.2526,32701,0
20091211,1.2526,1.2623,1.1943,1.2623,13761,0
20091214,1.2623,1.2623,1.2234,1.2234,2,0
20091215,1.2332,1.2332,1.1749,1.2332,13340,0
20091216,1.2429,1.4759,1.1943,1.4467,494561,0
20091217,1.4565,1.4856,1.3399,1.4176,95190,0
20091218,1.4176,1.4176,1.3399,1.3982,49775,0
20091221,1.3982,1.5439,1.3302,1.4565,135655,0
20091222,1.4856,1.5245,1.4565,1.5245,252268,0
20091223,1.5147,1.6506,1.4759,1.4953,252531,0
20091228,1.5147,1.6409,1.5147,1.6409,126857,0
20091229,1.6506,1.6992,1.573,1.6409,177292,0
20091230,1.6409,1.6992,1.573,1.6409,184428,0
20091231,1.6409,1.6409,1.5827,1.5923,7614,0
20100104,1.6312,1.6603,1.5827,1.6312,57892,0
20100105,1.6506,1.6506,1.6118,1.6215,47501,0
20100106,1.6312,1.6312,1.5147,1.5827,39208,0
20100107,1.6021,1.7963,1.5633,1.7866,196316,0
20100108,1.8157,2.2721,1.806,2.2041,368356,0
20100111,2.2818,2.5536,2.2138,2.3012,314378,0
20100112,2.3595,2.3595,2.1749,2.2429,114534,0
20100113,2.1653,2.2818,2.1653,2.2041,112217,0
20100114,2.2915,2.5925,2.2818,2.5245,337297,0
20100115,2.5633,2.6216,2.408,2.4856,168573,0
20100118,2.4566,2.6508,2.3692,2.5148,120291,0
