Date,Open,High,Low,Close,Volume,OpenInt
19930422,4.0268,4.0268,4.0268,4.0268,19316,0
19930429,4.4157,4.4157,4.4157,4.4157,13175,0
19930506,4.8351,4.8351,4.8351,4.8351,23880,0
19930513,5.2242,5.2242,5.2242,5.2242,47549,0
19930520,5.6511,5.6511,5.6511,5.6511,16614,0
19930527,5.0869,5.0869,5.0869,5.0869,14547,0
19930603,4.5912,4.5912,4.5912,4.5912,6919,0
19930609,4.1336,4.1336,4.1336,4.1336,4141,0
19930617,4.5226,4.5226,4.5226,4.5226,17868,0
19930624,4.0954,4.0954,4.0954,4.0954,7668,0
19930701,4.2327,4.2327,4.2327,4.2327,32619,0
19930708,4.6597,4.6597,4.6597,4.6597,44118,0
19930715,5.1173,5.1173,5.1173,5.1173,59365,0
19930722,5.6131,5.6131,5.6131,5.6131,0,0
19930729,6.1393,6.1393,6.1393,6.1393,0,0
19930805,9.815,9.815,9.815,9.815,30823,0
19930812,10.73,10.73,10.73,10.73,96530,0
19930819,11.79,11.79,11.79,11.79,187006,0
19930826,12.919,12.919,12.919,12.919,153184,0
19930902,14.193,14.193,14.193,14.193,0,0
19930907,15.604,15.604,15.604,15.604,0,0
19930909,17.16,17.16,17.16,17.16,40486,0
19930914,18.853,18.853,18.853,18.853,0,0
19930916,28.241,28.241,28.241,28.241,87104,0
19930921,25.419,25.419,25.419,25.419,52309,0
19930923,22.879,22.879,22.879,22.879,35418,0
19930928,20.614,20.614,20.614,20.614,143198,0
19930930,22.597,22.597,22.597,22.597,78836,0
19931005,23.512,23.512,23.512,23.512,59734,0
19931007,23.23,23.23,23.23,23.23,36408,0
19931012,25.488,25.488,25.488,25.488,62860,0
19931014,26.693,26.693,26.693,26.693,43741,0
19931019,28.241,28.241,28.241,28.241,63831,0
19931021,27.112,27.112,27.112,27.112,44898,0
19931026,24.428,24.428,24.428,24.428,28160,0
19931028,26.83,26.83,26.83,26.83,56371,0
19931102,27.89,27.89,27.89,27.89,27264,0
19931104,28.241,28.241,28.241,28.241,56713,0
19931109,27.539,27.539,27.539,27.539,100238,0
19931110,28.241,28.241,28.241,28.241,51240,0
19931116,31.07,31.07,31.07,31.07,93539,0
19931118,28.95,28.95,28.95,28.95,35310,0
19931123,28.599,28.599,28.599,28.599,20770,0
19931125,25.77,25.77,25.77,25.77,32314,0
19931130,28.317,28.317,28.317,28.317,79355,0
19931202,28.95,28.95,28.95,28.95,30305,0
19931207,30.712,30.712,30.712,30.712,58352,0
19931209,30.361,30.361,30.361,30.361,24686,0
19931214,31.352,31.352,31.352,31.352,49212,0
19931216,33.823,33.823,33.823,33.823,72304,0
19931221,35.089,35.089,35.089,35.089,61518,0
19931223,38.483,38.483,38.483,38.483,93971,0
19931228,39.894,39.894,39.894,39.894,55391,0
19931230,39.543,39.543,39.543,39.543,27954,0
19940103,40.954,40.954,40.954,40.954,15343,0
19940104,38.834,38.834,38.834,38.834,14133,0
19940106,38.834,38.834,38.834,38.834,28848,0
19940110,42.716,42.716,42.716,42.716,86012,0
19940111,46.956,46.956,46.956,46.956,38711,0
