Date,Open,High,Low,Close,Volume,OpenInt
19971128,2.793,2.793,1.967,1.967,16171,0
19971202,1.372,1.372,1.372,1.372,716,0
19971203,1.47,1.47,1.47,1.47,909,0
19971204,1.4,1.47,1.274,1.274,4095,0
19971205,1.274,1.274,1.274,1.274,551,0
19971208,1.204,1.204,1.204,1.204,1389,0
19971210,1.092,1.092,1.092,1.092,1933,0
19971212,1.022,1.022,1.022,1.022,716,0
19971215,0.994,1.064,0.994,1.064,6128,0
19971222,0.994,0.994,0.994,0.994,136,0
19971230,0.994,0.994,0.994,0.994,644,0
19971231,0.994,0.994,0.994,0.994,1432,0
19980105,0.994,0.994,0.84,0.84,3157,0
19980106,0.98,0.98,0.98,0.98,716,0
19980108,0.98,0.98,0.98,0.98,1775,0
19980109,1.036,1.036,1.036,1.036,1432,0
19980113,1.036,1.036,1.036,1.036,1632,0
19980114,1.12,1.12,1.12,1.12,716,0
19980115,1.127,1.246,1.127,1.246,3400,0
19980116,1.162,1.176,1.162,1.176,1417,0
19980119,1.19,1.323,1.19,1.323,4646,0
19980120,1.148,1.148,1.008,1.036,9628,0
19980127,0.966,0.966,0.966,0.966,945,0
19980128,1.099,1.099,1.099,1.099,709,0
19980129,0.966,1.05,0.966,1.008,5777,0
19980130,1.05,1.05,1.043,1.043,1589,0
19980202,0.966,0.966,0.868,0.966,2112,0
19980203,0.896,0.98,0.896,0.98,773,0
19980204,0.924,0.924,0.924,0.924,1102,0
19980205,0.91,0.91,0.868,0.868,1919,0
19980206,0.896,0.896,0.896,0.896,659,0
19980210,1.05,1.05,1.05,1.05,644,0
19980213,0.924,0.924,0.924,0.924,716,0
19980216,0.91,0.91,0.896,0.896,1389,0
19980218,1.008,1.036,1.008,1.036,2863,0
19980219,1.078,1.155,1.05,1.155,10802,0
19980220,1.19,1.33,1.19,1.211,5369,0
19980223,1.26,1.456,1.26,1.456,4596,0
19980224,1.47,1.54,1.456,1.54,10588,0
19980225,1.582,1.673,1.568,1.673,6357,0
19980226,1.673,1.701,1.54,1.54,5097,0
19980227,1.603,1.603,1.568,1.603,9084,0
19980302,1.785,1.925,1.743,1.883,5698,0
19980303,1.883,1.883,1.701,1.701,11167,0
19980304,1.673,1.729,1.631,1.715,7624,0
19980305,1.673,1.673,1.603,1.617,2162,0
19980306,1.687,1.687,1.673,1.687,4374,0
19980309,1.645,1.645,1.631,1.631,2591,0
19980310,1.582,1.617,1.582,1.603,1854,0
19980311,1.582,1.582,1.512,1.512,1682,0
19980312,1.484,1.484,1.484,1.484,716,0
19980313,1.512,1.512,1.512,1.512,1074,0
19980316,1.54,1.554,1.47,1.54,4868,0
19980317,1.526,1.526,1.414,1.414,4617,0
19980318,1.456,1.456,1.4,1.4,2620,0
19980319,1.456,1.456,1.456,1.456,716,0
19980320,1.47,1.47,1.47,1.47,286,0
19980323,1.4,1.4,1.4,1.4,716,0
19980324,1.33,1.33,1.33,1.33,2964,0
19980325,1.4,1.596,1.358,1.596,51034,0
19980326,1.484,1.582,1.484,1.582,16823,0
19980327,1.512,1.603,1.484,1.603,15241,0
19980330,1.54,1.813,1.54,1.813,23001,0
19980331,1.673,1.743,1.498,1.498,2233,0
19980401,1.617,1.617,1.54,1.54,3479,0
19980402,1.54,1.54,1.442,1.442,2219,0
19980406,1.47,1.47,1.456,1.456,2148,0
19980407,1.414,1.456,1.414,1.428,4288,0
19980408,1.456,1.456,1.372,1.372,2627,0
19980409,1.456,1.456,1.456,1.456,716,0
19980414,1.512,1.512,1.442,1.442,4524,0
19980415,1.54,1.54,1.4,1.4,5369,0
19980416,1.4,1.4,1.33,1.33,5727,0
19980417,1.274,1.309,1.218,1.26,8232,0
19980420,1.176,1.204,1.169,1.176,12885,0
19980421,1.169,1.169,1.12,1.12,12399,0
19980422,1.064,1.12,1.064,1.064,12735,0
19980423,1.12,1.12,1.071,1.099,16143,0
19980424,1.099,1.218,1.099,1.218,10452,0
19980427,1.232,1.232,1.218,1.218,2148,0
19980429,1.134,1.134,1.134,1.134,716,0
19980506,1.12,1.12,1.12,1.12,580,0
19980508,1.134,1.134,1.134,1.134,716,0
19980512,1.134,1.134,1.134,1.134,358,0
19980514,1.141,1.141,1.141,1.141,716,0
19980515,1.134,1.134,1.134,1.134,1217,0
19980518,1.12,1.134,1.12,1.134,1246,0
