Date,Open,High,Low,Close,Volume,OpenInt
19960209,18.938,18.938,18.938,18.938,494833,0
19960212,20.823,20.823,20.823,20.823,491908,0
19960213,22.458,22.458,22.458,22.458,493159,0
19960214,21.804,21.804,21.804,21.804,191781,0
19960215,20.16,20.16,20.16,20.16,109105,0
19960216,19.756,19.756,19.756,19.756,66923,0
19960219,20.083,20.083,20.083,20.083,138057,0
19960220,20.083,20.083,20.083,20.083,90302,0
19960221,19.756,19.756,19.756,19.756,38195,0
19960222,20.16,20.16,20.16,20.16,42874,0
19960223,20.083,20.083,20.083,20.083,77854,0
19960226,19.997,19.997,19.997,19.997,48850,0
19960227,20.083,20.083,20.083,20.083,44791,0
19960228,19.179,19.179,19.179,19.179,24895,0
19960229,20.083,20.083,20.083,20.083,131881,0
19960301,20.16,20.16,20.16,20.16,65561,0
19960304,21.64,21.64,21.64,21.64,125763,0
19960305,22.053,22.053,22.053,22.053,122360,0
19960306,21.967,21.967,21.967,21.967,64595,0
19960307,22.217,22.217,22.217,22.217,123169,0
19960308,22.131,22.131,22.131,22.131,57746,0
19960311,21.477,21.477,21.477,21.477,68239,0
19960312,21.15,21.15,21.15,21.15,66058,0
19960313,20.41,20.41,20.41,20.41,33146,0
19960314,19.67,19.67,19.67,19.67,25062,0
19960315,19.592,19.592,19.592,19.592,62274,0
19960318,20.083,20.083,20.083,20.083,90353,0
19960319,20.986,20.986,20.986,20.986,89807,0
19960320,19.833,19.833,19.833,19.833,30574,0
19960321,20.083,20.083,20.083,20.083,58435,0
19960322,19.67,19.67,19.67,19.67,56629,0
19960325,18.938,18.938,18.938,18.938,28732,0
19960326,18.938,18.938,18.938,18.938,27173,0
19960327,19.429,19.429,19.429,19.429,20770,0
19960328,18.938,18.938,18.938,18.938,74175,0
19960329,18.938,18.938,18.938,18.938,46555,0
19960401,19.179,19.179,19.179,19.179,14468,0
19960402,19.102,19.102,19.102,19.102,38878,0
19960403,19.102,19.102,19.102,19.102,33693,0
19960404,19.343,19.343,19.343,19.343,9329,0
19960405,20.083,20.083,20.083,20.083,50742,0
19960409,20.496,20.496,20.496,20.496,39089,0
19960410,21.064,21.064,21.064,21.064,42011,0
19960411,21.15,21.15,21.15,21.15,34187,0
19960412,21.313,21.313,21.313,21.313,44365,0
19960415,21.718,21.718,21.718,21.718,36231,0
19960416,22.217,22.217,22.217,22.217,98612,0
19960417,23.034,23.034,23.034,23.034,77932,0
19960418,23.774,23.774,23.774,23.774,188151,0
19960419,25.005,25.005,25.005,25.005,101817,0
19960422,27.052,27.052,27.052,27.052,72125,0
19960423,27.87,27.87,27.87,27.87,84017,0
19960424,27.052,27.052,27.052,27.052,54825,0
19960425,27.87,27.87,27.87,27.87,48960,0
19960426,27.457,27.457,27.457,27.457,50693,0
19960429,27.457,27.457,27.457,27.457,20701,0
19960430,26.889,26.889,26.889,26.889,38422,0
19960506,26.639,26.639,26.639,26.639,47503,0
19960507,26.639,26.639,26.639,26.639,54975,0
19960508,26.476,26.476,26.476,26.476,19433,0
19960509,26.476,26.476,26.476,26.476,35806,0
19960510,26.639,26.639,26.639,26.639,35119,0
19960513,27.784,27.784,27.784,27.784,25749,0
19960514,27.87,27.87,27.87,27.87,32419,0
19960515,27.87,27.87,27.87,27.87,20417,0
19960516,28.61,28.61,28.61,28.61,21306,0
19960517,28.687,28.687,28.687,28.687,35938,0
19960520,31.561,31.561,31.561,31.561,52775,0
19960521,31.561,31.561,31.561,31.561,31482,0
19960522,31.148,31.148,31.148,31.148,45571,0
19960523,29.1,29.1,29.1,29.1,55072,0
19960524,28.36,28.36,28.36,28.36,33743,0
19960527,27.784,27.784,27.784,27.784,18462,0
19960528,27.13,27.13,27.13,27.13,19444,0
19960529,27.293,27.293,27.293,27.293,33026,0
