Date,Open,High,Low,Close,Volume,OpenInt
19980513,6.1733,6.1733,6.1733,6.1733,183093,0
19980514,6.1733,6.1733,6.1733,6.1733,126524,0
19980515,6.1303,6.1303,6.1303,6.1303,96110,0
19980518,5.5731,5.5731,5.5731,5.5731,16437,0
19980519,5.016,5.016,5.016,5.016,0,0
19980520,4.5449,4.5449,4.5449,4.5449,82843,0
19980521,4.802,4.802,4.802,4.802,50310,0
19980522,4.802,4.802,4.802,4.802,22215,0
19980525,4.4159,4.4159,4.4159,4.4159,9798,0
19980526,4.2019,4.2019,4.2019,4.2019,48040,0
19980527,4.0298,4.0298,4.0298,4.0298,37762,0
19980528,4.0728,4.0728,4.0728,4.0728,14957,0
19980529,4.2869,4.2869,4.2869,4.2869,9318,0
19980601,3.8758,3.8758,3.8758,3.8758,22975,0
19980602,3.6868,3.6868,3.6868,3.6868,6489,0
19980603,3.8418,3.8418,3.8418,3.8418,13467,0
19980604,3.8588,3.8588,3.8588,3.8588,9798,0
19980605,3.9018,3.9018,3.9018,3.9018,24515,0
19980608,4.0298,4.0298,4.0298,4.0298,14957,0
19980609,3.6267,3.6267,3.6267,3.6267,16547,0
19980610,3.6357,3.6357,3.6357,3.6357,17966,0
19980615,3.6357,3.6357,3.6357,3.6357,19556,0
19980616,3.2757,3.2757,3.2757,3.2757,12078,0
19980617,3.4727,3.4727,3.4727,3.4727,26805,0
19980618,3.6437,3.6437,3.6437,3.6437,45031,0
19980619,3.6017,3.6017,3.6017,3.6017,10648,0
19980622,3.6017,3.6017,3.6017,3.6017,10438,0
19980623,3.5837,3.5837,3.5837,3.5837,21236,0
19980624,3.4637,3.4637,3.4637,3.4637,7418,0
19980625,3.4297,3.4297,3.4297,3.4297,24745,0
19980626,3.4297,3.4297,3.4297,3.4297,7229,0
19980629,3.5667,3.5667,3.5667,3.5667,13697,0
19980630,3.7558,3.7558,3.7558,3.7558,22375,0
19980701,3.8588,3.8588,3.8588,3.8588,37782,0
19980702,3.9868,3.9868,3.9868,3.9868,51879,0
19980703,3.9868,3.9868,3.9868,3.9868,42891,0
19980706,3.9018,3.9018,3.9018,3.9018,13997,0
19980707,3.8588,3.8588,3.8588,3.8588,9858,0
19980708,3.7298,3.7298,3.7298,3.7298,18946,0
19980709,3.6017,3.6017,3.6017,3.6017,14117,0
19980710,3.6017,3.6017,3.6017,3.6017,32103,0
19980713,3.6017,3.6017,3.6017,3.6017,46151,0
19980714,3.6868,3.6868,3.6868,3.6868,47610,0
19980715,3.6437,3.6437,3.6437,3.6437,11578,0
19980716,3.6017,3.6017,3.6017,3.6017,19466,0
19980717,3.6017,3.6017,3.6017,3.6017,18156,0
19980720,3.4817,3.4817,3.4817,3.4817,12437,0
19980721,3.4297,3.4297,3.4297,3.4297,16887,0
19980722,3.0866,3.0866,3.0866,3.0866,6049,0
19980723,3.0956,3.0956,3.0956,3.0956,26195,0
19980724,3.3437,3.3437,3.3437,3.3437,28314,0
19980727,3.4297,3.4297,3.4297,3.4297,39602,0
19980728,3.3437,3.3437,3.3437,3.3437,10928,0
19980729,3.2587,3.2587,3.2587,3.2587,6619,0
19980730,3.2587,3.2587,3.2587,3.2587,7688,0
19980731,3.3867,3.3867,3.3867,3.3867,18796,0
19980803,3.0526,3.0526,3.0526,3.0526,7908,0
19980804,3.0866,3.0866,3.0866,3.0866,15827,0
19980805,3.0006,3.0006,3.0006,3.0006,25105,0
19980806,2.9666,2.9666,2.9666,2.9666,26485,0
19980807,3.0006,3.0006,3.0006,3.0006,6729,0
19980810,2.9666,2.9666,2.9666,2.9666,7009,0
19980811,2.8726,2.8726,2.8726,2.8726,38662,0
19980812,2.8726,2.8726,2.8726,2.8726,35163,0
19980813,2.7866,2.7866,2.7866,2.7866,10868,0
19980814,2.7096,2.7096,2.7096,2.7096,6999,0
19980817,2.5205,2.5205,2.5205,2.5205,30404,0
19980818,2.6585,2.6585,2.6585,2.6585,29064,0
19980819,2.7266,2.7266,2.7266,2.7266,11598,0
19980820,2.6755,2.6755,2.6755,2.6755,5989,0
19980821,2.5465,2.5465,2.5465,2.5465,18186,0
19980824,2.5465,2.5465,2.5465,2.5465,14617,0
19980825,2.5465,2.5465,2.5465,2.5465,10758,0
19980826,2.5385,2.5385,2.5385,2.5385,2919,0
19980827,2.2895,2.2895,2.2895,2.2895,24175,0
19980828,2.0664,2.0664,2.0664,2.0664,13267,0
19980831,1.8604,1.8604,1.8604,1.8604,28814,0
19980901,1.6803,1.6803,1.6803,1.6803,33163,0
19980902,1.8434,1.8434,1.8434,1.8434,16927,0
19980903,1.8264,1.8264,1.8264,1.8264,37062,0
19980904,1.9724,1.9724,1.9724,1.9724,3579,0
19980907,2.0154,2.0154,2.0154,2.0154,3539,0
19980908,2.1864,2.1864,2.1864,2.1864,13687,0
19980909,2.1694,2.1694,2.1694,2.1694,7988,0
19980910,2.0324,2.0324,2.0324,2.0324,32723,0
19980911,1.8524,1.8524,1.8524,1.8524,49560,0
19980914,1.9464,1.9464,1.9464,1.9464,11658,0
19980915,2.0574,2.0574,2.0574,2.0574,19936,0
19980916,1.9894,1.9894,1.9894,1.9894,42261,0
19980917,2.0154,2.0154,2.0154,2.0154,18786,0
19980918,1.9294,1.9294,1.9294,1.9294,19876,0
19980921,1.7404,1.7404,1.7404,1.7404,7918,0
19980922,1.8004,1.8004,1.8004,1.8004,8868,0
19980923,1.8864,1.8864,1.8864,1.8864,6889,0
19980924,2.0574,2.0574,2.0574,2.0574,18656,0
19980925,1.9634,1.9634,1.9634,1.9634,7788,0
19980928,2.0154,2.0154,2.0154,2.0154,4519,0
19980929,1.9724,1.9724,1.9724,1.9724,5549,0
19980930,1.8864,1.8864,1.8864,1.8864,5899,0
19981001,1.7924,1.7924,1.7924,1.7924,27714,0
19981002,1.8004,1.8004,1.8004,1.8004,3869,0
19981005,1.8434,1.8434,1.8434,1.8434,1790,0
19981006,1.7924,1.7924,1.7924,1.7924,2739,0
19981007,1.7404,1.7404,1.7404,1.7404,3619,0
19981008,1.6803,1.6803,1.6803,1.6803,7099,0
19981009,1.7154,1.7154,1.7154,1.7154,2679,0
19981012,1.7924,1.7924,1.7924,1.7924,4879,0
19981013,1.8004,1.8004,1.8004,1.8004,5719,0
19981014,1.7154,1.7154,1.7154,1.7154,1630,0
19981015,1.6293,1.6293,1.6293,1.6293,4369,0
19981016,1.7154,1.7154,1.7154,1.7154,30824,0
19981019,1.5603,1.5603,1.5603,1.5603,7498,0
19981020,1.5603,1.5603,1.5603,1.5603,3659,0
19981021,1.5953,1.5953,1.5953,1.5953,1790,0
19981022,1.5953,1.5953,1.5953,1.5953,69236,0
19981023,1.6293,1.6293,1.6293,1.6293,7988,0
19981026,1.6293,1.6293,1.6293,1.6293,8548,0
19981027,1.6633,1.6633,1.6633,1.6633,15077,0
19981028,1.5693,1.5693,1.5693,1.5693,40172,0
19981029,1.5523,1.5523,1.5523,1.5523,11948,0
19981030,1.5863,1.5863,1.5863,1.5863,32333,0
19981102,1.6293,1.6293,1.6293,1.6293,5019,0
19981103,1.6893,1.6893,1.6893,1.6893,61807,0
19981104,1.6973,1.6973,1.6973,1.6973,36952,0
19981105,1.7494,1.7494,1.7494,1.7494,53339,0
19981106,1.7834,1.7834,1.7834,1.7834,33643,0
19981109,1.8694,1.8694,1.8694,1.8694,54159,0
19981110,2.0064,2.0064,2.0064,2.0064,37662,0
19981112,1.9554,1.9554,1.9554,1.9554,64187,0
19981113,1.9634,1.9634,1.9634,1.9634,31973,0
19981116,2.0664,2.0664,2.0664,2.0664,35083,0
19981117,2.1094,2.1094,2.1094,2.1094,34283,0
19981118,2.0494,2.0494,2.0494,2.0494,13127,0
19981119,1.9374,1.9374,1.9374,1.9374,44211,0
19981120,1.9554,1.9554,1.9554,1.9554,5739,0
19981123,1.9894,1.9894,1.9894,1.9894,30054,0
19981124,2.0574,2.0574,2.0574,2.0574,17306,0
19981125,1.9634,1.9634,1.9634,1.9634,10088,0
19981126,1.9554,1.9554,1.9554,1.9554,15937,0
19981127,1.9724,1.9724,1.9724,1.9724,25855,0
19981130,1.9724,1.9724,1.9724,1.9724,26695,0
19981201,2.0064,2.0064,2.0064,2.0064,43961,0
19981202,2.2034,2.2034,2.2034,2.2034,31804,0
19981203,1.9894,1.9894,1.9894,1.9894,25785,0
19981204,2.0324,2.0324,2.0324,2.0324,37612,0
19981207,2.1954,2.1954,2.1954,2.1954,43461,0
19981208,2.1434,2.1434,2.1434,2.1434,9598,0
19981209,2.1434,2.1434,2.1434,2.1434,37712,0
19981210,2.1004,2.1004,2.1004,2.1004,29844,0
19981211,2.0404,2.0404,2.0404,2.0404,3039,0
19981214,1.9554,1.9554,1.9554,1.9554,12707,0
19981215,1.9724,1.9724,1.9724,1.9724,700,0
19981216,1.9294,1.9294,1.9294,1.9294,21096,0
19981217,1.9204,1.9204,1.9204,1.9204,4369,0
19981218,1.8774,1.8774,1.8774,1.8774,12287,0
19981221,2.0574,2.0574,2.0574,2.0574,65797,0
19981222,2.0664,2.0664,2.0664,2.0664,127914,0
19981223,2.1864,2.1864,2.1864,2.1864,34983,0
19981228,2.1434,2.1434,2.1434,2.1434,40602,0
19981229,2.0404,2.0404,2.0404,2.0404,5199,0
19981230,1.9894,1.9894,1.9894,1.9894,26435,0
19981231,1.9034,1.9034,1.9034,1.9034,102829,0
19990104,2.0154,2.0154,2.0154,2.0154,20746,0
19990105,2.0154,2.0154,2.0154,2.0154,57918,0
19990106,2.0664,2.0664,2.0664,2.0664,66186,0
19990107,2.1604,2.1604,2.1604,2.1604,66077,0
19990108,2.1354,2.1354,2.1354,2.1354,59878,0
19990111,2.2635,2.2635,2.2635,2.2635,124795,0
19990112,2.2465,2.2465,2.2465,2.2465,99080,0
19990113,2.1434,2.1434,2.1434,2.1434,64667,0
19990114,1.9724,1.9724,1.9724,1.9724,81963,0
19990115,1.9374,1.9374,1.9374,1.9374,28114,0
