Date,Open,High,Low,Close,Volume,OpenInt
20120712,2,2.4,2,2.35,52218,0
20120713,2.33,2.34,2,2.32,22233,0
20120716,2.25,2.32,1.94,2.28,36176,0
20120717,2.16,2.34,2.15,2.34,9854,0
20120718,2.34,2.38,1.99,2.06,19619,0
20120719,2.15,2.31,2.15,2.16,2900,0
20120720,2.15,2.24,2.15,2.24,525,0
20120723,2.25,2.59,2.1,2.34,26170,0
20120724,2.34,2.34,2.33,2.34,30700,0
20120725,2.2,2.33,2.11,2.33,64200,0
20120726,2.3,2.33,2.29,2.33,51200,0
20120727,2.25,2.35,2,2.35,86218,0
20120730,2.21,2.31,2.16,2.31,49300,0
20120731,2.2,2.31,2.2,2.31,25100,0
20120801,2.2,2.2,2,2.15,29030,0
20120802,2.1,2.1,2.01,2.01,1830,0
20120803,2.1,2.3,1.85,1.85,25769,0
20120806,2,2.2,2,2.02,7650,0
20120807,2.04,2.15,1.92,2.11,49419,0
20120808,2.15,2.34,2.15,2.34,18690,0
20120809,2.3,2.35,2.3,2.35,800,0
20120810,2.35,2.35,2.25,2.34,2504,0
20120813,2.34,2.57,2.34,2.57,2176,0
20120814,2.33,2.44,2.33,2.44,3954,0
20120816,2.4,2.44,2.32,2.33,10860,0
20120817,2.4,2.59,2.4,2.59,4900,0
20120820,2.45,2.55,2.39,2.39,8954,0
20120821,2.44,2.84,2.44,2.7,8254,0
20120822,2.74,3.18,2.74,2.94,9810,0
20120823,2.94,3.15,2.36,2.99,56089,0
20120824,3,3.05,2.83,3.03,661,0
20120827,3.03,3.09,2.9,2.9,1710,0
20120828,2.9,3.1,2.75,2.81,2096,0
20120829,2.66,3.01,2.66,3.01,4832,0
20120830,3.1,3.15,2.91,2.91,2192,0
20120831,2.92,3.3,2.65,2.8,10630,0
20120903,2.8,2.8,2.78,2.79,1974,0
20120904,2.79,3.14,2.76,2.79,3117,0
20120905,2.7,2.7,2.61,2.61,780,0
20120906,2.62,3.1,2.62,3.1,1395,0
20120907,2.8,2.84,2.8,2.84,20,0
20120910,2.8,2.8,2.8,2.8,1048,0
20120911,2.8,2.8,2.8,2.8,5,0
20120912,2.79,3.36,2.79,2.87,6607,0
20120913,2.78,2.78,2.78,2.78,110,0
20120914,2.8,2.8,2.8,2.8,10,0
20120917,2.8,2.8,2.8,2.8,10,0
20120918,2.8,2.8,2.8,2.8,5,0
20120919,2.8,2.8,2.7,2.7,37,0
20120924,2.79,3.1,2.79,3.07,37070,0
20120925,3,3,2.88,2.88,428,0
20120926,2.92,3,2.92,3,632,0
20120927,3,3,3,3,2331,0
20120928,3,3,3,3,55,0
20121001,3.01,3.2,3.01,3.2,28678,0
20121002,2.99,2.99,2.99,2.99,4485,0
