Date,Open,High,Low,Close,Volume,OpenInt
20070925,16.667,16.758,15.982,16.657,216264,0
20070926,16.657,17.616,16.575,17.425,173537,0
20070927,17.534,17.808,17.489,17.799,58836,0
20070928,17.744,18.018,17.744,17.991,58731,0
20071001,17.991,18.018,17.534,17.534,31824,0
20071002,17.58,17.762,17.534,17.534,91983,0
20071003,17.269,17.698,17.269,17.58,19084,0
20071004,17.361,17.626,17.351,17.598,51808,0
20071005,17.351,17.534,17.351,17.534,7446,0
20071008,17.479,17.626,17.407,17.626,18935,0
20071009,17.671,17.808,17.534,17.808,45107,0
20071010,17.808,17.808,17.671,17.808,14302,0
20071011,17.808,17.991,17.716,17.972,6820,0
20071012,17.972,17.972,17.9,17.963,783,0
20071015,17.9,17.954,17.716,17.954,5456,0
20071016,17.762,17.808,17.762,17.808,4051,0
20071017,17.808,17.808,17.808,17.808,986,0
20071018,17.818,17.945,17.818,17.9,291,0
20071019,17.854,17.9,17.854,17.9,597,0
20071022,17.762,17.762,17.361,17.369,1314,0
20071023,17.808,17.808,17.762,17.808,705,0
20071024,17.726,17.89,17.726,17.89,2897,0
20071025,17.534,17.991,17.534,17.991,6617,0
20071026,17.918,17.945,17.671,17.945,11454,0
20071029,18.037,18.255,18.037,18.255,1139,0
20071030,18.63,18.63,17.351,17.9,6442,0
20071031,17.306,18.127,17.306,18.127,19302,0
20071102,17.808,17.9,17.808,17.9,3258,0
20071105,17.443,17.452,17.443,17.452,7249,0
20071106,17.443,17.626,17.443,17.626,9219,0
20071107,17.626,17.626,17.343,17.343,7301,0
20071108,16.758,17.169,16.758,17.169,824,0
20071109,16.895,17.169,16.895,17.123,6045,0
20071112,17.123,17.123,16.457,16.457,14495,0
20071113,16.621,16.621,16.457,16.484,5312,0
20071114,18.037,18.037,17.543,17.708,11710,0
20071115,16.758,16.895,16.758,16.758,2881,0
20071116,16.529,17.58,16.529,17.351,13303,0
20071119,17.716,17.716,16.94,17.351,1186,0
20071120,17.671,17.671,16.712,16.712,292,0
20071121,16.621,17.534,16.621,17.351,7675,0
20071122,17.351,17.808,17.306,17.808,6625,0
20071123,17.716,17.716,17.534,17.671,1033,0
20071126,16.539,17.808,16.539,17.708,3352,0
20071128,17.626,18.265,17.626,17.808,16593,0
20071129,17.808,17.808,17.808,17.808,55,0
20071130,17.716,17.808,17.671,17.808,1220,0
20071203,17.716,17.716,17.716,17.716,77,0
20071206,17.351,17.351,17.351,17.351,219,0
20071207,17.351,17.351,17.078,17.078,1089,0
20071210,16.986,16.986,16.986,16.986,9,0
20071211,16.712,16.712,16.712,16.712,835,0
20071213,16.439,16.439,16.439,16.439,109,0
20071214,16.439,16.439,16.347,16.347,233,0
20071217,16.118,17.16,15.077,17.16,736,0
20071218,17.169,17.169,17.169,17.169,2190,0
20071219,17.169,17.716,17.169,17.716,5102,0
20071220,16.895,17.716,16.439,17.716,2552,0
20071221,17.351,17.351,15.982,17.351,7555,0
20071227,16.447,17.351,16.347,17.351,2354,0
20071228,16.411,17.716,16.411,17.716,2324,0
20080102,17.716,17.716,16.439,16.804,1965,0
20080103,16.804,16.895,15.972,16.895,7448,0
20080104,16.439,16.895,16.21,16.895,2705,0
20080108,16.073,16.092,16,16.092,630,0
20080109,16,16.028,15.206,15.206,4365,0
20080110,16.42,16.42,15.342,16.347,1740,0
20080111,15.525,16.567,15.525,16.567,1492,0
20080114,16.567,16.567,16.567,16.567,55,0
20080115,16.567,16.567,15.982,16.439,5200,0
20080116,15.982,16.439,15.069,15.069,1205,0
20080117,16.42,16.42,15.087,15.224,576,0
20080118,14.612,15.388,14.338,14.338,1348,0
20080121,14.384,15.059,13.242,13.242,3205,0
20080122,13.672,13.672,12.429,13.507,3188,0
20080123,13.698,13.698,12.786,12.786,1821,0
20080124,12.986,15.114,12.986,13.489,1477,0
20080125,14.392,14.392,13.305,14.338,1177,0
20080128,14.338,14.338,14.338,14.338,1331,0
20080129,14.456,14.456,14.456,14.456,146,0
20080131,14.456,14.456,13.973,14.429,6118,0
20080201,14.795,16.85,14.795,16.42,1314,0
20080204,16.393,16.393,15.27,16.347,2496,0
20080205,15.735,16.347,15.707,16.347,2158,0
20080207,15.525,15.982,15.251,15.982,437,0
20080208,15.982,15.982,15.982,15.982,164,0
20080213,15.707,15.707,15.707,15.707,268,0
20080214,15.707,16.338,15.707,16.338,253,0
20080215,16.256,16.256,16.256,16.256,1369,0
20080218,13.698,16.256,13.698,16.256,1651,0
20080220,15.525,15.525,15.525,15.525,50,0
20080221,16.393,16.393,16.393,16.393,274,0
20080226,15.982,16.164,15.982,16.164,3110,0
20080227,16.429,16.439,16.429,16.439,1095,0
20080228,16.42,16.439,16.42,16.439,2190,0
20080303,16.347,16.347,15.617,16.338,360,0
20080305,15.525,16.429,15.525,16.429,1716,0
20080306,15.58,15.963,15.069,15.069,11438,0
20080307,15.835,15.835,15.835,15.835,1,0
20080310,14.612,15.525,14.612,15.525,2190,0
20080314,14.612,15.069,14.52,15.069,166,0
20080318,13.744,14.429,13.744,14.429,205,0
20080319,14.429,14.594,14.429,14.594,547,0
20080320,13.744,14.146,13.698,14.146,2746,0
20080325,13.79,13.881,13.698,13.881,3414,0
20080327,13.105,13.872,13.059,13.698,1135,0
20080328,14.384,14.402,13.79,14.384,3055,0
20080331,14.292,14.292,14.292,14.292,285,0
20080401,14.566,14.594,13.79,14.576,1553,0
20080402,14.594,14.594,14.566,14.566,480,0
20080403,14.566,14.566,13.973,13.973,809,0
20080404,13.973,14.475,13.973,14.384,1187,0
20080407,14.384,14.384,14.064,14.064,342,0
20080408,13.297,14.155,13.297,14.109,1267,0
20080411,13.452,13.945,13.452,13.79,209,0
20080415,12.831,13.781,12.831,13.781,252,0
20080416,12.84,13.672,12.511,13.589,1645,0
20080417,12.95,12.95,12.42,12.786,11670,0
20080421,12.786,12.786,12.694,12.694,4,0
20080423,12.31,12.31,11.781,11.781,3794,0
20080424,11.872,11.872,11.872,11.872,1642,0
20080425,12.146,12.146,12.146,12.146,1,0
20080429,11.507,12.136,10.959,11.918,1070,0
20080505,10.867,10.867,10.831,10.831,5247,0
20080506,10.959,11.872,10.959,11.872,4835,0
20080507,11.799,11.799,10.995,11.771,411,0
20080508,11.416,11.771,11.416,11.771,3065,0
20080509,11.863,11.863,11.863,11.863,1105,0
20080512,11.827,11.827,10.777,11.416,5815,0
20080513,11.37,11.37,10.576,10.941,2314,0
20080514,10.594,11.187,10.228,10.228,1498,0
20080515,9.589,9.854,9.3607,9.854,2531,0
20080516,9.672,9.672,8.6757,8.6757,2031,0
20080519,8.6757,8.6757,8.1186,8.1186,3679,0
20080520,7.4885,8.1277,7.2968,7.5799,121723,0
20080521,8.3104,8.3104,7.8995,7.8995,3745,0
20080523,8.5387,8.9497,8.4018,8.6757,3118,0
20080526,8.7214,8.7214,8.6666,8.6757,1142,0
20080527,8.904,8.904,8.6849,8.6849,25088,0
20080528,8.904,8.904,8.8583,8.8583,274,0
20080529,8.8949,8.8949,8.5387,8.8583,28300,0
20080530,8.8583,8.8583,8.8583,8.8583,55,0
20080605,8.6574,8.8583,7.9908,8.8583,1856,0
20080606,8.2191,8.5296,8.1277,8.5296,2409,0
20080609,8.0821,8.2191,7.5799,7.5799,24702,0
20080610,7.5799,7.8538,7.5799,7.8538,9376,0
20080611,7.9086,7.9086,7.863,7.8995,559,0
20080612,7.8447,7.8447,7.8082,7.8082,318,0
20080613,7.8356,7.8356,7.8356,7.8356,10,0
20080616,7.8721,7.9268,7.7625,7.9268,32990,0
20080617,8.0273,8.0273,8.0273,8.0273,10,0
20080618,7.9268,7.9268,7.9268,7.9268,6,0
20080619,7.9451,7.9451,7.9451,7.9451,10,0
20080620,8.0273,8.0273,7.6986,7.8995,1105,0
20080623,7.8995,7.8995,7.8538,7.8538,20,0
20080624,8.0273,8.0273,7.8082,7.8903,21,0
20080625,7.8082,7.8082,7.5799,7.5799,21,0
20080626,7.5799,7.5799,6.8949,6.8949,2140,0
20080627,6.8949,7.2602,6.8949,7.2602,1393,0
20080630,7.2602,7.2602,7.2602,7.2602,10,0
20080701,7.2146,7.2146,7.2146,7.2146,10,0
20080702,7.2146,7.2146,7.2146,7.2146,10,0
20080703,6.6666,7.0045,6.6666,7.0045,581,0
20080704,6.5753,6.5753,6.5753,6.5753,1149,0
20080707,6.0273,6.0273,5.8447,6.0273,6050,0
20080708,5.4794,5.9361,5.4794,5.9361,3751,0
20080709,5.5616,6.3927,5.4794,6.3927,8051,0
20080710,6.1643,6.21,6.1643,6.21,1260,0
20080711,6.21,6.21,5.9544,5.9544,283,0
20080714,5.9268,5.9268,5.6164,5.6164,6747,0
20080715,5.4794,5.662,5.4794,5.6164,6800,0
20080716,5.4976,5.589,5.4976,5.589,65,0
20080717,5.5708,6.3927,5.4976,6.0273,10400,0
20080718,6.0638,6.0638,5.4976,5.4976,3470,0
20080721,5.4794,5.662,5.3149,5.5708,243,0
20080722,5.662,5.662,5.5708,5.589,1171,0
20080723,5.6073,5.6164,5.6073,5.6073,1116,0
20080724,5.6073,5.6073,5.5708,5.5708,487,0
20080725,5.4794,5.6255,5.4794,5.6255,235,0
20080728,5.6255,5.6255,5.4976,5.6255,476,0
20080729,5.525,5.6255,5.525,5.6255,554,0
20080730,5.7352,5.8447,5.7352,5.799,2375,0
20080731,5.8812,5.8812,5.5616,5.5616,1527,0
20080801,5.5708,5.7534,5.5708,5.7534,615,0
20080805,5.7899,5.7899,5.7899,5.7899,10,0
20080806,5.7899,5.7899,5.7899,5.7899,10,0
20080807,5.7899,5.7899,5.7899,5.7899,10,0
20080808,5.7899,5.7899,5.4794,5.7077,2587,0
20080812,5.4794,5.799,5.4794,5.799,76662,0
20080813,5.799,5.799,5.7717,5.7717,1438,0
