Date,Open,High,Low,Close,Volume,OpenInt
19970820,2.3166,2.3166,2.3166,2.3166,807272,0
19970821,2.5463,2.5463,2.5463,2.5463,661696,0
19970822,2.4027,2.4027,2.4027,2.4027,167296,0
19970825,2.3166,2.3166,2.3166,2.3166,259900,0
19970826,2.3836,2.3836,2.3836,2.3836,173099,0
19970827,2.6038,2.6038,2.6038,2.6038,334092,0
19970828,2.8622,2.8622,2.8622,2.8622,460559,0
19970829,2.9867,2.9867,2.9867,2.9867,349148,0
19970901,2.9867,2.9867,2.9867,2.9867,331832,0
19970902,3.2739,3.2739,3.2739,3.2739,469484,0
19970903,3.6089,3.6089,3.6089,3.6089,322312,0
19970904,3.5515,3.5515,3.5515,3.5515,500633,0
19970905,3.6855,3.6855,3.6855,3.6855,252699,0
19970908,3.9439,3.9439,3.9439,3.9439,323804,0
19970909,3.5515,3.5515,3.5515,3.5515,516667,0
19970910,3.1973,3.1973,3.1973,3.1973,217857,0
19970911,3.1781,3.1781,3.1781,3.1781,272730,0
19970912,3.1398,3.1398,3.1398,3.1398,128808,0
19970915,3.0537,3.0537,3.0537,3.0537,155283,0
19970916,3.0728,3.0728,3.0728,3.0728,112249,0
19970917,3.0728,3.0728,3.0728,3.0728,186256,0
19970918,2.9771,2.9771,2.9771,2.9771,60115,0
19970919,2.8048,2.8048,2.8048,2.8048,67690,0
19970922,2.8335,2.8335,2.8335,2.8335,130358,0
19970923,2.8527,2.8527,2.8527,2.8527,124776,0
19970924,2.8335,2.8335,2.8335,2.8335,48055,0
19970925,2.7378,2.7378,2.7378,2.7378,67643,0
19970926,2.575,2.575,2.575,2.575,87802,0
19970929,2.5655,2.5655,2.5655,2.5655,47356,0
19970930,2.4506,2.4506,2.4506,2.4506,66932,0
19971001,2.4027,2.4027,2.4027,2.4027,156215,0
19971002,2.4889,2.4889,2.4889,2.4889,132083,0
19971003,2.575,2.575,2.575,2.575,175302,0
19971006,2.6612,2.6612,2.6612,2.6612,220502,0
19971007,2.6612,2.6612,2.6612,2.6612,183552,0
19971008,2.6899,2.6899,2.6899,2.6899,188668,0
19971009,2.6899,2.6899,2.6899,2.6899,132537,0
19971010,2.6612,2.6612,2.6612,2.6612,231246,0
19971013,2.6612,2.6612,2.6612,2.6612,186547,0
19971014,2.8335,2.8335,2.8335,2.8335,251673,0
19971015,2.8239,2.8239,2.8239,2.8239,140752,0
19971016,2.8335,2.8335,2.8335,2.8335,139447,0
19971017,2.7761,2.7761,2.7761,2.7761,747483,0
19971020,2.8718,2.8718,2.8718,2.8718,126628,0
19971021,2.8144,2.8144,2.8144,2.8144,457832,0
19971022,2.8335,2.8335,2.8335,2.8335,650788,0
19971023,2.8335,2.8335,2.8335,2.8335,171759,0
19971024,2.5463,2.5463,2.5463,2.5463,108113,0
19971027,2.4602,2.4602,2.4602,2.4602,100504,0
19971028,2.2209,2.2209,2.2209,2.2209,0,0
19971029,2.3836,2.3836,2.3836,2.3836,97218,0
19971030,2.1921,2.1921,2.1921,2.1921,108299,0
19971031,2.2687,2.2687,2.2687,2.2687,104734,0
19971103,2.2687,2.2687,2.2687,2.2687,42532,0
19971104,2.3166,2.3166,2.3166,2.3166,128190,0
19971105,2.3644,2.3644,2.3644,2.3644,82955,0
19971106,2.3644,2.3644,2.3644,2.3644,38838,0
19971107,2.3166,2.3166,2.3166,2.3166,24248,0
19971112,2.2304,2.2304,2.2304,2.2304,34456,0
19971113,2.24,2.24,2.24,2.24,64089,0
19971114,2.24,2.24,2.24,2.24,75846,0
19971117,2.3166,2.3166,2.3166,2.3166,30320,0
19971118,2.2783,2.2783,2.2783,2.2783,66921,0
19971119,2.0773,2.0773,2.0773,2.0773,28561,0
19971120,2.1251,2.1251,2.1251,2.1251,34958,0
19971121,2.2304,2.2304,2.2304,2.2304,113869,0
19971124,2.2304,2.2304,2.2304,2.2304,76382,0
19971125,2.2304,2.2304,2.2304,2.2304,90016,0
19971126,2.3166,2.3166,2.3166,2.3166,58263,0
19971127,2.3166,2.3166,2.3166,2.3166,86265,0
19971128,2.4123,2.4123,2.4123,2.4123,102892,0
19971201,2.3644,2.3644,2.3644,2.3644,38663,0
19971202,2.3644,2.3644,2.3644,2.3644,244123,0
19971203,2.4027,2.4027,2.4027,2.4027,80507,0
19971204,2.4506,2.4506,2.4506,2.4506,86380,0
19971205,2.4506,2.4506,2.4506,2.4506,20660,0
19971208,2.2783,2.2783,2.2783,2.2783,11757,0
19971209,2.3166,2.3166,2.3166,2.3166,30751,0
19971210,2.2783,2.2783,2.2783,2.2783,26870,0
19971211,2.1156,2.1156,2.1156,2.1156,14914,0
19971212,2.1156,2.1156,2.1156,2.1156,41494,0
19971215,2.1156,2.1156,2.1156,2.1156,34864,0
19971216,2.1443,2.1443,2.1443,2.1443,28991,0
19971217,2.1156,2.1156,2.1156,2.1156,20251,0
19971218,2.0198,2.0198,2.0198,2.0198,18854,0
19971219,1.8475,1.8475,1.8475,1.8475,17863,0
19971222,1.6656,1.6656,1.6656,1.6656,35587,0
19971223,1.7135,1.7135,1.7135,1.7135,33175,0
19971229,1.6752,1.6752,1.6752,1.6752,7061,0
19971230,1.7135,1.7135,1.7135,1.7135,124146,0
19971231,1.7327,1.7327,1.7327,1.7327,84388,0
19980105,1.8858,1.8858,1.8858,1.8858,59393,0
19980106,1.8667,1.8667,1.8667,1.8667,43230,0
19980107,1.7805,1.7805,1.7805,1.7805,52227,0
19980108,1.7614,1.7614,1.7614,1.7614,33618,0
19980109,1.6752,1.6752,1.6752,1.6752,34387,0
19980112,1.5125,1.5125,1.5125,1.5125,79832,0
19980113,1.5412,1.5412,1.5412,1.5412,313991,0
19980114,1.5986,1.5986,1.5986,1.5986,135042,0
19980115,1.5891,1.5891,1.5891,1.5891,314411,0
19980116,1.6656,1.6656,1.6656,1.6656,83048,0
19980119,1.7518,1.7518,1.7518,1.7518,118519,0
19980120,1.7135,1.7135,1.7135,1.7135,102438,0
19980121,1.7039,1.7039,1.7039,1.7039,62656,0
19980122,1.6944,1.6944,1.6944,1.6944,62621,0
19980123,1.7039,1.7039,1.7039,1.7039,48940,0
19980126,1.6848,1.6848,1.6848,1.6848,4043,0
19980127,1.6848,1.6848,1.6848,1.6848,26451,0
19980128,1.6465,1.6465,1.6465,1.6465,94247,0
19980129,1.6274,1.6274,1.6274,1.6274,80485,0
19980130,1.6656,1.6656,1.6656,1.6656,87861,0
19980202,1.7039,1.7039,1.7039,1.7039,69449,0
19980203,1.7997,1.7997,1.7997,1.7997,173635,0
19980204,1.7997,1.7997,1.7997,1.7997,177562,0
19980205,1.8188,1.8188,1.8188,1.8188,446261,0
19980206,1.8858,1.8858,1.8858,1.8858,121304,0
19980209,1.9337,1.9337,1.9337,1.9337,68843,0
19980210,1.9528,1.9528,1.9528,1.9528,148839,0
19980211,1.9528,1.9528,1.9528,1.9528,147277,0
19980212,1.8667,1.8667,1.8667,1.8667,67830,0
19980213,1.7997,1.7997,1.7997,1.7997,92020,0
19980216,1.7709,1.7709,1.7709,1.7709,29947,0
19980217,1.7614,1.7614,1.7614,1.7614,32103,0
19980218,1.7614,1.7614,1.7614,1.7614,29574,0
19980219,1.6178,1.6178,1.6178,1.6178,85798,0
19980220,1.6178,1.6178,1.6178,1.6178,68680,0
19980223,1.6848,1.6848,1.6848,1.6848,157730,0
19980224,1.6848,1.6848,1.6848,1.6848,73061,0
19980225,1.6752,1.6752,1.6752,1.6752,18445,0
19980226,1.7614,1.7614,1.7614,1.7614,26451,0
19980227,1.7039,1.7039,1.7039,1.7039,20601,0
19980302,1.7805,1.7805,1.7805,1.7805,68180,0
19980303,1.7614,1.7614,1.7614,1.7614,17560,0
19980304,1.7614,1.7614,1.7614,1.7614,61875,0
19980305,1.6944,1.6944,1.6944,1.6944,26893,0
19980306,1.7039,1.7039,1.7039,1.7039,7830,0
19980309,1.6752,1.6752,1.6752,1.6752,6642,0
19980310,1.7039,1.7039,1.7039,1.7039,45760,0
19980311,1.7135,1.7135,1.7135,1.7135,30518,0
19980312,1.6944,1.6944,1.6944,1.6944,71779,0
19980313,1.7039,1.7039,1.7039,1.7039,43790,0
19980316,1.6848,1.6848,1.6848,1.6848,21347,0
19980317,1.6848,1.6848,1.6848,1.6848,47111,0
19980318,1.7135,1.7135,1.7135,1.7135,78573,0
19980319,1.7231,1.7231,1.7231,1.7231,97066,0
19980320,1.7518,1.7518,1.7518,1.7518,46750,0
19980323,1.8571,1.8571,1.8571,1.8571,62283,0
19980324,1.8284,1.8284,1.8284,1.8284,105316,0
19980325,2.0103,2.0103,2.0103,2.0103,229696,0
19980326,2.0677,2.0677,2.0677,2.0677,383593,0
19980327,2.0198,2.0198,2.0198,2.0198,107227,0
19980330,1.9433,1.9433,1.9433,1.9433,50315,0
