Date,Open,High,Low,Close,Volume,OpenInt
20101229,15.977,16.379,15.749,15.819,47673,0
20101230,15.872,15.924,15.749,15.81,16794,0
20101231,15.807,15.807,15.048,15.789,11007,0
20110103,15.802,15.889,15.749,15.837,16726,0
20110104,15.837,15.845,15.749,15.845,8348,0
20110105,15.854,15.854,15.749,15.828,7121,0
20110107,15.749,15.81,15.198,15.81,6041,0
20110110,15.793,15.793,15.583,15.775,5272,0
20110111,15.749,15.828,15.74,15.793,4281,0
20110112,15.793,16.012,15.793,15.994,7957,0
20110113,16.003,16.003,15.802,15.959,9067,0
20110114,15.968,16.099,15.845,15.959,7179,0
20110117,15.968,15.968,15.845,15.924,1721,0
20110118,15.942,15.942,15.88,15.933,2891,0
20110119,15.933,15.933,15.88,15.924,5386,0
20110120,15.88,15.924,15.88,15.924,3787,0
20110121,15.933,15.994,15.88,15.994,6781,0
20110124,15.933,15.985,15.933,15.985,3206,0
20110125,15.985,15.985,15.837,15.872,5766,0
20110126,15.872,15.872,15.784,15.872,7502,0
20110127,15.837,15.88,15.837,15.88,121,0
20110128,15.758,15.924,15.758,15.915,2097,0
20110131,15.915,15.915,15.753,15.915,1145,0
20110201,15.907,15.907,15.749,15.88,3671,0
20110202,15.837,15.985,15.749,15.95,6212,0
20110203,15.977,15.977,15.95,15.95,2,0
20110204,15.95,15.95,15.837,15.942,755,0
20110207,15.837,15.924,15.793,15.924,10975,0
20110208,15.924,15.977,15.749,15.977,37666,0
20110209,15.924,16.099,15.749,16.099,40863,0
20110210,15.81,16.327,15.81,16.318,6671,0
20110211,15.81,16.449,15.81,16.44,7849,0
20110214,15.898,16.58,15.898,16.58,6450,0
20110215,16.204,16.537,16.047,16.537,7503,0
20110216,16.537,16.624,16.309,16.624,9757,0
20110217,16.624,17.062,16.624,17.018,3611,0
20110218,17.062,17.403,16.957,17.228,3829,0
20110221,17.376,17.376,16.878,17.228,35196,0
20110222,16.974,17.315,16.974,17.28,36413,0
20110223,16.895,17.359,16.887,17.306,30897,0
20110224,16.817,17.306,16.817,17.219,17883,0
20110225,16.895,17.254,16.895,17.132,12891,0
20110228,17.254,17.254,16.834,17.132,594,0
20110301,16.904,17.201,16.904,17.14,96,0
20110302,17.123,17.123,16.808,17.053,409,0
20110303,16.108,16.72,15.88,16.44,1423,0
20110304,16.615,16.615,16.073,16.353,417,0
20110307,16.169,16.405,16.169,16.353,225,0
20110308,16.344,16.432,16.02,16.309,424,0
20110309,16.423,16.423,15.977,16.265,125,0
20110310,16.265,16.265,15.845,16.143,91,0
20110311,15.837,16.134,15.837,16.134,31,0
20110314,16.125,16.134,16.099,16.134,26,0
20110315,16.09,16.125,15.793,15.793,933,0
20110316,16.082,16.099,15.793,15.793,244,0
20110317,16.099,16.099,15.767,15.767,3,0
20110318,16.099,16.099,15.767,15.767,97,0
20110321,16.09,16.09,15.767,15.767,59,0
20110322,16.09,16.09,15.837,15.837,51818,0
20110323,16.09,16.09,15.767,16.09,1312,0
20110324,16.09,16.09,15.837,15.837,48015,0
20110325,15.968,15.968,15.784,15.784,3,0
20110328,15.968,15.968,15.968,15.968,1,0
20110329,16.09,16.09,16.012,16.012,2,0
20110330,16.082,16.082,16.082,16.082,2,0
20110331,15.78,16.078,15.78,16.078,19,0
20110401,16.073,16.073,15.662,15.749,2611,0
20110404,15.749,15.749,15.749,15.749,657,0
20110405,16.003,16.003,16.003,16.003,2,0
20110406,16.099,16.099,16.09,16.099,7373,0
20110407,16.099,16.099,16.09,16.09,235,0
20110408,16.099,16.099,16.09,16.09,2,0
20110411,16.125,16.125,16.09,16.09,2,0
20110412,16.09,16.09,15.749,16.012,90,0
20110413,16.012,16.012,15.749,15.837,1152,0
20110414,16.012,16.012,15.837,15.924,945,0
20110415,15.924,15.924,15.915,15.915,1144,0
20110418,15.915,15.915,15.662,15.915,60,0
20110419,15.924,15.968,15.924,15.968,492,0
20110420,15.968,15.968,15.662,15.959,593,0
20110421,15.95,15.95,15.67,15.942,47010,0
20110426,15.522,15.968,15.522,15.959,489,0
20110427,15.959,15.959,15.749,15.95,116,0
20110428,15.749,15.749,15.749,15.749,895,0
20110429,15.753,15.834,15.753,15.834,161,0
