Date,Open,High,Low,Close,Volume,OpenInt
19990423,8.92,8.92,8.92,8.92,247754,0
19990426,8.06,8.06,8.06,8.06,97019,0
19990427,7.73,7.73,7.73,7.73,74384,0
19990428,7.37,7.37,7.37,7.37,51074,0
19990429,7.52,7.52,7.52,7.52,57118,0
19990430,7.63,7.63,7.63,7.63,29796,0
19990504,7.73,7.73,7.73,7.73,62911,0
19990505,7.34,7.34,7.34,7.34,41033,0
19990506,7.19,7.19,7.19,7.19,93277,0
19990507,7.34,7.34,7.34,7.34,58569,0
19990510,7.59,7.59,7.59,7.59,64413,0
19990511,7.77,7.77,7.77,7.77,60118,0
19990512,7.84,7.84,7.84,7.84,30552,0
19990513,7.73,7.73,7.73,7.73,60674,0
19990514,7.7,7.7,7.7,7.7,30866,0
19990517,7.34,7.34,7.34,7.34,19007,0
19990518,7.41,7.41,7.41,7.41,30997,0
19990519,7.37,7.37,7.37,7.37,30966,0
19990520,7.34,7.34,7.34,7.34,30491,0
19990521,7.23,7.23,7.23,7.23,40338,0
19990524,7.23,7.23,7.23,7.23,27572,0
19990525,7.19,7.19,7.19,7.19,27205,0
19990526,7.19,7.19,7.19,7.19,32646,0
19990527,7.16,7.16,7.16,7.16,25715,0
19990528,7.01,7.01,7.01,7.01,23138,0
19990531,6.91,6.91,6.91,6.91,21776,0
19990601,6.83,6.83,6.83,6.83,27897,0
19990602,6.8,6.8,6.8,6.8,53398,0
19990607,6.91,6.91,6.91,6.91,30246,0
19990608,7.01,7.01,7.01,7.01,64363,0
19990609,6.94,6.94,6.94,6.94,14281,0
19990610,6.94,6.94,6.94,6.94,17147,0
19990611,7.3,7.3,7.3,7.3,27169,0
19990614,7.55,7.55,7.55,7.55,82741,0
19990615,7.48,7.48,7.48,7.48,93108,0
19990616,7.37,7.37,7.37,7.37,55147,0
19990617,7.27,7.27,7.27,7.27,77351,0
19990618,7.37,7.37,7.37,7.37,89677,0
19990621,7.55,7.55,7.55,7.55,54961,0
19990622,7.88,7.88,7.88,7.88,133457,0
19990623,7.7,7.7,7.7,7.7,84454,0
19990624,7.7,7.7,7.7,7.7,34594,0
19990625,7.73,7.73,7.73,7.73,38328,0
19990628,7.7,7.7,7.7,7.7,76039,0
19990629,7.7,7.7,7.7,7.7,34928,0
19990630,7.7,7.7,7.7,7.7,47860,0
19990701,7.73,7.73,7.73,7.73,42982,0
19990702,7.55,7.55,7.55,7.55,30144,0
19990705,7.7,7.7,7.7,7.7,34497,0
19990706,7.55,7.55,7.55,7.55,29593,0
19990707,7.55,7.55,7.55,7.55,15657,0
19990708,7.52,7.52,7.52,7.52,10136,0
19990709,7.45,7.45,7.45,7.45,11904,0
19990712,7.27,7.27,7.27,7.27,47702,0
