Date,Open,High,Low,Close,Volume,OpenInt
20130510,8.7,8.8,8.4,8.5,75660,0
20130513,8.65,8.98,8.65,8.98,6093,0
20130514,9,9.1,8.9,9.09,2271,0
20130515,9.1,9.35,9.05,9.34,4340,0
20130516,9.34,9.4,9.34,9.4,4742,0
20130517,9.4,9.4,9.3,9.3,134,0
20130520,9.3,9.47,9.3,9.47,2790,0
20130521,9.5,9.9,9.4,9.7,3355,0
20130522,9.88,10.78,9.88,10.5,7559,0
20130523,10.5,11.05,10.4,10.6,3911,0
20130524,10.8,11.1,10.7,10.9,16238,0
20130527,10.9,10.9,10.56,10.8,2454,0
20130528,10.89,10.9,9.81,9.9,4922,0
20130529,10.49,10.49,10.01,10.35,3042,0
20130531,10.5,10.5,10.5,10.5,1,0
20130605,10.36,10.36,9.7,10.2,554,0
20130606,10.19,10.37,10.19,10.3,2007,0
20130612,9.61,10.19,9.61,10.19,54,0
20130613,9.5,10,9.5,10,151,0
20130614,10,10,9.98,10,1001,0
20130617,10,10,9.6,9.7,14680,0
20130618,9.79,10.24,9.79,10.24,4294,0
20130619,10.05,10.15,10,10.15,6515,0
20130620,10.02,10.08,10,10.04,7454,0
20130621,9.95,10.17,9.95,10.17,2331,0
20130624,10.02,10.24,10,10.24,1570,0
20130625,10.2,10.39,10,10.24,7085,0
20130626,10.4,10.4,10.25,10.3,2001,0
20130627,10.3,10.3,10.19,10.3,2530,0
20130628,10.3,10.4,10.3,10.4,244,0
20130701,10.4,10.65,10.4,10.6,793,0
20130702,10.55,10.55,10.37,10.55,505,0
20130703,10.55,10.55,10.4,10.55,429,0
20130704,10.55,11,10.55,11,3236,0
20130705,11,11,11,11,24,0
20130708,10.7,10.7,10.7,10.7,22,0
20130709,10.7,10.7,10.45,10.7,1479,0
20130710,10.7,10.7,10.46,10.7,1223,0
20130711,10.46,10.7,10.46,10.7,223,0
20130712,10.8,10.9,10.7,10.9,2694,0
20130715,10.8,10.9,10.8,10.9,1868,0
20130716,10.9,11.5,10.9,11.3,2883,0
20130717,11.29,12.34,11.29,11.4,654,0
20130718,12.2,12.9,12,12.5,1642,0
20130719,12.74,12.74,12.01,12.34,1743,0
20130722,12.75,12.75,12.39,12.39,76,0
20130723,12.69,12.69,12.39,12.39,18,0
20130724,11.6,12.3,11.4,12.2,837,0
20130725,11.41,12.35,11.4,12,786,0
20130726,11.85,12.22,11.85,11.97,1039,0
20130729,12.45,12.45,12.01,12.45,117,0
20130730,12.75,12.75,11.92,12,2052,0
20130731,12.05,12.4,12,12.4,1067,0
20130801,12.39,12.39,11.9,11.97,842,0
20130802,12.29,12.35,11.74,12.35,669,0
20130805,12.35,12.35,12,12.3,527,0
20130806,11.93,12.35,11.9,12.35,171,0
20130807,11.95,12.35,11.95,11.95,564,0
20130808,11.95,12,11.9,11.95,1124,0
20130809,11.95,11.95,11.95,11.95,114,0
20130812,12,12.75,12,12.7,2348,0
20130813,12.7,15.1,12.6,15.1,8566,0
20130814,15.1,16.1,15,15.3,5717,0
20130816,15.6,16.99,15.5,16.99,2776,0
20130819,17.03,18.2,16.05,16.95,3453,0
20130820,16.05,17,16.05,17,619,0
20130821,17,17.9,16.5,17.45,832,0
20130822,17.45,17.45,16.82,17,700,0
20130823,17,17,16.98,17,776,0
20130826,17,17,16.45,16.79,2857,0
20130827,16.8,16.8,16.51,16.51,2002,0
20130828,16.5,16.5,15.85,16.45,2092,0
20130829,16.45,16.45,16.3,16.3,206,0
20130830,16.44,16.44,16.29,16.3,1286,0
