Date,Open,High,Low,Close,Volume,OpenInt
19970627,5.44,5.44,5.44,5.44,54476,0
19970630,5.99,5.99,5.99,5.99,181977,0
19970701,5.88,5.88,5.88,5.88,84518,0
19970702,5.82,5.82,5.82,5.82,73226,0
19970703,5.71,5.71,5.71,5.71,40961,0
19970704,6.26,6.26,6.26,6.26,61349,0
19970707,6.31,6.31,6.31,6.31,369284,0
19970708,6.42,6.42,6.42,6.42,94044,0
19970709,6.8,6.8,6.8,6.8,102375,0
19970710,7.02,7.02,7.02,7.02,71640,0
19970711,6.53,6.53,6.53,6.53,119273,0
19970714,6.48,6.48,6.48,6.48,150228,0
19970715,6.31,6.31,6.31,6.31,80779,0
19970716,6.26,6.26,6.26,6.26,92505,0
19970717,6.37,6.37,6.37,6.37,38348,0
19970718,6.2,6.2,6.2,6.2,59229,0
19970721,6.04,6.04,6.04,6.04,28801,0
19970722,6.04,6.04,6.04,6.04,16800,0
19970723,6.26,6.26,6.26,6.26,23885,0
19970724,6.04,6.04,6.04,6.04,22097,0
19970725,6.04,6.04,6.04,6.04,30705,0
19970728,5.99,5.99,5.99,5.99,20961,0
19970729,6.04,6.04,6.04,6.04,18621,0
19970730,6.04,6.04,6.04,6.04,11420,0
19970731,6.2,6.2,6.2,6.2,20548,0
19970801,5.99,5.99,5.99,5.99,22632,0
19970804,5.99,5.99,5.99,5.99,26224,0
19970805,5.93,5.93,5.93,5.93,16771,0
19970806,6.04,6.04,6.04,6.04,24414,0
19970807,6.04,6.04,6.04,6.04,22510,0
19970808,6.26,6.26,6.26,6.26,92984,0
19970811,6.53,6.53,6.53,6.53,167118,0
19970812,6.31,6.31,6.31,6.31,25801,0
19970813,6.53,6.53,6.53,6.53,58105,0
19970814,6.1,6.1,6.1,6.1,9269,0
19970818,6.04,6.04,6.04,6.04,25573,0
19970819,6.2,6.2,6.2,6.2,16359,0
19970820,6.37,6.37,6.37,6.37,49151,0
19970821,6.2,6.2,6.2,6.2,29413,0
19970822,6.15,6.15,6.15,6.15,17397,0
19970825,6.2,6.2,6.2,6.2,10265,0
19970826,6.1,6.1,6.1,6.1,90236,0
19970827,6.04,6.04,6.04,6.04,41506,0
19970828,6.15,6.15,6.15,6.15,41288,0
19970829,6.15,6.15,6.15,6.15,82653,0
19970901,5.71,5.71,5.71,5.71,48119,0
19970902,5.88,5.88,5.88,5.88,24693,0
19970903,5.99,5.99,5.99,5.99,50702,0
19970904,5.71,5.71,5.71,5.71,16037,0
19970905,5.99,5.99,5.99,5.99,15699,0
19970908,6.15,6.15,6.15,6.15,26314,0
19970909,6.04,6.04,6.04,6.04,30334,0
19970910,6.04,6.04,6.04,6.04,24177,0
19970911,5.93,5.93,5.93,5.93,18373,0
19970912,5.93,5.93,5.93,5.93,31047,0
19970915,5.99,5.99,5.99,5.99,16872,0
19970916,5.99,5.99,5.99,5.99,9697,0
19970917,5.99,5.99,5.99,5.99,37663,0
19970918,5.99,5.99,5.99,5.99,34065,0
19970919,6.04,6.04,6.04,6.04,53581,0
19970922,6.1,6.1,6.1,6.1,51049,0
19970923,6.2,6.2,6.2,6.2,67973,0
19970924,6.15,6.15,6.15,6.15,45455,0
19970925,6.1,6.1,6.1,6.1,28544,0
19970926,5.99,5.99,5.99,5.99,39840,0
19970929,5.88,5.88,5.88,5.88,26955,0
19970930,5.88,5.88,5.88,5.88,15692,0
19971001,5.93,5.93,5.93,5.93,16218,0
19971002,6.04,6.04,6.04,6.04,57388,0
19971003,6.04,6.04,6.04,6.04,45060,0
19971006,5.88,5.88,5.88,5.88,37433,0
19971007,5.88,5.88,5.88,5.88,26468,0
19971008,5.93,5.93,5.93,5.93,45482,0
19971009,6.04,6.04,6.04,6.04,78756,0
19971010,6.04,6.04,6.04,6.04,26992,0
19971013,6.1,6.1,6.1,6.1,28105,0
19971014,6.2,6.2,6.2,6.2,86897,0
19971015,6.1,6.1,6.1,6.1,60800,0
19971016,6.1,6.1,6.1,6.1,65866,0
19971017,6.15,6.15,6.15,6.15,49903,0
19971020,6.42,6.42,6.42,6.42,185315,0
19971021,6.53,6.53,6.53,6.53,162082,0
19971022,6.69,6.69,6.69,6.69,92134,0
19971023,6.59,6.59,6.59,6.59,59977,0
19971024,6.26,6.26,6.26,6.26,80788,0
19971027,5.66,5.66,5.66,5.66,83096,0
19971028,5.12,5.12,5.12,5.12,0,0
19971029,5.55,5.55,5.55,5.55,181218,0
19971030,5.42,5.42,5.42,5.42,61730,0
19971031,5.39,5.39,5.39,5.39,21851,0
19971103,5.82,5.82,5.82,5.82,38896,0
19971104,5.71,5.71,5.71,5.71,38673,0
19971105,5.71,5.71,5.71,5.71,44902,0
19971106,5.61,5.61,5.61,5.61,8752,0
19971107,5.44,5.44,5.44,5.44,12859,0
19971112,5.28,5.28,5.28,5.28,44494,0
19971113,5.17,5.17,5.17,5.17,52110,0
19971114,5.17,5.17,5.17,5.17,171318,0
19971117,5.39,5.39,5.39,5.39,35721,0
19971118,5.28,5.28,5.28,5.28,44082,0
19971119,5.17,5.17,5.17,5.17,18773,0
19971120,5.17,5.17,5.17,5.17,44505,0
19971121,5.33,5.33,5.33,5.33,24513,0
19971124,5.17,5.17,5.17,5.17,20091,0
19971125,5.03,5.03,5.03,5.03,57186,0
19971126,5.06,5.06,5.06,5.06,15264,0
19971127,5.01,5.01,5.01,5.01,27493,0
19971128,4.9,4.9,4.9,4.9,164006,0
19971201,5.17,5.17,5.17,5.17,42304,0
19971202,5.22,5.22,5.22,5.22,87494,0
19971203,5.2,5.2,5.2,5.2,28557,0
19971204,5.17,5.17,5.17,5.17,37687,0
19971205,5.22,5.22,5.22,5.22,22262,0
19971208,5.17,5.17,5.17,5.17,31724,0
19971209,5.12,5.12,5.12,5.12,17456,0
19971210,5.01,5.01,5.01,5.01,25893,0
19971211,4.9,4.9,4.9,4.9,41473,0
19971212,4.74,4.74,4.74,4.74,55294,0
19971215,4.79,4.79,4.79,4.79,17184,0
19971216,4.82,4.82,4.82,4.82,11321,0
19971217,4.79,4.79,4.79,4.79,26393,0
19971218,4.63,4.63,4.63,4.63,32610,0
19971219,4.3,4.3,4.3,4.3,32625,0
19971222,4.3,4.3,4.3,4.3,16061,0
19971223,4.19,4.19,4.19,4.19,24989,0
19971229,4.3,4.3,4.3,4.3,4427,0
19971230,4.54,4.54,4.54,4.54,17693,0
19971231,4.3,4.3,4.3,4.3,81931,0
19980105,4.49,4.49,4.49,4.49,33084,0
19980106,4.41,4.41,4.41,4.41,15043,0
19980107,4.3,4.3,4.3,4.3,52690,0
19980108,4.3,4.3,4.3,4.3,7169,0
19980109,4.14,4.14,4.14,4.14,18556,0
19980112,3.73,3.73,3.73,3.73,48698,0
19980113,3.92,3.92,3.92,3.92,9710,0
19980114,3.92,3.92,3.92,3.92,36211,0
19980115,3.86,3.86,3.86,3.86,20715,0
19980116,3.81,3.81,3.81,3.81,10908,0
19980119,4,4,4,4,20113,0
19980120,3.89,3.89,3.89,3.89,8813,0
19980121,3.89,3.89,3.89,3.89,10186,0
19980122,3.81,3.81,3.81,3.81,36130,0
19980123,3.81,3.81,3.81,3.81,257070,0
19980126,3.86,3.86,3.86,3.86,39524,0
19980127,3.81,3.81,3.81,3.81,20364,0
19980128,3.81,3.81,3.81,3.81,41086,0
19980129,3.95,3.95,3.95,3.95,148144,0
19980130,4.03,4.03,4.03,4.03,124261,0
19980202,4.19,4.19,4.19,4.19,221161,0
19980203,4.19,4.19,4.19,4.19,171877,0
19980204,4.14,4.14,4.14,4.14,79756,0
19980205,4.08,4.08,4.08,4.08,99838,0
19980206,4.14,4.14,4.14,4.14,155135,0
19980209,4.33,4.33,4.33,4.33,272472,0
19980210,4.3,4.3,4.3,4.3,64385,0
19980211,4.25,4.25,4.25,4.25,44531,0
19980212,4.08,4.08,4.08,4.08,107086,0
19980213,3.97,3.97,3.97,3.97,24774,0
19980216,4.03,4.03,4.03,4.03,23074,0
19980217,4.16,4.16,4.16,4.16,39485,0
19980218,4.22,4.22,4.22,4.22,80070,0
19980219,4.14,4.14,4.14,4.14,165937,0
19980220,4.05,4.05,4.05,4.05,64126,0
19980223,4.11,4.11,4.11,4.11,108769,0
19980224,4.03,4.03,4.03,4.03,74923,0
19980225,3.97,3.97,3.97,3.97,76979,0
19980226,4,4,4,4,32445,0
19980227,4.03,4.03,4.03,4.03,23769,0
19980302,3.97,3.97,3.97,3.97,66321,0
19980303,4.03,4.03,4.03,4.03,110330,0
19980304,4.03,4.03,4.03,4.03,76015,0
19980305,3.84,3.84,3.84,3.84,59573,0
19980306,3.86,3.86,3.86,3.86,186868,0
19980309,3.95,3.95,3.95,3.95,52415,0
19980310,4.11,4.11,4.11,4.11,525417,0
19980311,4.35,4.35,4.35,4.35,229999,0
19980312,4.19,4.19,4.19,4.19,263927,0
19980313,4.19,4.19,4.19,4.19,208923,0
19980316,4.35,4.35,4.35,4.35,202053,0
19980317,4.3,4.3,4.3,4.3,304274,0
19980318,4.3,4.3,4.3,4.3,193142,0
19980319,4.35,4.35,4.35,4.35,143511,0
19980320,4.25,4.25,4.25,4.25,164961,0
19980323,4.19,4.19,4.19,4.19,123069,0
19980324,4.14,4.14,4.14,4.14,49774,0
19980325,4.08,4.08,4.08,4.08,126907,0
19980326,4.08,4.08,4.08,4.08,32096,0
19980327,4,4,4,4,51637,0
19980330,3.86,3.86,3.86,3.86,66060,0
19980331,3.86,3.86,3.86,3.86,92347,0
19980401,3.84,3.84,3.84,3.84,48894,0
19980402,3.84,3.84,3.84,3.84,42932,0
19980406,3.86,3.86,3.86,3.86,33459,0
19980407,3.97,3.97,3.97,3.97,39592,0
19980408,3.73,3.73,3.73,3.73,37845,0
19980409,3.78,3.78,3.78,3.78,74001,0
19980414,3.89,3.89,3.89,3.89,28167,0
19980415,3.86,3.86,3.86,3.86,19901,0
19980416,3.81,3.81,3.81,3.81,43162,0
19980417,3.76,3.76,3.76,3.76,42798,0
19980420,3.81,3.81,3.81,3.81,22624,0
19980421,3.76,3.76,3.76,3.76,50320,0
19980422,3.73,3.73,3.73,3.73,56354,0
19980423,3.65,3.65,3.65,3.65,29983,0
19980424,3.7,3.7,3.7,3.7,42761,0
19980427,3.7,3.7,3.7,3.7,33490,0
19980428,3.56,3.56,3.56,3.56,43419,0
19980429,3.51,3.51,3.51,3.51,53239,0
19980430,3.51,3.51,3.51,3.51,63995,0
19980504,3.54,3.54,3.54,3.54,60576,0
19980505,3.54,3.54,3.54,3.54,58926,0
19980506,3.54,3.54,3.54,3.54,43463,0
19980507,3.51,3.51,3.51,3.51,26235,0
19980508,3.46,3.46,3.46,3.46,67868,0
19980511,3.48,3.48,3.48,3.48,44597,0
19980512,3.43,3.43,3.43,3.43,39180,0
19980513,3.32,3.32,3.32,3.32,106364,0
19980514,3.37,3.37,3.37,3.37,140617,0
19980515,3.32,3.32,3.32,3.32,61614,0
19980518,3.27,3.27,3.27,3.27,65711,0
19980519,3.18,3.18,3.18,3.18,59712,0
19980520,3.16,3.16,3.16,3.16,67554,0
19980521,3.24,3.24,3.24,3.24,58922,0
19980522,3.24,3.24,3.24,3.24,86383,0
19980525,3.16,3.16,3.16,3.16,60113,0
19980526,3.05,3.05,3.05,3.05,165364,0
19980527,3.05,3.05,3.05,3.05,241300,0
19980528,3.1,3.1,3.1,3.1,156199,0
19980529,3.13,3.13,3.13,3.13,167405,0
19980601,3.13,3.13,3.13,3.13,237820,0
19980602,3.05,3.05,3.05,3.05,356241,0
19980603,3.18,3.18,3.18,3.18,40749,0
19980604,3.16,3.16,3.16,3.16,75866,0
19980605,3.18,3.18,3.18,3.18,140406,0
19980608,3.24,3.24,3.24,3.24,89133,0
19980609,3.16,3.16,3.16,3.16,45412,0
19980610,2.99,2.99,2.99,2.99,75164,0
19980615,2.88,2.88,2.88,2.88,88103,0
19980616,2.83,2.83,2.83,2.83,254400,0
19980617,2.72,2.72,2.72,2.72,242735,0
19980618,2.86,2.86,2.86,2.86,220129,0
19980619,2.72,2.72,2.72,2.72,108262,0
19980622,2.8,2.8,2.8,2.8,138388,0
19980623,2.99,2.99,2.99,2.99,95658,0
19980624,3.08,3.08,3.08,3.08,245603,0
19980625,3.21,3.21,3.21,3.21,126319,0
19980626,3.16,3.16,3.16,3.16,200376,0
19980629,3.21,3.21,3.21,3.21,81549,0
19980630,3.21,3.21,3.21,3.21,105906,0
19980701,3.16,3.16,3.16,3.16,47724,0
19980702,3.21,3.21,3.21,3.21,75392,0
19980703,3.1,3.1,3.1,3.1,49684,0
19980706,3.13,3.13,3.13,3.13,56710,0
19980707,3.16,3.16,3.16,3.16,66009,0
19980708,3.13,3.13,3.13,3.13,50474,0
19980709,3.1,3.1,3.1,3.1,99604,0
19980710,3.1,3.1,3.1,3.1,45510,0
19980713,3.24,3.24,3.24,3.24,86442,0
19980714,3.4,3.4,3.4,3.4,151146,0
19980715,3.43,3.43,3.43,3.43,177122,0
19980716,3.37,3.37,3.37,3.37,98553,0
19980717,3.46,3.46,3.46,3.46,79293,0
19980720,3.43,3.54,3.43,3.51,166679,0
19980721,3.48,3.48,3.29,3.35,70060,0
19980722,3.27,3.27,3.13,3.18,53269,0
19980723,2.94,3.1,2.94,3.08,148806,0
19980724,3.02,3.1,3.02,3.1,107707,0
19980727,2.99,2.99,2.91,2.97,101631,0
19980728,2.88,2.88,2.8,2.86,91162,0
19980729,2.83,2.83,2.78,2.83,64048,0
19980730,2.86,2.91,2.86,2.88,123927,0
19980731,2.94,2.94,2.83,2.88,49679,0
19980803,2.86,2.86,2.78,2.8,88612,0
19980804,2.8,2.86,2.8,2.83,75798,0
19980805,2.61,2.69,2.59,2.67,117233,0
19980806,2.64,2.64,2.53,2.56,84320,0
19980807,2.61,2.64,2.59,2.64,37371,0
19980810,2.59,2.64,2.59,2.61,50059,0
19980811,2.56,2.56,2.42,2.42,51584,0
19980812,2.53,2.59,2.48,2.59,105436,0
19980813,2.45,2.45,2.39,2.45,67310,0
19980814,2.45,2.56,2.45,2.53,158907,0
19980817,2.45,2.5,2.42,2.48,116006,0
19980818,2.59,2.64,2.59,2.64,136852,0
19980819,2.83,2.86,2.8,2.83,311081,0
19980820,2.8,2.8,2.75,2.75,117342,0
19980821,2.64,2.64,2.56,2.61,186779,0
19980824,2.69,2.69,2.64,2.69,99318,0
19980825,2.78,2.78,2.75,2.75,132670,0
19980826,2.64,2.64,2.56,2.56,128037,0
19980827,2.45,2.45,2.37,2.39,251258,0
19980828,2.2,2.34,2.2,2.34,394745,0
19980831,2.29,2.29,2.18,2.26,188810,0
19980901,2.15,2.26,2.15,2.23,134833,0
19980902,2.34,2.45,2.34,2.39,173479,0
19980903,2.29,2.29,2.2,2.23,94893,0
19980904,2.29,2.42,2.29,2.39,93631,0
19980907,2.5,2.56,2.45,2.48,162536,0
