Date,Open,High,Low,Close,Volume,OpenInt
20080506,0.96,0.96,0.76,0.76,6305,0
20080507,0.76,0.76,0.61,0.63,7049,0
20080508,0.61,0.61,0.61,0.61,100,0
20080509,0.64,0.64,0.45,0.49,202,0
20080513,0.69,0.75,0.65,0.75,6822,0
20080514,0.74,0.75,0.71,0.71,1520,0
20080515,0.68,0.69,0.68,0.69,300,0
20080516,0.7,0.71,0.7,0.7,2120,0
20080519,0.69,0.69,0.68,0.69,1305,0
20080520,0.69,0.7,0.69,0.7,228,0
20080521,0.7,0.7,0.7,0.7,500,0
20080523,0.68,0.68,0.67,0.67,510,0
20080526,0.7,0.7,0.67,0.67,330,0
20080527,0.67,0.67,0.67,0.67,500,0
20080528,0.66,0.66,0.66,0.66,300,0
20080529,0.53,0.67,0.53,0.67,588,0
20080530,0.66,0.67,0.66,0.67,200,0
20080602,0.67,0.67,0.67,0.67,200,0
20080603,0.67,0.67,0.67,0.67,300,0
20080604,0.68,0.68,0.68,0.68,300,0
20080605,0.68,0.69,0.68,0.69,360,0
20080606,0.68,0.68,0.68,0.68,300,0
20080610,0.68,0.68,0.68,0.68,1000,0
20080612,0.68,0.68,0.68,0.68,200,0
20080613,0.68,0.68,0.68,0.68,200,0
20080616,0.68,0.68,0.68,0.68,200,0
20080617,0.68,0.68,0.68,0.68,200,0
20080618,0.68,0.68,0.68,0.68,250,0
20080619,0.68,0.68,0.68,0.68,250,0
20080620,0.68,0.68,0.68,0.68,250,0
20080623,0.68,0.68,0.68,0.68,280,0
20080624,0.68,0.68,0.68,0.68,230,0
20080625,0.68,0.68,0.68,0.68,100,0
20080627,0.68,0.68,0.68,0.68,250,0
20080701,0.68,0.68,0.68,0.68,250,0
20080703,0.68,0.68,0.68,0.68,250,0
20080707,0.68,0.68,0.67,0.68,802,0
20080708,0.68,0.68,0.68,0.68,200,0
20080710,0.68,0.68,0.68,0.68,190,0
20080716,0.68,0.68,0.68,0.68,200,0
20080717,0.6,0.68,0.6,0.68,2220,0
