Date,Open,High,Low,Close,Volume,OpenInt
19990527,11.52,11.52,11.52,11.52,5428,0
19990528,12.24,12.24,12.24,12.24,18930,0
19990531,12.24,12.24,12.24,12.24,4999,0
19990601,11.84,11.84,11.84,11.84,7315,0
19990602,10.72,10.72,10.72,10.72,1244,0
19990607,11.52,11.52,11.52,11.52,2522,0
19990608,11.28,11.28,11.28,11.28,463,0
19990609,11.28,11.28,11.28,11.28,319,0
19990610,11.52,11.52,11.52,11.52,1196,0
19990611,11.28,11.28,11.28,11.28,556,0
19990614,11.28,11.28,11.28,11.28,2025,0
19990615,11.52,11.52,11.52,11.52,3854,0
19990616,11.52,11.52,11.52,11.52,39,0
19990617,11.12,11.12,11.12,11.12,1305,0
19990618,11.52,11.52,11.52,11.52,308,0
19990621,11.52,11.52,11.52,11.52,884,0
19990622,11.12,11.12,11.12,11.12,438,0
19990623,12.08,12.08,12.08,12.08,10282,0
19990624,12.24,12.24,12.24,12.24,4037,0
19990625,12.48,12.48,12.48,12.48,6276,0
19990628,13.04,13.04,13.04,13.04,1694,0
19990629,13.04,13.04,13.04,13.04,2471,0
19990630,11.84,11.84,11.84,11.84,0,0
19990701,11.52,11.52,11.52,11.52,1932,0
19990702,12.08,12.08,12.08,12.08,1237,0
19990705,12.64,12.64,12.64,12.64,366,0
19990706,11.84,11.84,11.84,11.84,1423,0
19990707,12.24,12.24,12.24,12.24,614,0
19990708,11.84,11.84,11.84,11.84,410,0
19990709,12.08,12.08,12.08,12.08,1305,0
19990712,11.52,11.52,11.52,11.52,1882,0
19990713,11.84,11.84,11.84,11.84,2232,0
19990714,11.68,11.68,11.68,11.68,2008,0
19990715,11.52,11.52,11.52,11.52,2619,0
19990716,11.68,11.68,11.68,11.68,681,0
19990719,11.28,11.28,11.28,11.28,1381,0
19990720,11.52,11.52,11.52,11.52,426,0
19990721,11.28,11.28,11.28,11.28,629,0
19990722,11.12,11.12,11.12,11.12,864,0
19990723,11.12,11.12,11.12,11.12,653,0
19990726,10.88,10.88,10.88,10.88,728,0
19990727,10.88,10.88,10.88,10.88,131,0
19990728,10.72,10.72,10.72,10.72,2221,0
