Date,Open,High,Low,Close,Volume,OpenInt
20061128,36.7,37.8,34.1,34.2,398889,0
20061129,35,35,34.2,34.8,116564,0
20061130,36,37,35.2,35.5,132932,0
20061201,36.3,36.3,35.9,36.13,35406,0
20061204,36.34,36.35,35.54,35.6,18053,0
20061205,35.85,35.85,34.75,34.95,79860,0
20061206,34.95,35.54,34.7,34.86,86645,0
20061207,35.05,35.1,34.8,35,160660,0
20061208,34.98,35.05,34.63,34.9,9319,0
20061211,35,35,34.42,34.5,14766,0
20061212,34.4,34.4,33.8,34.4,33611,0
20061213,33.56,34,33.56,33.8,15283,0
20061214,33.66,33.9,33.03,33.2,17162,0
20061215,33.18,33.2,30.1,31.97,8741,0
20061218,31.57,33,31.1,33,21932,0
20061219,31.9,33,31.4,33,7488,0
20061220,32.65,33.5,32.65,33.49,14732,0
20061221,33.46,33.46,32.8,33,6493,0
20061222,32.5,33.35,32.5,33.34,10584,0
20061227,33.25,33.4,32.9,33,1573,0
20061228,33.1,33.1,32.5,32.9,30700,0
20061229,33,35,32.5,34.3,16931,0
20070102,34.95,34.95,33.51,34,1842,0
20070103,34.46,34.59,33.9,34.2,18001,0
20070104,34.25,34.25,33.7,33.7,3241,0
20070105,34,34.19,31.8,32.7,29888,0
20070108,31.81,32.47,31.2,31.67,12093,0
20070109,31.99,32.2,31.65,31.69,3376,0
20070110,31.61,32,31,32,5828,0
20070111,32.29,32.51,31.53,32.51,17850,0
20070112,32.71,33.33,32.65,33,13781,0
20070115,33.4,33.4,32.9,33.3,17718,0
20070116,33.5,33.9,33.02,33.79,4298,0
20070117,33.99,34,33.5,33.5,4831,0
20070118,33.2,33.69,32.53,32.53,6194,0
20070119,32.7,33.14,32.11,32.19,3892,0
20070122,32.3,32.97,32.11,32.6,3797,0
20070123,32.25,32.25,32.1,32.2,4019,0
20070124,32.4,32.5,32.13,32.35,1059,0
20070125,32.41,33,32.41,33,4507,0
20070126,32.6,32.99,32.5,32.7,3831,0
20070129,32.7,33.24,32.2,32.8,3951,0
20070130,33,33,32.65,32.8,2111,0
20070131,32.99,33,32.8,33,8957,0
20070201,33.5,33.7,33,33.5,6864,0
20070202,33.9,34.9,33.9,34.7,103166,0
20070205,34.99,35.45,34.6,34.6,106881,0
20070206,34.89,35.02,34.3,35,24000,0
20070207,35,35,34.23,34.5,4748,0
20070208,34.6,34.6,33.1,33.5,7445,0
20070209,33.05,33.6,33.05,33.4,1172,0
20070212,33.58,33.58,33,33.33,1300,0
20070213,33.4,33.4,33,33.05,1991,0
20070214,33.05,33.05,32.05,32.31,3815,0
20070215,32.34,32.6,31.5,32.4,8021,0
20070216,32.6,32.6,31.6,32.4,3441,0
20070219,33.5,34.7,33.5,34.39,20870,0
20070220,34.2,34.5,34,34,11280,0
20070221,33.55,34,33.55,33.86,24938,0
20070222,33.85,33.86,32.7,33.35,5626,0
20070223,32.9,33.98,32.8,33.9,5552,0
20070226,33.9,33.9,33.25,33.35,3247,0
20070227,33.24,33.24,31.2,32.8,20692,0
20070228,31.8,32.5,30.01,32.38,8316,0
20070301,32.88,32.88,31.55,32.38,8394,0
20070302,32.38,32.7,31.6,32.4,2998,0
20070305,31.1,31.9,31.1,31.7,1342,0
20070306,31.5,31.7,31.02,31.7,3344,0
20070307,31.78,31.78,31.23,31.35,3493,0
20070308,31.35,32,31.35,31.9,1237,0
20070309,31.95,31.95,31.7,31.89,3874,0
20070312,32,32,31.35,31.5,3209,0
20070313,31.8,31.9,31.38,31.49,1809,0
20070314,31.36,31.36,30.83,31.15,5037,0
20070315,31.1,31.6,30.9,31.49,1765,0
20070316,31.16,31.45,31.01,31.13,2763,0
20070319,31.1,32,31.1,32,5931,0
20070320,32.49,33.01,32,32.6,36172,0
20070321,32.65,34.3,32.65,34.2,52725,0
20070322,34.9,35.9,34.7,35.4,64370,0
20070323,35.2,35.4,34.25,34.55,8573,0
20070326,34.55,34.6,33.8,34.2,9327,0
20070327,35.04,35.49,34.4,34.9,15561,0
20070328,34.89,35.15,34.4,34.9,9827,0
20070329,34.8,34.8,34.22,34.7,3232,0
20070330,34.8,34.8,34.25,34.3,6456,0
20070402,34,35.15,33.8,35,18077,0
20070403,35.35,37.05,35,37.01,70770,0
20070404,37.5,40.89,37.5,40.79,108897,0
20070405,40.91,40.91,38.7,40.19,41234,0
20070410,39.5,40.87,39.11,40.5,57785,0
20070411,40,40.19,38.8,40,34462,0
20070412,39.1,39.25,36.2,38.5,31754,0
20070413,38.44,39.25,38.44,38.5,10396,0
20070416,38.7,39.4,38.5,39,17483,0
20070417,38.99,39.7,38.5,39.7,14711,0
20070418,39.5,39.95,38.6,39,9545,0
