Date,Open,High,Low,Close,Volume,OpenInt
20100414,12.311,12.684,11.705,11.723,134664,0
20100415,12.041,12.097,11.723,11.723,57728,0
20100416,12.013,12.013,11.565,11.891,227,0
20100419,11.565,11.565,10.847,11.556,365,0
20100420,11.938,11.985,11.304,11.845,152982,0
20100421,11.304,11.845,11.304,11.845,228,0
20100422,11.742,11.752,11.742,11.742,646,0
20100423,11.285,11.612,11.285,11.341,1459,0
20100426,11.752,11.985,11.397,11.752,1663,0
20100427,11.565,11.565,11.406,11.406,536,0
20100428,11.285,11.285,11.192,11.285,548,0
20100429,11.854,11.985,11.378,11.378,464,0
20100430,11.201,11.891,11.192,11.891,683,0
20100505,11.565,11.565,11.099,11.099,143487,0
20100507,11.015,11.099,11.005,11.005,19190,0
20100510,11.192,11.192,11.192,11.192,225,0
20100511,11.201,11.201,10.865,10.865,11738,0
20100512,11.285,11.285,11.192,11.192,510,0
20100513,11.248,11.248,11.248,11.248,1086,0
20100514,11.192,11.472,11.192,11.472,1958,0
20100517,11.472,11.472,11.472,11.472,231,0
20100518,11.472,11.472,11.472,11.472,3364,0
20100520,11.453,11.462,10.726,11.453,1112,0
20100525,10.38,11.192,10.38,11.145,351,0
20100526,10.726,11.052,10.726,11.052,1464,0
20100527,11.099,11.192,11.099,11.192,12190,0
20100528,11.192,11.248,10.912,11.248,9792,0
20100531,11.052,11.211,11.052,11.211,904,0
20100601,11.192,11.192,10.819,10.931,7322,0
20100604,10.865,10.931,10.837,10.931,325,0
20100607,10.837,10.837,10.837,10.837,201,0
20100608,10.586,10.837,10.586,10.837,1241,0
20100609,10.819,10.837,10.819,10.837,74,0
20100610,10.632,10.651,10.632,10.651,45,0
20100611,10.931,10.931,10.735,10.735,2663,0
20100614,10.735,10.735,10.735,10.735,89,0
20100615,10.502,10.502,10.502,10.502,107,0
20100616,10.502,10.726,10.502,10.726,32797,0
20100617,10.502,10.586,10.269,10.269,24635,0
20100618,10.278,10.362,10.278,10.362,986,0
20100621,10.259,10.259,10.259,10.259,312,0
20100623,9.7,10.446,9.7,10.073,11385,0
20100624,9.979,9.989,9.979,9.989,57,0
20100625,10.707,10.726,10.707,10.716,365,0
20100628,10.726,11.005,10.352,10.912,4287,0
20100629,11.033,11.285,10.819,10.819,2733,0
20100630,10.539,10.959,10.539,10.959,158,0
20100701,10.959,10.959,10.539,10.959,44,0
20100702,10.959,10.959,10.959,10.959,268,0
20100705,10.959,11.192,10.959,11.192,278,0
20100706,11.145,11.35,10.586,11.35,1591,0
20100707,11.35,11.658,11.099,11.295,2565,0
20100708,11.658,11.705,11.658,11.705,458,0
20100709,11.705,11.705,11.658,11.658,527,0
20100712,11.752,11.752,11.705,11.705,4179,0
20100713,11.705,12.078,11.705,12.059,1689,0
20100714,11.239,12.069,11.239,12.069,54691,0
20100715,12.031,12.106,12.031,12.106,22,0
20100716,11.938,12.013,11.938,12.013,91784,0
20100719,12.115,12.115,11.798,11.985,10744,0
20100720,11.798,12.106,11.798,12.106,11712,0
20100721,12.106,12.106,12.106,12.106,12,0
20100722,12.097,12.097,12.097,12.097,9,0
20100723,12.031,12.031,11.845,11.845,762,0
20100726,12.078,12.078,11.845,11.845,249,0
20100727,11.845,11.845,11.472,11.845,1035,0
20100728,11.929,11.929,11.332,11.929,1835,0
20100729,11.891,11.891,11.612,11.612,478,0
20100730,11.453,11.453,11.453,11.453,858,0
20100802,11.649,11.649,11.649,11.649,5,0
20100803,11.565,11.658,11.388,11.472,19543,0
20100804,11.565,11.565,11.565,11.565,215,0
20100805,11.649,11.649,11.201,11.201,555,0
20100806,11.621,11.621,11.621,11.621,490,0
20100809,11.63,11.63,11.201,11.565,1519,0
20100810,11.891,11.891,11.891,11.891,107,0
20100812,11.388,11.565,11.388,11.565,849,0
20100813,11.658,11.752,11.378,11.63,1133,0
20100816,11.752,11.752,11.63,11.742,138,0
20100817,11.285,11.285,11.285,11.285,7,0
20100818,11.835,11.835,11.192,11.285,12202,0
20100819,11.192,11.192,11.192,11.192,10,0
20100820,11.099,11.789,11.099,11.789,58,0
20100823,11.201,11.891,11.201,11.789,7366,0
20100824,11.229,11.658,11.229,11.64,308,0
20100825,11.248,11.257,11.248,11.257,55,0
20100826,11.649,11.649,11.285,11.285,26923,0
20100827,11.649,11.649,11.304,11.304,2175,0
20100830,11.649,11.649,11.378,11.378,22034,0
20100831,11.63,11.63,11.024,11.192,3716,0
20100901,11.658,11.658,11.239,11.63,213,0
20100902,11.192,11.509,11.192,11.509,9,0
20100903,11.462,11.462,11.099,11.099,40124,0
20100906,11.099,11.117,11.099,11.099,577,0
20100907,11.462,11.462,10.959,10.959,452,0
20100908,11.416,11.416,11.341,11.341,65,0
20100909,10.921,10.921,10.921,10.921,22,0
20100910,11.425,11.425,11.332,11.332,59,0
20100913,11.472,11.472,11.472,11.472,10,0
20100914,11.173,11.173,11.173,11.173,54,0
20100915,11.378,11.378,11.005,11.005,322,0
20100916,11.015,11.015,11.005,11.005,275,0
20100917,11.052,11.052,11.052,11.052,1081,0
20100920,11.052,11.36,11.052,11.36,131,0
20100921,11.36,11.36,10.977,10.977,1047,0
20100922,10.977,11.369,10.977,11.341,764,0
20100923,11.304,11.304,10.446,11.192,2093,0
20100924,11.127,11.127,11.127,11.127,10,0
20100927,11.08,11.08,10.492,10.548,2366,0
20100928,11.099,11.099,10.259,10.548,24740,0
20100929,10.763,10.763,10.073,10.073,14711,0
20100930,10.642,10.642,9.979,10.52,3833,0
20101001,10.418,10.418,10.073,10.073,471,0
20101004,10.39,10.39,10.073,10.073,1203,0
20101005,10.073,10.073,9.989,9.989,440,0
20101006,10.166,10.166,9.979,9.979,3892,0
20101007,10.334,10.334,9.979,10.203,2453,0
20101008,10.054,10.269,10.054,10.269,16873,0
20101011,10.119,10.119,9.812,9.989,366,0
20101012,10.11,10.11,9.989,9.989,59,0
20101013,9.979,10.073,9.979,10.073,611,0
20101014,10.101,10.101,9.849,9.849,429,0
20101015,10.11,10.11,10.11,10.11,10,0
20101018,10.11,10.11,10.11,10.11,427,0
20101019,10.11,10.11,9.858,9.979,678,0
20101020,10.11,10.679,9.793,9.793,5170,0
20101021,9.886,9.886,9.737,9.793,937,0
20101022,9.793,9.793,9.793,9.793,6912,0
20101025,9.97,9.97,9.793,9.793,215,0
20101026,9.793,9.793,9.793,9.793,5259,0
20101027,9.793,9.961,9.793,9.961,268,0
20101028,9.952,9.952,9.793,9.793,322,0
20101029,9.812,9.812,9.765,9.793,322,0
20101102,9.933,10.119,9.923,9.979,80898,0
20101103,10.241,10.241,10.213,10.213,396,0
20101104,10.259,10.259,10.25,10.259,1781,0
20101105,10.446,10.726,10.101,10.325,1409,0
20101108,10.325,10.819,10.325,10.819,1185,0
20101109,10.837,10.837,10.352,10.763,2361,0
20101110,10.763,10.763,10.586,10.632,2197,0
20101112,10.642,10.996,10.642,10.782,549,0
20101115,10.754,10.754,10.586,10.586,215,0
20101116,10.586,10.586,10.306,10.352,1429,0
20101117,10.446,10.446,10.352,10.352,334,0
20101118,10.707,10.707,10.259,10.259,423,0
20101119,10.67,10.67,10.67,10.67,5,0
20101122,10.623,10.623,10.138,10.138,112,0
20101123,10.175,10.446,10.119,10.399,49805,0
20101124,10.604,10.604,10.166,10.166,265,0
20101125,10.576,10.576,10.576,10.576,54,0
20101126,10.436,10.446,10.399,10.446,115525,0
20101129,10.259,10.259,10.259,10.259,10,0
20101130,10.259,10.259,10.259,10.259,17,0
20101201,10.502,10.502,10.502,10.502,43,0
20101202,10.502,10.511,10.352,10.352,219,0
20101203,10.483,10.483,10.446,10.455,239,0
20101206,10.492,10.492,10.492,10.492,155,0
20101207,10.483,10.483,10.259,10.259,1554,0
20101208,10.269,10.269,10.269,10.269,64,0
20101209,10.287,10.427,10.278,10.427,239,0
20101210,10.427,10.427,10.399,10.399,322,0
20101213,10.408,10.408,10.306,10.306,943,0
20101214,10.306,10.306,10.259,10.259,311,0
20101215,10.259,10.259,10.259,10.259,322,0
20101216,10.297,10.297,10.297,10.297,17,0
20101217,10.297,10.297,10.297,10.297,133,0
20101220,10.306,10.306,10.306,10.306,215,0
20101221,10.483,10.483,10.175,10.175,65,0
20101222,10.352,10.352,10.352,10.352,107,0
20101223,10.399,10.399,10.399,10.399,10,0
20101227,10.539,10.539,10.539,10.539,5,0
20101228,10.492,10.492,10.091,10.492,529,0
20101229,10.352,10.352,10.352,10.352,65,0
20101230,10.259,10.539,10.101,10.11,601,0
20101231,10.259,10.259,10.259,10.259,10,0
20110103,10.67,10.67,10.67,10.67,5,0
20110104,10.483,10.483,10.073,10.073,118,0
20110105,10.082,10.082,10.073,10.073,364,0
20110107,10.259,10.259,9.793,10.166,1168,0
20110110,9.895,9.895,9.886,9.886,1072,0
20110111,9.886,9.886,9.793,9.793,322,0
20110112,9.979,10.11,9.979,10.026,884,0
20110113,10.119,10.119,10.119,10.119,965,0
20110114,10.129,10.129,10.063,10.063,221,0
20110117,10.063,10.063,9.793,9.793,584,0
20110118,9.812,9.905,9.802,9.802,669,0
20110119,9.802,9.802,9.513,9.7,1752,0
20110120,9.998,10.007,9.998,10.007,122,0
20110121,9.933,9.933,9.56,9.877,835,0
20110124,9.7,9.7,9.7,9.7,107,0
20110125,9.933,9.933,9.84,9.84,107,0
20110126,9.849,9.849,9.849,9.849,51,0
20110127,9.793,9.793,9.793,9.793,429,0
20110128,9.7,9.849,9.7,9.849,153,0
20110131,9.7,9.886,9.513,9.513,1823,0
20110201,9.56,9.56,9.513,9.513,1077,0
20110202,9.513,9.513,8.8602,9.2985,3327,0
20110203,9.14,9.14,9.14,9.14,515,0
20110204,9.14,9.14,9.14,9.14,369,0
20110207,9.2705,9.606,9.2705,9.606,2494,0
20110208,9.606,9.653,9.606,9.653,198,0
20110209,9.0188,9.0188,9.0188,9.0188,22,0
20110211,9.0188,9.0188,9.0188,9.0188,68,0
20110214,9.3266,9.3266,9.1307,9.1307,23,0
20110216,9.1307,9.504,9.1307,9.504,580,0
20110217,9.784,9.784,9.784,9.784,5,0
20110218,9.746,9.746,9.746,9.746,5,0
20110221,9.4292,9.746,9.4292,9.513,2692,0
20110222,9.522,9.746,9.513,9.746,4462,0
20110223,9.756,9.756,9.616,9.616,906,0
20110224,9.616,9.616,9.4758,9.4758,97,0
20110225,9.4758,9.784,9.4198,9.784,1470,0
20110228,9.793,9.812,9.793,9.812,643,0
20110301,10.073,10.073,9.886,9.886,26,0
20110302,9.886,9.886,9.812,9.812,207,0
20110303,9.886,10.063,9.606,9.849,1292,0
20110304,9.905,9.905,9.634,9.886,343,0
20110307,9.606,9.84,9.4758,9.513,906,0
20110308,9.886,9.886,9.858,9.858,356,0
20110309,9.522,9.793,9.4198,9.793,4190,0
20110310,9.4385,9.793,9.3359,9.737,3718,0
20110311,9.867,9.867,9.867,9.867,10,0
20110314,9.877,9.923,9.7,9.923,4343,0
20110315,9.895,9.895,9.4198,9.4198,1292,0
20110316,9.4292,10.362,9.4292,10.026,8701,0
20110317,10.017,10.026,9.877,10.026,2760,0
20110318,10.241,10.241,9.802,10.157,300,0
20110321,10.157,10.157,10.157,10.157,15,0
20110322,10.063,10.063,9.849,9.979,24096,0
20110323,9.886,9.886,9.69,9.7,507,0
20110324,9.952,9.952,9.886,9.886,170,0
20110325,9.746,10.063,9.746,10.063,64,0
20110328,9.979,9.979,9.653,9.7,22770,0
20110329,9.7,9.877,9.625,9.625,2173,0
20110330,9.653,9.653,9.0934,9.2799,5522,0
20110331,9.3546,9.3546,8.5338,8.7577,21250,0
20110401,8.8229,9.0934,8.767,9.0001,2728,0
20110404,9.0001,9.084,9.0001,9.0001,3479,0
20110405,9.0934,9.1959,8.767,8.767,9271,0
20110406,9.0001,9.14,8.6736,8.6736,8698,0
20110407,8.9815,8.9815,8.8602,8.9442,123,0
20110408,8.9721,8.9721,8.9255,8.9348,1505,0
20110411,8.9348,9.0561,8.9069,9.0561,808,0
20110412,9.0561,9.0561,9.0561,9.0561,364,0
20110413,9.0467,9.0747,9.0188,9.0188,2713,0
20110414,9.0094,9.0094,8.9255,8.9255,562,0
20110415,8.9069,8.9069,8.5804,8.8975,1694,0
20110418,8.6736,8.6736,8.6084,8.6084,1027,0
20110419,8.9255,8.9255,8.767,8.767,115,0
20110420,8.767,8.9162,8.627,8.9162,1056,0
20110421,8.8602,8.8602,8.8602,8.8602,5,0
20110426,8.8509,8.8509,8.8509,8.8509,54,0
20110427,8.8416,8.8416,8.5804,8.5804,1128,0
20110428,8.795,8.795,8.5897,8.7763,1054,0
20110429,8.9255,9.1027,8.8602,9.084,4673,0
20110502,8.9628,9.084,8.9628,9.0561,982,0
20110504,9.0934,9.0934,8.683,9.0094,275,0
20110505,8.9908,8.9908,8.7109,8.9908,462,0
