Date,Open,High,Low,Close,Volume,OpenInt
19970925,4.0908,9.0905,4.0908,7.2725,1951,0
19970926,8.1814,10.909,7.3633,8.4542,3337,0
19970930,6.3634,6.5452,5.9998,6.5452,495,0
19971001,5.5452,5.5452,5.4543,5.4543,290,0
19971002,4.7271,4.7271,3.9998,3.9998,459,0
19971003,4.2725,4.2725,4.2725,4.2725,104,0
19971006,4.1816,4.9089,4.1816,4.9089,338,0
19971007,4.8179,5.9089,4.5453,5.9089,1005,0
19971009,5.1816,5.9089,5.1816,5.9089,198,0
19971010,5.2725,5.3634,5.2725,5.3634,207,0
19971013,4.9998,5.5452,4.9998,5.5452,1442,0
19971014,5.4543,5.9998,5.4543,5.6361,1510,0
19971015,5.8179,5.8179,5.8179,5.8179,516,0
19971016,5.8179,5.9089,5.8179,5.9089,965,0
19971017,6.3634,6.3634,6.1815,6.3179,1236,0
19971020,6.4087,6.8178,5.6361,6.8178,2559,0
19971021,5.8179,7.1815,5.8179,7.1815,1696,0
19971022,6.1815,7.227,6.1815,7.0906,797,0
19971023,7.0906,7.1815,6.727,7.1815,1587,0
19971024,6.6361,7.2725,6.6361,7.2725,2123,0
19971027,5.9543,6.2724,5.0906,5.1816,1288,0
19971028,5.4543,5.5452,5.4543,5.4543,550,0
19971029,5.4543,5.4543,5.4543,5.4543,104,0
19971103,5.0906,5.0906,5.0906,5.0906,220,0
19971104,6.2724,6.727,6.2724,6.3634,1475,0
19971105,6.3634,7.9995,6.3634,7.9995,4551,0
19971106,7.2725,7.545,6.8178,7.0906,2784,0
19971107,6.9087,6.9997,6.9087,6.9087,1677,0
19971112,6.8178,6.8178,6.6361,6.6361,758,0
19971113,6.3634,6.5452,6.3634,6.5452,408,0
19971114,5.9998,6.3634,5.9543,5.9998,2190,0
19971117,5.9998,7.0906,5.9998,6.9087,1029,0
19971118,6.3634,7.0906,6.3634,7.0906,405,0
19971119,6.3634,6.3634,6.0906,6.0906,534,0
19971120,6.1815,6.5452,6.1815,6.5452,519,0
19971121,6.0452,6.3634,6.0452,6.3634,669,0
19971124,6.3634,6.3634,6.3634,6.3634,550,0
19971127,5.9543,6.3634,5.9543,6.3634,482,0
19971128,5.9543,5.9543,5.9543,5.9543,387,0
19971201,6.3634,6.5452,5.8634,6.5452,2320,0
19971202,5.9543,6.3179,5.8179,5.8179,694,0
19971203,5.9543,6.0906,5.9543,6.0906,544,0
19971204,5.9089,6.8178,5.9089,6.3634,2608,0
19971205,6.4542,6.6361,6.3634,6.3634,2940,0
19971208,6.3634,6.8178,6.3634,6.8178,442,0
19971209,6.3634,6.3634,6.1815,6.3634,1063,0
19971210,6.1815,6.3634,6.1815,6.1815,607,0
19971211,6.1815,6.1815,6.1815,6.1815,518,0
19971212,6.2269,6.5452,6.2269,6.3634,3032,0
19971215,6.3634,6.3634,6.2724,6.2724,580,0
19971216,6.3179,6.3634,6.3179,6.3179,845,0
19971217,6.3179,6.3634,6.3179,6.3634,821,0
19971218,6.4997,6.4997,6.4997,6.4997,1347,0
19971219,6.3634,6.5452,6.2724,6.3634,1906,0
19971222,6.3634,6.3634,6.2724,6.2724,2958,0
19971229,6.3634,6.4087,6.1815,6.1815,1642,0
19971230,6.3634,6.3634,6.3634,6.3634,167,0
19971231,6.3634,6.3634,6.3634,6.3634,55,0
19980105,6.3634,6.3634,6.1815,6.1815,702,0
19980106,6.3634,6.3634,6.1815,6.1815,934,0
19980107,6.0906,6.1815,5.9998,5.9998,586,0
19980108,5.9998,5.9998,5.9998,5.9998,464,0
19980109,6.1815,6.3634,6.1815,6.1815,286,0
19980112,6.1815,6.1815,6.1815,6.1815,879,0
19980113,5.9089,6.3634,5.9089,6.3634,1431,0
19980114,6.3634,6.6361,6.3634,6.6361,1379,0
19980115,6.6361,7.0906,6.6361,7.0906,6300,0
19980116,6.9997,7.2725,6.9087,7.2725,7675,0
19980119,6.9087,7.4542,6.8632,6.8632,6239,0
19980120,6.6815,6.6815,6.5452,6.5452,1497,0
19980121,6.5452,6.5452,5.8179,5.8179,440,0
19980122,5.7269,6.9542,5.5452,6.9542,44654,0
19980123,6.9997,7.2725,6.9997,6.9997,6557,0
19980126,6.5452,7.6815,6.5452,7.0906,1263,0
19980127,6.5452,6.6361,5.7269,5.9089,4778,0
19980128,5.9998,6.0906,5.9998,6.0906,330,0
19980129,6.1815,6.1815,5.9089,5.9089,1650,0
19980130,5.9089,5.9089,5.8179,5.8179,604,0
19980202,5.7724,5.9089,5.7724,5.9089,652,0
19980203,6.1815,6.6361,6.1815,6.3634,3409,0
19980204,6.5452,6.5452,6.3634,6.3634,330,0
19980205,6.3634,6.6815,6.3634,6.3634,1210,0
19980206,6.1815,6.4542,6.1815,6.4542,6689,0
19980209,6.4542,6.6361,6.4542,6.4997,561,0
19980210,6.4542,6.5452,6.3634,6.3634,2832,0
19980211,6.4087,6.4087,6.4087,6.4087,154,0
19980212,6.5452,6.8178,6.5452,6.727,1663,0
19980213,6.8178,7.0452,6.8178,6.9087,4522,0
19980216,6.9997,7.1815,6.9997,7.136,4861,0
19980217,6.6361,6.727,6.6361,6.727,516,0
19980218,6.6815,6.6815,6.4542,6.4542,872,0
19980220,6.727,6.7724,6.727,6.727,440,0
19980223,6.4542,6.4542,6.4087,6.4087,330,0
19980224,6.2724,6.4087,6.2724,6.3179,494,0
19980225,6.3634,6.4087,6.2724,6.2724,3352,0
19980226,6.3634,6.5452,6.3634,6.5452,1350,0
19980227,6.4542,6.8178,6.4542,6.727,1784,0
19980302,6.8178,6.8178,6.6361,6.6361,633,0
19980303,6.5452,6.727,6.5452,6.5452,2400,0
19980304,6.5907,6.7724,6.5907,6.7724,67,0
19980305,6.5907,6.5907,6.4542,6.4997,471,0
19980306,6.3634,6.3634,6.3634,6.3634,924,0
19980309,6.3634,6.3634,6.3179,6.3179,735,0
19980310,6.3634,6.3634,6.3634,6.3634,233,0
19980311,6.3634,6.3634,6.3634,6.3634,110,0
19980312,6.3634,6.3634,6.2269,6.2269,1040,0
19980313,6.2724,6.2724,6.2724,6.2724,33,0
19980316,6.2269,6.3634,6.1815,6.3634,1335,0
19980317,6.4542,6.4997,6.3634,6.3634,960,0
19980319,6.4542,6.5452,6.3634,6.5452,2585,0
19980320,6.5452,7.9995,6.5452,7.545,9408,0
19980323,7.545,7.636,7.2725,7.5905,7349,0
19980324,7.2725,7.4087,7.2725,7.4087,412,0
19980325,7.4542,8.0905,7.2725,8.045,11564,0
19980326,7.5905,7.9995,7.5905,7.7269,1177,0
19980327,7.636,7.636,7.4996,7.545,1299,0
19980330,7.3633,7.3633,7.2725,7.2725,501,0
19980331,7.2725,7.2725,7.2725,7.2725,669,0
19980401,7.2725,7.3633,7.227,7.227,2143,0
19980402,6.9997,7.3178,6.9997,7.3178,626,0
19980406,6.9087,7.2725,6.9087,6.9997,1398,0
19980408,6.9542,6.9542,6.8632,6.8632,1367,0
19980409,6.9542,6.9542,6.7724,6.8632,904,0
19980414,6.5452,6.5452,6.5452,6.5452,75,0
19980415,6.5452,6.9087,6.4542,6.8632,699,0
19980416,6.8178,6.9542,6.3634,6.3634,5359,0
19980417,6.727,6.727,6.727,6.727,23,0
19980420,6.4542,6.4542,6.3634,6.4542,833,0
19980421,6.4542,6.727,6.3634,6.727,2089,0
19980422,6.4087,6.6815,6.3634,6.6361,654,0
19980423,6.3634,6.4542,6.3634,6.3634,644,0
19980424,6.4542,6.5907,6.3634,6.5907,1028,0
19980427,6.4087,6.5907,6.4087,6.5907,145,0
19980428,6.4087,6.4087,6.1815,6.2724,597,0
19980430,6.3634,6.3634,6.3179,6.3179,886,0
19980505,6.0906,6.1815,6.0906,6.1815,251,0
19980506,6.3179,6.3179,6.0906,6.3179,424,0
19980507,5.9998,6.0906,5.9998,6.0906,605,0
19980508,5.5907,5.7724,5.5452,5.7724,1863,0
19980511,5.9089,6.2724,5.9089,6.2724,550,0
19980513,5.4997,5.5452,5.3634,5.5452,756,0
19980515,5.1361,5.1361,5.1361,5.1361,23,0
19980519,5.1361,5.1361,4.9998,5.1361,806,0
19980520,4.5453,4.5453,4.4543,4.5453,540,0
19980521,4.7271,4.7271,4.6361,4.6361,271,0
19980522,4.5453,4.5453,4.5453,4.5453,331,0
19980525,4.4543,4.4543,4.4543,4.4543,485,0
19980526,4.8179,4.8179,4.8179,4.8179,253,0
19980527,4.3634,4.3634,4.2725,4.2725,341,0
19980528,4.7271,4.7271,4.4543,4.7271,1122,0
19980601,4.5453,4.5453,4.5453,4.5453,132,0
19980603,4.5453,4.7271,4.3634,4.3634,330,0
19980604,4.2725,4.2725,4.2725,4.2725,110,0
19980605,3.8634,3.8634,3.8634,3.8634,55,0
19980608,3.9998,4.2725,3.9998,4.2725,275,0
19980609,3.8181,3.8181,3.6817,3.6817,605,0
19980610,3.7271,4.0453,3.7271,3.9998,550,0
19980615,3.6362,3.6817,3.6362,3.6817,182,0
19980616,3.2725,3.8181,3.2725,3.8181,605,0
19980617,3.6362,3.7271,3.6362,3.7271,440,0
19980618,3.3635,3.409,3.3635,3.409,385,0
19980619,3.9998,4.2725,3.9998,4.2725,550,0
19980623,3.6817,3.6817,3.6817,3.6817,275,0
19980624,3.1362,3.6362,3.1362,3.6362,440,0
19980626,2.9089,3.1817,2.7272,2.7272,1673,0
19980630,2.7726,2.7726,2.7272,2.7726,990,0
19980701,3.4545,3.4545,3.4545,3.4545,10,0
19980706,2.7272,2.7272,2.7272,2.7272,165,0
19980708,2.7272,2.818,2.7272,2.818,504,0
19980709,3.1817,3.9089,3.0453,3.9089,2113,0
19980710,3.6362,3.7271,3.6362,3.7271,132,0
19980713,2.8635,2.9089,2.8635,2.9089,334,0
19980714,2.9089,2.9999,2.9089,2.9999,373,0
19980716,2.9999,3.5907,2.9999,3.1817,626,0
19980717,3.2725,3.2725,3.2725,3.2725,176,0
19980721,2.9999,3.0908,2.9999,2.9999,1210,0
19980722,3.1817,3.1817,3.1817,3.1817,485,0
19980723,3.2725,3.4545,3.2725,3.4545,770,0
19980724,3.2725,3.7271,3.2725,3.7271,2059,0
19980728,3.8181,3.8181,3.8181,3.8181,626,0
19980729,3.8181,3.8181,3.8181,3.8181,110,0
