Date,Open,High,Low,Close,Volume,OpenInt
19960724,8.1514,8.1514,8.1514,8.1514,44653,0
19960725,8.9649,8.9649,8.9649,8.9649,138618,0
19960726,9.857,9.857,9.857,9.857,349321,0
19960729,10.373,10.373,10.373,10.373,184482,0
19960730,9.638,9.638,9.638,9.638,76085,0
19960731,9.4891,9.4891,9.4891,9.4891,132567,0
19960801,8.8946,8.8946,8.8946,8.8946,126563,0
19960802,8.7459,8.7459,8.7459,8.7459,69642,0
19960805,8.9649,8.9649,8.9649,8.9649,46000,0
19960806,9.1918,9.1918,9.1918,9.1918,47283,0
19960807,9.0431,9.0431,9.0431,9.0431,91028,0
19960808,8.8946,8.8946,8.8946,8.8946,33004,0
19960809,8.9649,8.9649,8.9649,8.9649,54309,0
19960812,8.9649,8.9649,8.9649,8.9649,12210,0
19960813,8.5973,8.5973,8.5973,8.5973,31056,0
19960814,8.8163,8.8163,8.8163,8.8163,34301,0
19960816,8.519,8.519,8.519,8.519,22060,0
19960819,8.8946,8.8946,8.8946,8.8946,54482,0
19960820,8.7459,8.7459,8.7459,8.7459,76505,0
19960821,8.6677,8.6677,8.6677,8.6677,72600,0
19960822,8.8946,8.8946,8.8946,8.8946,119816,0
19960823,8.8946,8.8946,8.8946,8.8946,202239,0
19960826,8.9649,8.9649,8.9649,8.9649,113472,0
19960827,8.8163,8.8163,8.8163,8.8163,57548,0
19960828,8.8946,8.8946,8.8946,8.8946,37386,0
19960829,8.6677,8.6677,8.6677,8.6677,31022,0
19960830,8.8163,8.8163,8.8163,8.8163,41333,0
19960902,8.7459,8.7459,8.7459,8.7459,48316,0
19960903,8.5973,8.5973,8.5973,8.5973,52986,0
19960904,8.4486,8.4486,8.4486,8.4486,64983,0
19960905,8.3704,8.3704,8.3704,8.3704,56123,0
19960906,8.4486,8.4486,8.4486,8.4486,40007,0
19960909,8.7459,8.7459,8.7459,8.7459,53518,0
19960910,8.8163,8.8163,8.8163,8.8163,90771,0
19960911,8.8163,8.8163,8.8163,8.8163,89921,0
19960912,8.8163,8.8163,8.8163,8.8163,196455,0
19960913,9.2623,9.2623,9.2623,9.2623,129164,0
19960916,10.154,10.154,10.154,10.154,175422,0
19960917,10.154,10.154,10.154,10.154,182168,0
19960918,10.005,10.005,10.005,10.005,122545,0
19960919,10.303,10.303,10.303,10.303,188234,0
19960920,10.303,10.303,10.303,10.303,129066,0
19960923,10.67,10.67,10.67,10.67,167550,0
19960924,10.968,10.968,10.968,10.968,152170,0
19960925,10.749,10.749,10.749,10.749,329531,0
19960926,11.046,11.046,11.046,11.046,106186,0
19960927,11.86,11.86,11.86,11.86,260351,0
19960930,11.86,11.86,11.86,11.86,169688,0
19961001,12.227,12.227,12.227,12.227,201961,0
19961002,12.227,12.227,12.227,12.227,114328,0
19961003,12.008,12.008,12.008,12.008,89626,0
19961004,11.86,11.86,11.86,11.86,63043,0
19961007,12.008,12.008,12.008,12.008,174713,0
19961008,12.008,12.008,12.008,12.008,303155,0
19961009,11.781,11.781,11.781,11.781,111728,0
19961010,11.484,11.484,11.484,11.484,60547,0
19961011,11.187,11.187,11.187,11.187,128371,0
19961014,11.414,11.414,11.414,11.414,109528,0
19961015,11.781,11.781,11.781,11.781,130526,0
19961016,11.484,11.484,11.484,11.484,117136,0
19961017,11.484,11.484,11.484,11.484,54453,0
19961018,11.484,11.484,11.484,11.484,51277,0
19961021,11.335,11.335,11.335,11.335,75187,0
19961022,11.116,11.116,11.116,11.116,117531,0
19961023,10.897,10.897,10.897,10.897,94778,0
19961024,10.67,10.67,10.67,10.67,98488,0
19961025,10.373,10.373,10.373,10.373,79517,0
19961028,10.005,10.005,10.005,10.005,114647,0
19961029,9.708,9.708,9.708,9.708,83745,0
19961030,10.076,10.076,10.076,10.076,115045,0
19961031,10.076,10.076,10.076,10.076,107653,0
19961104,10.005,10.005,10.005,10.005,67119,0
19961105,9.857,9.857,9.857,9.857,46668,0
19961106,10.154,10.154,10.154,10.154,75840,0
19961107,10.076,10.076,10.076,10.076,92273,0
19961108,10.076,10.076,10.076,10.076,82351,0
19961112,10.076,10.076,10.076,10.076,24757,0
19961113,9.857,9.857,9.857,9.857,58035,0
19961114,9.4891,9.4891,9.4891,9.4891,104631,0
19961115,9.927,9.927,9.927,9.927,76130,0
19961118,9.927,9.927,9.927,9.927,98887,0
19961119,10.303,10.303,10.303,10.303,149793,0
19961120,10.076,10.076,10.076,10.076,67121,0
19961121,9.927,9.927,9.927,9.927,62534,0
19961122,9.927,9.927,9.927,9.927,63995,0
19961125,10.154,10.154,10.154,10.154,80667,0
19961126,10.005,10.005,10.005,10.005,73616,0
19961127,9.779,9.779,9.779,9.779,42934,0
19961128,9.4891,9.4891,9.4891,9.4891,76957,0
19961129,9.4891,9.4891,9.4891,9.4891,49179,0
19961202,9.2623,9.2623,9.2623,9.2623,50736,0
19961203,8.8946,8.8946,8.8946,8.8946,129766,0
19961204,8.8946,8.8946,8.8946,8.8946,43743,0
19961205,9.1136,9.1136,9.1136,9.1136,90947,0
19961206,8.8946,8.8946,8.8946,8.8946,59485,0
19961209,8.2297,8.2297,8.2297,8.2297,99321,0
19961210,8.2297,8.2297,8.2297,8.2297,138038,0
19961211,8.4486,8.4486,8.4486,8.4486,94279,0
19961212,8.8163,8.8163,8.8163,8.8163,111354,0
19961213,8.8163,8.8163,8.8163,8.8163,258938,0
19961216,8.9649,8.9649,8.9649,8.9649,99086,0
19961217,8.8946,8.8946,8.8946,8.8946,52683,0
19961218,8.8163,8.8163,8.8163,8.8163,64577,0
19961219,8.8163,8.8163,8.8163,8.8163,71099,0
19961220,9.0431,9.0431,9.0431,9.0431,79416,0
19961223,9.1918,9.1918,9.1918,9.1918,86188,0
19961224,9.0431,9.0431,9.0431,9.0431,102089,0
19961230,9.0431,9.0431,9.0431,9.0431,59117,0
19961231,9.1918,9.1918,9.1918,9.1918,32809,0
19970102,9.3404,9.3404,9.3404,9.3404,25756,0
19970103,9.779,9.779,9.779,9.779,113265,0
19970106,9.638,9.638,9.638,9.638,101256,0
19970107,9.927,9.927,9.927,9.927,110972,0
19970108,10.451,10.451,10.451,10.451,123023,0
19970109,10.522,10.522,10.522,10.522,67185,0
19970110,10.522,10.522,10.522,10.522,64665,0
19970113,10.373,10.373,10.373,10.373,66508,0
19970114,10.154,10.154,10.154,10.154,58455,0
19970115,9.857,9.857,9.857,9.857,33126,0
19970116,10.005,10.005,10.005,10.005,90259,0
19970117,9.708,9.708,9.708,9.708,132313,0
19970120,9.708,9.708,9.708,9.708,107387,0
19970121,9.4109,9.4109,9.4109,9.4109,116184,0
19970122,9.56,9.56,9.56,9.56,112972,0
19970123,9.56,9.56,9.56,9.56,126624,0
19970124,9.56,9.56,9.56,9.56,139700,0
19970127,9.4109,9.4109,9.4109,9.4109,133186,0
19970128,9.3404,9.3404,9.3404,9.3404,91511,0
19970129,8.9649,8.9649,8.9649,8.9649,85816,0
19970130,9.1136,9.1136,9.1136,9.1136,180687,0
19970131,9.0431,9.0431,9.0431,9.0431,43800,0
19970203,9.2623,9.2623,9.2623,9.2623,56944,0
19970204,9.4891,9.4891,9.4891,9.4891,73215,0
19970205,9.779,9.779,9.779,9.779,120219,0
19970206,10.154,10.154,10.154,10.154,87711,0
19970207,11.116,11.116,11.116,11.116,314859,0
19970210,11.116,11.116,11.116,11.116,353002,0
19970211,11.116,11.116,11.116,11.116,167550,0
19970212,11.484,11.484,11.484,11.484,139947,0
19970213,11.484,11.484,11.484,11.484,161794,0
19970214,11.86,11.86,11.86,11.86,164921,0
19970217,11.414,11.414,11.414,11.414,114611,0
19970218,11.484,11.484,11.484,11.484,176380,0
19970219,11.562,11.562,11.562,11.562,123175,0
19970220,11.633,11.633,11.633,11.633,67727,0
19970221,11.86,11.86,11.86,11.86,111915,0
19970224,11.93,11.93,11.93,11.93,54728,0
19970225,12.595,12.595,12.595,12.595,112833,0
19970226,13.338,13.338,13.338,13.338,75679,0
19970227,12.524,12.524,12.524,12.524,255426,0
19970228,12.157,12.157,12.157,12.157,55579,0
19970303,12.227,12.227,12.227,12.227,80106,0
19970304,12.078,12.078,12.078,12.078,49051,0
19970305,12.305,12.305,12.305,12.305,127055,0
19970306,12.376,12.376,12.376,12.376,115103,0
19970307,12.595,12.595,12.595,12.595,241740,0
19970310,12.524,12.524,12.524,12.524,230597,0
19970311,12.97,12.97,12.97,12.97,94381,0
19970312,13.119,13.119,13.119,13.119,298697,0
19970313,12.97,12.97,12.97,12.97,176541,0
19970314,12.446,12.446,12.446,12.446,141283,0
19970317,12.446,12.446,12.446,12.446,32089,0
19970318,12.595,12.595,12.595,12.595,84140,0
19970319,12.227,12.227,12.227,12.227,106357,0
19970320,11.86,11.86,11.86,11.86,164036,0
19970321,11.711,11.711,11.711,11.711,32965,0
19970324,12.008,12.008,12.008,12.008,28735,0
19970325,12.227,12.227,12.227,12.227,87956,0
19970326,12.595,12.595,12.595,12.595,145695,0
19970327,12.743,12.743,12.743,12.743,173734,0
19970401,12.595,12.595,12.595,12.595,102715,0
19970402,12.227,12.227,12.227,12.227,63542,0
19970403,11.86,11.86,11.86,11.86,185329,0
19970404,11.86,11.86,11.86,11.86,95387,0
19970407,12.078,12.078,12.078,12.078,153855,0
19970408,12.227,12.227,12.227,12.227,111550,0
19970409,12.227,12.227,12.227,12.227,168919,0
19970410,12.078,12.078,12.078,12.078,16059,0
19970411,11.93,11.93,11.93,11.93,20996,0
19970414,11.86,11.86,11.86,11.86,109005,0
19970415,11.86,11.86,11.86,11.86,38458,0
19970416,12.227,12.227,12.227,12.227,23919,0
19970417,12.008,12.008,12.008,12.008,64012,0
19970418,11.93,11.93,11.93,11.93,69606,0
19970421,12.227,12.227,12.227,12.227,129624,0
19970422,12.446,12.446,12.446,12.446,102289,0
19970423,13.565,13.565,13.565,13.565,152452,0
19970424,13.565,13.565,13.565,13.565,132652,0
19970425,13.338,13.338,13.338,13.338,30587,0
19970428,13.119,13.119,13.119,13.119,95373,0
19970429,12.97,12.97,12.97,12.97,44915,0
19970430,13.565,13.565,13.565,13.565,95232,0
19970505,14.003,14.003,14.003,14.003,40374,0
19970506,14.527,14.527,14.527,14.527,87538,0
