Date,Open,High,Low,Close,Volume,OpenInt
20061208,20.8,21.2,20.4,20.8,3393911,0
20061211,20.95,20.95,20.5,20.55,330243,0
20061212,20.82,20.82,20.42,20.49,597366,0
20061213,20.5,20.6,20.2,20.6,1124435,0
20061214,20.6,20.85,20.31,20.75,299786,0
20061215,20.8,20.8,19,20.4,260977,0
20061218,20.29,20.38,19.81,20.31,92684,0
20061219,20.03,20.1,19.65,19.89,264896,0
20061220,19.35,20.2,19.35,19.75,578107,0
20061221,19.51,20.02,19.51,20,124420,0
20061222,20,20.05,19.8,20,58878,0
20061227,20.1,20.15,19.8,20.1,17397,0
20061228,20.1,20.52,20.1,20.5,62074,0
20061229,20.5,20.99,20.4,20.84,178155,0
20070102,21,21.86,20.5,21.74,136854,0
20070103,21.49,21.5,21.27,21.3,6440,0
20070104,21.26,21.4,20.9,21.05,29962,0
20070105,20.75,21.05,20.75,21.03,38650,0
20070108,20.77,21.1,20.7,21.1,15961,0
20070109,20.8,21.1,20.8,20.95,94393,0
20070110,21.1,21.12,20.67,20.7,130001,0
20070111,20.57,21.15,20.5,21,348379,0
20070112,21.2,21.29,21,21.14,104356,0
20070115,21.15,21.6,21.15,21.5,135332,0
20070116,21.5,22.7,21.5,22.65,235527,0
20070117,22.8,23.55,22.8,23.15,105810,0
20070118,23.45,24.5,23.2,24.5,91834,0
20070119,24,24.5,23.5,24.04,253841,0
20070122,24.01,24.2,23.51,24.15,66092,0
20070123,24,24.01,23.85,24,157231,0
20070124,24,24.5,24,24.2,91387,0
20070125,24.5,24.7,24.11,24.2,20076,0
20070126,23.89,24.05,23.8,24,44329,0
20070129,24,24.11,23,24.11,215405,0
20070130,24.19,25.49,23.71,25.4,141996,0
20070131,25.6,28,25.4,27.5,253046,0
20070201,27.1,27.6,26.95,27.4,27152,0
20070202,27.5,27.65,27.5,27.65,81345,0
20070205,27.65,29.34,27.45,29.34,203653,0
20070206,29.48,29.5,27.9,27.95,176201,0
20070207,28,28,26.3,26.52,134075,0
20070208,26.9,26.95,26,26.05,196946,0
20070209,25.5,27,25.5,26.7,88475,0
20070212,26.89,26.89,26.14,26.69,43674,0
20070213,26.52,28.4,26.52,28.4,69209,0
20070214,28.4,28.4,28,28.13,59478,0
20070215,28,28.4,27.45,28.01,120126,0
20070216,28,28.13,27.8,28,35916,0
20070219,28.12,28.35,28.12,28.2,10279,0
20070220,27.6,28.3,27.6,28.21,13698,0
20070221,28.3,28.4,28,28.4,7039,0
20070222,28.45,29.3,28.4,29.25,45281,0
20070223,29.25,29.25,29,29,17925,0
20070226,28.52,29.01,28.52,29,46317,0
20070227,28.5,28.5,27.15,27.62,36158,0
20070228,26.5,28,26.05,27.5,125415,0
20070301,27.3,28.5,27,27.3,58499,0
20070302,26.9,26.9,26.3,26.4,10993,0
20070305,26,26,24.6,24.94,55486,0
20070306,24.7,25.9,24.7,25.9,478875,0
20070307,25.93,26.5,25.92,26.5,12332,0
20070308,27.8,27.8,26.5,27.6,23990,0
20070309,27.6,27.7,27,27.7,3939,0
20070312,27.6,27.7,27,27.7,24481,0
20070313,27.6,27.7,27.5,27.7,8005,0
20070314,26.91,27.5,26.9,27.5,8078,0
20070315,27.3,28.1,27.3,28.1,7408,0
20070316,28.09,28.09,27.6,28.09,8993,0
20070319,28.1,28.35,28,28.35,9316,0
20070320,28,28.6,27.7,28.5,10558,0
20070321,29,29.45,29,29.26,71414,0
20070322,29.51,30.47,29.51,30.37,29493,0
20070323,30.61,32.9,30.61,31.75,21071,0
20070326,31.9,32.7,31.9,32.5,39896,0
20070327,32.5,32.7,29.51,31.5,15261,0
20070328,31.9,31.9,30.35,30.35,3466,0
20070329,30.35,32,30.35,32,5929,0
20070330,31.9,32,30.58,32,11468,0
20070402,31.5,31.9,30.55,31.9,3333,0
20070403,32,32.5,31.5,32.5,12079,0
20070404,32.98,33,31.61,32,23420,0
20070405,31.61,32,31.5,32,5743,0
