Date,Open,High,Low,Close,Volume,OpenInt
20081230,3.7,6.5,3.7,4.14,139946,0
20081231,4.05,5,4.05,4.27,34484,0
20090105,4.41,4.7,4,4.07,34119,0
20090106,4.11,4.19,3.82,4.04,13247,0
20090107,3.82,3.98,3.65,3.88,14281,0
20090108,3.55,4.1,3.55,3.99,11340,0
20090109,3.8,3.95,3.72,3.72,2127,0
20090112,3.86,3.98,3.55,3.55,1304,0
20090113,3.85,3.85,3.5,3.84,6021,0
20090114,3.5,3.78,3.4,3.78,2101,0
20090115,3.22,3.59,3.22,3.59,403,0
20090116,3.3,3.59,3.24,3.48,2018,0
20090119,3.7,3.71,3.47,3.47,3709,0
20090120,3.2,3.45,3.17,3.45,724,0
20090121,3.12,3.42,3.12,3.12,34,0
20090122,3.38,3.38,3.26,3.33,1154,0
20090123,3.3,3.54,3.3,3.54,3852,0
20090126,3.45,3.53,3.45,3.53,4281,0
20090127,3.07,3.78,3.07,3.51,552,0
20090202,3.01,3.48,2.81,3.48,53,0
20090204,2.8,3.3,2.8,3.28,1425,0
20090205,3.2,3.2,3.2,3.2,1,0
20090206,3.5,3.5,3.1,3.4,6258,0
20090209,3.5,3.74,3.5,3.7,703,0
20090210,3.42,3.7,3.42,3.7,100,0
20090211,3.65,3.7,3.3,3.7,1970,0
20090212,3.6,3.6,3.6,3.6,1,0
20090216,3.24,3.6,3.24,3.6,446,0
20090223,3.6,3.6,3.6,3.6,100,0
20090226,3,3.08,3,3.08,1030,0
20090227,2.99,3.08,2.9,3.08,2376,0
20090302,3.2,3.2,2.8,2.81,1011,0
20090305,3,3,2.8,3,400,0
20090306,3,3,2.71,3,2900,0
20090309,3.29,3.7,3.29,3.6,3444,0
20090310,3.65,4,3.65,4,11258,0
20090311,3.6,3.85,3.6,3.79,1177,0
20090312,4,4,3.79,3.79,1351,0
20090313,3.5,3.8,3.5,3.8,393,0
20090318,3.79,3.79,3.79,3.79,4,0
20090319,3.5,3.69,3.5,3.5,744,0
20090320,3.5,3.82,3.5,3.62,6315,0
20090323,3.64,3.64,3.32,3.5,114,0
20090324,3.5,3.66,3.5,3.65,12130,0
20090325,3.65,3.68,3.45,3.68,5336,0
20090326,3.66,4.7,3.66,4.4,15920,0
20090327,4.6,4.7,4.25,4.45,12642,0
20090330,4.5,4.5,4.05,4.25,401,0
20090331,4.5,4.5,4.1,4.5,2788,0
20090401,4.5,4.99,4.19,4.95,9039,0
20090402,5.2,5.7,4.72,4.8,25363,0
20090403,5.25,5.49,4.99,5.3,21653,0
20090406,5.01,5.1,4.75,5.1,27797,0
20090407,5,5.05,4.75,5,11429,0
20090408,4.99,5.14,4.95,5.1,5277,0
20090409,4.85,5.49,4.75,5.49,21977,0
20090414,5.49,6.6,5.49,6.6,33442,0
20090415,6.7,6.9,6.04,6.45,7229,0
20090416,6.6,6.7,5.25,5.5,24320,0
20090417,5.5,6.1,5.21,5.88,26312,0
20090420,5.88,5.88,5.3,5.65,12565,0
20090421,5.87,6.15,5.3,5.7,19321,0
20090422,5.8,5.8,5.14,5.45,28953,0
20090423,5.45,5.45,4.95,5.35,27376,0
20090424,5.35,5.44,5.3,5.3,3451,0
20090427,5.2,5.28,5.03,5.2,4129,0
20090428,5.04,5.04,4.91,5,830,0
20090429,4.95,5.28,4.9,5.28,5728,0
20090430,5.25,5.35,5.02,5.02,4339,0
20090504,5.02,5.23,5.02,5.23,586,0
20090505,4.98,5.22,4.95,5.22,2814,0
20090506,5.02,5.18,5.02,5.18,1206,0
20090507,4.92,5.15,4.92,5.15,396,0
20090508,5,5.15,5,5.15,42,0
20090511,5.19,5.19,5.18,5.19,1504,0
20090512,5.05,5.06,5,5.06,3737,0
20090513,5,5.3,5,5.1,5225,0
20090514,5.28,5.28,4.76,5.15,4270,0
20090515,4.92,5.05,4.9,5.05,2307,0
20090518,4.99,5.2,4.99,5.2,2483,0
20090519,5.08,5.65,5.07,5.52,16123,0
20090520,5.64,5.85,5.41,5.41,6599,0
20090521,5.19,5.36,4.92,5.17,2174,0
20090525,5.15,5.19,4.95,5.19,1522,0
20090526,4.93,5.1,4.9,5.1,3060,0
20090528,5.05,5.05,5.05,5.05,100,0
20090529,5.05,5.05,5.05,5.05,200,0
20090601,5.06,5.06,5.06,5.06,201,0
20090602,5.08,5.38,5,5,8857,0
20090603,5,5,5,5,86,0
20090604,4.9,5,4.85,5,101,0
20090605,4.85,5.06,4.8,5.06,4265,0
20090608,5.04,5.04,4.72,4.94,2091,0
20090609,4.94,4.94,4.7,4.89,937,0
20090610,4.8,4.88,4.62,4.8,4167,0
20090612,4.8,4.98,4.8,4.8,522,0
20090615,4.64,5.15,4.64,4.7,14798,0
20090616,5.09,5.09,4.63,4.64,4860,0
20090617,4.86,5.59,4.86,5.44,57398,0
20090618,5.45,5.45,5.02,5.02,12728,0
20090619,4.91,5.37,4.91,5,10755,0
20090622,5.22,5.22,4.97,5.13,9993,0
20090623,5.02,5.13,5,5.13,5081,0
20090624,5.15,5.25,5.06,5.23,4320,0
20090625,5.25,5.25,4.74,5.04,15060,0
20090626,5.19,5.26,5.1,5.25,11234,0
20090629,5.3,5.38,5.04,5.29,5358,0
20090630,5.39,5.39,5.27,5.33,809,0
20090701,5.35,5.37,5.18,5.31,2662,0
20090702,5.38,5.38,5.35,5.35,492,0
20090703,5.15,5.15,5.15,5.15,400,0
20090707,5.06,5.08,5,5.08,2855,0
20090708,4.99,5.11,4.9,5.11,571,0
20090709,5,5.13,4.9,5.13,943,0
20090710,5.07,5.09,4.87,5,1822,0
20090713,4.98,5.09,4.65,5.09,3116,0
20090714,5.15,5.16,5.1,5.1,630,0
20090715,5.11,5.2,5.1,5.1,2223,0
20090716,5.05,5.09,4.97,5.09,2180,0
20090717,5.1,5.15,5.1,5.15,1660,0
20090720,5.05,5.1,4.95,5.1,251,0
20090721,5.05,5.05,5.05,5.05,15,0
20090722,5.05,5.05,5.05,5.05,358,0
20090723,5.03,5.04,4.92,5.04,1554,0
20090724,4.91,5,4.91,5,900,0
20090727,4.95,5.05,4.95,5.05,1108,0
20090728,4.95,5.08,4.91,5.08,3010,0
20090729,5.05,6.6,5.05,6.6,43309,0
20090730,8,8.4,7.5,8.4,70353,0
20090731,9.49,10.5,8.6,9.38,55775,0
20090803,10.49,10.9,8.5,8.7,41954,0
20090804,8.8,8.8,8.12,8.69,9424,0
20090805,8.7,8.75,7.85,8.38,7522,0
20090806,8,8.25,7.75,8.25,8224,0
20090807,7.9,10.4,7.9,9.2,42905,0
20090810,9.55,10.08,9.05,9.8,16105,0
20090811,10,11.05,9.9,10.7,22777,0
20090812,10.6,10.6,9.61,9.75,4549,0
20090813,10,10.4,9.5,10.3,10936,0
20090814,10,10.29,9.4,10.09,5927,0
20090817,10,10,9.26,9.66,4657,0
20090818,9.6,9.6,9.2,9.4,453,0
20090819,9.5,9.5,9.2,9.4,648,0
20090820,9.4,9.4,8.69,9.4,1562,0
20090821,9.39,9.9,8.97,9.2,3846,0
20090824,9.15,9.15,8.4,8.6,3678,0
20090825,8.5,9.32,8,9.27,11947,0
20090826,8.75,9.15,8.55,9,5423,0
20090827,9.02,9.02,8.6,8.92,2769,0
20090828,8.6,8.87,8.13,8.78,6344,0
20090831,8.39,8.39,7.92,7.92,10630,0
20090901,7.85,7.96,6.37,6.5,125256,0
20090902,6.48,6.48,5.22,5.22,175417,0
