Date,Open,High,Low,Close,Volume,OpenInt
20070711,5.55,6.43,5.55,6.25,1770784,0
20070712,6.3,8.05,6.25,8.05,609230,0
20070713,8.7,9.5,8,8.5,625272,0
20070716,8.31,8.4,7.23,7.5,284797,0
20070717,7.2,8.25,6.87,8,93637,0
20070718,8.25,8.25,7.71,8.05,47215,0
20070719,8.2,8.39,7.61,7.94,90752,0
20070720,7.95,8.19,7.8,7.94,26593,0
20070723,7.97,7.99,7.61,7.99,55541,0
20070724,7.7,7.88,7.5,7.66,35276,0
20070725,7.58,7.6,7.12,7.35,30708,0
20070726,7.3,7.4,7.15,7.3,48817,0
20070727,7.01,7.4,6.8,7.2,26710,0
20070730,7.2,7.45,7.2,7.4,14397,0
20070731,7.5,8,7.44,7.8,11745,0
20070801,7.79,7.8,7.25,7.77,18225,0
20070802,7.8,7.9,7.61,7.9,5498,0
20070803,7.9,7.9,7.78,7.9,8460,0
20070806,7.9,8,7.67,7.9,22851,0
20070807,7.7,8.15,7.7,8,39755,0
20070808,8,8.05,7.96,7.96,8360,0
20070809,7.95,8.1,7.95,8.1,12810,0
20070810,7.97,8,7.42,7.81,24399,0
20070813,7.42,8,7.42,8,15810,0
20070814,7.8,8.1,7.61,8,13669,0
20070816,7.65,7.7,7.07,7.38,96252,0
20070817,7.13,7.8,7.13,7.5,10335,0
20070820,7.5,7.8,7.5,7.6,4299,0
20070821,7.26,7.59,7.26,7.55,40730,0
20070822,7.5,7.8,7.5,7.79,17103,0
20070823,8.98,9,8,8,13393,0
20070824,8,8,7.5,8,10117,0
20070827,8.3,8.3,7.9,7.99,14701,0
20070828,7.9,7.9,7.8,7.9,4932,0
20070829,7.7,7.94,7.5,7.94,16445,0
20070830,7.81,7.9,7.65,7.7,34734,0
20070831,7.7,7.85,7.7,7.85,32012,0
20070903,7.8,7.8,7.71,7.79,4508,0
20070904,7.88,7.88,7.7,7.75,11306,0
20070905,7.62,7.85,7.62,7.7,28815,0
20070906,7.78,7.85,7.62,7.8,24242,0
20070907,7.8,7.81,7.7,7.81,13083,0
20070910,7.55,7.6,7.55,7.6,14890,0
20070911,7.65,7.8,7.36,7.7,20296,0
20070912,7.79,7.8,7.5,7.5,15382,0
20070913,7.31,7.59,7.21,7.59,13146,0
20070914,7.31,7.59,7.31,7.59,20203,0
20070917,7.27,7.4,7.26,7.4,3216,0
20070918,7.31,7.5,7.2,7.5,22140,0
20070919,7.5,7.62,7.25,7.62,9621,0
20070920,7.5,7.5,7.35,7.5,2645,0
20070921,7.5,7.6,7.4,7.58,17310,0
20070924,7.52,7.55,7.4,7.5,10098,0
20070925,7.35,7.35,7.02,7.02,15394,0
20070926,7.02,7.1,6.62,7.09,6935,0
20070927,7.03,7.05,6.76,7.05,2406,0
20070928,6.77,7.09,6.77,7.09,1207,0
20071001,6.83,6.9,6.5,6.9,9532,0
20071002,6.55,7,6.45,6.88,11470,0
20071003,6.51,6.89,6.47,6.8,16019,0
20071004,6.46,6.75,6.46,6.75,10301,0
20071005,6.65,6.74,6.52,6.74,9799,0
20071008,6.52,6.7,6.4,6.7,21436,0
20071009,6.7,6.8,6.7,6.7,13182,0
20071010,6.72,6.8,6.71,6.75,7120,0
20071011,6.74,6.76,6.74,6.75,11181,0
20071012,6.48,6.75,6.48,6.75,30175,0
20071015,6.7,6.85,6.7,6.81,23960,0
20071016,6.82,6.83,6.55,6.8,5686,0
20071017,6.8,6.8,6.8,6.8,960,0
20071018,6.63,6.8,6.63,6.8,9416,0
20071019,6.65,6.8,6.65,6.8,5603,0
20071022,6.75,6.79,6.66,6.79,9254,0
20071023,6.7,6.78,6.7,6.77,4674,0
20071024,6.73,6.79,6.73,6.78,6286,0
20071025,6.75,6.79,6.75,6.79,8951,0
20071026,6.75,7,6.7,6.9,32428,0
20071029,6.97,6.97,6.8,6.85,8581,0
20071030,6.5,6.85,6.01,6.84,21613,0
20071031,6.71,6.84,6.7,6.84,11113,0
20071102,6.33,6.84,6.33,6.82,5716,0
20071105,6.8,6.84,6.42,6.74,13036,0
20071106,6.7,6.74,6.4,6.74,7082,0
20071107,6.7,6.74,6.35,6.7,8901,0
20071108,6.05,6.72,6.05,6.71,6365,0
20071109,6.7,6.73,6.25,6.73,15561,0
20071112,6.69,6.69,6.2,6.46,10589,0
20071113,6.45,6.45,6.1,6.4,35205,0
20071114,6.25,6.44,6.25,6.42,4719,0
20071115,6.39,6.39,6.06,6.3,3723,0
20071116,6.07,6.3,6.05,6.29,4179,0
20071119,6.29,6.29,5.98,6.19,3000,0
20071120,5.95,6.13,5.95,6.1,4282,0
20071121,6,6,5.9,5.99,3770,0
20071122,5.6,5.99,5.6,5.99,7287,0
20071123,6.09,6.09,6.09,6.09,1049,0
20071126,6.09,6.29,5.8,6.29,9032,0
20071127,6.24,6.24,5.81,6.21,2839,0
20071128,6.29,6.5,6.03,6.48,13719,0
20071129,6.5,6.75,6.48,6.75,10883,0
20071130,6.75,7,6.75,6.95,7287,0
20071203,6.95,7,6.8,7,2533,0
20071204,6.85,6.98,6.51,6.98,3699,0
20071205,6.66,7,6.66,6.99,148,0
20071206,6.99,6.99,6.8,6.95,4020,0
20071210,6.63,6.98,6.63,6.88,7843,0
20071211,6.45,6.55,6.45,6.5,3582,0
20071212,6.11,6.77,6.11,6.66,5775,0
20071213,6.34,6.76,6.34,6.63,8419,0
20071214,6.65,6.76,6.65,6.76,1198,0
20071217,6.11,6.7,6.11,6.69,1477,0
20071218,6.11,6.7,6.11,6.7,12277,0
20071219,6.76,6.8,6.36,6.8,5647,0
20071220,6.8,6.8,6.5,6.7,11399,0
20071221,6.69,6.7,6.5,6.5,2705,0
20071227,6.73,6.74,6.72,6.73,516,0
20071228,6.5,6.75,6.5,6.75,3769,0
20080102,6.8,6.8,6.42,6.78,2628,0
20080104,6.51,6.74,6.51,6.74,79149,0
20080107,6.77,6.77,6.55,6.69,2045,0
20080108,6.51,6.51,6.04,6.49,8389,0
20080109,6.11,6.11,6.04,6.06,26290,0
20080110,5.77,6.08,5.77,6.07,9281,0
20080111,5.61,6.02,5.61,6.02,994,0
