Date,Open,High,Low,Close,Volume,OpenInt
20130710,1.46,1.85,1.46,1.8,16623,0
20130711,1.8,1.82,1.76,1.81,4997,0
20130712,1.8,1.8,1.8,1.8,300,0
20130715,1.8,1.8,1.63,1.63,19213,0
20130716,1.75,1.79,1.67,1.74,4355,0
20130717,1.74,1.75,1.67,1.74,4210,0
20130718,1.74,1.74,1.61,1.69,7162,0
20130719,1.69,1.69,1.6,1.68,8463,0
20130722,1.68,1.69,1.57,1.69,13953,0
20130723,1.69,1.69,1.54,1.65,4771,0
20130724,1.65,1.65,1.53,1.65,13559,0
20130725,1.65,1.73,1.65,1.73,7230,0
20130726,1.72,1.72,1.72,1.72,1089,0
20130729,1.71,1.71,1.66,1.71,1473,0
20130730,1.71,1.71,1.66,1.66,851,0
20130731,1.71,1.71,1.62,1.69,5373,0
20130801,1.69,1.69,1.6,1.67,9276,0
20130802,1.69,1.69,1.69,1.69,5,0
20130805,1.69,1.69,1.66,1.66,4540,0
20130806,1.67,1.67,1.67,1.67,5,0
20130807,1.67,1.67,1.67,1.67,1,0
20130808,1.69,1.69,1.59,1.64,6663,0
20130809,1.64,1.64,1.64,1.64,1,0
20130812,1.63,1.63,1.63,1.63,665,0
20130813,1.67,1.7,1.6,1.7,7807,0
20130814,1.73,1.75,1.71,1.75,8168,0
20130816,1.75,1.8,1.75,1.8,2503,0
20130819,1.85,1.85,1.81,1.84,5466,0
20130820,1.84,1.84,1.83,1.84,5557,0
20130821,1.84,1.84,1.84,1.84,200,0
20130822,1.84,1.84,1.76,1.83,9002,0
20130823,1.84,1.84,1.84,1.84,101,0
20130826,1.84,1.84,1.84,1.84,1,0
20130827,1.84,1.84,1.84,1.84,4,0
20130828,1.84,1.84,1.8,1.8,2508,0
20130829,1.84,1.84,1.8,1.8,3292,0
20130830,1.8,1.8,1.8,1.8,10,0
20130902,1.8,1.8,1.8,1.8,23,0
20130903,1.8,1.8,1.75,1.75,772,0
20130904,1.8,1.83,1.8,1.83,35,0
20130905,1.82,1.82,1.82,1.82,5,0
20130906,1.82,1.82,1.73,1.79,1062,0
20130909,1.79,1.79,1.79,1.79,5,0
20130910,1.75,1.87,1.75,1.87,23139,0
20130911,1.88,1.88,1.86,1.88,10614,0
20130912,1.89,1.89,1.82,1.82,1455,0
20130913,1.82,1.82,1.82,1.82,600,0
20130916,1.82,1.94,1.82,1.94,25045,0
20130917,1.95,2.22,1.95,2.16,102413,0
20130918,2.16,2.16,2.01,2.12,349250,0
20130919,2.12,2.13,2.08,2.12,3669,0
20130920,2.12,2.25,2.12,2.25,40997,0
20130923,2.33,2.33,2.2,2.22,31253,0
20130924,2.34,2.34,2.19,2.22,14104,0
20130925,2.25,2.25,2.16,2.25,19503,0
20130926,2.25,2.25,2.16,2.25,29898,0
20130927,2.25,2.25,2.09,2.11,20968,0
20130930,2.11,2.11,2.04,2.11,11120,0
