Date,Open,High,Low,Close,Volume,OpenInt
20041230,16.69,17.32,16.65,17.32,641005,0
20041231,17.5,17.64,17.19,17.37,84268,0
20050103,17.37,17.37,17.01,17.19,104204,0
20050104,17.1,17.1,16.69,17.01,40781,0
20050105,16.65,16.65,16.29,16.56,41000,0
20050106,16.29,16.29,15.75,16.29,39392,0
20050107,16.24,16.47,16.15,16.29,23260,0
20050110,16.02,16.24,16.02,16.24,22543,0
20050111,16.2,16.2,15.79,16.15,16381,0
20050112,15.84,16.11,15.57,15.61,39751,0
20050113,15.12,15.57,14.76,15.07,23091,0
20050114,14.85,14.85,14.4,14.4,22739,0
20050117,14.04,14.4,14.04,14.08,35941,0
20050118,13.99,13.99,13.45,13.54,34585,0
20050119,13.18,14.04,13.09,14.04,27186,0
20050120,14.22,14.31,14.04,14.17,11503,0
20050121,14.17,14.17,13.72,13.99,7217,0
20050124,13.68,13.95,13.68,13.9,7403,0
20050125,13.99,14.22,13.99,14.13,5093,0
20050126,14.22,14.71,14.22,14.44,12789,0
20050127,14.53,14.94,14.49,14.76,27397,0
20050128,14.85,15.3,14.85,15.3,7460,0
20050131,15.3,15.57,14.98,15.3,15733,0
20050201,15.3,15.39,15.03,15.03,3161,0
20050202,15.03,15.3,14.85,15.3,17881,0
20050203,14.94,15.21,14.94,15.12,2954,0
20050204,15.12,15.12,14.94,15.07,989,0
20050207,15.25,15.3,15.03,15.07,5556,0
20050208,15.03,15.12,14.85,14.85,7192,0
20050209,14.58,14.85,14.53,14.76,7675,0
20050210,14.76,14.76,14.71,14.71,1079,0
20050211,14.58,14.58,14.31,14.35,2756,0
20050214,14.4,14.71,14.35,14.4,3924,0
20050215,14.4,14.58,14.13,14.58,2535,0
20050216,14.4,14.4,14.22,14.4,7758,0
20050217,14.4,14.4,14.04,14.22,4327,0
20050218,14.13,14.4,14.13,14.13,24384,0
20050221,14.04,14.04,13.81,14.04,1794,0
20050222,13.9,13.95,13.68,13.95,1669,0
20050223,13.77,13.95,13.68,13.95,12470,0
20050224,13.95,14.67,13.95,14.58,4568,0
20050225,14.76,14.76,14.4,14.4,2667,0
20050228,14.49,14.49,13.95,14.08,3176,0
20050301,14.17,14.4,14.17,14.4,8365,0
20050302,14.13,14.4,14.08,14.22,11050,0
20050303,14.04,14.26,14.04,14.22,5217,0
20050304,14.13,14.13,14.04,14.04,942,0
20050307,13.99,14.04,13.77,13.77,968,0
20050308,13.63,13.81,13.54,13.72,4691,0
20050309,13.5,13.68,13.5,13.63,1863,0
20050310,13.63,13.63,13.5,13.59,1667,0
20050311,13.54,13.54,13.5,13.54,2007,0
20050314,13.54,13.59,13.41,13.54,13895,0
20050315,13.45,13.45,12.96,13.05,2385,0
20050316,13,13,12.1,12.15,15593,0
20050317,12.15,12.15,11.52,11.7,6475,0
20050318,11.83,12.55,11.79,12.42,1362,0
20050321,12.51,12.82,12.28,12.42,7128,0
20050322,12.42,12.64,12.37,12.64,1368,0
20050323,12.42,12.64,12.33,12.64,4586,0
20050324,12.82,13.05,12.64,12.64,2221,0
20050329,12.87,13.14,12.6,13,1891,0
20050330,13,13.05,13,13,1433,0
20050331,12.96,13.32,12.96,13.32,2635,0
20050401,13.41,13.5,12.19,13.32,7118,0
20050404,13.05,13.41,13.05,13.41,6023,0
20050405,13.41,13.59,13.36,13.59,1922,0
20050406,13.59,14.35,13.5,14.22,7043,0
20050407,14.31,14.4,13.95,14.22,7360,0
20050411,14.26,14.26,13.95,14.22,1802,0
20050412,14.22,14.35,14.04,14.35,2140,0
20050413,14.35,14.35,13.95,13.95,3316,0
20050414,13.95,14.22,13.95,14.22,718,0
20050415,13.9,13.9,13.86,13.9,5766,0
20050418,13.86,13.86,13.59,13.59,1853,0
20050419,13.59,13.72,13.5,13.72,22004,0
20050420,13.72,13.72,13.72,13.72,2768,0
20050421,13.5,13.5,13.23,13.23,1389,0
20050422,13.05,13.5,12.91,13.23,1959,0
20050425,13.5,13.5,13.41,13.41,288,0
20050426,13.14,13.68,13.14,13.41,11189,0
20050427,13.41,13.41,12.64,12.69,7812,0
20050428,12.91,12.91,12.15,12.15,9172,0
20050429,12.19,12.78,12.15,12.46,4773,0
20050502,12.73,12.78,12.6,12.6,1169,0
20050504,12.6,12.82,12.6,12.69,3807,0
20050505,12.87,14.31,12.87,13.86,12630,0
20050506,13.54,13.95,13.14,13.95,7788,0
20050509,14.04,14.31,13.86,14.04,5046,0
20050510,13.77,13.99,13.5,13.5,2266,0
20050511,13.41,13.86,13.05,13.72,13968,0
20050512,13.72,14.22,13.5,14.22,13724,0
20050513,13.72,14.22,13.72,14.17,4630,0
20050516,13.86,13.95,13.41,13.41,8876,0
20050517,13.41,14.22,13.23,13.9,7528,0
20050518,13.59,13.95,13.5,13.9,8627,0
20050519,13.9,13.9,13.5,13.77,4085,0
20050520,13.5,13.86,13.45,13.86,3836,0
20050523,13.86,13.86,13.59,13.86,2858,0
20050524,13.86,14.17,13.72,14.13,8419,0
20050525,13.86,13.95,13.81,13.81,3218,0
20050527,13.86,14.13,13.86,14.13,2348,0
20050530,14.22,14.94,14.22,14.71,30270,0
20050531,14.76,14.76,14.49,14.76,6469,0
20050601,14.58,14.76,14.4,14.76,6032,0
20050602,14.53,14.76,14.49,14.76,4633,0
20050603,14.76,14.8,14.62,14.67,5202,0
20050606,14.62,14.67,14.13,14.44,11024,0
20050607,14.35,14.4,14.04,14.4,8719,0
20050608,14.26,14.49,14.08,14.4,10243,0
20050609,14.31,14.4,14.31,14.4,1578,0
20050610,14.4,14.49,14.17,14.22,3980,0
20050613,14.13,14.44,13.95,14.44,5913,0
20050614,14.4,14.49,14.4,14.49,4671,0
20050615,14.49,14.85,14.4,14.85,10363,0
