Date,Open,High,Low,Close,Volume,OpenInt
20070530,6.369,7.5783,5.9595,6.1036,8501763,0
20070531,6.259,6.369,5.933,6.0278,2321473,0
20070601,6.1302,6.1302,5.6866,5.6866,2217788,0
20070604,5.7245,5.7245,5.3833,5.4515,1127626,0
20070605,5.569,5.8382,5.497,5.8003,2410199,0
20070606,5.8193,6.1415,5.8041,6.1302,1027745,0
20070608,6.0657,6.1415,5.7965,6.024,687931,0
20070611,6.1036,6.1415,5.9141,5.9709,862859,0
20070612,6.0657,6.1226,5.9217,6.0657,1463034,0
20070613,6.0657,6.0998,5.9519,6.0809,174682,0
20070614,6.0846,6.2438,6.0165,6.2174,677885,0
20070615,6.2438,6.3121,6.2363,6.3045,406475,0
20070618,6.369,6.441,6.278,6.369,807263,0
20070619,6.4296,6.6343,6.2856,6.6305,960821,0
20070620,6.4637,6.6305,6.4637,6.5585,716310,0
20070621,6.5585,6.5775,6.4827,6.5585,311970,0
20070622,6.5281,6.6305,6.5206,6.6267,330052,0
20070625,6.5206,6.6154,6.0278,6.5585,277595,0
20070626,6.4448,6.6116,6.3766,6.5965,293057,0
20070627,6.4486,6.6305,6.4448,6.4827,145267,0
20070628,6.4827,6.5206,6.4524,6.5017,268021,0
20070629,6.5927,6.5927,6.3652,6.4069,339955,0
20070702,6.4069,6.4069,6.0657,6.3652,414947,0
20070703,6.369,6.4448,6.1908,6.4448,238499,0
20070704,6.3728,6.5206,6.3728,6.5206,51896,0
20070705,6.6154,6.6154,6.4448,6.5585,214516,0
20070706,6.6003,6.6003,6.5244,6.5585,128264,0
20070709,6.5585,6.5965,6.331,6.5585,101394,0
20070710,6.5206,6.5585,6.331,6.3538,238068,0
20070711,6.35,6.4448,5.8761,6.0278,383838,0
20070712,6.0165,6.0922,5.6866,5.8761,581280,0
20070713,5.9899,6.0278,5.6866,5.7965,874953,0
20070716,5.5956,5.8723,5.5008,5.5728,1370042,0
20070717,5.6146,5.6486,5.4553,5.6486,1997527,0
20070718,5.6866,5.8382,5.6866,5.7245,1413026,0
20070719,6.0657,6.0657,5.9179,5.9747,133061,0
20070720,6.0505,6.0657,5.6486,5.8382,1466214,0
20070723,5.8345,5.8382,5.6486,5.8382,1581449,0
20070724,5.8382,6.0657,5.7624,5.8382,151625,0
20070725,5.6866,6.0657,5.6108,5.9141,597153,0
20070726,5.9141,5.9519,5.6866,5.6866,267229,0
20070727,5.6486,5.6524,5.2695,5.4591,854623,0
20070730,5.4023,5.7207,5.3643,5.6828,189286,0
20070731,5.7472,5.8003,5.6486,5.6752,427063,0
20070801,5.497,5.535,5.2695,5.3303,526455,0
20070802,5.425,5.6108,5.4212,5.535,161992,0
20070803,5.6032,5.6032,5.4212,5.4212,136092,0
20070806,5.3795,5.3795,5.1369,5.2771,297591,0
20070807,5.497,5.497,5.3454,5.4743,397628,0
20070808,5.5728,5.7245,5.2999,5.2999,475037,0
20070809,5.3265,5.3643,4.5493,4.6441,625043,0
20070810,4.3673,4.7199,4.1891,4.4621,1696209,0
20070813,4.6251,4.8715,4.6251,4.6629,926584,0
20070814,4.7389,4.7389,4.4734,4.5303,626172,0
20070816,4.1891,4.2839,3.8669,4.1323,1866942,0
20070817,4.0185,4.4924,3.9427,4.3598,603341,0
20070820,4.6629,4.6629,4.5303,4.5758,272186,0
20070821,4.6099,4.6099,4.3976,4.4356,298671,0
20070822,4.5417,4.6592,4.4772,4.6251,527900,0
20070823,4.7009,4.8866,4.6857,4.7957,313884,0
20070824,4.8033,4.9246,4.6819,4.9246,309284,0
20070827,4.936,5.0421,4.936,4.9776,325766,0
20070828,4.936,4.936,4.8526,4.8526,167048,0
20070829,4.5531,4.7881,4.5531,4.7805,284590,0
20070830,4.8526,4.9474,4.7389,4.7389,319313,0
20070831,4.8412,4.917,4.7957,4.8146,97071,0
20070903,4.8563,4.9132,4.845,4.9094,73214,0
20070904,4.9094,4.97,4.8526,4.9284,531070,0
20070905,4.9776,4.9966,4.7009,4.7009,198740,0
20070906,4.7767,4.8866,4.7009,4.8146,275594,0
20070907,4.7957,4.879,4.6629,4.7009,374177,0
20070910,4.6629,4.6629,4.5607,4.6213,86185,0
20070911,4.6251,4.8904,4.6251,4.8526,136919,0
20070912,4.8904,4.9474,4.8146,4.8526,105683,0
20070913,4.9246,4.9284,4.8146,4.9094,71171,0
20070914,4.9663,5.08,4.8146,4.8146,163579,0
20070917,4.8828,4.8828,4.7767,4.8336,34334,0
20070918,4.7578,4.8146,4.7427,4.7767,107154,0
20070919,5.0042,5.2279,4.8904,5.08,305480,0
20070920,5.1558,5.1748,5.0876,5.1445,146802,0
20070921,5.0421,5.1445,4.9398,4.9398,84942,0
20070924,4.9738,4.9852,4.9094,4.9474,42768,0
20070925,5.0232,5.0232,4.8904,4.9663,65369,0
20070926,4.9322,4.9587,4.8526,4.8526,136907,0
20070927,4.9132,4.9852,4.8942,4.9056,1164890,0
20070928,4.9663,4.9663,4.7805,4.8715,71820,0
20071001,4.7919,4.8715,4.7389,4.7729,41901,0
20071002,4.7805,4.8904,4.7805,4.8715,53111,0
20071003,4.9094,4.9094,4.8146,4.8715,285670,0
20071004,4.826,4.9132,4.8222,4.9056,677783,0
20071005,4.9056,5.0421,4.8526,5.0421,138315,0
20071008,5.1369,5.2695,5.08,5.2051,245477,0
20071009,5.2317,5.4136,5.2317,5.3341,428380,0
20071010,5.3491,5.4781,5.1634,5.444,416045,0
20071011,5.4781,5.6032,5.4515,5.5918,243422,0
20071012,5.5539,5.5918,5.497,5.5918,192304,0
20071015,5.6108,5.6752,5.6108,5.6638,69965,0
20071016,5.6638,5.6638,5.5728,5.5994,70091,0
20071017,5.5501,5.5766,5.497,5.5198,230733,0
20071018,5.5198,5.5198,5.3075,5.3833,135413,0
20071019,5.3795,5.3795,5.2165,5.3075,399812,0
20071022,5.0421,5.1937,5.0042,5.1558,464857,0
20071023,5.2317,5.2885,5.2165,5.2165,74073,0
20071024,5.569,5.569,5.3265,5.4174,98435,0
20071025,5.425,5.4819,5.3909,5.3909,39447,0
20071026,5.4023,5.4023,5.2317,5.2317,103868,0
20071029,5.3454,5.4591,5.3113,5.3833,316636,0
20071030,5.4591,5.607,5.1255,5.3265,393047,0
20071031,5.3265,5.4212,5.2355,5.3643,131416,0
20071102,5.2771,5.3985,5.2165,5.3833,146993,0
20071105,5.3454,5.3491,5.3265,5.3265,225862,0
20071106,5.3416,5.3567,5.3075,5.3341,159100,0
20071107,5.3454,5.3454,4.9474,5.0572,349529,0
20071108,4.7767,5.061,4.7578,5.0421,183620,0
20071109,5.1142,5.1142,4.936,4.936,111857,0
20071112,4.936,4.936,4.7767,4.8336,115892,0
20071113,4.8336,4.8336,4.7009,4.7729,145490,0
20071114,4.8715,4.9814,4.8601,4.8753,144222,0
20071115,4.9094,4.9094,4.4734,4.5189,409633,0
20071116,4.2081,4.3938,4.2081,4.265,773967,0
20071119,4.3332,4.3332,4.2081,4.2081,120437,0
20071120,4.2081,4.246,3.9881,4.2081,673455,0
20071121,4.1701,4.1701,4.0565,4.0943,139901,0
20071122,4.0185,4.5113,4.0185,4.5113,620734,0
20071123,4.6061,4.7275,4.5872,4.7199,164399,0
20071126,4.7389,4.7427,4.6441,4.6441,1264433,0
20071127,4.5303,4.5303,4.4356,4.5113,76161,0
20071128,4.5644,4.7389,4.5417,4.6819,80041,0
20071129,4.7351,4.7767,4.7085,4.7389,150085,0
20071130,4.7615,4.9056,4.7237,4.7957,83120,0
20071203,4.8601,4.8639,4.7578,4.8033,311740,0
20071204,4.7957,4.7957,4.6667,4.7427,137127,0
20071205,4.8146,4.8904,4.7767,4.8715,607526,0
20071206,4.9056,4.9056,4.8222,4.8526,96170,0
20071207,4.845,4.8677,4.8146,4.8677,62576,0
20071210,4.8866,4.9056,4.845,4.8601,143709,0
20071211,4.8904,4.9056,4.7767,4.8146,40371,0
20071212,4.7009,4.8904,4.6743,4.8904,249326,0
20071213,4.8184,4.8184,4.6857,4.6895,54129,0
20071214,4.6251,4.6592,4.5872,4.6592,79994,0
20071217,4.481,4.6705,4.3976,4.6629,181748,0
20071218,4.5682,4.6441,4.5682,4.6403,154508,0
20071219,4.6629,4.7199,4.5872,4.7199,395845,0
20071220,4.6251,4.7389,4.6251,4.7389,321282,0
20071221,4.7427,4.8526,4.7389,4.7767,464062,0
20071227,4.7389,4.8298,4.7237,4.7767,63603,0
20071228,4.7767,4.7957,4.7389,4.7389,73618,0
20080102,4.6971,4.7389,4.6971,4.7161,25065,0
20080103,4.7009,4.7009,4.4924,4.6213,97318,0
20080104,4.5607,4.5834,4.5113,4.5493,619773,0
20080107,4.3976,4.4356,4.3711,4.3711,76960,0
20080108,4.2952,4.3598,4.246,4.3598,498894,0
20080109,4.2952,4.2952,4.0753,4.0753,2024195,0
20080110,3.9805,4.0716,3.9805,4.0185,252337,0
20080111,3.9919,4.0565,3.9919,4.0261,132835,0
20080114,4.0261,4.0261,3.6584,3.8669,585187,0
20080115,3.829,3.9427,3.6963,3.8138,276208,0
20080116,3.6698,3.6698,3.4575,3.5636,705453,0
20080117,3.5939,3.6394,3.4689,3.5257,218766,0
20080118,3.5029,3.7532,3.4537,3.5447,194639,0
20080121,3.5067,3.5674,3.4877,3.5447,365842,0
20080122,3.4119,3.5825,3.3741,3.5636,201774,0
20080123,3.6584,3.791,3.6394,3.7152,168371,0
20080124,3.81,4.155,3.81,4.0943,84221,0
20080125,4.155,4.3218,3.9805,4.2574,532232,0
20080128,4.1701,4.1701,3.9237,4.0033,74226,0
20080129,4.3218,4.3218,4.1323,4.2195,121903,0
20080130,4.2195,4.3218,4.1512,4.1512,73060,0
20080131,4.0565,4.1285,3.8518,3.9048,111027,0
20080201,3.9995,4.0147,3.848,3.848,555377,0
20080204,4.0185,4.0375,3.9427,3.9579,58082,0
20080205,3.973,3.973,3.791,3.829,359560,0
20080206,3.7076,3.829,3.6811,3.7721,67303,0
20080207,3.829,3.829,3.7228,3.7494,42760,0
20080208,3.7721,3.7721,3.6698,3.7,201424,0
20080211,3.791,3.8669,3.7532,3.7986,20207,0
20080212,3.7986,3.8631,3.7834,3.8593,118805,0
20080213,3.8555,3.9162,3.8138,3.9162,26645,0
20080214,3.9503,4.0375,3.8669,3.9162,29349,0
20080215,3.848,3.9162,3.829,3.9162,53840,0
20080218,3.8707,3.9427,3.8669,3.9389,18792,0
20080219,3.9237,3.9237,3.848,3.8518,659753,0
