Date,Open,High,Low,Close,Volume,OpenInt
19980109,1.8389,2.3199,1.8389,2.1973,16436,0
19980112,2.1407,2.1407,1.9615,1.9615,3644,0
19980113,1.9992,1.9992,1.9992,1.9992,561,0
19980114,1.9615,2.1407,1.7163,2.0652,30547,0
19980115,2.0652,2.0652,1.9049,1.9049,1513,0
19980116,2.0652,2.103,2.0558,2.103,15414,0
19980119,2.1218,2.1407,2.0652,2.103,14125,0
19980120,2.0558,2.0558,1.9992,2.0181,16255,0
19980121,1.9992,1.9992,1.9238,1.9238,11210,0
19980122,1.9615,1.9615,1.9615,1.9615,1401,0
19980123,1.9615,1.9615,1.9615,1.9615,5605,0
19980126,1.9615,1.9615,1.9615,1.9615,11210,0
19980127,1.9615,1.9615,1.9426,1.9615,13452,0
19980128,1.9426,1.9426,1.9238,1.9238,2803,0
19980129,1.9426,1.9426,1.9238,1.9238,8127,0
19980130,1.9426,1.9426,1.9238,1.9238,3363,0
19980202,1.9615,1.9615,1.9426,1.9615,4089,0
19980203,1.9615,1.9615,1.8766,1.8955,18048,0
19980204,1.9049,1.9615,1.8955,1.9615,11743,0
19980205,1.9426,1.9992,1.9426,1.9992,14015,0
19980206,1.9615,1.9992,1.9615,1.9992,22700,0
19980209,1.9992,2.0181,1.9992,1.9992,14573,0
19980210,2.0181,2.0181,2.0181,2.0181,11210,0
19980211,2.0181,2.037,2.0181,2.037,10370,0
19980212,2.037,2.037,2.0181,2.0181,7286,0
19980213,2.0181,2.0558,2.0181,2.0558,9739,0
19980216,1.9992,1.9992,1.9804,1.9804,11322,0
19980217,2.0181,2.037,2.0181,2.037,16815,0
19980219,2.0181,2.037,1.9804,2.0181,27465,0
19980220,2.0181,2.037,1.9992,2.037,26624,0
19980223,1.9992,2.037,1.9992,2.037,35873,0
19980224,2.037,2.037,2.037,2.037,4203,0
19980225,1.9992,2.037,1.9992,2.037,15694,0
19980226,2.037,2.037,2.037,2.037,14966,0
19980227,2.0558,2.0558,1.9992,1.9992,13693,0
19980302,2.0652,2.1407,2.0181,2.037,6457,0
19980303,1.9992,1.9992,1.9615,1.9804,11210,0
19980304,1.9992,2.0181,1.9992,2.0181,8968,0
19980305,1.9426,1.9426,1.9426,1.9426,3784,0
19980306,1.9615,1.9615,1.9615,1.9615,2119,0
19980309,1.9615,2.0181,1.9615,2.0181,50743,0
19980311,1.9615,1.9615,1.9615,1.9615,112,0
19980312,2.0181,2.0181,1.9615,1.9615,5984,0
19980313,1.9615,1.9615,1.9615,1.9615,140,0
19980316,1.9049,1.9049,1.9049,1.9049,1121,0
19980317,1.9238,1.9238,1.9238,1.9238,280,0
19980318,1.9238,1.9238,1.9238,1.9238,1121,0
19980319,1.9049,1.9049,1.9049,1.9049,7847,0
19980320,1.9049,1.9049,1.8955,1.8955,3363,0
19980323,1.8578,1.8766,1.8578,1.8766,7612,0
19980324,1.8955,1.8955,1.8955,1.8955,252,0
19980325,1.7823,1.7823,1.7823,1.7823,561,0
19980326,1.7823,1.8201,1.7823,1.8201,7006,0
19980327,1.8012,1.8012,1.8012,1.8012,224,0
19980331,1.7823,1.7823,1.7823,1.7823,112,0
19980401,1.7823,1.7823,1.7823,1.7823,169,0
19980402,1.7635,1.7823,1.7635,1.7823,10061,0
19980406,1.7823,1.7823,1.7823,1.7823,561,0
19980407,1.7823,1.7823,1.7823,1.7823,5044,0
19980409,1.7823,1.7823,1.7823,1.7823,280,0
19980414,1.7823,1.7823,1.7823,1.7823,1401,0
19980415,1.8012,1.8012,1.8012,1.8012,140,0
19980416,1.8201,1.8578,1.8201,1.8201,4260,0
19980417,1.8578,1.8578,1.8201,1.8201,8912,0
19980420,1.8201,1.8389,1.8201,1.8389,11210,0
19980421,1.8389,1.8389,1.8389,1.8389,1121,0
19980422,1.8389,1.8578,1.8389,1.8578,5605,0
19980423,1.8389,1.8389,1.8389,1.8389,5605,0
19980424,1.8389,1.8389,1.8389,1.8389,280,0
19980427,1.8389,1.8389,1.8389,1.8389,1401,0
19980428,1.8389,1.8578,1.8389,1.8389,21859,0
19980429,1.8201,1.8201,1.8201,1.8201,7567,0
19980430,1.8201,1.8201,1.8201,1.8201,6726,0
19980505,1.8201,1.8201,1.8201,1.8201,2803,0
19980506,1.8201,1.8201,1.8201,1.8201,4764,0
19980508,1.7635,1.8201,1.7635,1.8201,7987,0
19980511,1.7823,1.7823,1.7823,1.7823,2803,0
19980512,1.7823,1.8201,1.7823,1.8201,5184,0
19980513,1.8201,1.8201,1.8201,1.8201,420,0
19980514,1.8389,1.8389,1.8389,1.8389,1121,0
19980519,1.8955,1.8955,1.8955,1.8955,2803,0
19980520,1.8389,1.8389,1.8389,1.8389,280,0
19980522,1.8955,1.8955,1.8955,1.8955,280,0
19980525,1.9615,1.9615,1.9615,1.9615,381,0
19980526,2.0181,2.0181,2.0181,2.0181,976,0
19980528,1.9615,1.9615,1.9615,1.9615,18217,0
19980529,1.9615,1.9615,1.9615,1.9615,14012,0
19980603,1.8201,1.9238,1.8201,1.9238,2803,0
19980604,1.9238,1.9238,1.9238,1.9238,715,0
19980610,1.8201,1.8201,1.8201,1.8201,280,0
19980615,1.9238,1.9238,1.9238,1.9238,25713,0
19980617,1.9049,1.9049,1.9049,1.9049,561,0
19980624,1.7823,1.7823,1.7823,1.7823,7006,0
19980625,1.7823,1.7823,1.7823,1.7823,9669,0
19980626,1.7823,1.7823,1.7823,1.7823,5605,0
19980630,1.7823,1.7823,1.7823,1.7823,6165,0
19980702,1.7823,1.7823,1.7823,1.7823,5324,0
19980706,1.7823,1.7823,1.7823,1.7823,3083,0
19980710,1.7163,1.7163,1.7163,1.7163,841,0
19980715,1.6786,1.6786,1.6786,1.6786,1401,0
19980722,1.6597,1.6597,1.6409,1.6409,2803,0
19980724,1.7163,1.7163,1.7163,1.7163,1401,0
19980727,1.6409,1.6409,1.6409,1.6409,1962,0
19980728,1.6409,1.6409,1.6409,1.6409,1401,0
19980730,1.6032,1.6032,1.5654,1.5654,2803,0
19980731,1.6032,1.6032,1.6032,1.6032,28,0
19980807,1.6032,1.6032,1.6032,1.6032,56050,0
19980810,1.424,1.424,1.424,1.424,12891,0
19980811,1.424,1.424,1.424,1.424,56050,0
19980826,1.4994,1.6409,1.4994,1.6032,8408,0
19980828,1.424,1.424,1.424,1.424,7987,0
19980907,1.424,1.424,1.424,1.424,4400,0
19980908,1.2825,1.2825,1.2825,1.2825,1401,0
19980909,1.5371,1.5371,1.5371,1.5371,1429,0
19980914,1.424,1.424,1.424,1.424,2803,0
19980915,1.424,1.424,1.424,1.424,6308,0
19981015,1.424,1.424,1.3202,1.3202,10930,0
19981019,1.3202,1.3202,1.3202,1.3202,13732,0
19981020,1.3202,1.3202,1.3202,1.3202,11491,0
19981022,1.3768,1.3768,1.3768,1.3768,4484,0
19981023,1.3202,1.3202,1.3202,1.3202,1401,0
19981027,1.2825,1.2825,1.2825,1.2825,28026,0
19981028,1.2825,1.2825,1.2448,1.2448,56050,0
19981029,1.2448,1.2448,1.2448,1.2448,56050,0
19981030,1.2448,1.3202,1.2448,1.3202,49576,0
19981103,1.2448,1.2448,1.2448,1.2448,3924,0
19981104,1.2448,1.2448,1.2448,1.2448,8127,0
19981105,1.2448,1.2448,1.2448,1.2448,5465,0
19981118,1.2448,1.2448,1.2448,1.2448,25223,0
19981119,1.2448,1.2448,1.2448,1.2448,60985,0
19981120,1.2448,1.2448,1.2448,1.2448,79140,0
19981123,1.358,1.358,1.358,1.358,2803,0
19981124,1.424,1.424,1.424,1.424,1542,0
19981125,1.4994,1.4994,1.4994,1.4994,2803,0
19981126,1.5371,1.5654,1.4994,1.4994,3924,0
19981127,1.424,1.424,1.424,1.424,19618,0
19981202,1.424,1.424,1.424,1.424,18777,0
19981203,1.5654,1.5654,1.5654,1.5654,25783,0
19981204,1.6032,1.6032,1.6032,1.6032,7847,0
