Date,Open,High,Low,Close,Volume,OpenInt
20060626,12.104,12.153,11.569,11.667,251824,0
20060627,11.618,11.861,10.743,11.083,331007,0
20060628,11.375,11.472,11.083,11.229,15397,0
20060629,11.521,11.813,11.278,11.667,92954,0
20060630,11.861,12.056,11.667,11.667,105899,0
20060703,12.104,12.104,11.667,11.667,26320,0
20060704,11.813,11.813,11.472,11.667,5334,0
20060705,11.667,11.667,11.424,11.618,34345,0
20060706,11.569,11.569,11.278,11.424,11233,0
20060707,11.424,11.424,11.229,11.229,25596,0
20060710,11.181,11.569,11.181,11.424,5856,0
20060711,11.618,11.667,11.521,11.618,22815,0
20060712,11.569,12.007,11.569,11.91,23132,0
20060713,12.007,12.007,11.569,11.569,4343,0
20060714,11.472,11.764,11.472,11.764,2515,0
20060717,11.764,11.764,11.569,11.667,6934,0
20060718,11.667,11.861,11.569,11.667,10135,0
20060719,11.764,11.764,11.569,11.764,14456,0
20060720,11.667,11.861,11.569,11.764,4754,0
20060721,11.861,11.861,11.667,11.764,1245,0
20060724,11.813,11.813,11.667,11.813,3060,0
20060725,11.813,11.813,11.667,11.667,5919,0
20060726,12.153,12.736,11.958,12.542,24805,0
20060727,12.542,12.542,12.201,12.542,34261,0
20060728,12.59,13.514,12.59,13.319,75779,0
20060731,13.611,15.507,13.611,14.875,202739,0
20060801,15.361,15.458,14.243,14.486,85708,0
20060802,14.389,15.069,14.389,14.826,27318,0
20060803,15.507,16.333,15.264,15.896,295051,0
20060804,16.333,18.472,16.285,17.986,358562,0
20060807,17.986,18.181,16.333,16.868,272662,0
20060808,16.868,16.868,15.944,16.236,91946,0
20060809,16.528,17.208,16.382,17.014,89241,0
20060810,17.111,17.16,16.528,16.965,34365,0
20060811,16.819,16.868,16.431,16.479,33687,0
20060814,16.042,16.285,15.556,15.75,26031,0
20060816,15.75,15.75,14.875,15.556,45832,0
20060817,15.556,15.604,15.069,15.069,42491,0
20060818,15.361,15.361,14.097,14.194,55043,0
20060821,14.146,15.167,13.417,14.875,83233,0
20060822,15.069,15.653,15.069,15.167,63962,0
20060823,15.41,15.458,14.583,14.583,38691,0
20060824,14.583,14.875,14.194,14.778,24949,0
20060825,14.583,15.847,14.486,15.604,482229,0
20060828,15.701,15.701,15.215,15.458,15088,0
20060829,15.41,15.653,15.361,15.653,21576,0
20060830,15.653,15.653,15.361,15.604,21558,0
20060831,15.604,15.653,15.361,15.361,18808,0
20060901,15.39,16.333,15.381,15.944,68095,0
20060904,16.042,16.042,15.556,15.721,23827,0
20060905,15.653,15.925,15.565,15.653,18133,0
20060906,15.993,15.993,15.556,15.896,17715,0
20060907,15.828,15.828,15.361,15.556,27042,0
20060908,15.731,15.847,15.604,15.663,24368,0
20060911,15.701,15.701,15.361,15.604,17547,0
20060912,15.993,16.324,15.604,15.896,36910,0
20060913,15.867,16.032,15.701,15.799,9156,0
20060914,15.896,15.896,15.653,15.799,10774,0
20060915,15.624,15.624,15.361,15.556,16425,0
20060918,15.74,15.74,15.264,15.546,17579,0
20060919,15.507,15.604,15.186,15.371,16806,0
20060920,15.264,15.313,14.632,15.069,25155,0
20060921,15.069,15.069,14.535,14.972,19353,0
20060922,14.681,14.972,14.535,14.924,18341,0
20060925,15.069,15.653,15.069,15.274,17975,0
20060926,15.458,15.799,15.458,15.507,24712,0
20060927,15.361,15.361,14.681,15.069,18176,0
20060928,15.789,15.789,15.069,15.701,31229,0
20060929,15.799,16.333,15.799,16.042,44430,0
20061002,16.333,17.306,16.333,17.16,86036,0
