Date,Open,High,Low,Close,Volume,OpenInt
19970506,13.497,13.497,13.497,13.497,460862,0
19970507,13.021,13.021,13.021,13.021,138213,0
19970508,12.546,12.546,12.546,12.546,69383,0
19970509,12.69,12.69,12.69,12.69,193478,0
19970512,12.546,12.546,12.546,12.546,239150,0
19970513,12.452,12.452,12.452,12.452,159634,0
19970514,12.503,12.503,12.503,12.503,100034,0
19970515,12.648,12.648,12.648,12.648,31088,0
19970516,12.648,12.648,12.648,12.648,59400,0
19970519,12.648,12.648,12.648,12.648,62038,0
19970520,12.452,12.452,12.452,12.452,91856,0
19970521,12.359,12.359,12.359,12.359,110495,0
19970522,12.359,12.359,12.359,12.359,170777,0
19970523,12.266,12.266,12.266,12.266,121706,0
19970526,11.884,11.884,11.884,11.884,162539,0
19970527,11.502,11.502,11.502,11.502,64982,0
19970528,11.553,11.553,11.553,11.553,137360,0
19970530,11.697,11.697,11.697,11.697,24842,0
19970602,11.884,11.884,11.884,11.884,133166,0
19970603,11.977,11.977,11.977,11.977,85027,0
19970604,11.977,11.977,11.977,11.977,41447,0
19970605,11.884,11.884,11.884,11.884,93026,0
19970606,11.977,11.977,11.977,11.977,81686,0
19970609,12.121,12.121,12.121,12.121,108491,0
19970610,12.546,12.546,12.546,12.546,118406,0
19970611,13.072,13.072,13.072,13.072,29988,0
19970612,13.836,13.836,13.836,13.836,108035,0
19970613,14.311,14.311,14.311,14.311,262258,0
19970616,14.498,14.498,14.498,14.498,131490,0
19970617,14.311,14.311,14.311,14.311,63435,0
19970618,14.074,14.074,14.074,14.074,73111,0
19970619,14.116,14.116,14.116,14.116,79197,0
19970620,14.498,14.498,14.498,14.498,93670,0
19970623,14.167,14.167,14.167,14.167,92907,0
19970624,13.972,13.972,13.972,13.972,80496,0
19970625,14.116,14.116,14.116,14.116,108481,0
19970626,13.972,13.972,13.972,13.972,109463,0
19970627,14.116,14.116,14.116,14.116,49765,0
19970630,13.972,13.972,13.972,13.972,45343,0
19970701,13.785,13.785,13.785,13.785,59618,0
19970702,13.598,13.598,13.598,13.598,86087,0
19970703,13.598,13.598,13.598,13.598,43598,0
19970704,13.497,13.497,13.497,13.497,34745,0
19970707,13.598,13.598,13.598,13.598,22880,0
19970708,13.692,13.692,13.692,13.692,10082,0
19970709,13.972,13.972,13.972,13.972,25080,0
19970710,14.023,14.023,14.023,14.023,53164,0
19970711,14.023,14.023,14.023,14.023,29423,0
19970714,13.785,13.785,13.785,13.785,67677,0
19970715,13.454,13.454,13.454,13.454,68173,0
19970716,13.547,13.547,13.547,13.547,65884,0
19970717,13.641,13.641,13.641,13.641,73477,0
19970718,13.785,13.785,13.785,13.785,39545,0
19970721,13.692,13.692,13.692,13.692,30612,0
19970722,13.785,13.785,13.785,13.785,97905,0
19970723,13.785,13.785,13.785,13.785,89081,0
19970724,13.598,13.598,13.598,13.598,109017,0
19970725,13.598,13.598,13.598,13.598,11875,0
19970728,13.547,13.547,13.547,13.547,26567,0
19970729,13.454,13.454,13.454,13.454,15652,0
19970730,13.547,13.547,13.547,13.547,43985,0
19970731,13.598,13.598,13.598,13.598,43580,0
19970801,13.403,13.403,13.403,13.403,61175,0
19970804,13.598,13.598,13.598,13.598,55861,0
19970805,13.497,13.497,13.497,13.497,30820,0
19970806,13.692,13.692,13.692,13.692,50766,0
19970807,13.785,13.785,13.785,13.785,101671,0
19970808,14.549,14.549,14.549,14.549,84630,0
19970811,15.024,15.024,15.024,15.024,96834,0
19970812,15.024,15.024,15.024,15.024,122192,0
19970813,15.211,15.211,15.211,15.211,161429,0
19970814,15.211,15.211,15.211,15.211,75906,0
19970818,14.447,14.447,14.447,14.447,88308,0
19970819,14.642,14.642,14.642,14.642,85523,0
19970820,14.923,14.923,14.923,14.923,52828,0
19970821,15.262,15.262,15.262,15.262,70840,0
19970822,15.356,15.356,15.356,15.356,27846,0
19970825,15.5,15.5,15.5,15.5,62097,0
19970826,15.5,15.5,15.5,15.5,30484,0
19970827,15.636,15.636,15.636,15.636,63386,0
19970828,15.78,15.78,15.78,15.78,39771,0
19970829,15.831,15.831,15.831,15.831,19639,0
19970901,15.305,15.305,15.305,15.305,10161,0
19970902,15.211,15.211,15.211,15.211,14414,0
19970903,15.737,15.737,15.737,15.737,48655,0
19970904,15.975,15.975,15.975,15.975,42161,0
19970905,15.975,15.975,15.975,15.975,58359,0
