Date,Open,High,Low,Close,Volume,OpenInt
20040506,8.4754,9.0709,8.4754,9.0709,3747969,0
20040507,9.3458,9.529,9.0251,9.3458,1044555,0
20040510,8.7136,9.0618,8.7136,8.9335,213619,0
20040511,8.8419,8.9793,8.8419,8.9152,183901,0
20040512,8.9243,9.0251,8.9243,9.016,73462,0
20040513,9.0434,9.0893,8.9793,8.9793,151453,0
20040514,8.9243,8.9243,8.5945,8.8968,256129,0
20040517,8.7961,8.9701,8.7044,8.9152,54952,0
20040518,8.9243,9.0709,8.9243,9.0251,1168647,0
20040519,9.0251,9.1076,9.0251,9.0709,750412,0
20040520,9.0709,9.0709,8.8968,9.0251,36431,0
20040521,8.9793,9.0893,8.9793,9.0709,229041,0
20040524,9.0068,9.0709,8.9335,9.0709,24480,0
20040525,8.9793,9.016,8.8877,9.016,54122,0
20040526,8.9793,8.9793,8.9152,8.9793,78013,0
20040527,8.961,9.0709,8.9518,9.0709,155644,0
20040528,8.9885,9.1351,8.9793,9.1167,156747,0
20040531,9.0709,9.0709,9.016,9.0343,15236,0
20040601,9.1076,9.1442,9.0709,9.1259,58161,0
20040602,9.1442,9.2542,9.1351,9.1626,78526,0
20040603,9.1626,9.3458,9.1626,9.3458,109183,0
20040604,9.3916,9.4833,9.3458,9.4833,107710,0
20040607,9.4833,9.712,9.4833,9.621,108299,0
20040608,9.667,9.712,9.575,9.667,47574,0
20040609,9.667,9.758,9.621,9.712,127453,0
20040611,9.758,9.987,9.758,9.987,30352,0
20040614,9.941,10.17,9.941,10.17,442638,0
20040615,10.262,10.308,10.17,10.262,477858,0
20040616,10.308,10.308,10.079,10.262,652831,0
20040617,10.262,10.262,10.079,10.125,239387,0
20040618,9.896,10.216,9.896,10.216,180190,0
20040621,10.17,10.17,9.987,10.17,41266,0
20040622,10.125,10.262,10.079,10.17,178946,0
20040623,10.216,10.491,10.216,10.354,169036,0
20040624,10.354,10.445,10.262,10.354,112392,0
20040625,10.262,10.354,10.262,10.354,4518,0
20040628,10.262,10.354,10.216,10.262,118962,0
20040629,10.216,10.491,10.216,10.4,1026700,0
20040630,10.354,10.537,10.354,10.445,127486,0
20040701,10.262,10.491,10.262,10.4,20671,0
20040702,10.4,10.4,10.216,10.354,43361,0
20040705,10.262,10.354,10.216,10.308,402551,0
20040706,10.17,10.216,10.079,10.125,92682,0
20040707,10.125,10.262,10.125,10.125,8349,0
20040708,10.216,10.262,10.216,10.262,15989,0
20040709,10.125,10.262,10.125,10.17,91656,0
