Date,Open,High,Low,Close,Volume,OpenInt
19980317,16.482,16.482,16.482,16.482,47942,0
19980318,14.851,14.851,14.851,14.851,81279,0
19980319,14.355,14.355,14.355,14.355,53145,0
19980320,14.851,14.851,14.851,14.851,37759,0
19980323,14.706,14.706,14.706,14.706,19466,0
19980324,14.493,14.493,14.493,14.493,26344,0
19980325,14.355,14.355,14.355,14.355,20282,0
19980326,14.355,14.355,14.355,14.355,32007,0
19980327,14.21,14.21,14.21,14.21,30055,0
19980330,14.21,14.21,14.21,14.21,15005,0
19980331,14.21,14.21,14.21,14.21,20552,0
19980401,13.501,13.501,13.501,13.501,10785,0
19980402,13.501,13.501,13.501,13.501,23470,0
19980406,13.288,13.288,13.288,13.288,17159,0
19980407,13.143,13.143,13.143,13.143,6096,0
19980408,13.219,13.219,13.219,13.219,14705,0
19980409,12.648,12.648,12.648,12.648,10268,0
19980414,12.716,12.716,12.716,12.716,18337,0
19980415,12.792,12.792,12.792,12.792,10190,0
19980416,12.93,12.93,12.93,12.93,9005,0
19980417,13.143,13.143,13.143,13.143,18880,0
19980420,13.357,13.357,13.357,13.357,25400,0
19980421,14.287,14.287,14.287,14.287,39643,0
19980422,14.21,14.21,14.21,14.21,22654,0
19980423,13.501,13.501,13.501,13.501,22380,0
19980424,13.357,13.357,13.357,13.357,32370,0
19980427,12.083,12.083,12.083,12.083,19449,0
19980428,11.23,11.23,11.23,11.23,10509,0
19980429,11.512,11.512,11.512,11.512,13237,0
19980430,11.794,11.794,11.794,11.794,13275,0
19980504,12.366,12.366,12.366,12.366,3855,0
19980505,12.93,12.93,12.93,12.93,8925,0
19980506,13.143,13.143,13.143,13.143,24623,0
19980507,12.792,12.792,12.792,12.792,2539,0
19980508,12.083,12.083,12.083,12.083,26352,0
19980511,11.512,11.512,11.512,11.512,16183,0
19980512,11.656,11.656,11.656,11.656,8583,0
19980513,11.512,11.512,11.512,11.512,6211,0
19980514,11.367,11.367,11.367,11.367,1790,0
19980515,11.298,11.298,11.298,11.298,13155,0
19980518,10.726,10.726,10.726,10.726,1476,0
19980519,10.094,10.094,10.094,10.094,2831,0
19980520,10.376,10.376,10.376,10.376,6647,0
19980521,10.803,10.803,10.803,10.803,6231,0
19980522,10.803,10.803,10.803,10.803,1550,0
19980525,10.307,10.307,10.307,10.307,6251,0
19980526,10.444,10.444,10.444,10.444,6338,0
19980527,9.4533,9.4533,9.4533,9.4533,3369,0
19980528,9.3771,9.3771,9.3771,9.3771,6790,0
19980529,9.4533,9.4533,9.4533,9.4533,5592,0
19980601,8.5308,8.5308,8.5308,8.5308,9962,0
