Date,Open,High,Low,Close,Volume,OpenInt
20040607,3.54,3.54,3.15,3.18,176653,0
20040608,3.22,3.31,3.16,3.17,62437,0
20040609,3.18,3.23,3.07,3.22,46182,0
20040611,3.23,3.36,3.23,3.3,33280,0
20040614,3.34,3.34,3.21,3.3,21546,0
20040615,3.25,3.33,3.22,3.33,33039,0
20040617,3.38,3.38,3.22,3.25,13477,0
20040618,3.27,3.3,3.27,3.3,7207,0
20040621,3.21,3.29,3.18,3.29,8963,0
20040622,3.28,3.29,3.28,3.28,122949,0
20040623,3.27,3.27,3.27,3.27,9039,0
20040625,3.21,3.25,3.18,3.25,7550,0
20040628,3.18,3.25,3.14,3.15,57692,0
20040629,3.18,3.24,3.15,3.24,2221,0
20040630,3.13,3.15,3.07,3.07,9928,0
20040701,3.08,3.11,3,3.1,6788,0
20040702,3.1,3.24,3.1,3.24,8980,0
20040705,3.09,3.37,3.09,3.29,3484,0
20040706,3.29,3.29,3.18,3.18,5274,0
20040708,3.18,3.25,3.18,3.25,4260,0
20040709,3.25,3.25,3.21,3.21,4116,0
20040712,3.16,3.24,3.07,3.15,23114,0
20040714,3.01,3.07,3.01,3.07,2292,0
20040715,3.07,3.07,2.95,2.95,4897,0
20040716,2.9,2.95,2.83,2.84,15466,0
20040719,2.94,2.94,2.81,2.83,9996,0
20040720,2.92,3.07,2.83,2.94,14483,0
20040721,2.88,2.95,2.88,2.9,3676,0
20040722,2.95,2.95,2.92,2.92,581,0
20040723,2.88,2.9,2.78,2.9,5969,0
20040726,2.95,3.01,2.9,2.95,5965,0
20040727,3,3,2.83,2.83,177,0
20040728,2.97,3.1,2.97,3.07,26040,0
20040729,3.1,3.1,3.09,3.1,7618,0
20040802,3.11,3.11,3.11,3.11,424,0
20040804,3.1,3.14,3.1,3.11,14838,0
20040805,3.02,3.13,3.02,3.13,207,0
20040806,3.14,3.14,3.13,3.13,631,0
20040810,3.09,3.09,3.09,3.09,1776,0
20040811,3.09,3.09,3.09,3.09,894,0
20040812,3.02,3.09,3,3.09,3286,0
20040813,3.09,3.09,3.09,3.09,212,0
20040816,3.09,3.09,3.09,3.09,29,0
20040818,3.02,3.02,3.02,3.02,424,0
20040820,2.87,3.09,2.83,3.09,13100,0
20040823,2.88,3.08,2.88,3.04,1878,0
20040825,3.04,3.04,3.04,3.04,410,0
20040826,3.07,3.07,2.97,3.07,2764,0
20040827,3.02,3.09,3.02,3.07,8632,0
20040831,2.97,3.07,2.97,3.07,67,0
20040901,2.96,3.04,2.91,2.92,8437,0
20040902,2.94,2.97,2.92,2.97,10420,0
20040903,2.95,2.95,2.95,2.95,1356,0
20040906,2.89,2.91,2.89,2.9,9220,0
20040907,2.83,2.91,2.83,2.89,16221,0
20040908,2.89,2.91,2.89,2.91,3522,0
20040909,2.89,2.89,2.89,2.89,127,0
20040910,2.83,2.84,2.74,2.74,14516,0
20040913,2.74,2.78,2.59,2.67,18277,0
20040914,2.5,2.74,2.48,2.49,24954,0
20040915,2.48,2.5,2.38,2.38,15899,0
20040916,2.48,2.48,2.41,2.41,7399,0
20040917,2.5,2.57,2.5,2.57,10727,0
20040920,2.59,2.59,2.59,2.59,8479,0
20040922,2.57,2.57,2.48,2.48,1059,0
20040923,2.49,2.49,2.36,2.36,2221,0
20040924,2.29,2.57,2.24,2.57,24989,0
20040927,2.57,2.57,2.44,2.5,5582,0
20040928,2.46,2.57,2.46,2.48,2790,0
20040929,2.52,2.64,2.52,2.64,6358,0
20040930,2.62,2.78,2.62,2.78,13858,0
20041001,2.79,2.79,2.71,2.71,2118,0
20041004,2.63,2.63,2.61,2.61,2548,0
20041005,2.59,2.59,2.59,2.59,330,0
20041006,2.59,2.59,1.93,1.93,159017,0
20041007,2,2.12,1.79,1.79,72866,0
20041008,1.79,2.03,1.79,1.85,59206,0
20041011,2.03,2.03,2,2.03,16908,0
20041012,2.03,2.17,2.03,2.1,25184,0
20041013,2.15,2.15,1.92,2.09,1734,0
20041014,2.04,2.09,2.04,2.08,7308,0
20041015,2.08,2.08,1.97,2.08,1115,0
20041018,2.08,2.08,1.97,1.98,12969,0
20041019,1.97,2.02,1.97,2.02,6012,0
20041020,1.98,1.99,1.9,1.91,19366,0
20041021,1.88,1.97,1.82,1.85,5833,0
20041022,1.89,1.96,1.89,1.96,7706,0
20041027,1.85,1.98,1.8,1.98,534,0
20041028,1.89,1.98,1.89,1.98,4451,0
20041029,1.99,2,1.99,2,13291,0
20041102,2,2,1.96,2,19310,0
20041103,2.03,2.03,1.98,2.03,10281,0
20041104,2.03,2.05,2.03,2.05,5511,0
20041105,2.03,2.05,1.91,1.92,12141,0
20041108,1.91,1.92,1.91,1.92,3136,0
20041109,1.95,2.06,1.95,2.03,4086,0
20041110,1.91,2.04,1.91,1.96,10052,0
20041112,1.91,1.92,1.86,1.91,13736,0
20041115,1.89,1.95,1.86,1.93,12061,0
20041116,1.95,1.95,1.95,1.95,313,0
20041117,1.86,1.88,1.86,1.88,5847,0
20041118,1.85,1.88,1.82,1.82,15012,0
20041119,1.82,1.82,1.79,1.8,17298,0
20041122,1.79,1.84,1.79,1.8,17646,0
20041123,1.8,1.8,1.77,1.8,11828,0
20041124,1.77,1.86,1.7,1.86,13702,0
20041126,1.77,1.82,1.69,1.73,14342,0
20041129,1.75,1.83,1.65,1.65,105279,0
20041130,1.66,1.66,1.64,1.65,11435,0
