Date,Open,High,Low,Close,Volume,OpenInt
20061206,7.219,7.4875,6.1565,7.033,6130354,0
20061207,7.091,7.1035,6.5535,6.8475,1068631,0
20061208,6.841,7.142,6.5535,6.873,550859,0
20061211,7.0075,7.0075,6.662,6.662,448957,0
20061212,6.534,6.534,6.246,6.246,399293,0
20061213,6.2075,6.2075,5.8495,5.8815,372227,0
20061214,5.977,6.355,5.83,5.99,356794,0
20061215,6.0415,6.0795,4.979,5.593,356273,0
20061218,5.7215,5.811,5.619,5.766,110520,0
20061219,5.7405,5.7405,5.414,5.459,90519,0
20061220,5.35,5.478,5.1965,5.2925,153856,0
20061221,5.5035,5.5035,5.299,5.401,154096,0
20061222,5.459,5.459,4.8955,4.8955,242048,0
20061227,5.075,5.446,5.0365,5.4395,95434,0
20061228,5.5615,6.0475,5.5615,5.894,264470,0
20061229,6.0155,6.0285,5.6955,5.8815,93338,0
20070102,5.83,5.9965,5.779,5.894,83133,0
20070103,5.99,5.9965,5.67,5.8815,162873,0
20070104,5.83,5.83,5.619,5.619,109097,0
20070105,5.619,5.7215,5.593,5.7215,49915,0
20070108,5.6895,5.8045,5.625,5.798,29238,0
20070109,5.817,5.8555,5.7215,5.779,62511,0
20070110,5.8045,5.817,5.715,5.7465,26697,0
20070111,5.798,5.798,5.619,5.6445,47425,0
20070112,5.99,6.15,5.8815,5.9515,337599,0
20070115,6.1435,6.899,6.0475,6.899,692825,0
20070116,6.9565,7.622,6.739,7.385,1038641,0
20070117,7.5965,8.134,7.571,8.102,1213565,0
20070118,8.7675,10.08,8.6845,9.824,2269510,0
20070119,9.1,9.952,8.883,9.305,1224502,0
20070122,9.337,9.6,8.5885,8.614,575346,0
20070123,8.3515,9.561,8.134,9.3755,1078075,0
20070124,9.766,9.894,9.2285,9.3625,652188,0
20070125,9.305,9.632,8.934,9.0105,352609,0
20070126,8.9785,9.3625,8.6395,9.1835,304422,0
20070129,9.305,9.549,9.203,9.549,309117,0
20070130,9.625,9.696,9.254,9.3625,161551,0
20070131,9.4715,9.4715,9.305,9.382,101598,0
20070201,9.4135,9.4715,9.145,9.2285,114188,0
20070202,9.337,9.3625,9.094,9.177,160162,0
20070205,9.177,9.203,8.9915,9.145,91641,0
20070206,9.094,9.094,8.8315,8.934,113400,0
20070207,8.825,8.825,8.6715,8.723,148046,0
20070208,8.774,8.774,8.2105,8.326,221680,0
20070209,8.2105,8.985,8.2105,8.966,232766,0
20070212,8.825,8.9465,8.6395,8.793,88749,0
20070213,8.774,9.3565,8.582,9.3565,210428,0
20070214,9.203,9.4715,9.043,9.145,199352,0
20070215,9.2795,9.3625,8.883,9.043,210637,0
20070216,8.985,9.043,8.71,9.0365,118646,0
20070219,9.4715,10.969,9.2795,10.969,1713642,0
20070220,11.18,11.558,10.31,10.496,880559,0
20070221,10.675,11.232,10.54,10.643,346985,0
20070222,10.86,10.931,10.432,10.848,205080,0
20070223,10.854,11.18,10.489,10.765,246440,0
20070226,11.238,12.352,11.238,11.993,829486,0
20070227,11.769,11.98,10.969,11.18,691411,0
20070228,10.457,11.424,10.221,10.809,832872,0
20070301,11.18,11.501,10.432,10.809,413167,0
20070302,11.168,11.289,10.7,11.244,142252,0
20070305,10.643,10.86,10.483,10.694,334030,0
20070306,10.912,11.129,10.809,11.104,175077,0
20070307,11.232,11.289,10.969,11.129,224497,0
20070308,11.168,11.552,11.168,11.526,310832,0
20070309,11.66,11.686,11.366,11.609,177274,0
20070312,11.558,11.558,11.289,11.443,139114,0
20070313,11.449,11.609,11.129,11.609,132242,0
20070314,10.809,11.558,10.809,11.507,211446,0
20070315,11.718,12.076,11.66,11.814,140286,0
20070316,11.769,12.838,11.558,12.569,382504,0
20070319,12.729,14.656,12.729,14.495,482199,0
20070320,14.976,15.353,13.913,14.924,472710,0
20070321,15.219,15.353,14.604,14.982,260394,0
20070322,16.05,17.087,16.05,16.102,634498,0
20070323,16.371,16.959,15.52,16.959,362567,0
20070326,17.254,20.274,17.119,19.205,469731,0
20070327,20.063,20.274,18.137,18.323,642885,0
20070328,16.94,18.137,16.588,17.465,678080,0
20070329,17.689,18.726,17.65,18.668,339722,0
20070330,18.828,18.828,17.657,18.028,201827,0
20070402,18.079,18.079,16.582,17.254,224197,0
20070403,16.761,17.964,16.761,17.414,250225,0
20070404,17.65,18.457,17.388,17.593,208210,0
20070405,17.919,18.073,17.395,17.49,143171,0
20070410,17.439,17.439,16.691,17.036,239679,0
20070411,17.228,17.913,17.228,17.548,215253,0
20070412,17.657,17.759,16.818,17.119,216470,0
20070413,17.919,18.483,17.772,17.868,219201,0
20070416,17.977,18.457,17.708,17.977,110241,0
20070417,18.169,18.169,17.228,17.919,86597,0
20070418,18.022,21.798,17.548,20.313,1093808,0
20070419,20.114,21.074,19.365,20.62,303663,0
20070420,21.241,24.984,21.183,24.607,755760,0
20070423,27.282,34.238,27.013,30.975,1412395,0
20070424,32.095,32.363,27.896,29.637,702286,0
20070425,28.351,29.157,26.911,27.922,503866,0
20070426,28.831,29.822,27.979,28.351,255624,0
20070427,28.351,28.619,26.719,27.231,159854,0
20070430,25.676,26.296,24.178,25.234,375979,0
20070502,26.482,28.888,25.842,28.888,324811,0
20070504,30.226,31.454,29.419,29.771,358508,0
20070507,28.888,29.611,27.845,28.965,205899,0
20070508,29.419,29.746,27.442,27.711,173386,0
20070509,27.922,29.157,26.744,27.333,169349,0
20070510,28.031,28.031,25.708,25.944,160128,0
20070511,25.144,27.66,23.429,26.29,409773,0
20070514,27.602,27.602,26.175,27.039,182943,0
20070515,26.642,26.693,26.028,26.213,92182,0
20070516,26.322,26.744,25.688,26.264,66162,0
20070517,27.071,28.082,26.213,26.744,207090,0
20070518,26.853,27.013,25.944,26.424,63752,0
20070521,27.333,27.442,26.533,27.148,88930,0
20070522,27.205,27.551,26.533,26.776,185773,0
20070523,27.013,27.013,26.578,26.744,69219,0
20070524,26.744,26.744,25.701,26.533,89022,0
20070525,25.944,26.482,25.784,26.162,102781,0
20070528,26.482,26.744,25.784,26.053,150791,0
20070529,26.373,26.476,25.733,26.469,222347,0
20070530,27.199,28.799,27.199,27.519,364653,0
20070531,28.159,28.479,26.751,26.821,124010,0
20070601,26.872,26.879,26.239,26.277,98440,0
20070604,26.277,26.335,24.639,24.959,139202,0
20070605,24.959,24.959,23.519,23.743,209432,0
20070606,23.353,23.353,21.842,22.719,248947,0
20070608,21.759,24.607,21.439,24.319,206140,0
20070611,25.24,25.541,24.639,25.471,165094,0
20070612,26.047,26.047,24.562,24.575,66449,0
20070613,23.807,25.247,23.743,24.261,59099,0
20070614,24.319,24.319,23.423,23.801,81703,0
20070615,23.871,23.871,23.557,23.775,69279,0
20070618,23.775,23.871,22.207,22.975,91938,0
20070619,22.719,23.679,21.439,23.365,226753,0
20070620,23.615,23.615,22.527,22.975,73338,0
20070621,22.725,23.359,22.207,23.103,46500,0
20070622,23.167,23.167,22.412,22.431,59335,0
20070625,22.405,22.706,21.759,22.15,59233,0
20070626,22.079,23.301,21.759,23.167,158132,0
20070627,23.103,23.103,22.546,22.879,45573,0
20070628,22.879,23.039,22.143,22.322,46507,0
20070629,22.316,22.719,22.271,22.335,52614,0
20070702,22.335,22.335,21.759,21.919,31095,0
20070703,22.079,22.201,21.439,21.573,44429,0
20070704,21.573,21.766,20.87,21.113,81347,0
20070705,21.119,23.519,20.863,22.937,220069,0
20070706,23.679,23.679,22.469,22.879,167458,0
20070709,22.879,22.879,21.766,21.855,67907,0
20070710,21.759,21.759,21.055,21.125,106395,0
20070711,21.055,21.062,20.492,20.492,46526,0
20070712,21.887,23.039,21.503,21.951,220473,0
20070713,22.591,22.975,21.343,21.343,75972,0
20070716,21.439,21.567,19.327,20.671,79426,0
20070717,20.607,21.125,19.583,21.125,123180,0
20070718,21.567,21.567,20.447,21.311,146588,0
20070719,21.631,21.951,21.375,21.439,69757,0
20070720,21.657,21.657,21.055,21.375,38673,0
20070723,21.292,21.292,20.671,20.735,23787,0
20070724,20.799,21.113,20.485,20.729,30916,0
20070725,20.479,20.671,19.551,20.191,50284,0
20070726,20.607,21.042,19.205,19.583,46396,0
20070727,18.623,19.199,18.239,18.527,106531,0
20070730,18.853,18.853,17.823,18.623,50033,0
20070731,19.116,19.903,18.751,19.455,58527,0
20070801,18.943,18.943,18.527,18.636,43529,0
20070802,19.071,19.519,18.847,19.071,29244,0
20070803,20.095,20.095,18.751,19.039,46515,0
20070806,18.873,18.873,18.002,18.514,63007,0
20070807,18.943,19.135,18.239,18.303,27717,0
20070808,18.367,18.527,17.996,18.367,24842,0
20070809,18.354,18.367,16.639,17.132,38657,0
20070810,15.999,16.383,14.527,15.103,204416,0
20070813,15.423,15.999,15.231,15.999,71118,0
20070814,16.511,16.511,15.36,15.487,39245,0
20070816,14.086,14.399,11.923,12.486,188000,0
20070817,12.544,14.08,11.968,13.983,234766,0
20070820,15.295,15.423,14.272,15.103,165800,0
20070821,15.295,15.295,14.015,14.656,71707,0
20070822,14.719,15.039,14.086,14.847,109266,0
20070823,15.36,15.513,15.103,15.295,80570,0
20070824,15.257,16.62,14.719,16.371,143578,0
20070827,17.279,18.002,17.151,17.599,179873,0
20070828,17.279,20.799,17.279,18.847,309535,0
20070829,17.343,20.159,17.343,20.082,301312,0
20070830,21.125,21.759,19.199,20.095,290345,0
20070831,20.863,21.113,20.607,20.991,92135,0
20070903,21.247,21.426,20.863,21.151,81094,0
20070904,21.113,21.113,19.218,20.671,67901,0
20070905,20.671,20.671,19.519,19.519,56847,0
20070906,19.27,20.159,18.687,19.513,106297,0
20070907,19.205,19.954,18.239,18.438,72935,0
20070910,17.535,18.354,17.087,17.503,145732,0
20070911,18.143,18.559,17.855,18.278,82969,0
20070912,18.623,18.623,17.599,18.079,56000,0
20070913,18.61,18.879,18.303,18.559,90949,0
20070914,18.559,18.847,17.919,18.425,42718,0
20070917,17.791,18.361,17.791,18.207,29711,0
20070918,18.06,18.495,17.919,18.463,20620,0
20070919,19.455,19.634,19.071,19.327,91808,0
20070920,19.199,19.327,18.879,18.911,46026,0
20070921,18.911,18.911,18.514,18.655,31664,0
20070924,18.559,18.623,18.239,18.559,36425,0
20070925,18.469,18.476,18.143,18.374,17760,0
20070926,18.367,18.687,17.919,17.919,40427,0
20070927,17.996,18.483,17.996,18.239,32764,0
20070928,17.919,18.22,17.855,18.079,43035,0
20071001,17.727,17.983,17.369,17.599,36275,0
20071002,18.239,18.239,17.407,17.919,60879,0
20071003,17.599,17.791,17.414,17.478,20034,0
20071004,17.471,17.9,17.151,17.9,49450,0
20071005,17.791,18.45,17.759,17.919,35063,0
20071008,18.111,18.291,17.919,18.214,42506,0
20071009,18.207,18.623,18.086,18.553,46740,0
20071010,18.559,18.719,18.303,18.559,43963,0
20071011,18.271,18.591,18.271,18.553,38936,0
20071012,18.431,18.457,18.201,18.418,27191,0
20071015,18.463,19.135,18.418,18.879,74162,0
20071016,18.815,18.815,18.374,18.559,26506,0
20071017,18.309,18.559,18.246,18.399,10391,0
20071018,18.399,18.399,17.874,18.111,19479,0
20071019,17.868,18.099,17.567,17.727,30330,0
20071022,17.599,17.631,17.311,17.375,32647,0
20071023,17.535,17.855,17.535,17.81,17031,0
20071024,18.047,18.483,17.798,17.887,44202,0
20071025,18.239,18.463,17.599,17.734,55541,0
20071026,17.727,18.175,17.567,17.67,25803,0
20071029,17.9,17.9,17.599,17.599,18595,0
20071030,17.414,17.535,17.292,17.298,14204,0
20071031,17.286,17.503,17.286,17.503,19129,0
20071102,17.151,17.324,16.646,17.183,25467,0
20071105,17.215,18.399,16.959,17.599,105720,0
20071106,18.047,18.079,17.663,17.714,32449,0
20071107,17.343,17.67,15.999,15.999,78387,0
20071108,14.598,16.607,14.598,15.871,147232,0
20071109,16.383,16.447,15.078,15.36,73895,0
20071112,14.879,15.36,14.719,14.924,61667,0
20071113,15.225,15.423,14.719,15.423,41494,0
20071114,16.063,16.255,15.494,15.615,53401,0
20071115,15.423,15.551,13.888,14.272,80520,0
20071116,13.888,14.08,12.896,13.6,396030,0
20071119,13.644,14.08,13.248,13.248,71776,0
20071120,13.113,13.248,12.096,12.326,162240,0
20071121,11.66,11.776,10.566,10.566,256416,0
20071122,10.496,12.48,9.35,12.16,675172,0
20071123,12.422,12.787,12.16,12.767,208265,0
20071126,13.503,13.888,12.767,13.311,239639,0
20071127,12.544,13.439,12.383,12.927,137459,0
20071128,13.439,13.92,12.927,13.907,194460,0
20071129,14.425,15.36,14.335,14.642,220995,0
20071130,15.039,15.078,14.656,14.847,86805,0
20071203,14.719,14.719,14.272,14.527,45374,0
20071204,14.399,14.527,14.124,14.367,31039,0
20071205,14.527,15.033,14.412,15.033,73593,0
20071206,15.135,15.168,14.47,14.521,75217,0
20071207,14.899,14.899,14.527,14.656,37173,0
20071210,14.719,14.719,14.22,14.399,46900,0
20071211,14.233,14.233,13.791,13.888,55622,0
20071212,13.119,13.753,13.056,13.606,80475,0
20071213,13.376,13.439,12.927,12.992,63440,0
20071214,12.959,13.222,12.672,12.927,37086,0
20071217,12.614,12.614,12.16,12.192,97232,0
20071218,11.904,12.672,11.392,12.48,136420,0
