Date,Open,High,Low,Close,Volume,OpenInt
19971105,14.56,14.56,14.56,14.56,122500,0
19971106,14.29,14.29,14.29,14.29,71484,0
19971107,13.89,13.89,13.89,13.89,107796,0
19971112,13.49,13.49,13.49,13.49,93461,0
19971113,12.66,12.66,12.66,12.66,29728,0
19971114,13.1,13.1,13.1,13.1,48236,0
19971117,14.41,14.41,14.41,14.41,127766,0
19971118,14.29,14.29,14.29,14.29,57128,0
19971119,13.77,13.77,13.77,13.77,47780,0
19971120,13.89,13.89,13.89,13.89,15479,0
19971121,14.25,14.25,14.25,14.25,29471,0
19971124,14.25,14.25,14.25,14.25,22756,0
19971125,13.69,13.69,13.69,13.69,47656,0
19971126,13.53,13.53,13.53,13.53,23300,0
19971127,13.41,13.41,13.41,13.41,8519,0
19971128,13.49,13.49,13.49,13.49,20034,0
19971201,13.77,13.77,13.77,13.77,45242,0
19971202,14.13,14.13,14.13,14.13,44267,0
19971203,14.17,14.17,14.17,14.17,65333,0
19971204,14.17,14.17,14.17,14.17,34715,0
19971205,14.17,14.17,14.17,14.17,35869,0
19971208,14.09,14.09,14.09,14.09,77960,0
19971209,14.01,14.01,14.01,14.01,30401,0
19971210,13.97,13.97,13.97,13.97,34765,0
19971211,13.89,13.89,13.89,13.89,60026,0
19971212,13.57,13.57,13.57,13.57,16446,0
19971215,13.49,13.49,13.49,13.49,7740,0
19971216,13.18,13.18,13.18,13.18,4422,0
19971217,13.49,13.49,13.49,13.49,11180,0
19971218,13.1,13.1,13.1,13.1,18999,0
19971219,12.3,12.3,12.3,12.3,46213,0
19971222,11.91,11.91,11.91,11.91,48024,0
19971223,11.11,11.11,11.11,11.11,28224,0
19971229,11.15,11.15,11.15,11.15,7748,0
19971230,11.47,11.47,11.47,11.47,22721,0
19971231,11.91,11.91,11.91,11.91,24913,0
19980105,12.5,12.5,12.5,12.5,10449,0
19980106,12.7,12.7,12.7,12.7,14705,0
19980107,12.5,12.5,12.5,12.5,67054,0
19980108,12.7,12.7,12.7,12.7,23476,0
19980109,12.7,12.7,12.7,12.7,9948,0
19980112,11.99,11.99,11.99,11.99,14566,0
19980113,12.1,12.1,12.1,12.1,8809,0
19980114,12.5,12.5,12.5,12.5,27314,0
19980115,12.5,12.5,12.5,12.5,93532,0
19980116,12.54,12.54,12.54,12.54,15418,0
19980119,12.82,12.82,12.82,12.82,5084,0
19980120,12.9,12.9,12.9,12.9,23655,0
19980121,12.62,12.62,12.62,12.62,874,0
19980122,12.38,12.38,12.38,12.38,3958,0
19980123,12.7,12.7,12.7,12.7,2645,0
19980126,12.7,12.7,12.7,12.7,8390,0
19980127,11.43,11.43,11.43,11.43,4359,0
19980128,12.46,12.46,12.46,12.46,2141,0
19980129,12.38,12.38,12.38,12.38,5150,0
19980130,12.18,12.18,12.18,12.18,10512,0
19980202,12.1,12.1,12.1,12.1,1486,0
19980203,12.5,12.5,12.5,12.5,24353,0
19980204,12.9,12.9,12.9,12.9,12853,0
19980205,12.58,12.58,12.58,12.58,14446,0
19980206,12.5,12.5,12.5,12.5,33954,0
19980209,12.62,12.62,12.62,12.62,20755,0
19980210,12.7,12.7,12.7,12.7,44862,0
19980211,12.78,12.78,12.78,12.78,13060,0
19980212,13.53,13.53,13.53,13.53,110210,0
19980213,13.1,13.1,13.1,13.1,5619,0
19980216,13.06,13.06,13.06,13.06,3033,0
19980217,12.78,12.78,12.78,12.78,5462,0
19980218,12.9,12.9,12.9,12.9,3389,0
19980219,13.22,13.22,13.22,13.22,12604,0
19980220,13.37,13.37,13.37,13.37,6622,0
19980223,13.73,13.73,13.73,13.73,13241,0
19980224,13.77,13.77,13.77,13.77,22854,0
19980225,13.81,13.81,13.81,13.81,14655,0
19980226,13.89,13.89,13.89,13.89,19929,0
19980227,13.89,13.89,13.89,13.89,11689,0
19980302,13.89,13.89,13.89,13.89,16534,0
19980303,14.29,14.29,14.29,14.29,18366,0
19980304,13.89,13.89,13.89,13.89,6926,0
19980305,13.1,13.1,13.1,13.1,8574,0
19980306,13.49,13.49,13.49,13.49,9504,0
19980309,13.49,13.49,13.49,13.49,3852,0
19980310,13.49,13.49,13.49,13.49,1519,0
19980311,13.89,13.89,13.89,13.89,17809,0
19980312,12.5,12.5,12.5,12.5,11820,0
19980313,13.73,13.73,13.73,13.73,3326,0
19980316,13.89,13.89,13.89,13.89,21561,0
19980317,13.49,13.49,13.49,13.49,8698,0
19980318,13.29,13.29,13.29,13.29,692,0
19980319,14.37,14.37,14.37,14.37,38636,0
19980320,13.69,13.69,13.69,13.69,579,0
19980323,13.89,13.89,13.89,13.89,599,0
19980324,13.29,13.29,13.29,13.29,1290,0
19980325,13.33,13.33,13.33,13.33,453,0
19980326,13.29,13.29,13.29,13.29,5241,0
19980327,13.02,13.02,13.02,13.02,1552,0
19980330,12.86,12.86,12.86,12.86,2973,0
19980331,12.74,12.74,12.74,12.74,3802,0
19980401,13.02,13.02,13.02,13.02,5795,0
19980402,13.65,13.65,13.65,13.65,10079,0
19980406,13.14,13.14,13.14,13.14,1990,0
19980407,13.49,13.49,13.49,13.49,1718,0
19980408,13.1,13.1,13.1,13.1,3494,0
19980409,12.94,12.94,12.94,12.94,2058,0
19980414,12.98,12.98,12.98,12.98,3227,0
19980415,13.26,13.26,13.26,13.26,2519,0
19980416,13.06,13.06,13.06,13.06,3757,0
19980417,13.1,13.1,13.1,13.1,1874,0
19980420,13.1,13.1,13.1,13.1,1698,0
19980421,12.94,12.94,12.94,12.94,3507,0
19980422,12.94,12.94,12.94,12.94,2897,0
19980423,12.98,12.98,12.98,12.98,1292,0
19980424,13.06,13.06,13.06,13.06,957,0
19980427,13.02,13.02,13.02,13.02,1852,0
19980428,12.94,12.94,12.94,12.94,1811,0
19980429,12.86,12.86,12.86,12.86,23534,0
19980430,12.9,12.9,12.9,12.9,4064,0
19980504,12.86,12.86,12.86,12.86,667,0
19980505,12.94,12.94,12.94,12.94,2141,0
19980506,12.74,12.74,12.74,12.74,2000,0
19980507,12.62,12.62,12.62,12.62,25336,0
19980508,12.66,12.66,12.66,12.66,1209,0
19980511,12.5,12.5,12.5,12.5,2688,0
19980512,12.3,12.3,12.3,12.3,2539,0
19980513,12.18,12.18,12.18,12.18,932,0
19980514,11.83,11.83,11.83,11.83,2469,0
19980515,11.87,11.87,11.87,11.87,3580,0
19980518,11.47,11.47,11.47,11.47,844,0
19980519,11.11,11.11,11.11,11.11,9013,0
19980520,10.91,10.91,10.91,10.91,10444,0
19980521,11.51,11.51,11.51,11.51,2267,0
19980522,11.51,11.51,11.51,11.51,2305,0
19980525,10.99,10.99,10.99,10.99,3469,0
19980526,11.19,11.19,11.19,11.19,1007,0
19980527,11.11,11.11,11.11,11.11,1736,0
19980528,10.91,10.91,10.91,10.91,2406,0
19980529,10.48,10.48,10.48,10.48,4369,0
19980601,10.72,10.72,10.72,10.72,1262,0
19980602,10.64,10.64,10.64,10.64,1834,0
19980603,11.11,11.11,11.11,11.11,1640,0
19980604,10.52,10.52,10.52,10.52,21194,0
19980605,10.2,10.2,10.2,10.2,23461,0
19980608,10.68,10.68,10.68,10.68,2096,0
19980609,9.76,9.76,9.76,9.76,11235,0
19980610,9.52,9.52,9.52,9.52,3880,0
19980615,8.57,8.57,8.57,8.57,1915,0
19980616,7.74,7.74,7.74,7.74,4971,0
19980617,7.98,7.98,7.98,7.98,7171,0
19980618,7.82,7.82,7.82,7.82,4545,0
19980619,7.54,7.54,7.54,7.54,3404,0
19980622,7.3,7.3,7.3,7.3,8552,0
19980623,7.38,7.38,7.38,7.38,5974,0
19980624,7.34,7.34,7.34,7.34,8781,0
19980625,7.34,7.34,7.34,7.34,5132,0
19980626,7.34,7.34,7.34,7.34,3230,0
19980629,7.5,7.5,7.5,7.5,3477,0
19980630,7.46,7.46,7.46,7.46,4031,0
19980701,7.54,7.54,7.54,7.54,2847,0
19980702,7.7,7.7,7.7,7.7,3837,0
19980703,7.74,7.74,7.74,7.74,4611,0
19980706,7.82,7.82,7.82,7.82,4409,0
19980707,7.94,7.94,7.94,7.94,5724,0
19980708,7.7,7.7,7.7,7.7,2323,0
19980709,7.62,7.62,7.62,7.62,1932,0
19980710,6.87,6.87,6.87,6.87,45777,0
19980713,6.83,6.83,6.83,6.83,15602,0
19980714,6.95,6.95,6.95,6.95,9660,0
19980715,6.95,6.95,6.95,6.95,15600,0
19980716,6.91,6.91,6.91,6.91,7990,0
19980717,6.95,6.95,6.95,6.95,2721,0
19980720,6.95,6.95,6.95,6.95,7967,0
19980721,6.75,6.75,6.75,6.75,8214,0
19980722,6.07,6.07,6.07,6.07,3978,0
19980723,5.48,5.48,5.48,5.48,9371,0
19980724,5.44,5.44,5.44,5.44,12145,0
19980727,5.6,5.6,5.6,5.6,5498,0
19980728,5.52,5.52,5.52,5.52,3822,0
19980729,5.16,5.16,5.16,5.16,3940,0
19980730,4.64,4.64,4.64,4.64,7801,0
19980731,4.68,4.68,4.68,4.68,7209,0
19980803,4.37,4.37,4.37,4.37,7627,0
19980804,4.44,4.44,4.44,4.44,6294,0
19980805,4.88,4.88,4.88,4.88,20501,0
19980806,4.96,4.96,4.96,4.96,6559,0
19980807,4.76,4.76,4.76,4.76,4691,0
19980810,4.64,4.64,4.64,4.64,1078,0
19980811,4.41,4.41,4.41,4.41,3452,0
19980812,4.48,4.48,4.48,4.48,3237,0
19980813,4.48,4.48,4.48,4.48,1259,0
19980814,4.44,4.44,4.44,4.44,5719,0
19980817,4.64,4.64,4.64,4.64,2058,0
19980818,4.72,4.72,4.72,4.72,4684,0
19980819,4.6,4.6,4.6,4.6,5221,0
19980820,4.44,4.44,4.44,4.44,2847,0
19980821,4.25,4.25,4.25,4.25,3522,0
19980824,3.83,3.83,3.83,3.83,1640,0
19980825,3.95,3.95,3.95,3.95,1673,0
19980826,3.85,3.85,3.85,3.85,2696,0
19980827,3.65,3.65,3.65,3.65,3653,0
19980828,3.29,3.29,3.29,3.29,4822,0
19980831,3.53,3.53,3.53,3.53,4575,0
19980901,3.29,3.29,3.29,3.29,3033,0
19980902,3.29,3.29,3.29,3.29,6654,0
19980903,3.29,3.29,3.29,3.29,19142,0
19980904,3.61,3.61,3.61,3.61,8297,0
19980907,3.97,3.97,3.97,3.97,4185,0
19980908,4.37,4.37,4.37,4.37,20586,0
19980909,4.76,4.76,4.76,4.76,12218,0
19980910,5.16,5.16,5.16,5.16,30489,0
19980911,4.76,4.76,4.76,4.76,10001,0
19980914,5.04,5.04,5.04,5.04,23028,0
19980915,4.96,4.96,4.96,4.96,4465,0
19980916,4.8,4.8,4.8,4.8,10709,0
19980917,4.6,4.6,4.6,4.6,10825,0
19980918,4.21,4.21,4.21,4.21,10530,0
19980921,3.85,3.85,3.85,3.85,1879,0
19980922,4.21,4.21,4.21,4.21,2053,0
19980923,4.37,4.37,4.37,4.37,3187,0
19980924,4.09,4.09,4.09,4.09,433,0
19980925,4.17,4.17,4.17,4.17,2776,0
19980928,4.01,4.01,4.01,4.01,841,0
19980929,4.25,4.25,4.25,4.25,503,0
19980930,4.25,4.25,4.25,4.25,1358,0
19981001,3.93,3.93,3.93,3.93,1340,0
19981002,3.81,3.81,3.81,3.81,4197,0
19981005,3.81,3.81,3.81,3.81,1564,0
19981006,3.81,3.81,3.81,3.81,1784,0
19981007,3.81,3.81,3.81,3.81,5921,0
