Date,Open,High,Low,Close,Volume,OpenInt
20070214,6.44,7.94,6.44,6.94,1120532,0
20070215,7.15,7.15,6.58,6.59,121198,0
20070216,6.75,6.75,5.93,5.98,72039,0
20070219,6.08,6.08,5.9,5.9,30628,0
20070220,5.81,5.93,5.58,5.86,43984,0
20070221,5.86,6.07,5.72,5.72,27439,0
20070222,5.79,5.8,5.58,5.71,16083,0
20070223,5.72,6.07,5.72,5.97,112863,0
20070226,6.13,6.13,6.01,6.01,19216,0
20070227,5.8,5.96,5.4,5.79,21481,0
20070228,5.38,5.76,5.22,5.65,15006,0
20070301,5.72,5.76,5.58,5.58,6601,0
20070302,5.59,5.59,5.58,5.58,2964,0
20070305,5.22,5.43,5.11,5.36,7062,0
20070306,5.47,5.47,5.15,5.2,11621,0
20070307,5.5,5.5,5.11,5.11,19425,0
20070308,5.15,5.29,5.12,5.18,32460,0
20070309,5.31,5.31,5.12,5.27,8824,0
20070312,5.12,5.15,5.12,5.12,4894,0
20070313,5.12,5.25,5.12,5.25,867,0
20070314,5.13,5.14,4.91,5.14,10153,0
20070315,5.14,5.25,4.96,5.18,11146,0
20070316,5.18,5.18,4.99,5.01,9258,0
20070319,4.91,5.06,4.91,5.01,7230,0
20070320,5.08,5.08,4.92,4.92,12265,0
20070321,5.13,5.13,4.9,5.08,14097,0
20070322,5.08,5.18,4.97,5.01,17034,0
20070323,5.03,5.03,4.86,5.01,6307,0
20070326,5.11,5.15,5.01,5.14,18656,0
20070327,5.15,5.16,4.97,5.11,21425,0
20070328,5.14,6.08,5.06,6.07,200426,0
20070329,6.01,6.06,5.65,5.73,55242,0
20070330,5.92,5.92,5.65,5.79,49942,0
20070402,5.75,5.75,5.37,5.44,22824,0
20070403,5.53,5.98,5.53,5.58,46417,0
20070404,5.66,5.66,5.48,5.58,6167,0
20070405,5.48,5.51,5.43,5.51,15118,0
20070410,5.71,5.71,5.44,5.65,615,0
20070411,5.75,5.84,5.51,5.51,90528,0
20070412,5.6,5.6,5.08,5.29,29705,0
20070413,5.4,5.4,5.22,5.23,14488,0
20070416,5.5,5.51,5.23,5.27,30754,0
20070417,5.29,5.29,5.29,5.29,3440,0
20070418,5.29,5.32,5.17,5.19,19551,0
20070419,5.17,5.22,5.15,5.16,8167,0
20070420,5.16,5.16,5.01,5.01,12027,0
20070423,5.01,5.01,4.79,4.79,17677,0
20070424,4.8,4.97,4.79,4.97,8335,0
20070425,4.98,4.98,4.75,4.77,11971,0
20070426,4.89,4.9,4.79,4.79,10796,0
20070427,4.79,4.86,4.72,4.86,11538,0
20070430,4.92,4.92,4.72,4.72,13370,0
20070502,4.75,4.8,4.75,4.8,2363,0
20070504,4.89,4.89,4.74,4.87,6615,0
20070507,4.77,4.87,4.76,4.87,5300,0
20070508,4.88,4.89,4.88,4.89,5776,0
20070509,4.91,4.92,4.8,4.8,8251,0
20070510,4.8,4.8,4.77,4.77,2587,0
20070511,4.73,4.73,4.58,4.65,10307,0
20070514,4.65,4.65,4.5,4.54,19761,0
20070515,4.54,4.54,4.36,4.44,3496,0
20070516,4.29,4.29,4.01,4.18,17901,0
20070517,4.15,4.28,4.03,4.22,5454,0
20070518,4.18,4.61,4.18,4.48,27957,0
20070521,4.47,4.47,4.22,4.23,8027,0
20070522,4.28,4.29,4.25,4.26,4237,0
20070523,4.25,4.29,4.01,4.29,5020,0
20070524,4.05,4.5,4.03,4.4,8810,0
20070525,4.38,4.92,4.38,4.58,20908,0
20070528,4.64,4.86,4.51,4.86,38012,0
20070529,4.91,4.93,4.77,4.83,2461,0
20070530,4.65,4.92,4.29,4.29,12335,0
20070531,4.79,4.86,4.53,4.64,131030,0
20070601,4.64,4.65,4.37,4.58,22628,0
20070604,4.57,4.64,4.57,4.64,6852,0
20070605,4.64,4.64,4.45,4.54,2125,0
20070606,4.54,4.54,4.4,4.5,5803,0
20070608,4.43,4.43,4.22,4.22,21299,0
20070611,4.25,4.36,4.25,4.29,6139,0
20070612,4.29,4.29,4.22,4.28,13132,0
20070613,4.29,4.29,4.29,4.29,3412,0
20070614,4.22,4.36,4.15,4.36,35131,0
20070615,5.23,6.01,5.22,5.95,687891,0
20070618,6.01,7.22,5.72,7.14,565084,0
20070619,7.08,8.51,6.86,7.01,813383,0
20070620,6.51,6.65,5.97,6.01,980230,0
20070621,5.95,6.08,5.54,5.7,761329,0
20070622,5.72,6.01,5.58,5.72,714547,0
20070625,5.79,5.83,5.3,5.43,321177,0
20070626,5.51,5.93,5.36,5.53,431117,0
20070627,5.67,5.67,5.22,5.35,240424,0
20070628,5.5,5.5,5.28,5.36,131016,0
20070629,5.32,5.32,5.08,5.08,217810,0
20070702,4.88,5.04,4.79,4.87,141463,0
20070703,4.75,5.72,4.74,5.48,443690,0
20070704,5.34,5.64,5.16,5.34,216495,0
20070705,5.37,5.57,5.19,5.5,240340,0
20070706,5.36,5.62,5.33,5.58,178776,0
20070709,5.47,5.57,5.29,5.4,150064,0
20070710,5.36,5.46,5.01,5.02,147910,0
20070711,5.09,5.22,5.08,5.1,94500,0
20070712,5.11,5.17,4.87,5.01,88388,0
20070713,5.14,5.14,4.92,5.01,62752,0
20070716,5.01,5.01,4.53,4.72,71130,0
20070717,4.6,4.86,4.6,4.85,44501,0
20070718,4.85,4.92,4.72,4.92,37327,0
20070719,5.06,5.06,4.79,4.81,46264,0
20070720,4.96,4.96,4.79,4.94,55228,0
20070723,4.97,5.14,4.85,4.85,80528,0
20070724,4.93,4.93,4.74,4.84,59060,0
20070725,4.68,4.92,4.65,4.86,42138,0
20070726,4.87,4.92,4.42,4.65,103171,0
20070727,4.31,4.72,4.31,4.43,98611,0
20070730,4.43,4.5,4.33,4.5,54375,0
20070731,4.49,4.49,4.39,4.47,31271,0
20070801,4.33,4.33,4.11,4.22,139505,0
20070802,4.32,4.32,4.11,4.13,68165,0
20070803,4.21,4.21,3.43,3.47,234439,0
20070806,3.43,3.43,3.15,3.25,122177,0
20070807,3.07,3.15,2.82,2.92,295373,0
20070808,2.91,3.15,2.79,2.93,284968,0
20070809,3.03,3.03,2.73,2.79,159490,0
20070810,2.72,2.72,2.42,2.43,129925,0
20070813,2.5,2.72,2.26,2.65,299038,0
20070814,2.64,2.86,2.5,2.65,154274,0
20070816,2.45,2.45,2.07,2.21,142959,0
20070817,2.07,2.39,2,2.19,294576,0
20070820,2.29,2.32,2.08,2.1,183727,0
20070821,2.08,2.08,1.88,1.89,261584,0
20070822,1.98,2.07,1.92,2.03,280815,0
20070823,2.09,2.18,2.04,2.12,405244,0
20070824,2.15,2.49,2.04,2.42,548889,0
20070827,2.57,3.02,2.57,2.79,1006732,0
20070828,2.72,2.72,2.55,2.57,314282,0
20070829,2.39,2.6,2.3,2.44,478430,0
20070830,2.57,2.63,2.44,2.45,514806,0
20070831,2.52,2.86,2.45,2.86,709330,0
20070903,3,3.07,2.72,2.75,667472,0
20070904,2.72,2.72,2.53,2.61,609600,0
20070905,2.65,2.65,2.5,2.55,564119,0
20070906,2.48,2.57,2.47,2.47,296450,0
20070907,2.51,2.53,2.43,2.5,461899,0
20070910,2.49,2.5,2.32,2.41,414474,0
20070911,2.41,2.52,2.36,2.52,911994,0
20070912,2.57,2.79,2.54,2.76,1639842,0
20070913,6.31,6.59,4.61,4.91,1349618,0
20070914,5.1,5.53,4.59,5,212526,0
20070917,4.85,4.99,4.6,4.63,94102,0
20070918,4.69,4.69,4.39,4.6,47765,0
20070919,4.85,4.93,4.73,4.8,189554,0
20070920,4.8,4.99,4.79,4.8,116816,0
20070921,4.8,6.45,4.79,6.45,800414,0
20070924,6.85,9,6.8,7.99,987057,0
20070925,8.35,8.35,7.2,7.29,393458,0
20070926,7.5,7.6,6.77,7.01,175038,0
20070927,7.2,9.5,6.8,9.5,745776,0
20070928,10,12.8,9.1,12.3,1470103,0
20071001,12.15,17.5,11.62,17.5,657938,0
20071002,21,26,16.85,18.5,999982,0
20071003,16.65,19.8,14.94,15,687680,0
20071004,14.79,15.4,12.3,13.71,701531,0
20071005,14.22,17.2,13.73,17,828817,0
20071008,18.6,20.45,16.6,16.6,761306,0
20071009,17,17.76,16.03,16.7,239477,0
20071010,17.38,17.38,16.3,16.4,87758,0
20071011,16.35,16.5,15.5,15.78,159002,0
20071012,15.5,15.55,14.64,15.21,148516,0
20071015,15.18,15.18,13.92,14.19,138902,0
20071016,14,16.94,13.91,16.2,424481,0
20071017,16.8,18.4,16,16.2,485700,0
20071018,16.82,16.83,15.01,15.7,109457,0
20071019,15.55,16.8,15.55,16.09,104093,0
20071022,15.9,16,15.15,15.51,54959,0
20071023,15.8,16.69,15.19,15.5,99611,0
20071024,15.55,15.99,15,15.27,67110,0
20071025,15.45,15.45,14.5,14.7,39227,0
20071026,14.31,16.45,14.03,14.6,363859,0
20071029,15.3,15.45,14.5,15.09,113266,0
20071030,15.1,15.1,14.7,14.75,32956,0
20071031,14.75,14.99,14.6,14.8,19689,0
20071102,14.4,14.8,14.25,14.58,35102,0
20071105,14.75,14.75,13.36,13.81,41165,0
20071106,13.47,15.8,12.9,15.8,327378,0
20071107,16.35,17.48,14.6,14.6,374708,0
20071108,13.2,15,13.2,14.6,204126,0
20071109,14.8,15.8,14.15,14.17,121605,0
20071112,13.9,14.85,13.2,14.2,65720,0
20071113,14.45,14.45,13.8,14.35,36755,0
20071114,15.07,15.07,14.15,14.3,42491,0
20071115,14,14.45,13.2,13.51,66166,0
20071116,13,13.45,11.7,12.3,177796,0
20071119,12.89,12.89,10.46,10.56,202437,0
20071120,10.8,11.4,9.02,9.48,153248,0
20071121,8.56,9,7.14,7.2,256208,0
20071122,6.98,10.2,6.3,10.2,709870,0
20071123,11.9,12.98,11.34,12.6,569803,0
20071126,13.25,14.19,11.66,13.03,622836,0
20071127,12,12.98,11.6,12.26,372868,0
20071128,12.95,12.99,12.06,12.99,226495,0
20071129,14,14.79,12.33,12.33,718622,0
20071130,12.78,12.98,11.6,12.1,438164,0
20071203,11.85,12.6,10.81,10.95,334919,0
20071204,10.71,11.12,9.83,9.94,660093,0
20071205,10.05,10.7,9.65,10.08,794365,0
20071206,10.35,10.42,9.1,9.11,781096,0
20071207,9.29,11.15,8.47,10.83,2246439,0
20071210,10.89,11.37,10.02,10.19,749537,0
20071211,10.26,10.5,9.6,9.89,448201,0
20071212,9.3,10.84,9.2,10.7,937743,0
20071213,10.3,10.75,9.85,10.1,405608,0
20071214,9.82,10.35,9.8,9.9,182883,0
20071217,9.6,9.65,9.11,9.11,171427,0
20071218,9.01,9.6,8.58,9.33,320922,0
20071219,9.5,9.55,8.93,9,141075,0
20071220,8.62,9.06,8.62,8.66,151562,0
20071221,8.8,8.94,8.21,8.35,193951,0
20071227,8.41,9,8.41,8.7,222785,0
20071228,8.7,8.8,8.53,8.61,72946,0
20080102,8.81,8.85,8.5,8.58,46734,0
20080103,8,8.5,8,8.45,153255,0
20080104,8.44,9.19,8.3,8.51,307899,0
20080107,9.3,9.45,8.9,9.21,629914,0
20080108,9.48,9.6,8.77,8.91,291997,0
20080109,8.6,8.6,8.02,8.19,236700,0
20080110,8.35,8.38,7.42,7.46,224395,0
20080111,7.32,7.9,7.3,7.5,251311,0
20080114,7.44,7.6,6.92,7.4,297181,0
20080115,7.4,7.6,6.86,6.86,183524,0
20080116,6.22,6.76,5.9,6.25,448723,0
20080117,6.69,6.7,6.1,6.5,274392,0
20080118,6.21,7.69,6.21,7.69,710367,0
20080121,7.1,7.89,6.99,7.13,660711,0
20080122,6.6,7.26,6.57,7.1,823599,0
20080123,7.58,7.6,6.85,7.11,360704,0
20080124,7.5,8.85,7.4,8.5,903066,0
20080125,8.95,9.35,8.22,8.7,874524,0
20080128,8.3,8.42,7.9,7.9,360093,0
20080129,8.41,8.5,7.68,7.85,1062091,0
20080130,7.8,7.99,7.27,7.42,1148641,0
20080131,7.48,7.58,6.97,7.15,411945,0
20080201,8.4,8.4,7.69,7.81,1371403,0
20080204,7.99,7.99,7.5,7.51,426711,0
20080205,7.26,7.4,7.02,7.03,522319,0
20080206,6.7,7.26,6.7,6.96,635921,0
20080207,6.73,6.75,5.46,5.59,1498915,0
20080208,4.92,5.55,4.74,4.8,982540,0
20080211,4.8,5.62,4.55,5.2,1365617,0
20080212,5.4,5.45,4.99,5.05,633508,0
20080213,5.01,5.01,4.75,4.8,534630,0
20080214,4.88,4.95,4.7,4.89,243245,0
20080215,4.8,4.8,4.6,4.65,154103,0
20080218,4.65,4.78,4.52,4.59,116719,0
20080219,4.6,4.65,4.23,4.38,196068,0
20080220,4.36,4.42,4.18,4.37,178774,0
20080221,4.66,4.8,4.57,4.71,547035,0
20080222,4.72,5.5,4.6,5.3,1579642,0
20080225,5.4,5.94,5.4,5.59,1187342,0
20080226,5.75,5.75,5,5.13,764004,0
20080227,5.25,5.25,4.8,4.89,426640,0
20080228,4.8,4.9,4.61,4.63,241161,0
20080229,4.65,5.04,4.51,4.83,366910,0
20080303,4.52,4.65,4.51,4.57,135367,0
20080304,4.65,4.79,4.55,4.63,93363,0
20080305,4.63,4.79,4.55,4.7,119012,0
20080306,4.75,4.8,4.67,4.67,49634,0
20080307,4.54,4.65,4.46,4.58,78508,0
20080310,4.57,4.6,4.35,4.4,171837,0
20080311,4.4,4.56,4.4,4.48,189968,0
20080312,4.59,4.59,4.44,4.49,177778,0
20080313,4.2,4.32,3.92,3.92,613472,0
20080314,3.92,4.04,3.3,3.56,367463,0
20080317,3.49,3.49,3.21,3.25,220522,0
20080318,3.3,3.54,3.3,3.39,211335,0
20080319,3.48,3.48,3.23,3.24,88720,0
20080320,3.22,3.26,3.04,3.11,108001,0
20080325,3.18,3.2,3.05,3.1,72893,0
20080326,3.11,3.11,2.97,2.97,81327,0
20080327,2.94,2.99,2.8,2.88,224332,0
20080328,2.9,3.41,2.9,3.3,334249,0
20080331,3.29,3.35,3.11,3.28,118450,0
20080401,3.3,3.3,3.15,3.2,85451,0
