Date,Open,High,Low,Close,Volume,OpenInt
19990929,25,25,25,25,6393,0
19990930,22.5,22.5,22.5,22.5,0,0
19991001,20.3,20.3,20.3,20.3,6504,0
19991004,18.3,18.3,18.3,18.3,13175,0
19991005,19,19,19,19,3528,0
19991006,19.3,19.3,19.3,19.3,4519,0
19991007,18.7,18.7,18.7,18.7,2255,0
19991008,18,18,18,18,1626,0
19991011,18.6,18.6,18.6,18.6,4137,0
19991012,18.7,18.7,18.7,18.7,3810,0
19991013,17.4,17.4,17.4,17.4,2950,0
19991014,17.4,17.4,17.4,17.4,1227,0
19991015,17.7,17.7,17.7,17.7,2431,0
19991018,16.9,16.9,16.9,16.9,1070,0
19991019,16.3,16.3,16.3,16.3,850,0
19991020,16,16,16,16,1436,0
19991021,16.2,16.2,16.2,16.2,3302,0
19991022,16.9,16.9,16.9,16.9,1450,0
19991025,17,17,17,17,1300,0
19991026,16.5,16.5,16.5,16.5,542,0
19991027,16.2,16.2,16.2,16.2,344,0
19991028,16.45,16.45,16.45,16.45,588,0
19991029,16.4,16.4,16.4,16.4,1334,0
19991102,17,17,17,17,1282,0
19991103,15.3,15.3,15.3,15.3,1450,0
19991104,15.9,15.9,15.9,15.9,702,0
19991105,15.3,15.3,15.3,15.3,606,0
19991108,13.8,13.8,13.8,13.8,946,0
19991109,13.9,13.9,13.9,13.9,1668,0
19991110,13.5,13.5,13.5,13.5,799,0
19991115,13.3,13.3,13.3,13.3,3467,0
19991116,12.15,12.15,12.15,12.15,2025,0
19991117,12.25,12.25,12.25,12.25,3971,0
19991118,12.5,12.5,12.5,12.5,1442,0
19991119,12.75,12.75,12.75,12.75,8013,0
19991122,14,14,14,14,3538,0
19991123,13,13,13,13,9693,0
19991124,13,13,13,13,21107,0
19991125,13.6,13.6,13.6,13.6,6214,0
19991126,14.3,14.3,14.3,14.3,3181,0
19991129,13.8,13.8,13.8,13.8,3450,0
19991130,13.8,13.8,13.8,13.8,1900,0
19991201,15,15,15,15,8112,0
19991202,16.5,16.5,16.5,16.5,8118,0
19991203,16.5,16.5,16.5,16.5,9979,0
19991206,18,18,18,18,29700,0
19991207,18,18,18,18,4446,0
19991208,17.5,17.5,17.5,17.5,3109,0
19991209,17.5,17.5,17.5,17.5,5414,0
19991210,17.7,17.7,17.7,17.7,16550,0
19991213,15.95,15.95,15.95,15.95,21940,0
19991214,17.45,17.45,17.45,17.45,49351,0
19991215,18,18,18,18,30242,0
19991216,18,18,18,18,11353,0
19991217,18.5,18.5,18.5,18.5,31077,0
19991220,20,20,20,20,17541,0
19991221,20,20,20,20,42350,0
19991222,19.9,19.9,19.9,19.9,21909,0
19991223,19.8,19.8,19.8,19.8,13496,0
19991227,20,20,20,20,35456,0
19991228,19,19,19,19,15864,0
19991229,19.9,19.9,19.9,19.9,11023,0
20000103,20,20,20,20,12839,0
20000104,19.1,19.1,19.1,19.1,7471,0
20000105,18,18,18,18,3692,0
20000106,18,18,18,18,1865,0
20000107,18.5,18.5,18.5,18.5,3559,0
20000110,19.4,19.4,19.4,19.4,3749,0
20000111,17.5,17.5,17.5,17.5,5311,0
20000112,17.6,17.6,17.6,17.6,6068,0
20000113,18.7,18.7,18.7,18.7,2620,0
20000114,19,19,19,19,4210,0
20000117,17.3,17.3,17.3,17.3,6094,0
20000118,18,18,18,18,5870,0
20000119,17.5,17.5,17.5,17.5,9667,0
20000120,17.6,17.6,17.6,17.6,1993,0
20000121,17.6,17.6,17.6,17.6,5559,0
20000124,17.4,17.4,17.4,17.4,1526,0
20000125,16.7,16.7,16.7,16.7,7360,0
20000126,15.05,15.05,15.05,15.05,9232,0
20000127,16,16,16,16,6199,0
20000128,16.5,16.5,16.5,16.5,4119,0
20000131,16.7,16.7,16.7,16.7,3603,0
20000201,16.6,16.6,16.6,16.6,1479,0
20000202,15.7,15.7,15.7,15.7,7070,0
20000203,16.6,16.6,16.6,16.6,6715,0
20000204,17,17,17,17,6662,0
20000207,17,17,17,17,4315,0
20000208,16.25,16.25,16.25,16.25,10545,0
20000209,15,15,15,15,6479,0
20000210,15,15,15,15,20963,0
20000211,15,15,15,15,3775,0
20000214,14.7,14.7,14.7,14.7,6316,0
20000215,14.2,14.2,14.2,14.2,6300,0
20000216,14.1,14.1,14.1,14.1,6092,0
20000217,12.9,12.9,12.9,12.9,12107,0
20000218,13.6,13.6,13.6,13.6,3818,0
20000221,13.6,13.6,13.6,13.6,3327,0
20000222,14,14,14,14,3788,0
20000223,14.4,14.4,14.4,14.4,1740,0
20000224,14,14,14,14,3257,0
20000225,13.5,13.5,13.5,13.5,2529,0
20000228,12.7,12.7,12.7,12.7,15430,0
20000229,13.95,13.95,13.95,13.95,5191,0
20000301,13.5,13.5,13.5,13.5,5500,0
20000302,14.2,14.2,14.2,14.2,2690,0
20000303,14.1,14.1,14.1,14.1,5580,0
20000306,12.7,12.7,12.7,12.7,5003,0
20000307,13.5,13.5,13.5,13.5,8797,0
20000308,14,14,14,14,6694,0
20000309,13.95,13.95,13.95,13.95,4320,0
20000310,13.6,13.6,13.6,13.6,4869,0
20000313,13.3,13.3,13.3,13.3,1759,0
20000314,13,13,13,13,3845,0
20000315,13,13,13,13,770,0
20000316,13.5,13.5,13.5,13.5,2178,0
20000317,13.4,13.4,13.4,13.4,1949,0
20000320,12.9,12.9,12.9,12.9,4397,0
20000321,12.7,12.7,12.7,12.7,6207,0
20000322,13.3,13.3,13.3,13.3,5770,0
20000323,13,13,13,13,3079,0
20000324,13.4,13.4,13.4,13.4,2326,0
20000327,13.1,13.1,13.1,13.1,3360,0
20000328,13.4,13.4,13.4,13.4,7731,0
20000329,13.5,13.5,13.5,13.5,1351,0
20000330,13.3,13.3,13.3,13.3,849,0
20000331,12.8,12.8,12.8,12.8,1403,0
20000403,13,13,13,13,1718,0
20000404,13,13,13,13,1100,0
20000405,12.5,12.5,12.5,12.5,2538,0
20000406,12.6,12.6,12.6,12.6,2367,0
20000407,12.5,12.5,12.5,12.5,2330,0
20000410,12.5,12.5,12.5,12.5,2015,0
20000411,12.2,12.2,12.2,12.2,2059,0
20000412,12.5,12.5,12.5,12.5,1316,0
20000413,12.7,12.7,12.7,12.7,351,0
20000414,12.5,12.5,12.5,12.5,1730,0
20000417,12,12,12,12,1890,0
20000418,12.5,12.5,12.5,12.5,685,0
20000419,11.8,11.8,11.8,11.8,1100,0
20000420,12.1,12.1,12.1,12.1,3940,0
20000425,11.7,11.7,11.7,11.7,1000,0
20000426,10.55,10.55,10.55,10.55,7229,0
20000427,10.7,10.7,10.7,10.7,5173,0
20000428,10.55,10.55,10.55,10.55,3203,0
20000504,10.55,10.55,10.55,10.55,2558,0
20000505,10.4,10.4,10.4,10.4,2508,0
20000508,10.7,10.7,10.7,10.7,1600,0
20000509,10,10,10,10,3507,0
20000510,10.5,10.5,10.5,10.5,1899,0
20000511,10.9,10.9,10.9,10.9,630,0
20000512,11.5,11.5,11.5,11.5,1132,0
20000515,11.5,11.5,11.5,11.5,280,0
20000516,10.9,10.9,10.9,10.9,1291,0
20000517,10.6,10.6,10.6,10.6,1308,0
20000518,10.8,10.8,10.8,10.8,2950,0
20000519,10.6,10.6,10.6,10.6,2148,0
20000522,10.55,10.55,10.55,10.55,1151,0
20000523,10.6,10.6,10.6,10.6,414,0
20000524,11,11,11,11,2827,0
20000525,11,11,11,11,8733,0
20000526,11.4,11.4,11.4,11.4,3826,0
20000529,11.8,11.8,11.8,11.8,7168,0
20000530,12.8,12.8,12.8,12.8,20492,0
20000531,13.8,13.8,13.8,13.8,7209,0
20000601,13.9,13.9,13.9,13.9,8535,0
20000602,13.9,13.9,13.9,13.9,5022,0
20000605,13.5,13.5,13.5,13.5,2100,0
20000606,13,13,13,13,2993,0
20000607,12.8,12.8,12.8,12.8,4190,0
20000608,13.1,13.1,13.1,13.1,3901,0
20000609,12.8,12.8,12.8,12.8,3684,0
20000612,12.5,12.5,12.5,12.5,1454,0
20000613,12.8,12.8,12.8,12.8,3500,0
20000614,12.5,12.5,12.5,12.5,391,0
20000615,12.8,12.8,12.8,12.8,537,0
20000616,13.1,13.1,13.1,13.1,1350,0
20000619,13.2,13.2,13.2,13.2,608,0
20000620,12.8,12.8,12.8,12.8,3600,0
20000621,12.9,12.9,12.9,12.9,526,0
20000623,12.8,12.8,12.8,12.8,110,0
20000626,12.5,12.5,12.5,12.5,500,0
20000627,12.5,12.5,12.5,12.5,2537,0
20000628,12.2,12.2,12.2,12.2,654,0
20000629,12.1,12.1,12.1,12.1,1760,0
20000630,11,11,11,11,2208,0
20000703,11.4,11.4,11.4,11.4,1390,0
20000704,11.9,11.9,11.9,11.9,2500,0
20000705,11.9,11.9,11.9,11.9,2624,0
20000706,11.5,11.5,11.5,11.5,3195,0
20000707,12.1,12.1,12.1,12.1,8310,0
20000710,11.6,11.6,11.6,11.6,3978,0
20000711,12,12,12,12,560,0
20000712,11.9,11.9,11.9,11.9,4473,0
20000713,11.6,11.6,11.6,11.6,395,0
20000714,11.6,11.6,11.6,11.6,2662,0
20000717,12.1,12.1,12.1,12.1,2000,0
20000718,12.1,12.1,12.1,12.1,2344,0
20000719,12.3,12.3,12.3,12.3,1708,0
20000720,12,12,12,12,550,0
20000721,12.5,12.5,12.5,12.5,3000,0
20000724,12.5,12.5,12.5,12.5,1661,0
20000725,12.2,12.2,12.2,12.2,4360,0
20000726,12.1,12.1,12.1,12.1,1955,0
20000727,11.9,11.9,11.9,11.9,596,0
20000728,12,12,12,12,2813,0
20000731,12.5,12.5,12.5,12.5,1027,0
20000801,12.6,12.6,12.6,12.6,1793,0
20000802,12.85,12.85,12.85,12.85,3390,0
20000803,12.7,12.7,12.7,12.7,1212,0
20000804,12.95,12.95,12.95,12.95,3221,0
20000807,13.05,13.05,13.05,13.05,5763,0
20000808,13,13,13,13,2823,0
20000809,12.5,12.5,12.5,12.5,1367,0
20000810,13.2,13.2,13.2,13.2,2060,0
20000811,12.8,12.8,12.8,12.8,380,0
20000814,12.6,12.6,12.6,12.6,395,0
20000816,12.5,12.5,12.5,12.5,2243,0
20000817,13.05,13.05,13.05,13.05,2185,0
20000818,12.7,12.7,12.7,12.7,2920,0
20000821,12.8,12.8,12.8,12.8,1700,0
20000822,12.5,12.5,12.5,12.5,2610,0
20000823,12,12,12,12,891,0
20000824,12.2,12.2,12.2,12.2,1189,0
20000825,12.5,12.5,12.5,12.5,3696,0
20000828,12,12,12,12,302,0
20000829,12.4,12.4,12.4,12.4,142,0
20000830,11.2,11.2,11.2,11.2,7458,0
20000831,11.5,11.5,11.5,11.5,6469,0
20000901,11.4,11.4,11.4,11.4,4780,0
20000904,11.1,11.1,11.1,11.1,868,0
20000905,11.4,11.4,11.4,11.4,3003,0
20000906,11.8,11.8,11.8,11.8,2000,0
20000907,11.7,11.7,11.7,11.7,1682,0
20000908,11.5,11.5,11.5,11.5,2001,0
20000911,11.5,11.5,11.5,11.5,1655,0
20000912,10.9,10.9,10.9,10.9,1701,0
20000913,11.2,11.2,11.2,11.2,1060,0
20000914,11.2,11.2,11.2,11.2,104,0
20000915,10.1,10.1,10.1,10.1,5154,0
20000918,9.1,9.1,9.1,9.1,13275,0
20000919,10,10,10,10,5065,0
20000920,11,11,11,11,13406,0
20000921,10.55,10.55,10.55,10.55,3769,0
20000922,10.2,10.2,10.2,10.2,717,0
