Date,Open,High,Low,Close,Volume,OpenInt
20080813,3,3,2.83,2.97,3122,0
20080814,2.96,2.96,2.96,2.96,10,0
20080818,2.83,2.89,2.5,2.89,702,0
20080819,2.35,2.88,2.35,2.88,7,0
20080820,2.85,2.85,2.85,2.85,5,0
20080821,2.5,2.5,2.5,2.5,1000,0
20080822,2.5,2.57,2.5,2.57,34,0
20080825,2.59,2.59,2.59,2.59,5,0
20080826,2.59,2.59,2.59,2.59,5,0
20080827,2.59,2.59,2.59,2.59,5,0
20080828,2.59,2.59,2.59,2.59,5,0
20080829,2.59,2.59,2.59,2.59,87,0
20080901,2.59,2.59,2.3,2.3,9006,0
20080902,2.59,2.59,2.59,2.59,4,0
20080903,2.59,2.59,2.59,2.59,2,0
20080904,2.59,2.59,2.59,2.59,4,0
20080905,2.59,2.59,2.59,2.59,6,0
20080908,2.57,2.57,2.57,2.57,5,0
20080909,2.5,2.5,2.5,2.5,104,0
20080910,2.57,2.57,2.57,2.57,11,0
20080911,2.59,2.59,2.59,2.59,5,0
20080912,2.25,2.3,2.25,2.3,717,0
20080915,2.52,2.52,2.52,2.52,8,0
20080916,2.52,2.52,2.2,2.2,131,0
20080918,2.2,2.2,2.2,2.2,89,0
20080919,2.51,2.51,2.51,2.51,5,0
20080922,2.19,2.19,2.01,2.12,2950,0
20080923,2.01,2.01,1.9,1.9,2040,0
20080925,2,2,2,2,45,0
20080926,2,2,2,2,14,0
20080929,2,2,2,2,11,0
20080930,2,2,2,2,11,0
20081001,2.19,2.19,2.19,2.19,105,0
20081002,2.19,2.19,2.19,2.19,100,0
20081003,2.19,2.19,2.19,2.19,100,0
20081006,2.19,2.19,2.19,2.19,100,0
20081007,2.19,2.19,2.19,2.19,25,0
20081008,2.15,2.15,2.15,2.15,100,0
20081009,2.14,2.14,2.14,2.14,50,0
20081010,2.13,2.6,2.13,2.15,1130,0
20081013,2.6,2.6,2.3,2.3,1720,0
20081014,2.4,2.4,2.4,2.4,20,0
20081015,2.6,2.6,2,2.55,173,0
20081016,2.55,2.55,2.55,2.55,20,0
20081017,2.1,2.55,2.1,2.55,2375,0
20081020,2.55,2.55,2.55,2.55,20,0
20081021,2.55,2.55,2.55,2.55,119,0
20081022,2.55,2.55,2.55,2.55,20,0
20081023,2.05,2.55,2.05,2.55,3435,0
20081024,2.55,2.55,2.04,2.04,325,0
20081027,2.44,2.44,2.44,2.44,50,0
20081028,2.4,2.4,2.1,2.1,3040,0
20081029,2.25,2.25,1.97,2,651,0
20081030,2.05,2.05,2.05,2.05,55,0
20081031,2.05,2.05,2,2,1570,0
20081103,2.05,2.05,2.05,2.05,20,0
20081104,2,2,2,2,30,0
20081105,2,2,2,2,30,0
20081106,2,2,2,2,25,0
20081107,2,2,2,2,25,0
20081110,2,2,2,2,30,0
20081112,2,2,2,2,20,0
20081113,2,2,2,2,30,0
20081114,1.95,1.95,1.95,1.95,20,0
20081117,1.95,1.95,1.75,1.75,1960,0
20081118,1.9,1.9,1.9,1.9,50,0
20081119,1.9,1.9,1.9,1.9,50,0
20081120,1.9,1.9,1.9,1.9,25,0
20081121,1.89,1.9,1.89,1.9,83,0
20081124,2,2,2,2,21,0
20081125,2,2,2,2,25,0
20081126,2,2,2,2,25,0
20081127,2,2,2,2,20,0
20081128,2,2,2,2,30,0
20081201,2,2,2,2,1,0
20081202,2,2,1.81,1.81,918,0
20081203,2,2,2,2,20,0
20081204,2,2,2,2,25,0
20081205,2,2,2,2,15,0
20081209,2.19,2.19,2.19,2.19,20,0
20081211,2,2,2,2,25,0
20081212,2,2,2,2,47,0
20081215,2,2,2,2,25,0
20081216,2,2,2,2,36,0
20081217,2,2,2,2,80,0
20081218,2.4,2.4,2.4,2.4,20,0
20081219,2.35,2.35,1.8,1.8,1035,0
20081222,2.16,2.16,2.16,2.16,35,0
20081223,2.2,2.2,2.2,2.2,36,0
20081229,2.2,2.2,2.2,2.2,29,0
20081230,2.19,2.19,2.19,2.19,51,0
20081231,2.19,2.19,2.19,2.19,18,0
20090105,2.4,2.4,2.4,2.4,25,0
20090106,2.38,2.38,2.38,2.38,20,0
20090107,2.37,2.37,2.37,2.37,45,0
20090108,2.36,2.36,2.36,2.36,33,0
20090109,2.35,2.35,2.35,2.35,32,0
20090112,2.34,2.34,2.34,2.34,17,0
20090113,2.29,2.29,2.29,2.29,27,0
20090114,2.12,2.12,2.12,2.12,22,0
20090115,2.12,2.12,2.12,2.12,19,0
20090116,2.12,2.12,2.12,2.12,19,0
20090119,2.12,2.12,2.12,2.12,21,0
20090120,2.11,2.11,2.11,2.11,15,0
20090121,2.12,2.12,2.12,2.12,25,0
20090122,2.12,2.12,2.12,2.12,30,0
20090123,2,2,2,2,20,0
20090126,2,2,2,2,15,0
20090127,2,2,2,2,20,0
20090128,2,2,1.5,1.9,5375,0
20090129,1.9,1.9,1.41,1.41,3920,0
20090130,1.5,1.5,1.5,1.5,30,0
20090202,1.5,1.5,1.5,1.5,1,0
20090203,1.5,1.5,1.5,1.5,20,0
20090204,1.5,1.5,1.5,1.5,25,0
20090205,1.5,1.5,1.5,1.5,30,0
20090206,1.5,1.5,1.5,1.5,20,0
20090209,1.5,1.5,1.5,1.5,25,0
20090210,1.5,1.5,1.5,1.5,20,0
20090211,1.5,1.5,1.5,1.5,30,0
20090212,1.5,1.5,1.5,1.5,35,0
20090213,1.5,1.5,1.5,1.5,64,0
20090216,1.5,1.5,1.36,1.36,420,0
20090217,1.5,1.5,1.5,1.5,30,0
20090218,1.5,1.5,1.5,1.5,40,0
20090219,1.5,1.5,1.5,1.5,35,0
20090220,1.6,1.6,1.6,1.6,1,0
20090223,1.6,1.6,1.6,1.6,25,0
20090224,1.6,1.6,1.6,1.6,35,0
20090225,1.6,1.6,1.6,1.6,30,0
20090226,1.6,1.6,1.6,1.6,40,0
20090227,1.6,1.6,1.6,1.6,225,0
20090302,1.6,1.6,1.55,1.6,21130,0
20090303,1.36,1.36,1.35,1.35,1952,0
20090306,1.16,1.16,1.16,1.16,3225,0
20090310,1.47,1.47,1,1,2710,0
20090311,1,1,1,1,20,0
20090312,1,1,1,1,25,0
20090313,1,1,1,1,1,0
20090316,1,1,1,1,45,0
20090317,1,1,1,1,30,0
20090318,1,1,1,1,25,0
20090319,1,1,1,1,35,0
20090320,1,1,1,1,36,0
20090323,1,1,1,1,1,0
20090324,1,1,1,1,37,0
20090325,1,1,1,1,25,0
20090326,1,1,1,1,35,0
20090327,1,1,1,1,36,0
20090331,1,1,1,1,30,0
20090402,1.2,1.25,0.98,0.98,2020,0
20090403,1.17,1.17,1.17,1.17,40,0
20090406,1.2,1.2,1.2,1.2,10,0
20090409,1.4,1.4,1.4,1.4,25,0
20090414,1.39,1.39,1.39,1.39,40,0
20090415,1.39,1.39,1.12,1.12,80,0
20090416,1.12,1.12,1,1,47786,0
20090417,1.2,1.2,1,1.05,5067,0
20090420,1.05,1.05,1.05,1.05,35,0
20090421,1.09,1.09,1.09,1.09,35,0
20090422,1.09,1.09,1.09,1.09,35,0
20090423,1.09,1.09,1.09,1.09,30,0
20090424,1.09,1.09,1.09,1.09,40,0
20090427,1.07,1.07,1.07,1.07,35,0
20090428,1.07,1.07,1.07,1.07,25,0
20090429,1.05,1.05,0.9,0.9,2630,0
20090430,1.05,1.05,0.9,0.9,2373,0
20090504,1,1,1,1,25,0
20090506,1.05,1.05,0.9,0.9,11030,0
20090507,0.99,0.99,0.9,0.9,1040,0
