Date,Open,High,Low,Close,Volume,OpenInt
20050727,9.0828,9.222,8.664,8.7336,213889,0
20050728,8.7336,8.7336,8.3844,8.454,70154,0
20050729,8.5236,8.5236,8.1744,8.3844,15600,0
20050801,8.3844,8.454,8.3136,8.454,15137,0
20050802,8.454,8.454,8.244,8.454,7453,0
20050803,8.454,8.454,8.3844,8.3844,1373,0
20050804,8.3844,8.454,8.3844,8.454,4042,0
20050805,8.3844,8.454,8.3844,8.454,8468,0
20050808,8.3844,8.454,8.3844,8.454,3945,0
20050809,8.3844,8.3844,8.3844,8.3844,2714,0
20050810,8.3844,8.3844,8.244,8.244,5997,0
20050811,8.244,8.244,8.0352,8.0352,2290,0
20050812,7.8948,7.9644,7.6152,7.7556,4703,0
20050816,7.6848,7.8252,7.4064,7.7556,2926,0
20050817,7.6848,7.6848,7.6848,7.6848,6013,0
20050818,7.6848,7.8948,7.6848,7.8948,3943,0
20050819,7.8948,8.3136,7.8948,8.3136,2609,0
20050822,8.3136,8.3136,8.244,8.3136,749,0
20050823,8.1048,8.1048,8.0352,8.1048,2483,0
20050824,8.1048,8.1048,8.0352,8.0352,8888,0
20050825,8.3844,8.3844,7.8948,8.1048,2913,0
20050826,8.1744,8.1744,7.8252,8.0352,1894,0
20050829,8.1744,8.1744,8.0352,8.1744,3807,0
20050830,8.1048,8.3844,8.1048,8.1744,23037,0
20050831,8.1744,8.1744,7.8948,7.8948,680,0
20050901,8.0352,8.244,8.0352,8.0352,2082,0
20050902,7.9644,8.0352,7.8948,8.0352,2864,0
20050905,7.8948,8.0352,7.8948,8.0352,431,0
20050906,8.0352,8.0352,8.0352,8.0352,9,0
20050907,8.0352,8.1048,8.0352,8.0352,610,0
20050908,7.9644,8.0352,7.7556,7.7556,3358,0
20050909,7.8948,8.0352,7.8948,7.8948,102,0
20050912,7.8948,8.0352,7.7556,8.0352,2817,0
20050913,7.7556,8.0352,7.7556,7.8948,2528,0
20050914,7.7556,7.7556,7.4064,7.6848,4249,0
20050915,7.6152,7.6152,7.1964,7.6152,528,0
20050916,7.4064,7.5456,7.266,7.5456,959,0
20050919,7.3356,7.6848,7.3356,7.5456,3728,0
20050920,7.3356,7.4064,7.3356,7.3356,2704,0
20050921,7.4064,7.4064,7.266,7.266,1056,0
20050922,7.1964,7.1964,6.5676,7.1268,14035,0
20050923,7.1268,7.266,6.9864,7.1964,5725,0
20050926,7.1964,7.8252,7.1268,7.7556,7238,0
20050927,7.6152,7.6152,7.5456,7.6152,4258,0
20050928,7.6848,7.6848,7.5456,7.6152,6157,0
20050929,7.266,7.5456,7.266,7.5456,2583,0
20050930,7.476,7.6848,7.476,7.6152,14589,0
20051003,7.6848,7.6848,7.3356,7.476,6658,0
20051004,7.4064,7.476,7.4064,7.4064,978,0
20051005,7.4064,7.4064,7.3356,7.3356,2608,0
20051006,7.4064,7.4064,7.1964,7.1964,1066,0
20051007,7.1268,7.5456,7.1268,7.266,2578,0
20051010,7.4064,7.4064,7.4064,7.4064,1574,0
20051011,7.3356,7.5456,7.3356,7.5456,717,0
20051012,7.5456,7.5456,7.3356,7.4064,1725,0
20051013,7.4064,7.4064,7.3356,7.3356,3754,0
20051014,7.3356,7.3356,7.1964,7.1964,3660,0
20051017,7.3356,7.3356,7.1964,7.1964,89,0
20051018,7.3356,7.3356,7.1964,7.3356,1563,0
20051019,7.3356,7.3356,7.1964,7.1964,820,0
20051020,7.1964,7.1964,6.7776,6.8472,4853,0
20051021,6.8472,7.1268,6.8472,6.8472,303,0
20051024,7.056,7.1964,7.056,7.1964,580,0
20051025,7.1964,7.4064,7.1964,7.4064,475,0
20051026,7.4064,7.476,7.3356,7.4064,245837,0
20051027,7.3356,7.3356,7.3356,7.3356,945,0
20051028,7.1964,7.3356,7.1964,7.3356,2176,0
20051031,7.3356,7.5456,7.3356,7.3356,1633,0
20051102,7.3356,7.3356,7.266,7.266,5097,0
20051103,7.266,7.4064,7.1964,7.3356,8976,0
20051104,7.476,7.6848,7.4064,7.4064,23160,0
20051107,7.6152,7.6848,7.266,7.266,24089,0
20051108,7.4064,7.4064,7.266,7.266,1979,0
20051109,7.3356,7.4064,7.266,7.3356,9864,0
20051110,7.3356,7.4064,7.266,7.4064,47094,0
20051114,7.5456,7.8948,7.476,7.8252,26207,0
20051115,7.8948,8.0352,7.8252,7.8252,10015,0
20051116,7.8948,7.9644,7.7556,7.8948,6577,0
20051117,7.8948,8.1744,7.8252,8.1744,10712,0
20051118,8.244,8.244,8.0352,8.1048,13125,0
20051121,7.9644,8.0352,7.8252,7.8252,2034,0
20051122,7.8252,7.9644,7.8252,7.9644,588,0
20051123,7.7556,7.9644,7.7556,7.9644,405,0
20051124,7.9644,7.9644,7.8252,7.9644,3000,0
20051125,7.9644,7.9644,7.7556,7.9644,4597,0
20051128,8.0352,8.1048,8.0352,8.0352,6205,0
20051129,8.0352,8.1048,8.0352,8.0352,12110,0
20051130,8.0352,8.0352,8.0352,8.0352,4623,0
20051201,7.9644,8.0352,7.9644,8.0352,3472,0
20051202,7.9644,8.1744,7.9644,8.1744,5071,0
20051205,8.1744,8.5932,8.1744,8.3844,29744,0
20051206,8.5932,8.664,8.3136,8.5932,20181,0
20051207,8.664,8.7336,8.5236,8.664,3120,0
20051208,8.7336,8.7336,8.5236,8.7336,2571,0
20051209,8.7336,8.9424,8.454,8.7336,11737,0
20051212,8.7336,8.8032,8.5932,8.8032,1576,0
20051213,8.7336,8.7336,8.664,8.7336,1394,0
20051214,8.664,8.8032,8.664,8.8032,2840,0
20051215,8.9424,9.502,8.9424,9.2928,31991,0
20051216,9.502,9.712,9.2928,9.3624,16215,0
20051219,9.3624,9.642,9.3624,9.642,7752,0
20051220,9.712,10.41,9.432,10.34,108203,0
20051221,10.41,10.759,10.41,10.55,47614,0
20051222,10.48,11.179,10.48,11.179,71332,0
20051223,11.318,12.995,11.249,12.437,75464,0
20051227,12.437,13.344,12.086,12.506,115403,0
20051228,12.437,12.437,11.388,11.668,57721,0
20051229,11.598,12.576,11.598,12.296,39070,0
20051230,12.227,12.296,11.878,12.157,8878,0
20060102,12.576,12.576,11.878,12.227,21288,0
20060103,12.227,12.227,11.878,11.878,18776,0
20060104,12.086,12.086,11.249,11.388,22841,0
20060105,11.318,11.808,10.829,11.528,61672,0
20060106,11.528,11.668,11.318,11.668,21807,0
20060109,11.808,12.086,11.318,11.528,33989,0
20060110,11.808,11.808,11.528,11.668,14638,0
20060111,11.737,12.017,11.668,11.947,27135,0
20060112,11.947,12.017,11.808,11.878,23954,0
20060113,11.878,12.646,11.808,12.646,136600,0
20060116,12.646,12.646,12.296,12.576,27275,0
20060117,12.366,12.437,12.227,12.366,10793,0
20060118,12.227,12.366,11.947,12.017,24189,0
20060119,12.086,13.135,12.017,12.715,99637,0
20060120,12.995,13.135,12.437,12.506,68707,0
20060123,12.366,12.715,12.296,12.576,25697,0
20060124,12.925,13.135,12.576,12.925,44824,0
20060125,12.995,13.066,12.715,12.786,9882,0
20060126,12.925,12.925,12.576,12.576,11963,0
20060127,12.506,12.995,12.227,12.925,52347,0
20060130,12.786,12.995,12.715,12.786,10667,0
20060131,12.786,12.925,12.296,12.506,13567,0
20060201,12.506,12.576,12.157,12.576,20332,0
20060202,12.576,13.554,12.437,13.274,38661,0
20060203,13.274,13.764,12.506,12.715,50443,0
20060206,13.135,13.205,12.925,13.135,6186,0
20060207,13.484,13.484,12.925,12.995,7715,0
20060208,13.135,13.415,12.995,13.415,13365,0
20060209,13.694,14.881,13.274,14.812,250874,0
20060210,14.602,14.672,14.113,14.602,20498,0
20060213,14.532,14.532,13.764,14.532,30448,0
20060214,14.672,14.881,14.462,14.602,92887,0
20060215,14.532,14.812,14.323,14.672,9336,0
20060216,14.602,14.602,14.113,14.323,13673,0
20060217,14.113,14.602,13.973,14.462,29983,0
20060220,14.462,14.602,14.183,14.532,14478,0
20060221,14.532,15.371,14.323,15.301,54179,0
20060222,15.371,16.768,15.371,16.628,65659,0
20060223,16.908,17.676,16.628,17.676,36783,0
20060224,18.166,20.96,18.166,20.611,245154,0
20060227,20.54,20.96,18.864,19.842,69542,0
20060228,20.052,20.89,19.493,19.493,50115,0
20060301,19.562,19.982,18.864,19.074,24975,0
20060302,19.354,20.191,19.213,19.562,16875,0
20060303,19.912,20.332,19.493,19.562,39727,0
20060306,19.632,20.471,19.003,20.471,28433,0
20060307,20.471,20.471,19.842,20.261,11735,0
20060308,19.912,20.261,19.772,20.261,8286,0
20060309,19.703,20.261,19.703,20.191,13124,0
20060310,20.191,20.191,19.423,20.191,24781,0
20060313,20.191,21.869,20.122,20.96,70685,0
20060314,21.169,23.056,21.1,22.706,95546,0
20060315,23.056,24.662,23.056,23.476,81016,0
20060316,23.755,23.755,22.706,23.405,30617,0
20060317,23.755,24.942,23.405,24.593,87195,0
20060320,25.152,26.41,24.104,25.85,87212,0
20060321,26.2,26.549,25.711,25.781,68861,0
20060322,26.06,26.13,25.291,25.781,40434,0
20060323,25.991,26.828,25.85,25.991,76796,0
20060324,26.13,26.479,25.85,26.27,43529,0
20060327,26.759,26.759,26.2,26.27,23873,0
20060328,26.479,26.479,25.362,25.711,24003,0
20060329,25.013,25.571,23.755,25.152,35167,0
20060330,25.291,26.27,24.523,25.152,26495,0
20060331,25.571,25.642,24.872,25.571,20021,0
20060403,25.642,25.642,23.894,24.244,49280,0
20060404,24.384,24.384,23.266,23.335,75525,0
20060405,23.056,23.545,22.008,23.545,80671,0
20060406,24.523,25.082,23.545,24.803,101636,0
20060407,25.291,26.06,24.803,25.781,66979,0
20060410,25.571,25.571,24.593,25.432,30146,0
20060411,25.152,25.152,24.454,24.872,16719,0
20060412,24.454,25.152,23.894,25.082,17853,0
20060413,24.523,25.432,24.454,24.872,13670,0
20060418,25.152,25.571,24.593,24.733,14430,0
20060419,25.152,25.642,24.803,25.501,20346,0
20060420,25.711,25.711,25.152,25.501,11655,0
20060421,25.222,25.781,24.454,25.432,35784,0
20060424,25.152,26.689,25.152,26.34,57064,0
20060425,26.62,28.226,26.62,28.226,57812,0
20060426,28.226,31.23,28.226,30.742,85368,0
20060427,31.021,32.069,29.135,29.204,80941,0
20060428,29.414,30.601,29.274,30.532,54375,0
20060502,31.091,31.789,30.532,31.51,35953,0
20060504,31.579,34.445,31.23,34.165,52904,0
20060505,34.794,39.125,34.094,38.357,92566,0
20060508,40.453,44.016,37.867,41.221,193287,0
20060509,41.92,46.112,40.523,42.34,126079,0
20060510,43.318,44.016,41.92,43.318,39982,0
20060511,42.968,46.741,42.968,46.392,90684,0
20060512,47.579,48.557,45.413,46.321,55713,0
20060515,46.112,46.182,41.501,43.736,58490,0
20060516,43.318,43.526,40.523,43.526,75335,0
20060517,44.086,45.413,42.619,43.318,29425,0
20060518,42.689,43.318,40.523,40.942,62936,0
20060519,41.221,41.85,40.104,40.523,20804,0
20060522,41.221,41.221,34.235,34.235,64487,0
20060523,31.789,33.396,25.152,31.65,179875,0
20060524,34.235,35.981,32.138,34.235,154918,0
20060525,34.794,36.68,32.488,35.423,79812,0
20060526,37.658,39.894,36.75,39.196,112866,0
20060529,41.431,44.714,40.523,44.435,102574,0
20060530,41.92,42.968,40.523,41.501,75940,0
20060531,38.986,41.431,37.448,40.453,40315,0
20060601,40.523,40.662,38.846,38.986,54388,0
20060602,40.662,40.662,38.636,38.636,38425,0
20060605,38.636,39.125,36.401,38.287,44679,0
20060606,36.96,40.313,36.75,39.335,48654,0
20060607,40.174,40.453,39.125,39.964,23718,0
20060608,39.125,39.125,37.728,38.426,25546,0
20060609,39.125,39.125,36.47,38.496,17772,0
20060612,37.238,37.309,31.579,33.676,34161,0
20060613,29.484,32.069,25.152,31.789,127232,0
20060614,27.806,31.579,27.806,31.091,54333,0
20060616,34.514,34.514,32.488,32.908,34420,0
20060619,31.65,33.816,31.579,33.536,47274,0
20060620,31.93,34.165,31.93,33.676,29450,0
20060621,33.676,34.025,32.488,32.837,16853,0
20060622,33.326,33.745,30.95,32.069,42783,0
20060623,31.44,31.44,29.344,30.113,38837,0
20060626,30.043,30.672,29.414,29.484,5234,0
20060627,30.462,32.138,29.414,31.999,28806,0
20060628,31.579,31.579,30.182,30.601,16175,0
20060629,30.672,31.021,29.344,30.043,16477,0
20060630,30.742,31.37,29.344,29.554,30736,0
20060703,30.672,30.672,29.204,30.043,10083,0
20060704,29.693,31.021,29.484,30.881,16294,0
20060705,30.742,32.767,30.742,31.44,28426,0
20060706,32.977,33.955,32.348,33.116,15255,0
20060707,33.745,34.094,33.257,33.745,10066,0
20060710,33.116,33.955,32.138,33.536,10141,0
20060711,33.816,34.933,33.536,34.374,13251,0
20060712,36.331,39.404,35.981,38.846,47748,0
20060713,38.077,39.125,36.75,37.728,41110,0
20060714,36.191,38.426,35.003,37.099,30465,0
20060717,36.68,37.099,35.423,36.331,17512,0
20060718,36.47,37.238,34.235,36.61,21021,0
20060719,37.03,37.728,35.842,37.03,7197,0
20060720,37.658,39.055,37.448,38.496,10989,0
20060721,38.496,38.496,37.238,37.728,12680,0
20060724,38.077,38.426,37.03,38.008,7866,0
20060725,38.776,39.545,38.706,39.475,22413,0
20060726,39.754,41.221,39.754,40.802,29336,0
20060727,40.802,41.221,40.523,41.221,13706,0
20060728,41.221,41.431,40.243,40.802,12126,0
20060731,41.431,41.431,40.802,41.221,15610,0
20060801,42.06,43.318,41.082,41.082,46285,0
20060802,40.662,41.082,39.265,40.802,28491,0
20060803,40.733,40.733,38.776,39.614,26055,0
20060804,40.243,40.802,39.824,40.662,19586,0
20060807,40.802,40.942,39.824,40.523,7853,0
20060808,40.733,40.733,38.846,38.846,16013,0
20060809,39.614,40.174,38.846,39.894,11792,0
20060810,39.824,39.824,38.496,39.754,13053,0
20060811,39.824,40.033,38.986,38.986,17047,0
20060814,39.614,39.614,37.867,38.357,5808,0
20060816,38.357,38.357,37.099,37.309,7101,0
20060817,37.03,37.379,35.632,37.379,19335,0
20060818,37.938,41.082,37.518,40.872,58401,0
20060821,41.92,46.252,41.92,44.575,162235,0
20060822,46.252,48.836,44.016,44.924,122805,0
20060823,45.064,46.042,43.877,44.784,26223,0
20060824,44.155,44.226,42.479,43.318,43872,0
20060825,42.968,44.575,42.479,44.365,19514,0
20060828,44.714,45.413,43.806,45.413,13288,0
20060829,45.484,47.858,45.484,47.299,40414,0
20060830,46.811,47.509,46.531,46.95,19168,0
20060831,46.811,46.95,45.692,45.833,10262,0
20060901,45.204,45.692,44.784,45.692,16999,0
20060904,45.413,45.763,44.506,45.413,9392,0
20060905,46.811,48.628,46.112,47.858,57306,0
20060906,48.138,50.933,47.858,50.653,217560,0
20060907,51.143,51.352,49.885,50.653,35080,0
20060908,51.352,54.426,50.584,53.518,38565,0
20060911,52.4,55.894,52.4,55.124,41559,0
20060912,55.195,58.129,53.518,57.64,49191,0
20060913,58.409,58.618,53.867,54.007,46178,0
20060914,54.146,55.195,51.492,54.426,89848,0
20060915,54.496,54.496,52.75,54.496,13929,0
20060918,50.304,52.4,47.65,48.208,173407,0
20060919,47.09,48.208,42.409,44.016,173934,0
20060920,44.226,46.462,41.99,46.112,154649,0
20060921,47.509,47.509,43.877,45.763,63773,0
20060922,44.714,47.44,44.016,46.811,40343,0
20060925,47.16,48.907,47.021,48.907,37627,0
20060926,50.304,51.002,49.745,49.885,43375,0
20060927,49.885,49.885,46.811,48.836,42243,0
20060928,49.326,49.326,47.579,48.208,25732,0
20060929,49.116,49.186,48.418,48.907,20186,0
20061002,49.606,49.606,47.858,48.208,18730,0
20061003,48.836,48.836,46.182,46.811,16739,0
20061004,46.88,46.88,45.553,46.182,11848,0
20061005,46.252,47.858,45.763,47.09,19574,0
20061006,47.509,47.789,46.67,47.16,18451,0
20061009,47.23,47.44,46.811,47.16,4418,0
20061010,47.16,51.701,47.16,50.863,94241,0
20061011,51.143,52.121,48.977,49.606,26181,0
20061012,50.653,50.653,49.186,49.885,16056,0
20061013,49.606,49.955,48.208,48.907,14354,0
20061016,48.907,48.907,47.579,48.628,28862,0
20061017,48.068,49.606,47.509,48.348,17822,0
20061018,49.606,51.002,49.256,50.514,34065,0
20061019,50.723,50.794,49.675,49.955,11466,0
20061020,50.584,50.584,49.606,50.304,10536,0
20061023,50.304,51.492,50.304,50.723,15741,0
20061024,51.002,53.029,51.002,51.701,34895,0
20061025,52.051,52.4,51.701,52.051,25461,0
20061026,52.4,53.309,52.051,52.26,30674,0
20061027,52.4,52.75,51.701,52.19,15514,0
20061030,52.121,52.121,50.374,50.443,19244,0
20061031,51.562,51.562,50.443,50.933,16894,0
20061102,50.304,50.304,48.907,49.396,16489,0
20061103,49.465,50.304,49.256,50.094,9955,0
20061106,50.304,50.794,49.885,50.304,8865,0
20061107,50.304,50.374,50.024,50.024,13924,0
20061108,50.304,50.304,49.116,49.116,13504,0
20061109,48.977,48.977,48.068,48.907,14337,0
20061110,48.907,48.907,48.208,48.557,9447,0
20061113,46.462,48.208,46.462,47.299,20566,0
20061114,47.509,47.999,47.23,47.719,6946,0
20061115,48.557,48.557,47.23,48.138,8171,0
20061116,48.557,48.697,47.579,48.278,7312,0
20061117,48.628,48.628,47.579,48.138,8415,0
20061120,48.208,51.352,47.65,50.863,26772,0
20061121,51.282,53.378,51.282,53.029,47563,0
20061122,53.867,55.753,53.448,55.753,158664,0
20061123,55.894,57.431,54.146,56.382,61410,0
20061124,56.592,56.592,54.845,55.894,18203,0
20061127,56.243,56.312,54.985,55.614,10119,0
20061128,55.334,57.29,54.496,55.894,59276,0
20061129,55.334,57.221,54.496,57.221,27548,0
20061130,57.29,57.29,56.243,56.731,22292,0
20061201,55.334,57.082,55.195,56.173,23572,0
20061204,56.731,56.731,53.518,55.544,25572,0
20061205,54.636,55.894,54.496,55.544,40501,0
20061206,55.894,56.033,55.195,55.753,11571,0
20061207,56.033,56.243,55.124,56.173,8937,0
20061208,55.894,56.522,55.265,56.173,12847,0
20061211,55.614,56.173,55.334,55.753,13188,0
20061212,55.894,55.894,54.077,54.146,12741,0
20061213,54.496,55.614,54.496,55.614,12114,0
20061214,55.614,55.614,54.007,54.146,8010,0
20061215,54.146,54.426,49.606,53.029,22732,0
20061218,53.797,53.797,50.933,52.4,18907,0
20061219,52.4,52.4,49.536,50.304,16151,0
20061220,49.955,51.002,48.278,49.046,18504,0
20061221,48.278,50.443,48.068,48.977,13351,0
20061222,50.443,50.443,49.116,49.186,17151,0
20061227,49.606,50.304,49.606,50.234,5412,0
20061228,50.024,50.304,49.465,49.955,2840,0
20061229,49.465,49.745,49.326,49.745,4093,0
20070102,49.745,51.492,49.396,51.492,16477,0
20070103,52.33,53.309,51.772,53.309,38791,0
20070104,53.099,53.448,52.33,52.609,24331,0
20070105,52.26,52.75,52.19,52.4,13954,0
20070108,53.099,53.518,52.4,53.518,10912,0
20070109,54.146,55.055,53.797,54.845,60291,0
20070110,55.195,55.195,54.216,54.985,36210,0
20070111,55.055,55.474,55.055,55.404,25417,0
20070112,55.404,55.404,54.356,55.195,14108,0
20070115,54.636,55.265,54.636,55.195,17183,0
20070116,55.195,57.221,55.195,57.151,45514,0
20070117,57.221,62.182,56.941,60.434,54920,0
20070118,61.483,63.439,60.784,62.182,90006,0
20070119,62.531,63.648,60.085,62.88,41470,0
20070122,63.019,63.648,62.182,62.88,22357,0
20070123,62.182,63.439,62.182,63.439,12829,0
20070124,62.95,68.47,62.251,67.072,59276,0
20070125,67.282,67.771,64.697,64.697,24630,0
20070126,63.648,64.697,63.019,63.928,15544,0
20070129,63.719,63.928,62.81,63.509,9930,0
20070130,63.509,63.509,62.88,63.509,5515,0
20070131,63.858,63.858,62.741,63.509,6092,0
20070201,63.928,66.863,63.928,66.304,8281,0
20070202,67.771,68.47,66.722,67.771,18724,0
20070205,68.47,69.517,68.26,69.517,25507,0
20070206,69.797,74.408,69.797,74.059,39869,0
20070207,75.456,77.342,74.897,76.853,54511,0
20070208,78.251,78.251,70.565,70.565,36509,0
20070209,68.819,76.853,66.373,76.853,48224,0
20070212,76.853,80.276,73.01,77.971,62391,0
20070213,77.552,79.578,77.552,77.622,20773,0
20070214,77.902,79.298,74.129,77.902,30825,0
20070215,78.251,78.251,76.015,76.504,15131,0
20070216,76.154,76.853,74.758,75.386,10258,0
20070219,75.456,76.853,74.758,75.526,12935,0
20070220,76.783,76.783,74.758,74.897,6525,0
20070221,75.456,76.295,74.758,74.758,8822,0
20070222,75.107,75.456,73.57,74.758,20204,0
20070223,74.408,74.758,73.151,73.639,13393,0
20070226,73.36,73.36,71.404,71.683,13823,0
20070227,71.893,71.893,64.976,66.722,33484,0
20070228,62.88,68.4,62.531,66.722,17544,0
20070301,68.539,71.614,64.277,66.373,15531,0
20070302,68.819,69.029,66.373,67.7,12995,0
20070305,64.277,65.744,63.578,64.277,36100,0
20070306,64.627,66.722,64.627,66.373,13998,0
20070307,67.771,70.915,67.771,69.098,14037,0
20070308,69.168,71.264,69.168,71.124,15776,0
20070309,71.614,73.29,69.866,71.963,1295697,0
20070312,73.57,75.246,72.661,74.059,30147,0
20070313,74.408,74.758,71.334,72.731,22814,0
20070314,68.539,72.661,68.539,72.661,18458,0
20070315,75.107,75.317,74.059,74.129,14658,0
20070316,74.338,75.107,73.01,74.758,8991,0
20070319,67.421,74.059,67.421,73.5,25934,0
20070320,73.709,76.154,72.802,76.154,46168,0
20070321,76.154,76.783,75.805,76.504,16798,0
20070322,76.853,78.949,76.154,76.574,13436,0
20070323,78.6,78.6,74.129,75.805,5480,0
20070326,75.805,75.805,72.871,72.871,9833,0
20070327,73.36,73.709,71.334,71.963,26161,0
20070328,72.312,72.312,71.264,72.242,8687,0
20070329,72.661,74.059,71.264,73.919,17232,0
20070330,72.802,75.456,72.312,75.456,13500,0
20070402,75.456,76.853,72.661,76.853,15057,0
20070403,77.622,83.84,77.622,83.141,36836,0
20070404,83.281,83.491,81.185,83.281,23504,0
20070405,82.442,83.84,80.347,83.281,15693,0
20070410,83.84,86.635,83.141,85.936,33740,0
20070411,85.447,85.936,84.539,84.608,12864,0
20070412,84.539,84.539,76.853,80.626,24513,0
20070413,80.486,85.237,80.486,84.539,31210,0
20070416,86.984,90.478,86.984,89.08,82631,0
20070417,90.478,90.617,89.22,89.569,11908,0
20070418,90.128,93.622,89.569,90.827,27367,0
20070419,90.827,90.827,86.635,87.334,31029,0
20070420,87.403,91.176,87.264,90.966,30097,0
20070423,90.966,101.31,90.827,101.31,35286,0
20070424,97.813,107.31,94.39,99.91,37568,0
20070425,99.91,102.7,97.883,97.883,14590,0
20070426,103.4,109.97,99.281,101.66,56145,0
20070427,102.98,108.29,99.211,104.1,24868,0
20070430,108.29,108.29,103.47,103.96,14578,0
20070502,106.83,106.83,102.15,104.8,12050,0
20070504,111.79,122.96,111.44,118.08,51133,0
20070507,119.47,120.17,111.93,113.18,34631,0
20070508,115.28,115.28,108.29,110.04,15298,0
20070509,109.69,115.28,107.59,113.11,18890,0
20070510,113.11,114.52,107.94,109.06,24920,0
20070511,102.7,111.72,102.7,108.29,39480,0
20070514,113.81,115.28,111.79,111.79,43724,0
20070515,118.08,118.78,113.53,114.23,42857,0
20070516,115.98,118.36,113.18,117.37,114461,0
20070517,118.08,127.15,114.94,123.31,63680,0
20070518,124.01,132.74,123.66,132.74,94481,0
20070521,138.68,143.16,138.41,139.03,58609,0
20070522,140.15,142.52,134.15,139.38,26034,0
20070523,139.03,139.03,133.09,136.87,25893,0
20070524,133.44,134.15,129.25,132.74,27379,0
20070525,134.15,135.82,129.25,132.82,28898,0
20070528,135.54,137.57,133.86,134.84,22249,0
20070529,135.61,148.46,135.61,145.67,128505,0
20070530,146.65,147.77,140.44,141.48,32920,0
20070531,146.51,149.87,141.48,141.83,77376,0
20070601,141.83,147.14,139.73,142.18,39747,0
20070604,141.2,146.72,140.86,142.18,36262,0
20070605,146.02,146.02,142.18,142.52,35644,0
20070606,142.52,145.32,137.99,139.67,18229,0
20070608,134.15,136.87,131.35,135.19,60079,0
20070611,137.64,138.96,136.31,136.94,12227,0
20070612,138.26,138.26,129.89,132.74,16682,0
20070613,130.09,135.54,129.25,134.77,8995,0
20070614,134.15,135.54,132.74,132.74,57437,0
20070615,136.24,143.23,134.84,140.51,33472,0
20070618,144.55,145.04,141.83,145.04,28107,0
20070619,144.55,156.5,143.93,156.5,81021,0
20070620,164.18,166.28,160.07,161.88,43062,0
20070621,160.69,161.39,156.78,160.62,29719,0
20070622,160,173.27,157.2,169.08,38408,0
20070625,173.2,181.51,168.38,174.18,56201,0
20070626,177.88,177.88,174.18,175.99,44910,0
20070627,175.92,175.99,166.21,169.7,44448,0
20070628,171.17,174.67,168.38,173.96,20295,0
20070629,174.31,174.6,166.63,173.27,56565,0
20070702,168.86,173.27,167.4,169.01,61824,0
20070703,167.68,167.68,165.44,166.7,53676,0
20070704,167.12,169.01,164.33,168.38,36824,0
20070705,171.17,172.43,167.68,171.04,33944,0
20070706,171.17,175.99,171.04,174.67,49935,0
20070709,176.34,176.34,169.78,171.17,20742,0
20070710,171.17,171.17,155.52,167.62,157637,0
20070711,167.68,169.01,165.94,167.62,183949,0
20070712,170.4,170.47,166.7,166.7,20934,0
20070713,171.04,171.04,166.36,167.68,17119,0
20070716,165.24,165.24,154.4,158.59,22750,0
20070717,154.75,166.98,148.26,165.37,31196,0
20070718,167.68,167.68,164.18,165.59,9732,0
20070719,167.33,167.68,161.74,165.59,16401,0
20070720,164.88,164.88,160.34,161.74,12244,0
20070723,159.85,159.85,154.27,155.17,14585,0
20070724,154.27,154.27,146.02,148.12,20623,0
20070725,141.9,145.39,139.38,143.93,84495,0
20070726,141.13,153.71,139.38,142.18,32288,0
20070727,137.64,143.86,136.24,142.52,66847,0
20070730,146.72,150.14,143.23,145.25,28818,0
20070731,147.2,150.84,144.97,146.72,36568,0
20070801,142.52,143.16,139.25,143.02,25403,0
20070802,146.72,148.12,138.34,141.13,32349,0
20070803,143.23,143.23,134.5,140.02,18306,0
20070806,134.22,139.67,133.93,137.99,30065,0
20070807,139.73,142.52,134.84,139.45,21724,0
20070808,142.18,142.18,135.96,139.45,25278,0
20070809,140.78,141.13,131.08,132.74,26412,0
20070810,127.22,128.7,115.28,118.01,46639,0
20070813,117.37,136.18,117.37,134.15,32439,0
20070814,134.15,134.22,126.04,129.95,26903,0
20070816,125.06,129.25,108.99,118.91,99539,0
20070817,118.78,128.21,113.53,124.37,136077,0
20070820,133.44,133.44,120.17,121.15,92211,0
20070821,120.1,121.08,115.42,120.66,57899,0
20070822,122.96,127.86,120.86,124.37,204551,0
20070823,128.83,130.09,124.43,125.34,54342,0
20070824,123.66,129.18,122.69,128.7,47589,0
20070827,128.9,134.22,127.99,133.44,64023,0
20070828,131.7,132.05,126.53,127.15,33467,0
20070829,120.17,129.25,118.78,126.46,70325,0
20070830,130.58,133.09,122.62,125.76,34884,0
20070831,128.56,132.05,128.21,131,17911,0
20070903,129.95,133.73,128.9,130.58,15681,0
20070904,130.58,130.58,127.86,129.25,13335,0
20070905,130.3,130.3,124.37,124.37,17643,0
20070906,125.56,128.06,120.86,124.01,31453,0
20070907,125.41,127.15,118.85,119.82,28485,0
20070910,116.12,119.69,116.12,116.95,37641,0
20070911,119.47,121.08,118.08,118.56,27062,0
20070912,118.78,118.78,111.79,115.28,49943,0
20070913,114.58,120.1,111.09,120.1,34329,0
20070914,119.47,120.52,116.89,118.08,34370,0
20070917,118.08,119.47,115.07,115.28,9983,0
20070918,115.28,116.33,113.18,115.49,11785,0
