Date,Open,High,Low,Close,Volume,OpenInt
20110504,11.29,11.69,11.03,11.05,245328,0
20110505,11.07,11.07,10.5,10.82,44607,0
20110506,10.95,10.95,10.71,10.81,76951,0
20110509,10.84,10.9,10.79,10.84,21084,0
20110510,10.85,10.92,10.52,10.79,10245,0
20110511,10.57,10.82,10.57,10.7,22556,0
20110512,10.58,10.8,10.56,10.73,6733,0
20110513,10.72,10.8,10.61,10.8,40965,0
20110516,10.62,10.8,10.62,10.8,22511,0
20110517,10.79,10.8,10.58,10.61,33186,0
20110518,10.61,10.79,10.53,10.79,23521,0
20110519,10.79,10.8,10.75,10.76,4582,0
20110520,10.61,10.75,10.61,10.7,585,0
20110523,10.62,10.8,10.59,10.8,16904,0
20110524,10.65,10.82,10.5,10.82,184466,0
20110525,10.7,10.8,10.7,10.8,3873,0
20110526,10.8,10.84,10.75,10.84,3961,0
20110527,10.83,11.45,10.83,11.45,286719,0
20110530,11.41,11.5,11.31,11.4,13271,0
20110531,11.32,11.5,11.31,11.49,16073,0
20110601,11.47,11.49,11.38,11.39,10869,0
20110602,11.38,11.4,11.3,11.3,13999,0
20110603,11.2,11.35,11.2,11.35,12607,0
20110606,11.4,11.4,11.19,11.25,4822,0
20110607,11.33,11.4,11.26,11.3,2897,0
20110608,11.25,11.3,11.24,11.24,7456,0
20110609,11.28,11.28,11,11.12,6225,0
20110610,11.01,11.14,11.01,11.13,232822,0
20110613,11.12,11.19,11,11.1,3076,0
20110614,11.07,11.13,11.06,11.12,4999,0
20110615,11.03,11.09,11.03,11.03,9077,0
20110616,11,11,10.7,10.71,18717,0
20110617,10.85,10.9,10.5,10.9,7191,0
20110620,10.9,11.06,10.7,11.01,36403,0
20110621,11.03,11.19,11.03,11.05,38266,0
20110622,11.09,11.09,10.85,11,11762,0
20110624,10.75,10.95,10.75,10.75,826,0
20110627,10.75,10.76,10.6,10.64,7127,0
20110628,10.53,10.75,10.53,10.75,1272,0
20110629,10.75,10.9,10.7,10.85,339,0
20110630,10.85,10.95,10.8,10.95,2776,0
20110701,10.95,10.95,10.58,10.88,6070,0
20110704,10.56,10.67,10.48,10.55,4320,0
20110705,10.73,10.73,10.2,10.25,5454,0
20110706,10.3,10.37,10.01,10.05,22253,0
20110707,10.29,10.44,10.01,10.25,1474,0
20110708,10.2,10.3,10.06,10.3,762,0
20110711,10.35,10.35,10.35,10.35,221,0
20110712,10.06,10.06,10,10.05,1388,0
20110713,10.05,10.29,10.05,10.29,312,0
20110714,10.04,10.2,10.04,10.2,97,0
20110715,10.07,10.2,10.01,10.04,1800,0
20110718,10,10,9.94,9.94,2428,0
20110719,9.9,10,9.7,9.8,140565,0
20110720,9.8,9.8,9.8,9.8,427,0
20110721,9.55,9.61,9.55,9.6,744,0
20110722,9.9,10.19,9.8,10.15,6453,0
20110725,10.26,10.26,10.15,10.19,14,0
20110726,10.1,10.23,10,10.17,1551,0
20110727,10.19,10.6,10.19,10.6,13836,0
20110728,10.1,10.8,10.1,10.8,3090,0
20110729,10.7,10.8,10.6,10.62,112703,0
20110801,10.61,10.61,10.45,10.5,16669,0
20110802,10.36,10.5,10.36,10.39,1704,0
20110803,10.39,10.39,10.15,10.15,11039,0
20110804,10.01,10.01,9.02,9.2,21661,0
20110805,8.5,9.1,8.5,9.1,8948,0
20110808,8.3,8.8,7.5,8.3,242725,0
20110809,7.82,8.2,7.17,8.2,94810,0
20110810,8.21,8.7,8,8.19,52948,0
20110811,7.95,7.95,7.5,7.88,26088,0
20110812,8.2,8.3,8.05,8.3,4356,0
20110816,9.09,9.09,8.55,9,2289,0
20110817,9,9,8.99,8.99,1332,0
20110818,8.99,9,8.25,8.89,10076,0
20110819,8.12,8.86,8.05,8.85,4030,0
20110822,8.94,9.2,8.94,9.2,2942,0
20110823,9,9.19,9,9.19,103,0
