Date,Open,High,Low,Close,Volume,OpenInt
19970612,12.24,12.24,12.24,12.24,11735,0
19970613,12.6,12.6,12.6,12.6,96204,0
19970616,12.6,12.6,12.6,12.6,243090,0
19970617,12.6,12.6,12.6,12.6,174437,0
19970618,12.18,12.18,12.18,12.18,61036,0
19970619,12,12,12,12,46895,0
19970620,11.82,11.82,11.82,11.82,41008,0
19970623,11.22,11.22,11.22,11.22,51043,0
19970624,11.04,11.04,11.04,11.04,74546,0
19970625,10.92,10.92,10.92,10.92,40579,0
19970626,10.44,10.44,10.44,10.44,50249,0
19970627,10.92,10.92,10.92,10.92,45944,0
19970630,10.92,10.92,10.92,10.92,28064,0
19970701,10.74,10.74,10.74,10.74,24362,0
19970702,10.14,10.44,10.14,10.44,12143,0
19970703,10.44,10.8,10.44,10.8,61896,0
19970704,10.62,10.62,10.44,10.44,12291,0
19970707,10.44,10.44,10.26,10.26,10238,0
19970708,10.62,10.74,10.62,10.74,34060,0
19970709,10.74,10.98,10.74,10.98,14718,0
19970710,10.92,10.92,10.92,10.92,65111,0
19970711,10.74,10.74,10.62,10.62,34604,0
19970714,9.72,9.72,9.72,9.72,36462,0
19970715,9.72,10.14,9.72,10.02,31403,0
19970716,9.96,10.14,9.96,9.96,32338,0
19970717,9.96,10.2,9.96,10.2,32944,0
19970718,10.14,10.14,9.96,9.96,46886,0
19970721,9.96,9.96,9.84,9.84,48657,0
19970722,9.96,10.14,9.66,9.72,27904,0
19970723,9.66,9.66,9.48,9.48,8697,0
19970724,9.36,9.36,9.18,9.18,25945,0
19970725,8.7,8.82,8.7,8.7,17092,0
19970728,9.06,9.12,9.06,9.06,62268,0
19970729,9.66,9.66,9.48,9.48,46748,0
19970730,9.66,9.96,9.66,9.96,10592,0
19970731,9.84,9.84,9.6,9.66,42103,0
19970801,9.66,9.9,9.66,9.84,20697,0
19970804,10.14,10.14,9.84,9.84,29653,0
19970805,9.96,10.26,9.96,10.26,22217,0
19970806,10.14,10.2,9.96,10.02,12765,0
19970807,10.2,10.8,10.2,10.8,19036,0
19970808,10.92,11.46,10.92,11.4,56949,0
19970811,10.92,10.92,10.68,10.92,47366,0
19970812,10.92,11.16,10.92,11.04,55013,0
19970813,10.74,10.74,10.74,10.74,5303,0
19970814,10.14,10.38,10.14,10.26,12641,0
19970818,10.26,10.68,10.26,10.44,51948,0
19970819,10.26,10.74,10.26,10.74,25415,0
19970820,10.74,10.74,10.5,10.68,23445,0
19970821,10.5,10.5,10.2,10.5,28958,0
19970822,10.74,10.74,10.62,10.68,36563,0
19970825,11.04,11.04,10.74,10.8,43380,0
19970826,11.22,11.4,11.04,11.4,115415,0
19970827,11.22,11.52,11.22,11.46,16798,0
19970828,11.4,11.76,11.4,11.7,19572,0
19970829,11.76,11.94,11.58,11.76,88498,0
19970901,12.18,12.48,12.18,12.3,60153,0
19970902,12.48,12.84,12.48,12.78,70558,0
19970903,12.9,12.9,12.78,12.84,82142,0
19970904,13.26,13.26,12.84,12.9,29335,0
19970905,12.84,13.32,12.84,13.26,22030,0
