Date,Open,High,Low,Close,Volume,OpenInt
20070111,27.081,31.27,27.081,29.079,350313,0
20070112,29.598,29.607,28.41,29.352,42275,0
20070115,29.352,30.047,28.621,30.003,27102,0
20070116,28.956,29.915,28.956,29.528,6336,0
20070117,29.695,29.853,29.176,29.413,7563,0
20070118,29.264,30.223,29.264,30.135,14990,0
20070119,29.695,31.314,29.176,30.593,23254,0
20070122,30.601,31.182,30.601,31.006,30661,0
20070123,31.006,31.182,30.883,31.006,22767,0
20070124,31.006,32.142,31.006,31.446,47940,0
20070125,31.887,31.887,30.575,30.874,4068,0
20070126,30.839,30.91,30.751,30.848,15626,0
20070129,31.446,31.446,30.839,30.874,6105,0
20070130,27.803,30.575,27.803,30.531,15197,0
20070131,30.399,31.35,30.311,30.531,17203,0
20070201,30.575,31.226,30.32,31.006,22814,0
20070202,31.191,31.191,30.575,30.575,4808,0
20070205,31.358,31.358,30.593,31.006,7530,0
20070206,31.015,34.069,30.751,32.142,271417,0
20070207,33.796,33.796,32.758,33.453,3807,0
20070208,33.321,34.025,32.318,32.846,16670,0
20070209,33.198,33.629,32.406,33.154,10916,0
20070212,32.608,33.154,32.599,32.758,17595,0
20070213,32.582,32.89,32.318,32.846,10003,0
20070214,33.154,34.043,33.154,34.043,1222,0
20070215,34.333,36.692,34.333,36.252,23739,0
20070216,35.812,41.057,35.812,37.95,16200,0
20070219,38.663,40.177,38.663,40.142,14789,0
20070220,40.186,40.186,38.699,40.186,6529,0
20070221,39.482,40.177,39.482,40.133,1354,0
20070222,40.133,40.969,39.324,40.441,13090,0
20070223,40.309,40.441,40.309,40.441,6378,0
20070226,41.048,41.057,40.705,40.705,3427,0
20070227,40.441,40.705,37.299,37.299,11392,0
20070228,37.123,37.563,34.941,37.563,6039,0
20070301,37.123,40.186,36.252,38.435,3358,0
20070302,37.748,39.306,37.563,38.874,3641,0
20070305,35.812,37.546,35.812,37.537,6529,0
20070306,37.537,37.537,36.859,37.123,1916,0
20070307,39.658,39.746,37.563,39.218,7132,0
20070308,40.098,40.186,39.702,40.186,2693,0
20070309,40.353,40.353,39.306,40.186,6498,0
20070312,40.186,41.929,40.186,41.489,5650,0
20070313,41.489,42.369,40.485,41.929,4906,0
20070314,41.489,41.753,41.057,41.753,6217,0
20070315,42.791,46.118,42.791,43.671,7283,0
20070316,43.592,43.592,42.8,43.249,3368,0
20070319,43.249,45.423,43.249,44.939,18510,0
20070320,45.246,45.246,43.671,44.463,17223,0
