Date,Open,High,Low,Close,Volume,OpenInt
20060720,1.8672,3.2604,1.8672,3.2288,7097934,0
20060721,3.1111,3.6741,2.2378,2.2378,4123453,0
20060724,2.2234,2.4073,1.6661,1.7121,1973548,0
20060725,1.7782,1.9189,1.5254,1.6805,1788522,0
20060726,1.7178,1.8069,1.6144,1.6518,572646,0
20060727,1.6747,1.8212,1.557,1.7782,1116747,0
20060728,1.7782,1.8586,1.7121,1.7178,458858,0
20060731,1.7782,1.7782,1.6891,1.6977,166276,0
20060801,1.6661,1.6977,1.6001,1.6144,365307,0
20060802,1.5857,1.5857,1.5254,1.5483,265830,0
20060803,1.5254,1.8385,1.488,1.7552,1276684,0
20060804,1.8672,1.8672,1.7264,1.7782,404351,0
20060807,1.8011,1.8528,1.6661,1.7322,504837,0
20060808,1.7868,1.7868,1.6661,1.7782,222726,0
20060809,1.8528,1.8528,1.6747,1.6747,306642,0
20060810,1.646,1.6805,1.6001,1.623,99982,0
20060811,1.6001,1.6604,1.5771,1.6288,112030,0
20060814,1.646,1.646,1.557,1.623,24410,0
20060816,1.6001,1.6144,1.557,1.6087,59204,0
20060817,1.6087,1.6144,1.5196,1.6001,126630,0
20060818,1.557,1.557,1.4507,1.4507,202271,0
20060821,1.4737,1.6288,1.3789,1.5627,463572,0
20060822,1.511,1.5254,1.4162,1.422,133588,0
20060823,1.4679,1.4737,1.3559,1.3932,201972,0
20060824,1.4076,1.422,1.3559,1.3645,198456,0
20060825,1.4162,1.4162,1.3645,1.399,48879,0
20060828,1.4306,1.4966,1.3415,1.4966,288892,0
20060829,1.511,1.557,1.422,1.4363,147694,0
20060830,1.4737,1.4737,1.3559,1.3789,150750,0
20060831,1.4162,1.422,1.3645,1.3645,88369,0
20060901,1.3932,1.422,1.3645,1.3645,40928,0
20060904,1.3961,1.4363,1.3559,1.4363,170043,0
20060905,1.8442,1.8442,1.6029,1.6202,1500128,0
20060906,1.6202,1.6288,1.5196,1.5943,400459,0
20060907,1.6518,1.8299,1.623,1.7695,548017,0
20060908,1.7695,1.8299,1.6977,1.8184,235443,0
20060911,1.873,2.0597,1.8672,1.962,517571,0
20060912,1.985,1.985,1.8873,1.939,165514,0
20060913,1.985,1.985,1.7638,1.7638,325134,0
20060914,1.8299,1.8299,1.646,1.7322,337440,0
20060915,1.6747,1.7322,1.6747,1.6834,52057,0
20060918,1.7264,1.7466,1.6977,1.7408,76219,0
20060919,1.7466,1.8672,1.715,1.8672,295148,0
20060920,1.9275,1.962,1.8212,1.8672,331122,0
20060921,1.8299,1.9993,1.8299,1.9993,311015,0
20060922,1.9965,1.9965,1.8931,1.9936,124802,0
20060925,2.0625,2.1028,2.0137,2.0884,170791,0
20060926,2.1028,2.1028,2.0137,2.074,251696,0
20060927,2.1775,2.2148,2.0137,2.0453,425903,0
20060928,2.0511,2.0712,2.0022,2.0424,67645,0
20060929,2.1028,2.1487,2.0453,2.1229,193015,0
20061002,2.1459,2.1459,2.0453,2.12,35379,0
20061003,2.1114,2.1114,2.0309,2.1056,33676,0
20061004,2.1775,2.1775,2.0511,2.1257,92936,0
20061005,2.1344,2.166,2.0625,2.12,56551,0
20061006,2.1918,2.1918,2.0913,2.1775,89382,0
20061009,2.2177,2.7118,2.2177,2.6629,494766,0
20061010,2.7261,2.7376,2.4073,2.6486,566540,0
20061011,2.6629,2.6629,2.4618,2.5164,142180,0
20061012,2.4733,2.6514,2.4446,2.594,371496,0
20061013,2.6371,2.6371,2.548,2.5911,65115,0
20061016,2.6371,2.8152,2.594,2.7836,669122,0
20061017,2.8123,2.8123,2.6974,2.7549,75057,0
20061018,2.7204,2.8123,2.6658,2.7692,99902,0
20061019,2.8295,2.9473,2.7405,2.8841,151934,0
20061020,2.9646,3.0364,2.8755,2.9502,234019,0
20061023,3.022,3.022,2.8899,2.9847,82576,0
20061024,3.0364,3.1024,2.9933,3.068,99320,0
20061025,3.1111,3.2604,2.9789,3.2145,212426,0
20061026,3.3322,3.5391,3.2604,3.3351,177235,0
20061027,3.4529,3.4529,3.2604,3.3638,120360,0
20061030,3.2604,3.4041,2.9674,3.0909,123072,0
20061031,3.0364,3.1111,2.8439,3.1111,149678,0
20061102,3.1111,3.1111,2.933,3.0019,137125,0
20061103,2.9646,3.022,2.91,2.9933,66169,0
20061106,3.0019,3.0019,2.8496,2.9186,113186,0
20061107,2.7979,2.8899,2.7979,2.8008,123302,0
20061108,2.7692,2.8008,2.5854,2.6227,263163,0
20061109,2.6285,2.8439,2.6285,2.8439,143597,0
20061110,2.887,2.8899,2.7118,2.7405,139844,0
20061113,2.8755,2.8755,2.6658,2.7405,152296,0
20061114,2.8439,2.8439,2.6859,2.6888,128607,0
20061115,2.683,2.7347,2.683,2.6974,31901,0
20061116,2.7261,3.1398,2.7261,3.1398,233344,0
20061117,3.3638,3.5276,3.1714,3.2145,1047330,0
20061120,3.1857,3.2461,3.0823,3.1714,478001,0
20061121,3.1628,3.3926,3.0076,3.3265,250850,0
20061122,3.4529,3.473,3.3552,3.4069,184364,0
20061123,3.473,3.4816,3.4127,3.4673,125063,0
20061124,3.3954,3.7919,3.3954,3.6454,371409,0
20061127,3.8522,3.8666,3.7028,3.8666,265767,0
20061128,3.8378,3.8378,3.5563,3.6339,371517,0
20061129,3.6511,3.97,3.631,3.9556,305480,0
20061130,4.0734,4.1481,3.97,4.0447,308087,0
20061201,4.1452,4.2343,4.105,4.2084,303826,0
20061204,4.2601,4.3405,4.1854,4.2343,355479,0
20061205,4.3089,4.7398,4.1854,4.6967,437665,0
20061206,4.826,6.0325,4.7686,5.4293,620219,0
20061207,5.7079,5.7079,4.9122,4.9179,206967,0
20061208,5.1104,5.1104,4.7398,4.8749,115003,0
20061211,4.826,4.849,4.51,4.5675,119939,0
20061212,4.5359,4.5359,4.3204,4.3779,92835,0
20061213,4.3808,4.5905,4.1079,4.5905,112402,0
20061214,4.5962,4.6795,4.4526,4.5359,78186,0
20061215,4.4554,4.4554,3.7344,4.1021,187838,0
20061218,4.1021,4.2371,3.9556,3.9728,54588,0
20061219,3.9355,3.9355,3.2892,3.4472,245382,0
20061220,3.5678,3.7344,3.1743,3.1743,191027,0
20061221,3.2461,3.5592,3.2346,3.5592,202080,0
20061222,3.8752,3.9585,3.7201,3.8666,372892,0
20061227,3.878,4.5818,3.878,4.5818,181569,0
20061228,4.8547,4.8547,4.3808,4.5847,169054,0
20061229,4.5847,4.668,4.3089,4.3951,76916,0
20070102,4.533,4.533,4.1366,4.3951,146249,0
20070103,4.3951,4.556,4.2716,4.3089,93367,0
20070104,4.3089,4.3089,4.1366,4.2659,59698,0
20070105,4.3061,4.3061,3.878,4.0073,121794,0
20070108,4.0475,4.0475,3.8321,3.8321,120109,0
20070109,3.7315,3.7861,3.4644,3.6195,388588,0
20070110,3.6195,3.7344,3.4069,3.4069,187462,0
20070111,3.45,3.5879,3.4328,3.5333,166548,0
20070112,3.5333,3.7775,3.5046,3.7057,186808,0
20070115,3.6798,3.7488,3.5908,3.6051,100925,0
20070116,3.6195,4.0791,3.4472,4.0791,253169,0
20070117,4.1653,4.1883,3.8838,4.0648,175661,0
20070118,4.0935,4.1596,3.8838,3.9585,111929,0
20070119,3.8924,3.9958,3.7028,3.7689,146469,0
20070122,3.812,3.9499,3.7517,3.7746,59660,0
20070123,3.8177,3.8177,3.6195,3.7287,58149,0
20070124,3.8177,4.0763,3.7545,4.0274,209091,0
20070125,4.0648,4.1366,3.9211,3.9642,145104,0
20070126,3.9556,3.9757,3.7775,3.9757,66458,0
20070129,4.0073,4.0073,3.7344,3.7919,115490,0
20070130,3.7919,3.8895,3.7344,3.8694,58382,0
20070131,3.878,3.9355,3.8637,3.9355,75617,0
20070201,3.9499,4.0504,3.878,3.9556,71499,0
20070202,3.993,3.993,3.8292,3.8407,36942,0
20070205,3.8493,4.1079,3.7344,4.1079,187139,0
20070206,4.1222,4.4554,4.1222,4.4238,397570,0
20070207,4.6077,4.826,4.4899,4.6106,456230,0
20070208,4.6537,4.6537,4.194,4.2228,154326,0
20070209,4.2228,4.5244,4.2228,4.4124,99936,0
20070212,4.4554,4.4554,4.2084,4.3089,56137,0
20070213,4.4037,4.4353,4.2802,4.3664,36395,0
20070214,4.3348,4.3348,4.1079,4.3319,71419,0
20070215,4.2371,4.3664,4.2027,4.2946,59440,0
20070216,4.2946,4.2946,4.1079,4.2515,47667,0
20070219,4.1969,4.2515,4.0217,4.2515,70709,0
20070220,4.3089,4.3894,4.1366,4.1653,66176,0
20070221,4.2457,4.4813,4.1653,4.4669,111776,0
20070222,4.4957,4.7312,4.4698,4.5388,65689,0
20070223,4.5962,4.6537,4.5388,4.6393,90381,0
20070226,4.6537,4.6537,4.4554,4.4813,44614,0
20070227,4.4526,4.4526,3.9671,3.9786,230089,0
20070228,3.7545,3.878,3.7545,3.8206,189454,0
20070301,3.8809,4.0217,3.5621,3.7919,90913,0
20070302,3.7919,3.8062,3.7344,3.8062,33656,0
20070305,3.7143,3.7143,3.5621,3.6885,47528,0
20070306,3.6482,3.8752,3.6224,3.7919,65473,0
20070307,3.7344,3.8062,3.677,3.8062,33565,0
20070308,3.8464,3.9499,3.8235,3.9499,32493,0
20070309,3.9642,3.9901,3.835,3.9671,23606,0
20070312,3.9671,3.993,3.7488,3.9068,87101,0
20070313,3.9211,3.9843,3.8924,3.8953,65720,0
20070314,3.5908,3.8493,3.5908,3.8005,40385,0
20070315,3.8206,3.9614,3.8206,3.878,69901,0
20070316,3.878,3.9556,3.8666,3.878,24632,0
20070319,3.9556,3.9585,3.8235,3.9355,27358,0
20070320,4.0562,4.2802,4.0217,4.2802,144324,0
20070321,4.3118,4.4784,4.2687,4.3089,64822,0
20070322,4.3664,4.3951,4.1653,4.2946,130417,0
20070323,4.3089,4.3089,4.1222,4.2199,88487,0
20070326,4.2371,4.2515,4.1653,4.194,75224,0
20070327,4.1797,4.1797,3.9499,4.0274,127939,0
20070328,4.0418,4.1452,3.993,4.0906,52680,0
20070329,4.1308,4.2917,4.0504,4.2199,141623,0
20070330,4.24,4.2802,4.1366,4.1596,198679,0
20070402,4.1624,4.5158,4.0217,4.51,515876,0
20070403,4.5388,5.1707,4.51,5.0558,769494,0
20070404,5.1679,5.4005,5.0846,5.3718,646053,0
20070405,5.4293,5.4551,5.0271,5.1995,188911,0
20070410,5.2741,5.277,5.096,5.1707,98544,0
20070411,5.1707,5.1707,4.8835,4.9438,106846,0
20070412,4.8835,4.8863,4.4612,4.7111,157942,0
20070413,4.7111,4.8547,4.7111,4.7915,56025,0
20070416,4.7283,4.8777,4.6565,4.7169,120931,0
20070417,4.7111,4.8203,4.5962,4.7973,112796,0
20070418,4.9553,5.1995,4.7485,4.8404,230371,0
20070419,4.6824,4.9352,4.6824,4.7801,54024,0
20070420,4.8749,4.8749,4.5158,4.6537,196653,0
20070423,4.6393,4.6393,4.3377,4.4813,152655,0
20070424,4.3664,4.3664,4.2285,4.3032,104180,0
20070425,4.3032,4.6508,4.2285,4.5359,139186,0
20070426,4.5416,4.5416,4.4296,4.4382,52193,0
20070427,4.4669,4.5215,4.3118,4.3607,73313,0
20070430,4.4095,4.5043,4.3089,4.3951,50118,0
20070502,4.398,4.5072,4.3118,4.4928,42167,0
20070504,4.4784,4.5675,4.4095,4.4957,34641,0
20070507,4.579,4.5818,4.3951,4.4669,52913,0
20070508,4.4095,4.4526,4.2228,4.2228,252493,0
20070509,4.194,4.2946,4.1711,4.2515,54323,0
20070510,4.3032,4.3032,4.1079,4.1366,77260,0
20070511,3.9068,4.1653,3.7344,4.1653,220927,0
20070514,4.082,4.2429,3.9786,3.993,137306,0
20070515,3.993,4.0188,3.7373,3.9786,76421,0
20070516,3.9642,3.993,3.878,3.993,43323,0
20070517,3.9269,4.0533,3.9269,4.0217,44750,0
20070518,4.0274,4.3089,3.878,4.2228,76477,0
20070521,4.3664,4.5933,4.3089,4.5761,203051,0
20070522,4.5675,4.5818,4.2802,4.3549,68940,0
20070523,4.3951,4.4526,4.3089,4.4526,33833,0
20070524,4.3549,4.4497,4.3549,4.4497,40360,0
20070525,4.4526,4.7743,4.3262,4.7743,234663,0
20070528,4.826,5.2167,4.826,5.165,430390,0
20070529,5.1966,5.1966,4.9553,5.0271,172605,0
20070530,5.03,5.4149,4.9553,5.2196,209815,0
20070531,5.2569,5.7998,5.2569,5.7998,564939,0
20070601,5.8314,6.3198,5.5729,5.6993,515096,0
20070604,5.7165,5.7165,5.3144,5.4867,237330,0
20070605,5.3603,5.728,5.2856,5.4925,137658,0
20070606,5.6734,5.6734,5.458,5.5154,97259,0
20070608,5.458,5.8602,5.3144,5.8602,155582,0
20070611,5.9176,6.0325,5.8745,5.932,76219,0
20070612,6.1474,6.7478,6.1474,6.5496,629389,0
20070613,6.4347,6.722,6.2968,6.7191,220592,0
20070614,6.8627,7.1787,6.6932,6.8139,207308,0
20070615,6.8656,7.4545,6.8656,7.1643,302524,0
20070618,7.397,7.397,6.7794,6.788,132332,0
20070619,6.8369,6.8426,6.5094,6.8369,61588,0
20070620,7.173,7.3252,7.0379,7.3195,168612,0
20070621,7.3252,7.4171,6.8512,7.1816,60377,0
20070622,6.8972,7.1816,6.8972,7.1816,25868,0
20070625,6.9546,7.2362,6.9546,7.1385,81619,0
20070626,7.2821,7.2821,6.9518,7.0035,79711,0
20070627,7.0035,7.1672,6.8369,6.8369,88978,0
20070628,6.8685,7.0236,6.8685,6.9805,28086,0
20070629,6.9805,7.0379,6.8397,6.9776,60467,0
20070702,6.8943,6.9001,6.6358,6.6932,39312,0
20070703,6.607,6.8914,6.5352,6.8196,33506,0
20070704,6.8196,6.8943,6.607,6.7478,43988,0
20070705,6.6932,6.7507,6.5496,6.7507,36712,0
20070706,6.7507,6.7507,6.6099,6.7507,15585,0
20070709,6.7507,6.8656,6.6645,6.7794,11512,0
20070710,6.7794,6.8053,6.6214,6.7794,20493,0
20070711,6.7737,6.923,6.6501,6.8943,59273,0
20070712,6.9202,6.9202,6.607,6.7478,41001,0
20070713,6.5209,6.7478,6.5209,6.7162,35146,0
20070716,6.5209,6.607,5.9176,6.067,67865,0
20070717,5.9751,6.5467,5.9751,6.4634,167355,0
20070718,6.607,6.923,6.607,6.7564,141954,0
20070719,6.8857,6.8857,6.7507,6.8656,21075,0
20070720,6.8369,6.8369,6.607,6.7507,39319,0
20070723,6.8053,6.8053,6.4921,6.5065,42150,0
20070724,6.5209,6.722,6.3772,6.3772,38292,0
20070725,6.607,6.6099,6.2939,6.4347,78245,0
20070726,6.3772,6.3772,6.1216,6.1618,93197,0
20070727,5.8343,6.2049,5.7453,6.2049,116862,0
20070730,6.0612,6.1733,6.0038,6.1733,39027,0
20070731,6.1733,6.4117,6.1733,6.3198,92988,0
20070801,5.9923,6.3198,5.9923,6.3054,6012,0
20070802,6.0756,6.2106,5.9952,6.2106,71757,0
20070803,6.2164,6.2164,5.9234,6.0325,29624,0
20070806,6.0124,6.0124,5.6016,5.6332,278661,0
20070807,5.7453,5.8831,5.6016,5.6016,25893,0
20070808,5.8314,5.8314,5.5729,5.7424,5719,0
20070809,5.7453,5.7453,5.1707,5.1707,173886,0
20070810,5.0846,5.0846,4.5675,4.7686,186084,0
20070813,4.8777,5.0846,4.5244,4.7427,85907,0
20070814,4.7398,4.8835,4.7398,4.8835,18332,0
20070816,4.4411,4.8289,4.1998,4.8231,88664,0
20070817,4.3664,4.8835,4.3032,4.8835,129999,0
20070820,5.0846,5.3718,5.0558,5.3144,122842,0
20070821,5.5154,5.5154,5.0328,5.0989,78747,0
20070822,5.2425,5.3144,5.1564,5.2627,108977,0
20070823,5.3948,5.4034,5.3172,5.3718,63290,0
20070824,5.3144,5.5154,5.188,5.5154,133359,0
20070827,5.458,5.7424,5.458,5.6562,88184,0
20070828,5.7022,5.7022,5.4953,5.6591,41916,0
20070829,5.3144,5.5643,5.3144,5.5557,66643,0
20070830,5.6016,5.8171,5.3144,5.4293,176782,0
20070831,5.7941,5.9176,5.616,5.7453,92031,0
20070903,5.6361,5.9952,5.6361,5.9463,75415,0
20070904,5.9894,5.9894,5.5729,5.728,103821,0
20070905,5.7309,5.7309,5.4321,5.458,63412,0
20070906,5.5988,5.6016,5.2425,5.3718,76863,0
20070907,5.4838,5.4838,5.1707,5.3115,64530,0
20070910,5.0874,5.5442,5.0874,5.1707,29012,0
20070911,5.458,5.458,5.0558,5.3287,34620,0
20070912,5.2253,5.3115,5.1707,5.254,26474,0
20070913,5.1707,5.2253,5.1679,5.1707,22036,0
20070914,5.2512,5.2512,5.1276,5.1851,21099,0
20070917,5.2224,5.2224,4.9984,5.0271,42640,0
20070918,4.8835,5.0271,4.826,4.8576,46149,0
20070919,5.0271,5.0817,4.8835,4.961,186129,0
20070920,4.9122,4.9696,4.7973,4.8835,162492,0
20070921,4.8835,4.9122,4.7398,4.7743,96152,0
20070924,4.8749,4.8777,4.803,4.8289,160233,0
20070925,4.8002,4.8461,4.6824,4.7341,54904,0
20070926,4.8519,4.8519,4.5704,4.6422,57091,0
20070927,4.8231,4.8231,4.4526,4.5847,78329,0
20070928,4.6565,4.7111,4.4698,4.5301,53519,0
20071001,4.5301,4.5531,4.4238,4.5072,42310,0
20071002,4.4526,4.5388,4.2084,4.3922,72996,0
20071003,4.3607,4.3808,4.2371,4.3176,34512,0
20071004,4.3089,4.4526,4.2228,4.2228,45578,0
20071005,4.4325,4.6364,4.3089,4.6364,109844,0
20071008,4.7226,4.7542,4.5761,4.6967,107936,0
20071009,4.7599,4.9409,4.7169,4.8978,242931,0
20071010,4.9208,5.0558,4.9122,5.0185,99922,0
20071011,5.0214,5.0214,4.8634,4.8863,69508,0
20071012,4.7398,4.8835,4.7398,4.872,56923,0
