Date,Open,High,Low,Close,Volume,OpenInt
19941012,12.494,12.494,12.494,12.494,21966,0
19941013,12.494,12.494,12.494,12.494,23475,0
19941014,12.494,12.494,12.494,12.494,19769,0
19941017,12.975,12.975,12.975,12.975,28116,0
19941018,14.224,14.224,14.224,14.224,36667,0
19941019,15.57,15.57,15.57,15.57,32852,0
19941020,16.243,16.243,16.243,16.243,52159,0
19941021,16.435,16.435,16.435,16.435,28899,0
19941024,16.339,16.339,16.339,16.339,19863,0
19941025,15.858,15.858,15.858,15.858,7650,0
19941026,15.378,15.378,15.378,15.378,11803,0
19941027,14.897,14.897,14.897,14.897,4377,0
19941028,14.897,14.897,14.897,14.897,16427,0
19941102,15.185,15.185,15.185,15.185,14692,0
19941103,15.185,15.185,15.185,15.185,41606,0
19941104,13.936,13.936,13.936,13.936,13569,0
19941107,14.32,14.32,14.32,14.32,21337,0
19941108,14.224,14.224,14.224,14.224,19179,0
19941109,14.032,14.032,14.032,14.032,12198,0
19941110,14.032,14.032,14.032,14.032,8837,0
19941114,14.032,14.032,14.032,14.032,7686,0
19941115,13.551,13.551,13.551,13.551,8925,0
19941116,13.551,13.551,13.551,13.551,10397,0
19941117,13.84,13.84,13.84,13.84,5628,0
19941118,13.744,13.744,13.744,13.744,8593,0
19941121,13.648,13.648,13.648,13.648,5397,0
19941122,13.071,13.071,13.071,13.071,9759,0
19941123,12.879,12.879,12.879,12.879,15979,0
19941124,12.398,12.398,12.398,12.398,11841,0
19941125,11.245,11.245,11.245,11.245,13517,0
19941128,12.302,12.302,12.302,12.302,11306,0
19941129,13.455,13.455,13.455,13.455,8570,0
19941130,14.801,14.801,14.801,14.801,9418,0
19941201,15.57,15.57,15.57,15.57,16147,0
19941202,15.378,15.378,15.378,15.378,23216,0
19941205,13.936,13.936,13.936,13.936,2799,0
19941206,15.185,15.185,15.185,15.185,25419,0
19941207,13.744,13.744,13.744,13.744,7877,0
19941208,12.398,12.398,12.398,12.398,21072,0
19941209,12.11,12.11,12.11,12.11,5372,0
19941212,13.167,13.167,13.167,13.167,20209,0
19941213,12.494,12.494,12.494,12.494,9483,0
19941214,12.11,12.11,12.11,12.11,1510,0
19941215,12.686,12.686,12.686,12.686,5329,0
19941216,12.975,12.975,12.975,12.975,6555,0
19941219,13.071,13.071,13.071,13.071,16701,0
19941220,12.59,12.59,12.59,12.59,5536,0
19941221,12.59,12.59,12.59,12.59,15680,0
19941222,12.59,12.59,12.59,12.59,6724,0
19941223,12.59,12.59,12.59,12.59,17986,0
19941227,12.879,12.879,12.879,12.879,10766,0
19941228,12.398,12.398,12.398,12.398,4888,0
19941229,12.686,12.686,12.686,12.686,6791,0
19950102,12.975,12.975,12.975,12.975,13373,0
19950103,14.224,14.224,14.224,14.224,46049,0
19950104,13.551,13.551,13.551,13.551,13614,0
19950105,13.648,13.648,13.648,13.648,19160,0
19950106,12.59,12.59,12.59,12.59,8221,0
19950109,12.975,12.975,12.975,12.975,15800,0
19950110,12.975,12.975,12.975,12.975,11485,0
19950111,12.975,12.975,12.975,12.975,2504,0
19950112,12.975,12.975,12.975,12.975,11676,0
19950113,13.263,13.263,13.263,13.263,10331,0
19950116,13.359,13.359,13.359,13.359,8757,0
19950117,12.494,12.494,12.494,12.494,3282,0
