Date,Open,High,Low,Close,Volume,OpenInt
20060810,6.3643,7.1966,6.1685,6.5601,1762761,0
20060811,6.8049,6.8539,6.3643,6.4622,216384,0
20060814,6.4133,6.5601,6.2174,6.5112,60654,0
20060816,6.5112,6.6091,6.2174,6.2664,66752,0
20060817,6.2174,6.2174,5.9237,6.1195,88183,0
20060818,6.1195,6.1195,5.7768,6.0216,47763,0
20060821,6.0216,6.0216,5.7768,5.8258,29323,0
20060822,5.7768,5.8258,5.4831,5.7279,70160,0
20060823,5.7768,6.0216,5.63,6.0216,37119,0
20060824,5.9237,6.0216,5.7768,5.9237,28920,0
20060825,5.8258,5.9237,5.63,5.8747,43242,0
20060828,5.7279,5.8747,5.6789,5.7279,8763,0
20060829,5.6789,5.8258,5.63,5.6789,22134,0
20060830,5.581,5.8258,5.581,5.8258,14841,0
20060831,5.8258,5.9237,5.6789,5.8747,7001,0
20060901,5.7768,5.8552,5.6691,5.7768,17168,0
20060904,5.6985,5.8258,5.6202,5.767,24268,0
20060905,5.6593,5.7572,5.6397,5.7475,20251,0
20060906,5.6887,5.7279,5.3852,5.6691,23705,0
20060907,5.581,5.816,5.581,5.8062,15138,0
20060908,5.7083,5.816,5.6985,5.8062,15736,0
20060911,5.6985,5.816,5.6202,5.6789,24247,0
20060912,5.6789,5.7279,5.63,5.6495,16341,0
20060913,5.63,5.7866,5.6006,5.6985,4938,0
20060914,5.6789,5.767,5.63,5.7083,4312,0
20060915,5.7768,5.7768,5.6202,5.7377,4581,0
20060918,5.7572,5.7572,5.581,5.6887,12023,0
20060919,5.5712,5.6887,5.532,5.6887,19846,0
20060920,5.5712,5.6691,5.4831,5.581,20940,0
20060921,5.6104,5.6104,5.2873,5.3852,30240,0
20060922,5.3852,5.5125,5.2775,5.4341,30991,0
20060925,5.63,5.767,5.6104,5.7279,83854,0
20060926,5.767,5.8258,5.6789,5.8258,29901,0
20060927,5.8552,5.8552,5.532,5.6593,17385,0
20060928,5.767,5.7964,5.532,5.767,25805,0
20060929,5.6593,5.767,5.6202,5.767,7048,0
20061002,5.6593,5.7181,5.5614,5.6789,5812,0
20061003,5.7279,5.7279,5.6202,5.6887,20807,0
20061004,5.7377,5.8258,5.6789,5.8062,28476,0
20061005,5.8649,5.9727,5.8062,5.9237,25961,0
20061006,5.9041,5.9237,5.8552,5.9139,6680,0
20061009,5.9139,5.9727,5.8356,5.9629,24699,0
