Date,Open,High,Low,Close,Volume,OpenInt
19940125,58.252,58.252,58.252,58.252,376327,0
19940127,58.252,58.252,58.252,58.252,518402,0
19940131,52.426,52.426,52.426,52.426,0,0
19940201,47.205,47.205,47.205,47.205,0,0
19940203,42.501,42.501,42.501,42.501,207849,0
19940207,38.834,38.834,38.834,38.834,666367,0
19940208,42.718,42.718,42.718,42.718,244085,0
19940210,42.718,42.718,42.718,42.718,656389,0
19940214,40.56,40.56,40.56,40.56,575617,0
19940215,39.697,39.697,39.697,39.697,553851,0
19940217,39.697,39.697,39.697,39.697,816929,0
19940221,36.245,36.245,36.245,36.245,807717,0
19940222,39.869,39.869,39.869,39.869,214194,0
19940224,43.839,43.839,43.839,43.839,550850,0
19940228,46.601,46.601,46.601,46.601,572378,0
19940301,46.558,46.558,46.558,46.558,191941,0
19940303,46.17,46.17,46.17,46.17,284502,0
19940307,43.839,43.839,43.839,43.839,436503,0
19940308,43.149,43.149,43.149,43.149,425407,0
19940310,43.106,43.106,43.106,43.106,435747,0
19940314,41.423,41.423,41.423,41.423,428026,0
19940315,40.991,40.991,40.991,40.991,371763,0
19940317,42.286,42.286,42.286,42.286,504088,0
19940321,40.991,40.991,40.991,40.991,319537,0
19940322,36.935,36.935,36.935,36.935,294065,0
19940324,39.223,39.223,39.223,39.223,408899,0
19940328,36.72,36.72,36.72,36.72,283684,0
19940329,33.052,33.052,33.052,33.052,244085,0
19940331,30.377,30.377,30.377,30.377,475201,0
19940405,32.793,32.793,32.793,32.793,350349,0
19940407,34.088,34.088,34.088,34.088,345226,0
19940408,31.93,31.93,31.93,31.93,183165,0
19940411,28.737,28.737,28.737,28.737,225558,0
19940412,25.89,25.89,25.89,25.89,0,0
19940414,25.89,25.89,25.89,25.89,269318,0
19940418,27.615,27.615,27.615,27.615,341603,0
19940419,28.478,28.478,28.478,28.478,376597,0
19940421,34.174,34.174,34.174,34.174,398528,0
19940425,34.088,34.088,34.088,34.088,348962,0
19940426,30.679,30.679,30.679,30.679,0,0
19940428,27.615,27.615,27.615,27.615,204289,0
19940505,29.773,29.773,29.773,29.773,381047,0
19940506,26.796,26.796,26.796,26.796,346985,0
19940509,27.184,27.184,27.184,27.184,305088,0
19940510,26.753,26.753,26.753,26.753,248090,0
19940512,27.27,27.27,27.27,27.27,398922,0
19940516,28.522,28.522,28.522,28.522,301579,0
19940517,28.522,28.522,28.522,28.522,338281,0
19940519,28.392,28.392,28.392,28.392,249881,0
19940523,28.478,28.478,28.478,28.478,305813,0
19940524,28.478,28.478,28.478,28.478,358701,0
19940526,27.96,27.96,27.96,27.96,468070,0
19940530,25.199,25.199,25.199,25.199,428005,0
19940531,25.674,25.674,25.674,25.674,313710,0
19940601,23.732,23.732,23.732,23.732,193152,0
19940606,22.438,22.438,22.438,22.438,306951,0
19940607,20.194,20.194,20.194,20.194,328852,0
19940609,18.985,18.985,18.985,18.985,478845,0
19940613,17.088,17.088,17.088,17.088,342855,0
19940614,15.404,15.404,15.404,15.404,708357,0
19940616,16.915,16.915,16.915,16.915,783581,0
19940620,15.577,15.577,15.577,15.577,537840,0
19940621,14.326,14.326,14.326,14.326,330094,0
19940623,13.894,13.894,13.894,13.894,587530,0
19940627,15.275,15.275,15.275,15.275,227535,0
19940628,15.965,15.965,15.965,15.965,250502,0
19940630,15.533,15.533,15.533,15.533,294831,0
19940704,15.577,15.577,15.577,15.577,127378,0
19940705,16.397,16.397,16.397,16.397,176893,0
19940706,16.397,16.397,16.397,16.397,101824,0
19940707,17.259,17.259,17.259,17.259,308338,0
19940711,18.555,18.555,18.555,18.555,391428,0
19940712,20.41,20.41,20.41,20.41,228860,0
19940713,22.438,22.438,22.438,22.438,517067,0
19940714,20.625,20.625,20.625,20.625,245068,0
19940718,20.28,20.28,20.28,20.28,238599,0
19940719,21.575,21.575,21.575,21.575,288425,0
19940720,19.417,19.417,19.417,19.417,338322,0
19940721,18.555,18.555,18.555,18.555,246983,0
19940725,17.216,17.216,17.216,17.216,326958,0
19940726,17.174,17.174,17.174,17.174,146815,0
19940727,17.303,17.303,17.303,17.303,100147,0
19940728,17.519,17.519,17.519,17.519,128102,0
19940801,17.519,17.519,17.519,17.519,108355,0
19940802,17.259,17.259,17.259,17.259,120526,0
19940803,17.259,17.259,17.259,17.259,168292,0
19940804,18.123,18.123,18.123,18.123,301259,0
19940808,18.382,18.382,18.382,18.382,195543,0
19940809,18.382,18.382,18.382,18.382,165921,0
19940810,17.648,17.648,17.648,17.648,177006,0
19940811,18.123,18.123,18.123,18.123,250026,0
19940816,17.692,17.692,17.692,17.692,148668,0
19940817,18.123,18.123,18.123,18.123,231034,0
19940818,18.985,18.985,18.985,18.985,336190,0
19940822,20.28,20.28,20.28,20.28,411197,0
19940823,20.625,20.625,20.625,20.625,263812,0
19940824,20.625,20.625,20.625,20.625,319837,0
19940825,20.194,20.194,20.194,20.194,248339,0
19940829,19.374,19.374,19.374,19.374,169937,0
19940830,19.72,19.72,19.72,19.72,100768,0
19940831,19.72,19.72,19.72,19.72,150210,0
19940901,17.777,17.777,17.777,17.777,207218,0
19940905,18.123,18.123,18.123,18.123,156275,0
19940906,17.389,17.389,17.389,17.389,188050,0
19940907,15.965,15.965,15.965,15.965,253483,0
19940908,17.561,17.561,17.561,17.561,133050,0
19940912,17.519,17.519,17.519,17.519,152270,0
19940913,16.655,16.655,16.655,16.655,125401,0
19940914,16.742,16.742,16.742,16.742,90801,0
19940915,16.828,16.828,16.828,16.828,99868,0
19940919,17.259,17.259,17.259,17.259,154205,0
19940920,16.397,16.397,16.397,16.397,106398,0
19940921,15.619,15.619,15.619,15.619,138038,0
19940922,15.664,15.664,15.664,15.664,109876,0
19940926,15.102,15.102,15.102,15.102,84549,0
19940927,14.843,14.843,14.843,14.843,102931,0
19940928,14.67,14.67,14.67,14.67,133464,0
19940929,15.361,15.361,15.361,15.361,97901,0
19941003,15.879,15.879,15.879,15.879,107661,0
19941004,15.792,15.792,15.792,15.792,70297,0
19941005,15.965,15.965,15.965,15.965,106978,0
19941006,15.533,15.533,15.533,15.533,209516,0
19941007,15.533,15.533,15.533,15.533,100727,0
19941010,13.98,13.98,13.98,13.98,302159,0
19941011,14.757,14.757,14.757,14.757,202167,0
19941012,14.412,14.412,14.412,14.412,129168,0
19941013,14.498,14.498,14.498,14.498,100499,0
19941014,14.369,14.369,14.369,14.369,80430,0
19941017,14.24,14.24,14.24,14.24,121582,0
19941018,14.584,14.584,14.584,14.584,145915,0
19941019,13.808,13.808,13.808,13.808,135058,0
19941020,13.894,13.894,13.894,13.894,118270,0
19941021,13.764,13.764,13.764,13.764,117670,0
19941024,12.858,12.858,12.858,12.858,160809,0
19941025,11.608,11.608,11.608,11.608,352046,0
19941026,11.132,11.132,11.132,11.132,356114,0
19941027,10.356,10.356,10.356,10.356,428895,0
19941028,9.3198,9.3198,9.3198,9.3198,415927,0
19941102,10.226,10.226,10.226,10.226,334513,0
19941103,10.873,10.873,10.873,10.873,404304,0
19941104,10.873,10.873,10.873,10.873,387060,0
19941107,10.356,10.356,10.356,10.356,131456,0
19941108,10.356,10.356,10.356,10.356,161419,0
19941109,9.924,9.924,9.924,9.924,120671,0
19941110,9.924,9.924,9.924,9.924,207798,0
19941114,9.666,9.666,9.666,9.666,140812,0
19941115,9.4927,9.4927,9.4927,9.4927,389969,0
19941116,8.8885,8.8885,8.8885,8.8885,239293,0
19941117,9.752,9.752,9.752,9.752,248577,0
19941118,9.924,9.924,9.924,9.924,234925,0
19941121,9.0614,9.0614,9.0614,9.0614,143876,0
19941122,9.666,9.666,9.666,9.666,234014,0
19941123,9.666,9.666,9.666,9.666,118715,0
19941124,10.356,10.356,10.356,10.356,262922,0
19941125,9.924,9.924,9.924,9.924,65216,0
19941128,10.097,10.097,10.097,10.097,50974,0
19941129,10.744,10.744,10.744,10.744,178290,0
19941130,11.348,11.348,11.348,11.348,240462,0
19941201,12.254,12.254,12.254,12.254,278137,0
19941202,11.65,11.65,11.65,11.65,206701,0
19941205,11.909,11.909,11.909,11.909,164462,0
19941206,11.65,11.65,11.65,11.65,138473,0
19941207,11.305,11.305,11.305,11.305,228943,0
19941208,10.184,10.184,10.184,10.184,178569,0
19941209,9.579,9.579,9.579,9.579,142199,0
19941212,10.528,10.528,10.528,10.528,90915,0
19941213,9.924,9.924,9.924,9.924,96742,0
19941214,10.356,10.356,10.356,10.356,71974,0
19941215,10.356,10.356,10.356,10.356,128941,0
19941216,10.356,10.356,10.356,10.356,55300,0
19941219,10.356,10.356,10.356,10.356,264557,0
19941220,10.226,10.226,10.226,10.226,112805,0
19941221,9.924,9.924,9.924,9.924,73444,0
19941222,9.968,9.968,9.968,9.968,47465,0
19941223,9.924,9.924,9.924,9.924,62514,0
19941227,9.924,9.924,9.924,9.924,31050,0
19941228,9.752,9.752,9.752,9.752,152228,0
19941229,9.752,9.752,9.752,9.752,108085,0
19950102,10.226,10.226,10.226,10.226,57298,0
19950103,10.27,10.27,10.27,10.27,90998,0
19950104,10.14,10.14,10.14,10.14,71643,0
19950105,10.312,10.312,10.312,10.312,71943,0
19950106,10.011,10.011,10.011,10.011,56139,0
19950109,9.924,9.924,9.924,9.924,28918,0
19950110,9.752,9.752,9.752,9.752,104391,0
19950111,9.924,9.924,9.924,9.924,115765,0
19950112,9.666,9.666,9.666,9.666,59275,0
19950113,9.839,9.839,9.839,9.839,66209,0
19950116,10.011,10.011,10.011,10.011,153833,0
19950117,9.795,9.795,9.795,9.795,58757,0
19950118,9.752,9.752,9.752,9.752,57940,0
19950119,9.752,9.752,9.752,9.752,59834,0
19950120,9.752,9.752,9.752,9.752,56294,0
19950123,8.8021,8.8021,8.8021,8.8021,50146,0
19950124,8.8885,8.8885,8.8885,8.8885,106191,0
19950125,8.5436,8.5436,8.5436,8.5436,55249,0
19950126,8.026,8.026,8.026,8.026,93378,0
19950127,7.8531,7.8531,7.8531,7.8531,141909,0
19950130,7.4218,7.4218,7.4218,7.4218,99164,0
19950131,6.9905,6.9905,6.9905,6.9905,224027,0
19950201,7.2489,7.2489,7.2489,7.2489,142220,0
19950202,7.1197,7.1197,7.1197,7.1197,134902,0
19950203,6.9905,6.9905,6.9905,6.9905,88627,0
19950206,7.4218,7.4218,7.4218,7.4218,57391,0
19950207,8.1551,8.1551,8.1551,8.1551,273251,0
19950208,7.8531,7.8531,7.8531,7.8531,103645,0
19950209,7.7238,7.7238,7.7238,7.7238,108624,0
19950210,7.5947,7.5947,7.5947,7.5947,133774,0
19950213,7.5947,7.5947,7.5947,7.5947,73392,0
19950214,7.7666,7.7666,7.7666,7.7666,83877,0
19950215,7.9395,7.9395,7.9395,7.9395,92954,0
19950216,7.7666,7.7666,7.7666,7.7666,59016,0
19950217,7.8531,7.8531,7.8531,7.8531,55890,0
19950220,7.4218,7.4218,7.4218,7.4218,21083,0
19950221,6.9905,6.9905,6.9905,6.9905,74520,0
19950222,6.9905,6.9905,6.9905,6.9905,60796,0
19950223,7.1625,7.1625,7.1625,7.1625,34755,0
19950224,7.8531,7.8531,7.8531,7.8531,141713,0
19950227,7.3353,7.3353,7.3353,7.3353,62845,0
19950228,7.1625,7.1625,7.1625,7.1625,45375,0
19950301,7.1625,7.1625,7.1625,7.1625,30295,0
19950302,7.3353,7.3353,7.3353,7.3353,46347,0
19950303,7.3353,7.3353,7.3353,7.3353,56242,0
19950306,7.6802,7.6802,7.6802,7.6802,58964,0
19950307,7.551,7.551,7.551,7.551,33958,0
19950308,7.5083,7.5083,7.5083,7.5083,25161,0
19950309,7.4218,7.4218,7.4218,7.4218,30522,0
19950310,7.3353,7.3353,7.3353,7.3353,41245,0
19950313,7.1625,7.1625,7.1625,7.1625,65122,0
19950314,7.076,7.076,7.076,7.076,47476,0
19950315,6.9905,6.9905,6.9905,6.9905,38036,0
19950316,6.9905,6.9905,6.9905,6.9905,78671,0
19950317,6.9041,6.9041,6.9041,6.9041,48314,0
19950320,6.8177,6.8177,6.8177,6.8177,38419,0
19950321,6.6885,6.6885,6.6885,6.6885,67958,0
19950322,6.4728,6.4728,6.4728,6.4728,80327,0
19950323,6.3427,6.3427,6.3427,6.3427,118477,0
19950324,6.4728,6.4728,6.4728,6.4728,139964,0
19950327,6.4728,6.4728,6.4728,6.4728,69200,0
19950328,6.2999,6.2999,6.2999,6.2999,73889,0
19950329,6.2999,6.2999,6.2999,6.2999,68807,0
19950330,6.4728,6.4728,6.4728,6.4728,112474,0
19950331,6.6448,6.6448,6.6448,6.6448,119564,0
19950403,6.6448,6.6448,6.6448,6.6448,59585,0
19950404,6.6448,6.6448,6.6448,6.6448,71177,0
19950405,6.8604,6.8604,6.8604,6.8604,128837,0
19950406,7.2062,7.2062,7.2062,7.2062,109079,0
19950407,7.4218,7.4218,7.4218,7.4218,161492,0
19950410,7.6802,7.6802,7.6802,7.6802,444048,0
19950411,7.7666,7.7666,7.7666,7.7666,410203,0
19950412,7.7666,7.7666,7.7666,7.7666,559088,0
19950413,8.026,8.026,8.026,8.026,397338,0
19950414,8.6301,8.6301,8.6301,8.6301,254580,0
19950418,9.4927,9.4927,9.4927,9.4927,154019,0
19950419,10.442,10.442,10.442,10.442,150117,0
19950420,11.478,11.478,11.478,11.478,826730,0
19950421,11.218,11.218,11.218,11.218,517740,0
