Date,Open,High,Low,Close,Volume,OpenInt
19990428,4.1785,4.1785,4.1785,4.1785,143868,0
19990429,3.7559,3.7559,3.7559,3.7559,42655,0
19990430,3.7559,3.7559,3.7559,3.7559,32093,0
19990504,4.1315,4.1315,4.1315,4.1315,19117,0
19990505,4.5071,4.5071,4.5071,4.5071,50367,0
19990506,4.8264,4.8264,4.8264,4.8264,67733,0
19990507,4.6385,4.6385,4.6385,4.6385,22175,0
19990510,4.4132,4.4132,4.4132,4.4132,18380,0
19990511,4.2724,4.2724,4.2724,4.2724,11682,0
19990512,4.4602,4.4602,4.4602,4.4602,4786,0
19990513,4.3663,4.3663,4.3663,4.3663,5167,0
19990514,4.3663,4.3663,4.3663,4.3663,2054,0
19990517,4.1785,4.1785,4.1785,4.1785,5087,0
19990518,4.3193,4.3193,4.3193,4.3193,9073,0
19990519,4.4602,4.4602,4.4602,4.4602,10209,0
19990520,4.4602,4.4602,4.4602,4.4602,2701,0
19990521,4.3663,4.3663,4.3663,4.3663,19926,0
19990524,4.4602,4.4602,4.4602,4.4602,7636,0
19990525,4.3663,4.3663,4.3663,4.3663,7290,0
19990526,4.2724,4.2724,4.2724,4.2724,7338,0
19990527,4.3663,4.3663,4.3663,4.3663,10877,0
19990528,4.2724,4.2724,4.2724,4.2724,6022,0
19990531,4.3193,4.3193,4.3193,4.3193,4536,0
19990601,4.3663,4.3663,4.3663,4.3663,3524,0
19990602,4.2255,4.2255,4.2255,4.2255,2681,0
19990607,4.2724,4.2724,4.2724,4.2724,6982,0
19990608,4.1785,4.1785,4.1785,4.1785,5103,0
19990609,4.1785,4.1785,4.1785,4.1785,4728,0
19990610,4.2724,4.2724,4.2724,4.2724,5380,0
19990611,4.3193,4.3193,4.3193,4.3193,2589,0
19990614,4.1785,4.1785,4.1785,4.1785,5365,0
19990615,4.2724,4.2724,4.2724,4.2724,9657,0
19990616,4.2724,4.2724,4.2724,4.2724,484,0
19990617,4.2724,4.2724,4.2724,4.2724,9357,0
19990618,4.2724,4.2724,4.2724,4.2724,4159,0
19990621,4.1785,4.1785,4.1785,4.1785,8289,0
19990622,4.2724,4.2724,4.2724,4.2724,96975,0
19990623,4.3663,4.3663,4.3663,4.3663,26759,0
19990624,4.5447,4.5447,4.5447,4.5447,52607,0
19990625,4.4602,4.4602,4.4602,4.4602,27530,0
19990628,4.2724,4.2724,4.2724,4.2724,12708,0
19990629,4.3663,4.3663,4.3663,4.3663,10451,0
19990630,4.6385,4.6385,4.6385,4.6385,59109,0
19990701,4.6385,4.6385,4.6385,4.6385,27822,0
19990702,4.5071,4.5071,4.5071,4.5071,16584,0
19990705,4.5071,4.5071,4.5071,4.5071,4114,0
