Date,Open,High,Low,Close,Volume,OpenInt
20071108,7.2476,7.8715,7.0372,7.8642,65781,0
20071109,7.9295,8.4157,7.8642,8.1109,24121,0
20071112,7.6176,8.2633,7.4725,7.828,5786,0
20071113,7.8351,7.8351,7.7988,7.7988,210,0
20071114,7.9803,7.9803,7.545,7.7627,650,0
20071115,7.6901,7.6901,6.3116,6.5293,13238,0
20071116,6.3116,6.3843,6.1666,6.3698,11169,0
20071119,6.3843,6.6382,6.348,6.6236,11160,0
20071120,6.6382,6.7616,6.4641,6.5293,12965,0
20071121,6.493,6.6599,6.1666,6.6236,5452,0
20071122,6.6382,6.6382,5.9926,6.0143,18653,0
20071123,6.319,6.5293,6.1812,6.3843,15287,0
20071126,6.1739,6.1739,5.9562,5.9562,1871,0
20071127,5.949,6.1448,5.3758,6.1448,8146,0
20071128,6.1521,7.0808,5.949,7.0808,11884,0
20071129,7.1459,7.4652,7.1459,7.3854,6310,0
20071130,7.3999,7.9006,6.9719,7.6756,9073,0
20071203,7.6756,7.7264,7.6756,7.7264,2083,0
20071204,7.8351,7.8351,7.2548,7.6829,1380,0
20071205,7.6829,7.6829,7.6829,7.6829,815,0
20071206,7.6466,7.6901,7.2548,7.6829,6784,0
20071207,7.0081,7.6104,7.0081,7.2621,17102,0
20071210,7.3854,7.6901,7.3854,7.4434,7409,0
20071211,7.3346,7.6031,7.3346,7.6031,4519,0
20071212,7.545,7.545,7.3854,7.545,2574,0
20071213,7.4725,7.4725,7.4725,7.4725,63,0
20071214,7.2621,7.5088,7.1242,7.5088,20024,0
20071217,7.2548,7.2548,7.0879,7.1097,3239,0
20071218,7.1097,7.3274,6.8994,7.2476,42608,0
20071219,7.1097,7.2403,6.8922,7.117,76421,0
20071220,6.9283,7.0154,6.6019,7.0009,91811,0
20071221,6.747,6.8922,6.5366,6.8123,148389,0
20071227,7.2114,7.2114,6.8922,7.1968,7018,0
20071228,6.7905,7.0661,6.7905,7.0661,10987,0
20080102,7.2476,7.2476,6.8922,7.2331,416,0
20080103,7.3129,7.3201,7.0589,7.2548,2321,0
20080104,7.1097,7.2548,6.9646,7.2548,10190,0
20080107,7.0372,7.2476,6.8994,7.1097,15432,0
20080108,6.8922,7.0952,6.8196,7.0952,9541,0
20080109,6.8196,6.8631,6.5293,6.8631,15644,0
20080110,6.8848,7.0952,6.5656,6.7833,9542,0
20080111,6.9356,6.9356,6.4568,6.5293,30692,0
20080114,6.5293,6.5293,6.1304,6.2971,20577,0
20080115,6.1666,6.8776,6.0216,6.3843,12222,0
20080116,6.1304,6.1304,5.8039,6.065,29028,0
20080117,6.5221,6.5221,5.949,6.3335,11472,0
20080118,6.065,6.3116,5.949,6.2318,8411,0
20080121,6.2392,6.5293,6.1666,6.5293,42502,0
20080122,6.2392,6.8558,6.1666,6.8558,51575,0
20080123,6.8922,7.1097,6.8196,7.1097,55270,0
20080124,7.1606,7.1968,7.1606,7.1968,26466,0
20080125,7.1097,7.2041,6.6817,7.2041,20276,0
20080128,7.1024,7.1097,6.8196,7.1097,6435,0
20080129,6.8196,7.0735,6.8196,7.0735,15041,0
20080130,7.0735,7.2476,6.7543,7.2476,35696,0
20080131,7.1459,7.4361,7.0952,7.1097,52905,0
20080201,7.1097,7.1097,6.8268,7.0808,4143,0
20080204,6.8848,7.0808,6.6309,6.7107,25638,0
20080205,6.4641,6.7107,6.3262,6.6744,1691,0
20080206,6.4496,6.5221,6.4496,6.5221,1189,0
20080207,6.2392,6.2392,6.2392,6.2392,1071,0
20080208,6.7034,6.7034,6.5003,6.5003,2,0
20080211,6.261,6.4496,6.094,6.4496,11157,0
20080212,6.4423,6.4568,6.4423,6.4568,565,0
20080213,6.5003,6.7034,6.2029,6.4278,6285,0
20080214,6.5221,6.5221,6.3843,6.5148,1178,0
20080215,6.5293,6.5293,6.3116,6.5221,64,0
20080218,6.4786,6.4786,6.4786,6.4786,175,0
20080219,6.4858,6.4858,6.2536,6.4568,234,0
20080220,6.4423,6.4568,6.1085,6.377,7796,0
20080221,6.1375,6.2971,6.1013,6.2971,2230,0
20080222,6.3045,6.3045,6.3045,6.3045,13,0
20080225,6.1666,6.3116,6.0289,6.3116,1793,0
20080226,6.3116,6.3116,6.0289,6.3045,1449,0
20080227,5.949,6.2753,5.949,6.261,1809,0
20080228,6.2536,6.2536,5.8837,6.2392,2909,0
20080229,6.1666,6.2029,6.1666,6.2029,3478,0
20080303,6.2101,6.2101,6.2101,6.2101,5,0
20080304,5.949,6.2246,5.949,6.1812,221,0
20080305,5.8909,6.0868,5.7965,6.0868,13808,0
20080306,6.2246,6.2246,5.8111,6.1956,2250,0
20080307,5.8763,6.1304,5.8763,6.1304,138643,0
20080310,6.1304,6.1304,6.094,6.094,83,0
20080311,5.753,6.0216,5.666,5.949,2985,0
20080312,5.7023,5.8763,5.6951,5.8693,2901,0
20080313,5.8257,5.8257,5.5863,5.8039,6835,0
20080314,5.7314,5.7314,5.7314,5.7314,3595,0
20080317,5.6224,5.7965,5.6224,5.7314,10579,0
20080318,5.5863,5.7748,5.5426,5.7748,4431,0
20080319,5.6224,5.6878,5.6224,5.6878,496,0
20080320,5.7603,5.7603,5.5354,5.6878,5615,0
20080325,5.753,5.7675,5.6224,5.7675,8071,0
20080326,5.7893,5.8693,5.7821,5.8693,14122,0
20080327,5.8693,5.8693,5.6224,5.8401,13617,0
20080328,5.8039,5.8039,5.7965,5.8039,723,0
20080331,5.8039,5.8039,5.8039,5.8039,1304,0
20080401,5.8039,5.8039,5.7458,5.8039,4731,0
20080402,5.7675,5.8039,5.7675,5.8039,8004,0
20080403,5.8039,5.8039,5.7023,5.8039,1265,0
20080404,5.8039,5.8401,5.8039,5.8401,3515,0
20080407,5.666,5.8039,5.4411,5.8039,5652,0
20080408,5.8039,5.8039,5.8039,5.8039,27,0
20080409,5.8039,5.8111,5.608,5.8111,8274,0
20080410,5.8183,5.8257,5.8183,5.8183,1399,0
20080411,5.8039,5.8257,5.7821,5.7821,2528,0
20080414,5.7893,5.7893,5.5281,5.666,7802,0
20080415,5.666,5.7314,5.5572,5.7023,5105,0
20080416,5.6951,5.7314,5.6224,5.7023,26073,0
20080417,5.6588,5.6951,5.5935,5.6878,6147,0
20080418,5.6588,5.7314,5.5426,5.7314,12067,0
20080421,5.6951,5.7314,5.5645,5.7314,7605,0
20080422,5.7314,5.7314,5.5717,5.5717,6791,0
20080423,5.5717,5.5717,5.238,5.5717,10792,0
20080424,5.6588,5.7168,5.4411,5.7168,14587,0
20080425,5.5137,5.7893,5.5137,5.7893,1850,0
