Date,Open,High,Low,Close,Volume,OpenInt
20071204,4.01,4.4,2.5,2.89,186368,0
20071205,2.92,3.18,2.7,2.89,48033,0
20071206,2.76,2.93,2.75,2.76,9443,0
20071207,2.73,2.85,2.73,2.84,10715,0
20071210,2.84,2.86,2.73,2.74,15302,0
20071211,2.8,2.86,2.75,2.86,4814,0
20071212,2.86,2.86,2.76,2.76,7940,0
20071213,2.8,2.8,2.72,2.72,7683,0
20071214,2.7,2.8,2.6,2.79,3801,0
20071217,2.66,2.7,2.61,2.7,2300,0
20071218,2.7,2.73,2.53,2.7,7579,0
20071219,2.73,2.73,2.69,2.7,10600,0
20071220,2.88,3.18,2.72,2.8,43361,0
20071221,3.04,3.04,2.82,2.88,7404,0
20071227,2.88,3.9,2.88,3.21,61611,0
20071228,3.41,3.84,3.25,3.28,101067,0
20080102,3.45,3.5,3.1,3.11,57976,0
20080103,3.15,3.15,2.91,2.96,36959,0
20080104,3.04,3.08,2.96,2.96,16092,0
20080107,2.95,3.15,2.83,2.93,18763,0
20080108,2.86,3.02,2.86,3,6365,0
20080109,2.88,3,2.88,2.98,8325,0
20080110,2.98,2.98,2.98,2.98,350,0
20080111,2.85,2.95,2.81,2.9,2136,0
20080114,2.84,2.85,2.6,2.78,7364,0
20080115,2.85,2.85,2.6,2.83,1118,0
20080116,2.61,2.8,2.35,2.35,10394,0
20080117,2.52,2.64,2.41,2.6,3953,0
20080118,2.6,2.7,2.6,2.7,4280,0
20080121,2.47,2.8,2.47,2.8,301,0
20080122,2.45,2.78,2.45,2.78,1770,0
20080123,2.75,2.78,2.75,2.75,1319,0
20080124,2.83,2.84,2.71,2.82,3024,0
20080125,2.85,2.96,2.77,2.96,7605,0
20080128,2.94,2.94,2.8,2.93,1841,0
20080129,2.98,2.98,2.86,2.96,2226,0
20080130,2.98,2.98,2.98,2.98,9,0
20080131,2.9,2.97,2.85,2.97,5765,0
20080201,2.97,3.1,2.6,3.03,8066,0
20080204,2.97,3,2.76,3,5250,0
20080205,2.8,2.99,2.65,2.66,3305,0
20080206,2.97,2.97,2.7,2.8,1738,0
20080207,2.99,2.99,2.75,2.95,1302,0
20080208,2.66,3.1,2.66,2.8,59539,0
20080211,3.05,3.05,2.72,2.75,13750,0
20080212,2.79,2.92,2.7,2.9,46882,0
20080213,2.88,2.88,2.78,2.85,2920,0
20080214,2.85,2.85,2.62,2.83,1808,0
20080215,2.75,2.82,2.7,2.7,6700,0
20080218,2.85,3.01,2.85,3,34995,0
20080219,3,3,3,3,2356,0
20080220,2.91,3,2.9,3,3870,0
20080221,2.9,2.99,2.85,2.9,1335,0
20080222,2.9,3.04,2.9,3.04,701,0
20080225,2.95,2.95,2.72,2.95,964,0
20080226,2.95,2.95,2.81,2.94,1030,0
20080227,3.3,3.8,2.8,2.85,47705,0
20080228,2.81,2.89,2.7,2.88,7156,0
20080229,2.88,2.88,2.7,2.88,4522,0
20080303,2.7,2.88,2.7,2.88,319,0
20080304,2.7,2.88,2.55,2.88,5137,0
20080305,2.7,2.7,2.7,2.7,100,0
20080306,2.7,2.7,2.7,2.7,100,0
20080307,2.82,2.82,2.35,2.7,11539,0
20080310,2.78,2.78,2.78,2.78,44,0
20080311,2.72,2.84,2.6,2.84,6850,0
20080312,2.68,2.7,2.66,2.7,630,0
20080313,2.6,2.7,2.35,2.7,7362,0
20080314,2.64,2.64,2.5,2.5,834,0
20080317,2.5,2.64,2.35,2.5,11654,0
20080318,2.45,2.5,2.35,2.5,8901,0
20080319,2.4,2.5,2.35,2.49,3077,0
20080320,2.38,2.38,2.36,2.36,900,0
20080325,2.35,2.45,2.35,2.4,679,0
20080326,2.35,2.35,2.28,2.28,15017,0
20080327,2.39,2.39,2.29,2.29,1335,0
20080328,2.29,2.29,2.22,2.29,823,0
20080331,2.25,2.25,2.25,2.25,1108,0
20080401,2.15,2.15,2.13,2.15,3336,0
20080402,2.15,2.36,2.15,2.36,11781,0
20080403,2.17,2.32,2.17,2.32,2324,0
20080404,2.25,2.25,2.13,2.25,922,0
20080407,2.24,2.25,2.23,2.25,1120,0
20080408,2.25,2.25,2.17,2.25,442,0
20080409,2.25,2.25,2.1,2.25,6086,0
20080410,2.13,2.25,2.13,2.25,716,0
20080411,2.25,2.25,2.12,2.25,856,0
20080414,2.11,2.25,2.11,2.25,1981,0
20080415,2.15,2.25,2.15,2.25,1007,0
20080416,2.15,2.15,2.1,2.1,1900,0
20080417,2.2,2.2,2.08,2.1,5643,0
20080418,2.1,2.36,2.1,2.2,16097,0
20080421,2.2,2.28,2.2,2.25,14901,0
20080422,2.24,2.25,2.12,2.25,876,0
20080423,2.1,2.19,1.93,2.09,33603,0
20080424,2.06,2.06,2.06,2.06,1600,0
20080425,2.06,2.1,2.06,2.08,1204,0
20080428,2.08,2.08,2.01,2.08,2876,0
20080429,2,2,1.89,1.93,13327,0
20080430,1.93,1.99,1.8,1.99,5996,0
20080505,1.98,1.99,1.95,1.99,18798,0
20080506,1.99,2.28,1.97,2.26,57741,0
20080507,2.28,2.65,2.21,2.31,88873,0
20080508,2.23,2.3,2.11,2.17,13570,0
20080509,2.17,2.2,2.05,2.07,28760,0
