Date,Open,High,Low,Close,Volume,OpenInt
20121218,23.142,23.232,23.088,23.232,34427,0
20121219,23.512,23.864,23.512,23.729,24732,0
20121220,23.918,23.918,23.458,23.458,16575,0
20121221,23.594,23.665,23.548,23.657,11787,0
20121227,23.729,23.909,23.729,23.9,16408,0
20121228,23.954,24.045,23.774,24.035,17387,0
20130102,24.225,24.315,24.225,24.297,14593,0
20130103,24.361,24.361,24.252,24.27,7434,0
20130104,24.27,24.315,24.252,24.315,11976,0
20130107,24.18,24.18,23.485,23.584,27592,0
20130108,23.485,23.819,23.485,23.53,12036,0
20130109,23.638,23.737,23.638,23.729,15600,0
20130110,23.792,23.864,23.792,23.855,10696,0
20130111,23.819,24.135,23.819,24.071,7093,0
20130114,24.135,24.279,24.135,24.252,9255,0
20130115,24.135,24.27,24.135,24.162,5708,0
20130116,24.225,24.225,24.099,24.144,3547,0
20130117,24.089,24.55,24.089,24.361,9770,0
20130118,24.415,24.54,24.415,24.45,5210,0
20130121,24.27,24.333,24.27,24.315,4102,0
20130122,24.361,24.369,24.225,24.225,3423,0
20130123,23.458,23.638,22.916,23.142,17479,0
20130124,23.638,24.089,23.097,23.142,3491,0
20130125,23.169,23.187,23.115,23.142,3634,0
20130128,23.368,23.368,23.278,23.368,5444,0
20130129,23.413,23.413,23.304,23.413,2638,0
20130130,23.413,23.485,23.323,23.449,2287,0
20130131,23.413,23.467,23.368,23.467,2106,0
20130201,23.44,23.819,23.44,23.819,4293,0
20130204,23.99,24.361,23.864,24.135,2356,0
20130205,24.135,24.18,23.864,24.135,2882,0
20130206,24.135,24.361,24.135,24.315,2141,0
20130207,24.315,24.315,24.27,24.288,2062,0
20130208,24.315,24.361,24.135,24.361,2621,0
20130211,24.315,24.351,24.225,24.333,1884,0
20130212,24.225,24.225,24.18,24.225,1941,0
20130213,24.243,24.297,24.225,24.27,1829,0
20130214,24.198,24.225,24.18,24.18,2383,0
20130215,24.315,24.315,24.216,24.252,1551,0
20130218,24.333,24.333,24.18,24.188,2210,0
20130219,24.18,24.216,24.18,24.206,1829,0
20130220,24.162,24.198,24.162,24.198,1767,0
20130221,24.135,24.17,23.954,23.954,6473,0
20130222,24.135,24.225,24.135,24.18,1497,0
20130225,24.216,24.361,24.216,24.351,3697,0
20130226,24.27,24.324,24.27,24.315,2550,0
20130227,24.315,24.496,24.315,24.468,2228,0
20130228,25.442,26.156,25.414,26.156,7134,0
20130301,25.939,26.074,25.849,25.939,3169,0
20130304,25.939,25.984,25.894,25.939,1920,0
20130305,25.939,25.984,25.804,25.984,2864,0
20130306,25.939,25.984,25.894,25.984,1663,0
20130307,26.029,26.21,26.029,26.165,2330,0
20130308,26.074,26.345,25.984,26.345,2980,0
20130311,26.616,26.616,26.3,26.3,2334,0
20130312,26.345,26.354,26.21,26.3,1945,0
20130313,26.183,26.436,26.183,26.436,1530,0
20130314,26.436,26.436,26.3,26.39,1907,0
20130315,26.21,26.436,26.21,26.436,1428,0
20130318,26.21,26.21,25.939,25.966,2381,0
20130319,25.894,25.894,25.714,25.804,1651,0
20130320,25.714,25.984,25.263,25.984,2214,0
20130321,26.12,26.165,26.02,26.074,1180,0
20130322,25.623,26.066,25.623,26.066,831,0
20130325,26.165,26.39,25.623,26.345,1558,0
20130326,26.436,26.525,26.165,26.39,1219,0
20130327,26.571,26.571,26.291,26.318,1254,0
20130328,26.255,26.525,26.165,26.436,1574,0
20130402,26.166,27.336,26.166,26.794,1468,0
20130403,26.706,26.706,26.525,26.543,1366,0
20130404,27.022,27.022,26.432,26.613,1151,0
20130405,26.616,26.616,25.714,25.714,4044,0
20130408,25.849,26.165,25.758,26.147,2472,0
20130409,26.255,26.354,25.786,26.354,2191,0
20130410,26.394,26.641,26.166,26.575,5192,0
20130411,26.616,26.796,26.165,26.796,1133,0
20130412,26.616,26.887,26.571,26.571,1113,0
20130415,26.751,26.751,26.092,26.092,1830,0
20130417,26.156,26.185,25.852,25.89,1178,0
20130418,25.804,26.165,25.758,25.758,1534,0
20130419,25.852,25.937,25.852,25.89,1047,0
20130422,26.11,26.21,25.894,26.12,1924,0
20130423,26.165,26.444,26.165,26.363,885,0
20130424,26.48,26.616,26.48,26.571,827,0
20130425,26.616,26.616,26.535,26.616,923,0
20130426,26.565,26.565,26.441,26.441,899,0
20130429,26.454,26.616,26.165,26.616,1791,0
20130430,26.708,26.984,26.708,26.984,1093,0
20130502,27.069,27.107,26.166,27.107,1831,0
20130506,27.288,27.517,27.288,27.517,989,0
20130507,27.65,27.973,27.65,27.973,1079,0
20130508,27.973,28.154,27.973,28.154,996,0
20130509,28.325,28.325,28.068,28.078,960,0
20130510,27.831,28.325,27.831,28.24,1324,0
20130513,28.544,28.544,28.068,28.068,4020,0
20130514,28.116,28.306,28.116,28.211,1065,0
20130515,26.927,26.927,25.69,26.261,5985,0
20130516,26.451,26.499,26.166,26.403,1233,0
20130517,26.308,27.364,26.308,26.689,1661,0
20130520,26.736,26.736,26.451,26.546,2432,0
20130521,26.594,26.641,26.432,26.432,1438,0
20130522,26.594,26.594,26.403,26.403,1161,0
20130523,26.213,26.432,26.213,26.384,2018,0
20130524,26.394,26.927,26.384,26.927,7171,0
20130527,27.098,27.117,26.974,26.974,842,0
20130528,27.117,27.45,27.117,27.45,1640,0
20130529,27.46,27.517,27.307,27.364,1509,0
20130531,27.526,27.783,27.526,27.631,1471,0
20130603,27.165,27.64,27.165,27.421,1738,0
20130604,27.117,27.545,27.117,27.498,1941,0
20130605,27.402,27.545,27.402,27.402,2369,0
20130606,27.498,27.498,27.412,27.45,1537,0
20130607,27.307,27.364,27.307,27.364,420,0
20130610,27.479,27.498,27.117,27.117,1367,0
20130611,27.022,27.402,25.88,26.546,2923,0
20130612,26.546,26.974,26.546,26.974,1684,0
20130613,26.784,27.003,26.784,26.927,1430,0
20130614,27.022,27.117,26.927,27.05,1366,0
20130617,27.184,27.184,27.022,27.031,1085,0
20130618,27.022,27.069,26.927,27.069,1248,0
20130619,27.069,27.069,26.974,27.022,1502,0
20130620,26.641,26.832,26.641,26.746,1289,0
20130621,26.803,26.841,26.07,26.166,1175,0
20130624,26.07,26.441,26.07,26.441,116,0
20130625,26.451,26.67,26.451,26.651,1217,0
20130626,26.641,26.736,25.69,25.69,1678,0
20130627,26.118,26.48,26.118,26.48,1201,0
20130628,26.537,26.641,26.527,26.641,1086,0
20130701,26.622,26.641,25.69,26.641,1406,0
20130702,26.641,26.832,26.641,26.832,1342,0
20130703,26.832,26.993,26.832,26.993,1926,0
20130704,27.117,27.545,27.117,27.545,1561,0
20130705,27.64,27.878,26.841,27.878,1564,0
20130708,28.068,28.278,28.021,28.249,1216,0
20130709,28.164,28.306,28.145,28.164,1421,0
20130710,28.259,28.259,28.021,28.021,1266,0
20130711,28.021,28.068,27.593,27.593,3066,0
20130712,28.068,28.068,27.593,28.068,1464,0
20130715,28.354,28.354,27.878,28.116,1368,0
20130716,28.068,28.068,27.831,27.831,605,0
20130717,28.354,28.354,27.992,27.992,918,0
20130718,28.402,28.402,27.593,28.002,916,0
20130719,28.354,28.354,27.954,27.964,1447,0
20130722,28.382,28.382,27.783,27.783,1148,0
20130723,27.831,27.926,27.774,27.774,1137,0
20130724,27.783,27.802,26.641,27.593,1428,0
20130725,27.498,27.593,27.498,27.498,1153,0
20130726,28.354,28.354,27.593,27.926,1026,0
20130729,27.593,28.449,26.832,27.688,1171,0
20130730,27.402,27.593,27.402,27.593,1171,0
20130731,26.832,27.545,26.832,27.545,1118,0
20130801,27.402,27.593,27.402,27.498,884,0
20130802,27.545,27.555,27.526,27.555,1026,0
20130805,27.498,27.574,27.022,27.022,2653,0
20130806,26.927,27.402,26.641,26.736,2527,0
20130807,26.641,26.641,26.356,26.356,2138,0
20130808,26.356,26.451,26.356,26.403,1098,0
20130809,26.213,26.308,26.213,26.308,1083,0
20130812,26.07,26.166,25.975,26.07,880,0
20130813,26.118,26.213,26.118,26.213,915,0
20130814,26.166,26.232,26.147,26.232,925,0
20130816,26.242,26.308,26.242,26.261,851,0
20130819,26.308,26.308,26.07,26.308,856,0
20130820,26.07,26.166,25.975,25.994,1043,0
20130821,26.08,26.089,25.69,26.023,1083,0
20130822,25.975,26.099,25.975,26.089,962,0
20130823,25.985,26.641,25.975,26.641,905,0
20130826,26.641,26.641,26.451,26.584,733,0
20130827,26.546,26.556,26.166,26.546,586,0
20130828,26.527,26.632,26.422,26.632,898,0
20130829,26.66,26.708,26.66,26.698,812,0
20130830,26.689,26.708,26.67,26.679,757,0
20130902,24.643,24.643,24.263,24.282,1898,0
20130903,23.787,24.719,23.787,24.12,666,0
20130904,24.139,24.167,24.11,24.167,4377,0
20130905,24.263,24.367,24.263,24.367,790,0
20130906,24.405,24.681,23.787,24.643,1203,0
20130909,24.691,24.767,24.691,24.748,1282,0
20130910,24.786,25.138,24.786,25.138,2179,0
20130911,25.119,25.166,25.071,25.166,1800,0
20130912,25.214,25.69,25.166,25.195,1805,0
20130913,25.166,25.186,25.119,25.138,1855,0
20130916,25.262,25.718,25.262,25.642,11856,0
20130917,25.395,25.614,25.395,25.614,2575,0
20130918,25.785,25.785,25.5,25.595,3505,0
20130919,25.69,25.69,25.309,25.538,3148,0
20130920,25.5,25.519,24.548,25.509,2830,0
20130923,25.785,25.785,25.5,25.547,3280,0
20130924,25.557,25.595,25.5,25.519,3290,0
20130925,25.595,25.642,25.509,25.557,3636,0
20130926,25.404,25.471,25.395,25.404,3880,0
20130927,25.404,25.5,25.385,25.423,3389,0
20130930,25.5,25.5,24.929,25.414,1381,0
20131001,25.452,25.48,25.433,25.48,1292,0
20131002,25.48,25.595,25.442,25.547,1178,0
20131003,25.595,25.785,25.595,25.671,1186,0
20131004,25.595,25.671,25.595,25.652,1352,0
20131007,25.642,25.69,25.557,25.69,1664,0
20131008,25.642,25.642,25.119,25.566,1410,0
20131009,25.214,25.69,24.738,25.595,1136,0
20131010,25.728,25.785,25.357,25.604,1105,0
20131011,25.69,25.69,25.5,25.566,3251,0
20131014,25.642,25.652,25.547,25.595,1126,0
20131015,25.614,25.642,25.024,25.614,1200,0
20131016,25.595,25.614,24.738,25.014,1373,0
20131017,24.881,24.929,24.691,24.853,1223,0
20131018,24.843,25.262,24.691,25.157,4057,0
20131021,25.547,25.547,24.738,25.1,2888,0
20131022,25.166,25.166,24.263,24.833,546184,0
20131023,24.786,24.891,24.786,24.786,14410,0
20131024,24.786,24.814,24.719,24.767,1602,0
20131025,24.738,25.119,24.719,25.1,2654,0
20131028,25.005,25.024,24.919,24.919,1759,0
20131029,25.024,25.043,24.167,24.167,1152,0
20131030,24.929,24.938,24.881,24.929,2314,0
