Date,Open,High,Low,Close,Volume,OpenInt
20101012,14.764,15.875,14.223,15.875,182934,0
20101013,16.058,17.068,16.058,16.746,132400,0
20101014,16.701,16.746,16.077,16.746,15371,0
20101015,16.728,17.407,16.251,17.407,73192,0
20101018,17.435,17.435,16.838,17.435,11181,0
20101019,17.297,17.618,17.251,17.251,18394,0
20101020,17.114,17.435,16.627,17.251,23075,0
20101021,17.251,17.251,16.985,17.022,19889,0
20101022,16.976,17.398,16.976,17.389,14437,0
20101025,17.031,17.444,17.031,17.435,5859,0
20101026,17.398,18.095,17.398,18.077,6003,0
20101027,18.095,18.095,17.481,18.068,355,0
20101028,18.325,18.554,18.306,18.554,17884,0
20101029,18.398,18.444,18.398,18.444,1231,0
20101102,18.352,18.352,18.352,18.352,34907,0
20101103,17.545,18.352,17.545,18.352,1507,0
20101104,17.756,17.912,17.756,17.857,3699,0
20101105,17.894,18.352,17.894,18.352,16580,0
20101108,18.215,18.352,18.215,18.352,150,0
20101109,18.306,18.352,18.306,18.352,213,0
20101110,17.985,18.306,17.71,18.306,1068,0
20101112,17.829,18.123,17.802,18.123,1975,0
20101115,17.71,18.013,17.637,17.756,1008,0
20101116,17.637,17.637,17.637,17.637,109,0
20101117,17.526,18.077,17.517,18.077,7340,0
20101118,18.077,18.077,17.526,17.664,6369,0
20101119,17.894,18.123,17.618,17.976,8459,0
20101122,17.435,18.013,17.435,17.802,3252,0
20101123,17.022,17.802,17.022,17.802,4104,0
20101124,17.71,17.884,17.71,17.884,2109,0
20101125,17.49,18.077,17.49,18.077,2046,0
20101126,17.453,17.793,17.453,17.793,141,0
20101129,17.453,17.875,17.398,17.398,7307,0
20101130,17.398,17.875,17.398,17.866,588,0
20101201,17.875,17.875,17.26,17.857,131,0
20101202,17.802,17.802,17.802,17.802,277,0
20101203,17.013,17.793,16.976,17.793,1803,0
20101206,17.563,17.783,17.022,17.783,5021,0
20101207,17.783,17.783,17.178,17.774,5082,0
20101208,17.774,17.783,17.352,17.783,1958,0
20101209,17.71,17.71,17.71,17.71,766,0
20101210,17.435,17.435,17.38,17.38,2248,0
20101213,17.242,17.242,17.242,17.242,74,0
20101214,16.884,16.884,16.802,16.802,131,0
20101215,16.517,16.517,16.297,16.499,900,0
20101216,16.425,16.49,15.783,16.49,1034,0
20101217,16.49,16.517,16.123,16.508,515,0
20101222,16.077,16.104,16.077,16.077,153,0
20101223,16.049,16.058,15.599,15.967,1009,0
20101227,15.333,15.967,15.324,15.967,2812,0
20101228,15.526,16.416,15.416,16.416,24638,0
20101229,16.315,16.315,15.599,16.306,770,0
20101231,15.875,16.471,15.875,16.471,11567,0
20110103,15.599,16.462,15.599,16.462,385,0
20110104,15.599,16.058,15.599,16.058,402,0
20110105,15.425,15.508,15.425,15.508,538,0
20110107,15.306,15.599,15.196,15.599,1893,0
20110110,15.287,15.287,15.287,15.287,78,0
20110111,15.287,15.957,15.287,15.957,9,0
20110112,15.599,15.599,15.287,15.508,440,0
20110118,14.774,14.774,14.498,14.498,1877,0
20110119,14.664,14.673,14.664,14.673,96,0
20110121,13.764,14.581,13.764,14.581,1320,0
20110124,13.489,13.764,13.489,13.489,116,0
20110125,13.59,13.764,13.581,13.764,2410,0
20110126,13.672,13.948,13.672,13.948,257,0
20110127,13.672,14.076,13.627,14.076,600,0
20110128,14.076,14.076,14.076,14.076,372,0
20110201,14.04,14.04,13.764,13.764,21807,0
20110202,13.764,14.452,13.672,14.186,80061,0
20110203,14.397,14.682,14.223,14.682,4044,0
20110204,14.682,14.764,14.407,14.407,515,0
20110207,14.407,14.407,14.315,14.315,785,0
20110208,14.407,14.728,14.379,14.728,3019,0
20110209,15.003,15.003,15.003,15.003,59,0
20110210,14.682,14.82,14.682,14.682,669,0
20110211,14.957,14.957,14.957,14.957,1128,0
20110215,14.957,14.976,14.04,14.682,5393,0
20110216,14.682,15.141,14.682,14.93,18645,0
20110217,15.04,15.04,15.04,15.04,5,0
20110218,15.04,15.232,15.04,15.232,356,0
20110221,15.232,15.232,15.232,15.232,129,0
20110222,15.232,15.324,15.232,15.324,206,0
20110223,15.324,15.508,15.324,15.508,1700,0
20110224,15.508,15.59,15.499,15.59,1231,0
20110225,15.462,15.462,15.232,15.416,1013,0
20110228,15.554,15.554,15.141,15.508,311,0
20110301,15.37,15.37,15.37,15.37,23,0
20110302,15.232,15.37,15.232,15.37,88,0
20110303,15.141,15.141,15.141,15.141,311,0
20110304,15.324,15.324,14.957,15.141,485,0
20110307,15.049,15.049,14.59,15.049,643,0
20110308,14.774,15.131,14.774,15.131,2323,0
20110309,14.884,14.884,14.884,14.884,997,0
20110310,14.884,14.911,14.884,14.911,375,0
20110311,14.911,15.049,14.911,15.049,792,0
20110314,14.865,14.911,14.498,14.911,587,0
20110315,14.544,14.865,14.544,14.865,190,0
20110316,14.865,14.911,14.865,14.911,538,0
20110317,14.957,15.049,14.957,15.049,114,0
20110318,14.957,15.315,14.957,15.315,1079,0
20110321,15.416,15.416,14.957,15.141,842,0
20110322,15.141,15.141,15.141,15.141,118,0
20110324,14.957,14.957,14.865,14.957,338,0
20110325,14.82,14.82,14.774,14.774,327,0
20110328,14.82,14.82,14.682,14.682,702,0
20110329,14.508,14.682,14.508,14.682,34,0
20110330,14.682,14.682,14.682,14.682,588,0
20110331,14.627,14.682,14.627,14.664,599,0
20110401,14.315,14.407,14.223,14.407,578,0
20110404,12.984,14.673,12.984,14.361,610,0
20110405,14.223,14.269,14.076,14.269,533,0
20110406,13.856,13.856,13.351,13.764,1178,0
20110407,13.764,13.764,13.764,13.764,76,0
20110408,13.535,13.764,13.535,13.764,371,0
20110411,13.764,13.764,13.764,13.764,231,0
20110412,13.764,13.764,13.764,13.764,66,0
20110413,13.994,13.994,13.994,13.994,177,0
20110414,13.764,13.764,13.764,13.764,218,0
20110415,13.232,13.663,12.626,13.654,2374,0
20110418,13.654,13.654,13.076,13.37,320,0
20110419,13.672,13.672,13.397,13.672,50,0
20110420,13.076,13.672,13.03,13.672,289,0
20110421,13.672,13.672,13.672,13.672,1058,0
20110427,13.397,13.672,13.397,13.672,59,0
20110429,13.672,14.223,13.672,14.223,1755,0
20110502,13.783,13.783,13.764,13.764,452,0
20110504,13.764,13.764,13.305,13.305,571,0
20110506,13.168,13.425,13.168,13.425,436,0
20110509,13.305,13.305,13.305,13.305,109,0
20110510,13.168,13.168,13.122,13.122,221,0
20110511,13.305,13.305,13.305,13.305,54,0
20110513,13.305,13.305,13.039,13.039,21,0
20110516,12.938,13.296,12.938,13.296,68,0
20110517,12.938,12.938,12.388,12.847,731,0
20110518,12.663,12.938,12.067,12.938,673,0
20110519,12.388,12.388,12.388,12.388,2,0
20110520,12.709,12.709,12.709,12.709,2,0
20110523,12.709,12.709,12.709,12.709,5,0
20110524,12.755,12.755,12.755,12.755,186,0
20110525,11.837,12.663,11.746,12.663,397,0
20110526,11.837,12.525,11.746,12.525,447,0
20110527,12.388,12.388,11.791,12.388,1101,0
20110530,12.663,12.663,12.663,12.663,2,0
20110531,11.562,12.562,11.516,12.562,3900,0
20110601,11.562,11.865,11.562,11.562,514,0
20110602,12.48,12.48,11.378,11.378,968,0
20110603,11.47,11.47,11.195,11.415,4374,0
20110606,11.516,11.516,11.149,11.305,599,0
20110607,12.333,12.333,11.746,11.746,58,0
20110608,12.021,12.021,11.516,11.929,366,0
20110609,12.113,12.113,11.011,11.746,296,0
20110610,11.929,11.929,11.883,11.883,1361,0
20110613,11.883,12.388,11.883,12.388,681,0
20110614,12.204,12.204,11.837,12.204,706,0
20110615,12.204,12.204,12.204,12.204,930,0
20110616,11.929,11.929,11.929,11.929,40,0
20110617,12.158,12.158,11.195,11.92,597,0
20110620,11.03,11.7,10.69,10.69,17280,0
20110621,11.69,11.69,11.342,11.69,57,0
20110622,11.681,11.681,11.681,11.681,3,0
20110624,11.553,11.553,11.452,11.47,295,0
20110627,11.47,11.47,10.745,11.47,295,0
20110628,11.69,11.69,11.47,11.47,71,0
20110629,11.47,11.47,10.553,11.186,964,0
20110630,11.278,11.47,11.039,11.47,5064,0
20110701,11.461,11.47,11.461,11.47,482,0
20110704,11.47,11.47,10.461,11.47,541,0
20110705,11.461,11.746,11.461,11.746,768,0
20110706,11.47,11.746,11.47,11.746,546,0
20110707,11.195,11.654,11.195,11.654,596,0
20110708,11.562,11.562,11.562,11.562,436,0
20110711,10.598,11.259,10.598,11.25,655,0
20110712,10.598,11.002,10.553,10.993,1200,0
20110713,10.984,10.984,10.002,10.002,3036,0
20110714,10.002,10.47,9.1761,9.819,2743,0
20110715,9.4422,9.589,8.9467,9.1761,5777,0
20110718,9.0844,9.0844,8.2585,8.9009,122,0
20110719,8.2585,8.9009,8.075,8.9009,15611,0
20110720,8.9009,8.9009,8.9009,8.9009,141,0
20110725,8.9009,8.9009,8.9009,8.9009,60,0
20110726,8.7173,8.9926,8.7173,8.9926,12185,0
20110727,8.9926,8.9926,8.9009,8.9009,280,0
20110728,8.9009,9.1761,8.9009,8.9009,49408,0
20110729,9.1761,9.2128,8.7173,9.2128,2775,0
20110801,9.91,10.553,9.4514,9.635,332,0
20110802,10.094,10.094,8.6714,9.167,509,0
20110803,9.809,9.809,9.0844,9.0844,16,0
20110804,9.819,9.819,8.7173,9.1761,2510,0
20110805,8.2585,9.91,8.2585,9.91,2298,0
20110808,9.635,9.91,9.635,9.8,50,0
20110811,9.1486,9.1486,9.1486,9.1486,545,0
20110812,8.442,9.1394,8.442,9.1394,2638,0
20110816,9.1761,9.1761,9.1761,9.1761,38,0
20110818,8.2585,8.9926,8.2585,8.9009,2860,0
20110819,8.4879,8.7173,8.4879,8.4879,12372,0
20110822,7.7997,8.2585,7.708,8.2585,4735,0
20110824,8.855,8.855,8.855,8.855,2,0
20110831,8.6256,8.6256,8.6256,8.6256,20,0
20110901,7.9832,7.9832,7.2491,7.7997,1586,0
20110905,7.7905,7.7905,7.7905,7.7905,1168,0
20110906,7.6162,7.6162,7.6162,7.6162,4359,0
20110907,7.708,7.708,7.708,7.708,1,0
20110908,7.0748,7.708,7.0748,7.6988,8047,0
20110909,7.6988,7.6988,7.6988,7.6988,1,0
20110913,6.9739,7.3409,6.6986,6.6986,39,0
20110914,7.295,7.295,6.6068,7.295,245,0
20110915,7.3409,7.3409,6.6068,7.3317,9177,0
20110916,7.3409,7.3409,7.3409,7.3409,5,0
20110919,7.3409,7.3409,7.3409,7.3409,5,0
20110920,7.3409,7.3409,7.295,7.295,7,0
20110921,7.3409,7.3409,7.3317,7.3317,21,0
20110922,7.3409,7.3409,7.3317,7.3317,53,0
20110923,7.3317,7.3409,7.2033,7.3134,81,0
20110926,7.3042,7.3042,7.295,7.3042,2240,0
20110927,7.3317,7.3317,7.3317,7.3317,490,0
20110928,7.3409,7.3409,6.8821,7.3226,3674,0
20110929,7.2491,7.2859,7.2491,7.2859,599,0
20110930,7.2859,7.2859,7.2859,7.2859,1,0
20111003,7.24,7.24,7.24,7.24,1,0
20111005,7.1574,7.1574,7.1574,7.1574,1,0
20111006,7.2491,7.8639,6.7903,7.1574,3280,0
20111007,7.1574,7.3409,7.1574,7.3409,13,0
20111010,7.7997,7.7997,7.3409,7.3409,13296,0
20111011,7.6162,7.7997,7.6162,7.7997,2,0
20111012,7.7997,7.7997,7.6529,7.6529,2,0
20111013,7.3409,7.3409,7.3409,7.3409,1,0
20111014,7.7997,7.7997,7.5703,7.7355,1233,0
20111017,8.2493,8.4879,7.9282,8.4879,65,0
20111018,8.8825,8.8825,8.6256,8.6256,2,0
20111019,8.8825,8.9009,8.2585,8.9009,10419,0
20111020,8.2585,8.8091,8.2585,8.8091,7759,0
20111021,8.8091,8.8091,8.5797,8.5797,13,0
20111024,8.8091,8.8091,8.8091,8.8091,5,0
20111025,8.8091,8.8091,8.8091,8.8091,654,0
20111026,8.754,8.754,8.754,8.754,27,0
20111027,8.7082,8.7082,8.7082,8.7082,45,0
20111028,8.7082,8.7082,8.5338,8.7082,150,0
20111031,8.5797,8.5797,8.5797,8.5797,134,0
20111102,7.1757,8.6714,7.1757,8.6714,3402,0
20111103,8.2585,8.699,8.2585,8.699,545,0
20111104,8.6439,8.6439,8.6164,8.6164,47,0
20111107,8.6072,8.6072,8.6072,8.6072,49,0
20111108,8.2585,8.6072,8.2585,8.6072,1095,0
20111109,8.598,8.598,8.598,8.598,1744,0
20111110,8.5797,8.5797,8.5797,8.5797,1,0
20111115,7.7997,7.7997,7.7997,7.7997,162,0
20111116,8.1851,8.1851,7.7997,7.7997,154,0
20111117,8.1851,8.1851,7.7997,7.7997,157,0
20111121,8.1668,8.1668,8.1668,8.1668,5,0
20111122,8.1851,8.1851,6.8821,7.8823,10193,0
20111123,7.8181,7.8181,7.8181,7.8181,174,0
20111125,7.708,7.708,6.7903,6.7903,3071,0
20111129,7.24,7.24,6.4233,6.6068,651,0
20111130,6.3315,7.24,6.3315,7.24,932,0
20111201,7.3409,7.3409,7.3409,7.3409,2,0
20111202,7.3317,7.3409,7.3317,7.3409,7438,0
20111205,7.2491,7.2491,7.2491,7.2491,1,0
20111206,7.2491,7.2491,7.2491,7.2491,2,0
20111207,7.295,7.295,7.295,7.295,48,0
20111208,6.3774,6.3774,6.3774,6.3774,5449,0
20111209,6.3682,6.3774,6.0287,6.148,60986,0
20111212,6.148,6.148,5.6892,5.9645,4720,0
20111213,5.8727,6.0104,5.8727,6.0104,10765,0
20111214,6.0104,6.0104,6.0104,6.0104,218,0
20111215,6.0012,6.0012,5.5057,5.8268,2573,0
20111216,5.8268,5.8268,5.368,5.8268,2621,0
20111219,5.8268,5.8268,5.3313,5.5424,34080,0
20111220,5.4965,5.4965,5.1386,5.4965,3545,0
20111221,5.4965,5.6892,5.4965,5.5057,4361,0
20111222,5.2304,5.3497,5.0469,5.313,3099,0
