Date,Open,High,Low,Close,Volume,OpenInt
20071030,14.6,15.5,14.6,14.89,91395,0
20071031,15.45,15.45,14.63,15.19,4945,0
20071102,14.9,15.35,14.9,15.35,12800,0
20071105,15,15.45,15,15.3,20437,0
20071106,15.25,15.3,14.8,15.27,3180,0
20071107,15.05,15.05,14.25,14.89,16201,0
20071108,14,14.98,14,14.98,8394,0
20071113,14.88,14.88,14.88,14.88,341,0
20071114,14.97,15.27,14.97,15.1,44074,0
20071115,14.99,14.99,14.1,14.66,1935,0
20071116,14.3,14.66,13.9,13.9,8613,0
20071119,13.9,14.49,13.9,14.49,110,0
20071120,14.44,14.44,13.75,13.8,4886,0
20071121,14.44,14.44,12.02,12.6,513,0
20071122,12.51,14.29,12.5,14.27,115,0
20071123,14.69,14.69,13.55,14.65,1919,0
20071126,14.64,14.69,12.84,12.84,2024,0
20071127,14.29,14.29,14.2,14.29,12,0
20071128,14.28,14.6,14.28,14.5,1594,0
20071129,14.6,14.7,14,14.7,6022,0
20071130,14.69,15.49,14.2,15.49,9143,0
20071203,15.2,15.2,14,14,111,0
20071204,14.4,14.4,13.3,14.3,15993,0
20071205,14.3,14.4,14,14.3,13494,0
20071206,14.49,14.56,14,14.5,1259,0
20071207,14.4,14.4,13.95,14.01,1040,0
20071210,14.01,14.3,14,14.15,3481,0
20071211,14.01,14.01,14.01,14.01,1300,0
20071212,13.65,13.8,13.65,13.8,578,0
20071213,13.98,14.17,13.8,13.8,11631,0
20071214,14,14,13.02,13.7,1170,0
20071217,14.01,14.01,14.01,14.01,222,0
20071218,14,14,13.1,13.1,117,0
20071219,13.21,14.01,13.21,14.01,5394,0
20071220,14.2,14.2,13.87,13.87,2700,0
20071221,13.88,14.1,13.85,13.85,6645,0
20071227,14.1,14.1,13.5,13.7,4666,0
20071228,13.8,13.8,13.3,13.65,1410,0
20080102,13.29,14.32,13.29,13.8,2492,0
20080103,13.8,13.8,13.23,13.55,6461,0
20080104,13.55,13.55,13.55,13.55,1393,0
20080107,13.29,14,13.29,13.65,7478,0
20080108,14,14,13.63,13.85,123,0
20080109,14.08,14.08,13.7,13.8,397,0
20080110,13.68,13.79,13.1,13.43,1005,0
20080111,13.8,13.8,13.44,13.44,547,0
20080114,13.5,13.5,11.87,12.99,2771,0
20080115,12.99,12.99,12.67,12.67,1040,0
20080116,12.1,12.3,11.8,12.1,5155,0
20080117,12.1,12.39,12.09,12.39,1720,0
20080118,12.99,12.99,12.37,12.65,2110,0
20080121,12.99,12.99,12.67,12.67,229,0
20080122,12.99,12.99,12.99,12.99,15,0
20080123,12.99,12.99,12.99,12.99,30,0
20080124,12.99,12.99,12.67,12.67,1185,0
20080125,12.99,12.99,12.99,12.99,10,0
20080128,12.99,12.99,12.99,12.99,20,0
20080129,12.99,12.99,12.99,12.99,970,0
20080130,12.99,12.99,12.99,12.99,20,0
20080131,13.2,13.2,12.89,12.89,340,0
20080201,13.2,13.8,13.2,13.8,26010,0
20080204,13.4,13.52,13,13,2785,0
20080205,13.19,13.19,13.19,13.19,20,0
20080206,13.19,13.19,13.19,13.19,40,0
20080207,13.19,13.19,13.19,13.19,20,0
20080208,13.19,13.19,13.19,13.19,10,0
20080211,13.19,13.75,13.01,13.01,9126,0
20080212,13.78,13.78,13.39,13.39,423,0
20080213,13.41,13.8,13.41,13.41,8197,0
20080214,13.77,13.77,13.77,13.77,10,0
20080215,13.77,13.77,13.77,13.77,30,0
20080218,13.77,13.77,13.77,13.77,4041,0
20080219,13.78,13.78,13.65,13.65,20020,0
20080220,13.78,13.78,13.77,13.77,1117,0
20080221,13.78,13.78,13.78,13.78,70,0
20080222,13.78,13.8,13.78,13.8,4097,0
20080225,13.7,14.1,13.7,14.1,29590,0
20080226,14.5,14.5,14.08,14.08,3443,0
20080227,14,14,14,14,50,0
20080228,14,14,14,14,250,0
20080229,14,14.05,14,14,11325,0
20080303,14.03,14.15,14,14,63190,0
20080304,14.15,14.15,14.1,14.1,3068,0
20080305,14.15,14.15,14.1,14.1,56,0
20080306,14.1,14.1,14.06,14.06,130,0
20080307,14.1,14.1,13.82,13.95,4170,0
20080310,13.94,13.94,13.94,13.94,36,0
20080311,14.1,14.13,14.1,14.13,3020,0
20080312,14.1,14.1,14.1,14.1,370,0
20080313,14.1,14.1,14.1,14.1,395,0
20080314,14.1,14.1,14.1,14.1,420,0
20080317,14.1,14.18,13.8,14.18,10185,0
20080318,14.18,14.18,14.18,14.18,340,0
20080319,14.2,14.2,14.18,14.18,250,0
20080320,14.15,14.15,14.15,14.15,280,0
20080325,14.15,14.15,14.15,14.15,30,0
20080326,14.15,14.15,14.15,14.15,430,0
20080327,14.15,15.48,13.9,13.9,18259,0
20080328,14.95,14.95,14,14,6781,0
20080331,14.46,14.46,14.11,14.35,1162,0
20080401,14.34,14.34,14.15,14.15,156,0
20080402,14.34,14.34,14.05,14.05,220,0
20080403,14.34,14.34,14,14,220,0
20080404,14.34,14.34,14.34,14.34,20,0
20080407,14.34,14.34,14.24,14.34,180,0
20080408,14.34,14.34,14.31,14.31,170,0
20080409,14.25,14.25,14,14.1,40760,0
20080410,14.31,14.31,14.02,14.02,20010,0
20080411,14.31,14.31,14.31,14.31,180,0
20080414,14.01,14.09,14,14,8255,0
20080415,14.11,14.11,14.01,14.01,1030,0
20080416,14.11,14.15,14.11,14.15,2067,0
20080417,14.31,14.34,14.3,14.34,2437,0
20080418,14.35,14.5,14.35,14.45,2230,0
20080421,14.5,14.5,14.43,14.43,6210,0
20080422,14.43,14.43,14.11,14.2,6515,0
20080423,14.5,14.5,14.05,14.05,3560,0
20080424,14.35,14.35,14.1,14.3,5775,0
20080425,14.3,14.3,14.2,14.2,5020,0
20080428,14.3,14.3,14.3,14.3,20,0
20080429,14.3,14.3,14.3,14.3,10,0
20080430,13.37,14.3,13.37,14.3,445,0
20080505,13.3,14.3,13.3,14.3,80,0
20080506,14.3,14.3,14.3,14.3,11,0
20080507,14.3,14.3,14,14,90115,0
20080508,14.2,14.2,14.2,14.2,10,0
20080509,14.2,14.2,14.2,14.2,335,0
20080512,14.3,14.3,14.2,14.2,1087,0
20080513,14.29,14.29,14.29,14.29,11,0
20080514,14.28,14.28,14.28,14.28,410,0
20080515,14.25,14.29,14.1,14.29,2310,0
20080516,14.29,14.29,14.29,14.29,1605,0
20080519,14.1,14.31,14.1,14.3,4575,0
20080520,14.25,14.25,14.25,14.25,912,0
20080521,14.2,14.2,14.2,14.2,1000,0
20080523,14.25,14.25,14.25,14.25,359,0
20080526,14.25,14.25,14,14,528,0
20080527,14.25,14.25,14.25,14.25,12,0
20080528,14.24,14.24,14.24,14.24,15,0
20080529,14.24,14.99,14.24,14.99,3116,0
20080530,14.99,15.99,14.99,15.51,237646,0
20080602,15.51,16.88,15.51,16.6,8995,0
20080603,16.7,18.21,16.65,18.2,142962,0
20080604,18.21,18.4,17.05,17.18,11511,0
20080605,17.6,17.6,17.21,17.21,1566,0
20080606,17.6,17.6,17.6,17.6,77,0
20080609,17.6,17.6,16.96,17.6,3704,0
20080610,17.62,17.62,17.6,17.6,138,0
20080611,16.93,17,16.93,17,476,0
20080612,16.4,16.8,16.4,16.44,31797,0
20080613,16.77,16.77,16.77,16.77,14,0
20080616,16.8,16.8,16.3,16.3,10005,0
20080617,16.05,16.45,16.02,16.45,957,0
20080618,16.4,16.74,16.3,16.3,2052,0
20080619,16.5,16.5,16.5,16.5,9,0
20080620,16.5,16.5,15.72,15.72,10,0
20080623,16.5,16.5,15.73,15.73,488,0
20080624,15.1,16.49,15,15.4,14063,0
20080625,15.4,15.4,15,15,813,0
20080626,15.11,16.3,15,15.8,11246,0
20080627,16.1,16.1,15.08,15.49,11913,0
20080630,16.1,16.2,15.4,15.4,9139,0
20080701,14.26,15.71,14.26,15.5,2365,0
20080702,15.59,16.04,15.17,15.17,1469,0
20080703,15.21,15.39,15.03,15.03,1500,0
20080704,15.15,15.66,14.8,15,1995,0
20080707,16.38,16.38,14.7,14.9,1368,0
20080708,15.12,15.45,14.7,15.12,1811,0
20080709,15.22,15.22,15.12,15.12,870,0
20080710,15.27,15.27,15.11,15.12,5850,0
20080711,15.29,15.5,15,15.1,1016,0
20080714,15.61,15.61,15,15.6,1300,0
20080715,16,16,15,15.99,1782,0
20080716,14.4,15.46,14.4,15.46,1153,0
20080717,15.55,15.55,15.01,15.3,791,0
20080718,15.6,15.6,15.3,15.3,38,0
20080721,15.64,15.72,15.07,15.07,1047,0
20080722,15.6,15.6,15.4,15.6,195317,0
20080723,15.7,15.8,15.7,15.8,880,0
20080724,16,16,15.9,15.9,510,0
20080725,16.09,16.09,15.41,16.09,497,0
20080728,16.09,16.09,16.09,16.09,4,0
