Date,Open,High,Low,Close,Volume,OpenInt
20091222,0.0836,0.0876,0.082,0.0848,2316075,0
20091223,0.082,0.082,0.076,0.076,683850,0
20091228,0.072,0.072,0.0652,0.0664,798000,0
20091229,0.068,0.0708,0.068,0.0696,513175,0
20091230,0.0708,0.0772,0.07,0.0772,135400,0
20091231,0.076,0.08,0.0748,0.08,114100,0
20100104,0.0812,0.082,0.0736,0.0796,203525,0
20100105,0.0792,0.0792,0.0732,0.0732,77500,0
20100106,0.0784,0.0784,0.0776,0.078,63750,0
20100107,0.0776,0.0776,0.0712,0.072,145500,0
20100108,0.076,0.0768,0.0748,0.0764,56250,0
20100111,0.076,0.0764,0.076,0.0764,71625,0
20100112,0.078,0.078,0.0728,0.0728,60600,0
20100113,0.076,0.076,0.0744,0.0744,42500,0
20100114,0.0728,0.074,0.0728,0.074,76775,0
20100115,0.0732,0.076,0.0732,0.076,18750,0
20100118,0.0788,0.0788,0.074,0.074,40900,0
20100119,0.0732,0.0732,0.0732,0.0732,33325,0
20100121,0.072,0.072,0.07,0.07,100000,0
20100122,0.0732,0.0736,0.0732,0.0732,151225,0
20100125,0.0692,0.072,0.0688,0.072,37275,0
20100126,0.072,0.074,0.07,0.074,640525,0
20100127,0.0716,0.0756,0.0716,0.074,151625,0
20100128,0.0696,0.07,0.0696,0.07,20750,0
20100129,0.0704,0.0704,0.0704,0.0704,6250,0
20100201,0.0704,0.0756,0.0704,0.0756,180875,0
20100202,0.0756,0.0756,0.0704,0.0704,149975,0
20100204,0.0704,0.0716,0.0704,0.0704,45125,0
20100205,0.0692,0.0692,0.0672,0.068,214100,0
20100208,0.074,0.074,0.0672,0.0672,9225,0
20100209,0.0688,0.0688,0.0684,0.0684,15400,0
20100210,0.0736,0.0736,0.0676,0.068,82500,0
20100211,0.0676,0.0684,0.0676,0.0684,6025,0
20100212,0.0676,0.0676,0.0672,0.0672,80000,0
20100215,0.0672,0.068,0.0632,0.064,596725,0
20100216,0.064,0.068,0.064,0.068,56700,0
20100217,0.0676,0.068,0.064,0.064,1033350,0
20100218,0.064,0.0676,0.064,0.0648,140000,0
20100219,0.0676,0.07,0.0672,0.07,413425,0
20100222,0.072,0.0732,0.0684,0.0684,71050,0
20100223,0.072,0.0828,0.072,0.082,1394475,0
20100224,0.082,0.082,0.0736,0.0736,1092150,0
20100225,0.0736,0.0792,0.0736,0.0772,91125,0
20100301,0.0724,0.0772,0.0724,0.0772,7500,0
20100302,0.076,0.0796,0.076,0.0792,750750,0
20100303,0.0764,0.0792,0.076,0.0788,579750,0
20100304,0.0792,0.0828,0.0792,0.0828,176050,0
20100305,0.0808,0.0848,0.0804,0.082,354450,0
20100308,0.084,0.084,0.082,0.082,597750,0
20100309,0.082,0.084,0.082,0.082,200500,0
20100310,0.084,0.084,0.082,0.082,156500,0
20100311,0.082,0.082,0.082,0.082,400725,0
20100312,0.0768,0.0824,0.0768,0.082,166625,0
20100315,0.078,0.0816,0.0768,0.08,575900,0
20100316,0.0796,0.0812,0.0796,0.0812,589175,0
20100317,0.0796,0.08,0.078,0.0784,1417775,0
20100318,0.08,0.08,0.08,0.08,6300,0
20100319,0.0772,0.0772,0.0764,0.0772,749025,0
20100323,0.0792,0.0792,0.0744,0.0744,41150,0
20100324,0.072,0.0736,0.0684,0.0696,172100,0
20100325,0.076,0.076,0.0684,0.0712,594700,0
20100326,0.078,0.08,0.072,0.072,47000,0
20100329,0.0784,0.0784,0.072,0.072,600,0
20100330,0.078,0.0784,0.074,0.0776,27575,0
20100331,0.0776,0.0776,0.0748,0.0764,19825,0
20100401,0.0748,0.0748,0.074,0.074,39175,0
20100406,0.0752,0.078,0.0752,0.0764,11875,0
20100407,0.072,0.072,0.072,0.072,25,0
20100408,0.078,0.078,0.0724,0.0724,75,0
20100409,0.0756,0.0756,0.0732,0.0732,5150,0
20100412,0.0776,0.0776,0.0776,0.0776,2500,0
20100413,0.078,0.078,0.0772,0.0776,141175,0
20100414,0.0784,0.0784,0.074,0.078,54400,0
20100415,0.078,0.0792,0.078,0.0792,250625,0
20100416,0.076,0.076,0.076,0.076,10000,0
20100419,0.074,0.0788,0.074,0.0784,30050,0
20100420,0.074,0.078,0.074,0.074,12550,0
20100421,0.078,0.078,0.0744,0.0744,59875,0
20100422,0.074,0.076,0.074,0.074,118100,0
20100423,0.074,0.074,0.068,0.0724,57550,0
20100426,0.0728,0.074,0.072,0.074,186225,0
20100427,0.076,0.076,0.0696,0.072,185400,0
20100428,0.07,0.07,0.07,0.07,5250,0
20100429,0.072,0.072,0.0712,0.0712,71325,0
20100504,0.0712,0.0712,0.0648,0.0664,120000,0
20100505,0.0756,0.0756,0.0672,0.0756,19550,0
20100506,0.0756,0.0756,0.0756,0.0756,500,0
20100507,0.0736,0.0736,0.0688,0.0688,18000,0
20100510,0.0752,0.0752,0.0752,0.0752,5000,0
20100511,0.0748,0.0748,0.0748,0.0748,2500,0
20100512,0.0716,0.072,0.0716,0.072,3750,0
20100514,0.068,0.068,0.068,0.068,18225,0
20100517,0.0752,0.0752,0.0752,0.0752,3750,0
20100518,0.072,0.0748,0.068,0.0748,319200,0
20100519,0.072,0.072,0.072,0.072,2500,0
20100524,0.0684,0.0716,0.0664,0.0664,19250,0
20100525,0.0744,0.0744,0.0672,0.0688,581750,0
20100526,0.0688,0.0696,0.064,0.0696,326125,0
20100527,0.0648,0.0712,0.0648,0.0704,72300,0
20100528,0.07,0.07,0.07,0.07,2500,0
20100531,0.0652,0.07,0.0652,0.0664,43775,0
20100601,0.068,0.0704,0.068,0.068,109975,0
20100602,0.07,0.07,0.07,0.07,46475,0
20100604,0.0672,0.0672,0.0672,0.0672,5000,0
20100607,0.0716,0.0716,0.0708,0.0708,12500,0
20100609,0.068,0.068,0.068,0.068,8750,0
20100610,0.0704,0.0704,0.068,0.068,13750,0
20100611,0.0712,0.0712,0.0712,0.0712,5000,0
20100614,0.0712,0.0712,0.0712,0.0712,12500,0
20100615,0.0692,0.0692,0.0692,0.0692,12500,0
20100616,0.0716,0.0716,0.0716,0.0716,7500,0
20100617,0.0716,0.0716,0.0696,0.0696,19300,0
20100618,0.0696,0.0696,0.0696,0.0696,70625,0
20100621,0.0692,0.0692,0.0692,0.0692,3750,0
20100622,0.0692,0.0692,0.0688,0.0688,8750,0
20100623,0.0704,0.0704,0.0704,0.0704,5000,0
20100624,0.0696,0.07,0.0696,0.07,144775,0
20100625,0.0708,0.0708,0.0708,0.0708,105225,0
20100628,0.068,0.0708,0.068,0.0708,65000,0
20100629,0.0708,0.0708,0.0708,0.0708,7000,0
20100702,0.0676,0.068,0.0676,0.068,37425,0
20100705,0.0708,0.0708,0.0684,0.0684,42850,0
20100706,0.0684,0.0708,0.0684,0.0708,17500,0
20100707,0.068,0.068,0.068,0.068,425,0
20100709,0.0684,0.0684,0.068,0.0684,46975,0
20100712,0.0688,0.0688,0.0688,0.0688,2500,0
20100714,0.0696,0.0696,0.0696,0.0696,42200,0
20100716,0.0696,0.0696,0.0672,0.0696,347800,0
20100719,0.0672,0.07,0.0672,0.07,18750,0
20100720,0.0708,0.0708,0.07,0.07,16250,0
20100722,0.0696,0.0696,0.0692,0.0692,31250,0
20100723,0.068,0.068,0.068,0.068,42200,0
20100726,0.0676,0.0676,0.0668,0.0668,114975,0
20100728,0.0672,0.0688,0.0672,0.0688,91200,0
20100729,0.068,0.0684,0.068,0.0684,26450,0
20100730,0.0692,0.0692,0.0692,0.0692,27225,0
20100809,0.0684,0.0684,0.0636,0.0676,121175,0
20100810,0.0676,0.0676,0.0676,0.0676,675,0
20100811,0.0644,0.0644,0.062,0.062,621525,0
20100812,0.062,0.0672,0.0616,0.0672,127375,0
20100813,0.0644,0.066,0.0644,0.066,108000,0
20100817,0.0668,0.0668,0.066,0.066,35625,0
20100818,0.066,0.066,0.066,0.066,66125,0
20100819,0.066,0.0676,0.066,0.0676,67500,0
20100820,0.0664,0.0684,0.0664,0.0684,183750,0
20100823,0.0684,0.0684,0.0672,0.0672,8750,0
20100824,0.0664,0.0684,0.0664,0.0684,35500,0
20100825,0.0664,0.068,0.0664,0.068,192500,0
20100826,0.068,0.068,0.068,0.068,5000,0
20100827,0.0684,0.0684,0.0684,0.0684,3750,0
20100830,0.0684,0.0692,0.0684,0.0692,28750,0
20100831,0.0684,0.0684,0.0684,0.0684,3750,0
20100901,0.0684,0.0684,0.0668,0.0676,265600,0
20100902,0.0676,0.0676,0.0676,0.0676,7500,0
20100903,0.0676,0.0676,0.0676,0.0676,5625,0
20100906,0.0668,0.0676,0.0664,0.0676,130975,0
20100907,0.066,0.066,0.0656,0.0656,25750,0
20100908,0.068,0.068,0.0648,0.0648,27500,0
20100910,0.0676,0.0676,0.0676,0.0676,5000,0
20100915,0.0656,0.0672,0.0656,0.0672,18750,0
20100917,0.0672,0.0672,0.0672,0.0672,52500,0
20100920,0.0656,0.0656,0.0656,0.0656,7500,0
20100921,0.0664,0.0672,0.066,0.0672,224250,0
20100922,0.0656,0.0656,0.0652,0.0652,44275,0
20100923,0.0652,0.0652,0.0652,0.0652,42275,0
20100928,0.0648,0.0648,0.0632,0.0632,205900,0
20100929,0.064,0.064,0.064,0.064,106250,0
20100930,0.0632,0.0632,0.0628,0.0628,98500,0
20101001,0.0628,0.0628,0.0624,0.0624,11250,0
20101004,0.062,0.062,0.0616,0.0616,44975,0
20101005,0.0616,0.0632,0.0616,0.0616,177550,0
20101008,0.0604,0.0604,0.06,0.06,61125,0
20101012,0.06,0.0612,0.0584,0.06,97000,0
20101013,0.0596,0.0596,0.0596,0.0596,2000,0
20101014,0.062,0.0652,0.062,0.0652,288575,0
20101015,0.0624,0.0624,0.0624,0.0624,38250,0
20101018,0.0636,0.0636,0.0584,0.06,286625,0
20101019,0.062,0.062,0.0616,0.0616,11950,0
20101020,0.0612,0.0612,0.0604,0.0604,59325,0
20101022,0.0616,0.0616,0.0604,0.0604,12800,0
20101026,0.0608,0.0608,0.0608,0.0608,25000,0
20101027,0.0608,0.0608,0.0608,0.0608,5000,0
20101028,0.0608,0.0608,0.0604,0.0604,53500,0
20101029,0.0604,0.0604,0.0604,0.0604,25000,0
20101102,0.0612,0.0612,0.0612,0.0612,25000,0
20101103,0.0608,0.0608,0.06,0.06,132000,0
20101105,0.06,0.06,0.06,0.06,12500,0
20101109,0.0604,0.0604,0.0604,0.0604,190725,0
20101110,0.0604,0.0624,0.0604,0.0624,944150,0
20101112,0.0624,0.0624,0.0624,0.0624,16500,0
20101116,0.0604,0.0604,0.0604,0.0604,31275,0
20101117,0.0604,0.0604,0.0592,0.0592,108000,0
20101122,0.0592,0.0592,0.0592,0.0592,4250,0
20101123,0.0604,0.0604,0.0604,0.0604,5000,0
20101124,0.0608,0.0852,0.0608,0.0852,6036175,0
20101125,0.0872,0.0872,0.0728,0.08,4022925,0
20101126,0.08,0.0804,0.068,0.0724,3665675,0
20101129,0.0712,0.0712,0.068,0.068,369850,0
20101130,0.0692,0.0748,0.068,0.0708,1229375,0
