Date,Open,High,Low,Close,Volume,OpenInt
19980217,0.6816,0.7315,0.6816,0.7315,5113,0
19980218,0.7813,0.7813,0.7315,0.7315,5684,0
19980219,0.798,0.8645,0.798,0.8645,21053,0
19980220,0.931,0.9975,0.8977,0.9975,32182,0
19980223,1.064,1.197,1.064,1.197,78198,0
19980224,1.2302,1.2302,1.1637,1.1637,16542,0
19980225,1.197,1.197,1.0972,1.0972,11339,0
19980226,1.0872,1.1005,1.0872,1.0972,29986,0
19980227,0.9975,1.0972,0.9975,1.0972,6015,0
19980302,0.9975,1.1305,0.9975,1.1305,9624,0
19980306,0.931,0.931,0.931,0.931,3008,0
19980309,0.931,0.931,0.8478,0.8811,24362,0
19980310,0.931,0.931,0.931,0.931,9023,0
19980311,0.8312,0.8312,0.8312,0.8312,3008,0
19980312,0.7647,0.8478,0.7647,0.798,8211,0
19980316,0.8312,0.8312,0.798,0.8312,6617,0
19980317,0.8345,0.8345,0.8345,0.8345,2406,0
19980318,0.8179,0.8179,0.7148,0.7182,26227,0
19980320,0.7813,0.7813,0.778,0.7813,12542,0
19980323,0.7813,0.7813,0.7647,0.7647,13113,0
19980324,0.7647,0.7813,0.7647,0.7747,21956,0
19980325,0.7647,0.7647,0.7647,0.7647,3008,0
19980326,0.7647,0.7647,0.7514,0.7514,4391,0
19980327,0.7647,0.7647,0.7647,0.7647,9023,0
19980330,0.7647,0.7647,0.7647,0.7647,1504,0
19980401,0.7215,0.7581,0.7215,0.7581,7218,0
19980402,0.7148,0.7148,0.7148,0.7148,902,0
19980406,0.7315,0.7315,0.7182,0.7182,4722,0
19980407,0.7148,0.7315,0.7148,0.7315,8060,0
19980408,0.7315,0.7315,0.7315,0.7315,3008,0
19980409,0.7248,0.7248,0.7248,0.7248,3008,0
19980414,0.7215,0.7248,0.7215,0.7248,5053,0
19980415,0.7215,0.7315,0.7215,0.7315,13234,0
19980416,0.7148,0.7315,0.7148,0.7315,5263,0
19980417,0.7315,0.7315,0.7281,0.7281,6015,0
19980420,0.7315,0.7315,0.7315,0.7315,1504,0
19980421,0.7315,0.7315,0.7315,0.7315,4211,0
19980423,0.7315,0.7315,0.7315,0.7315,3008,0
19980427,0.6982,0.7049,0.6982,0.6982,7519,0
19980428,0.6816,0.6816,0.6816,0.6816,1835,0
19980430,0.6982,0.6982,0.6982,0.6982,451,0
19980504,0.6683,0.6683,0.6683,0.6683,3008,0
19980508,0.665,0.665,0.665,0.665,1504,0
19980511,0.665,0.665,0.6484,0.6484,9023,0
19980512,0.6484,0.6484,0.6384,0.6384,6015,0
19980513,0.665,0.665,0.665,0.665,3008,0
19980514,0.665,0.665,0.665,0.665,2105,0
19980519,0.6384,0.6384,0.6384,0.6384,4511,0
19980520,0.6384,0.6384,0.6317,0.6317,5113,0
19980522,0.6351,0.6351,0.6351,0.6351,3008,0
19980525,0.6317,0.6317,0.6284,0.6284,5414,0
19980526,0.6284,0.6284,0.5985,0.5985,11309,0
19980527,0.5985,0.5985,0.5985,0.5985,301,0
19980601,0.5985,0.5985,0.5652,0.5652,10888,0
19980605,0.532,0.532,0.532,0.532,4933,0
19980610,0.5652,0.5652,0.532,0.532,12933,0
19980615,0.5652,0.5652,0.5652,0.5652,3008,0
19980616,0.6151,0.6151,0.5253,0.5253,14737,0
19980624,0.532,0.532,0.5287,0.5287,6015,0
19980625,0.5054,0.5054,0.5054,0.5054,3008,0
19980629,0.4987,0.4987,0.4921,0.4921,10436,0
19980630,0.4921,0.4987,0.4655,0.4987,10527,0
19980701,0.4655,0.4655,0.4655,0.4655,3158,0
19980720,0.4821,0.4821,0.4821,0.4821,3008,0
19980721,0.4655,0.4655,0.4655,0.4655,3008,0
19980722,0.4655,0.4655,0.4655,0.4655,3609,0
19980807,0.4655,0.4655,0.4655,0.4655,3008,0
19980810,0.4655,0.4655,0.4655,0.4655,3008,0
19980811,0.4655,0.4655,0.4655,0.4655,1504,0
