Date,Open,High,Low,Close,Volume,OpenInt
20110111,6.4728,6.9392,6.4728,6.7298,933397,0
20110112,6.6727,6.7965,6.4728,6.7584,200242,0
20110113,6.7298,6.7584,6.5775,6.6727,112691,0
20110114,6.7298,6.7298,6.4824,6.7108,32037,0
20110117,6.6632,6.7013,6.6632,6.6822,13038,0
20110118,6.6727,6.7965,6.6727,6.7965,36160,0
20110119,6.7965,7.4723,6.7774,7.4247,56033,0
20110120,7.3391,7.5103,7.2534,7.3581,7243,0
20110121,7.3581,8.072,7.282,7.8816,69234,0
20110124,7.9673,7.9863,7.834,7.9007,14164,0
20110125,7.9007,7.9007,7.6817,7.7579,30430,0
20110126,7.8531,8.1101,7.7103,7.9387,46115,0
20110127,7.7864,8.1101,7.6817,7.8816,157356,0
20110128,7.9673,7.9673,7.8055,7.8531,54404,0
20110131,7.8055,7.8055,7.6341,7.7769,8003,0
20110201,7.8531,7.8531,7.5675,7.6341,10709,0
20110202,7.5294,7.6341,7.2248,7.4247,65678,0
20110203,7.3581,7.3676,7.1391,7.3485,10754,0
20110204,7.1106,7.32,7.1106,7.32,10656,0
20110207,7.3295,7.6151,7.3295,7.3295,2306,0
20110208,7.2058,7.5199,7.0439,7.3295,657025,0
20110209,7.32,7.4152,7.32,7.3771,295,0
20110210,7.3771,7.4914,7.1962,7.1962,3346,0
20110211,7.1867,7.4723,7.0915,7.1867,65683,0
20110214,7.1582,7.1582,6.9488,7.0439,30466,0
20110215,7.025,7.0439,6.7108,6.8821,9058,0
20110216,6.8536,7.0915,6.6632,7.0915,1872,0
20110217,6.9678,7.082,6.8536,6.8821,3381,0
20110218,6.8536,6.8821,6.8536,6.8821,3085,0
20110221,6.9392,6.9392,6.8726,6.8726,748,0
20110222,6.9392,7.0439,6.6727,6.8631,2704,0
20110223,6.9488,7.0439,6.9012,6.9012,20342,0
20110224,6.9392,6.9392,6.806,6.9012,16410,0
20110225,6.9012,6.9297,6.8536,6.9012,6685,0
20110228,6.9488,7.1867,6.9392,7.0154,8765,0
20110301,6.9488,7.1391,6.9488,7.0915,1638,0
20110302,7.0439,7.1867,7.0439,7.0915,1040,0
20110303,7.2248,7.2248,7.1391,7.1391,851,0
20110304,7.1391,7.1391,7.063,7.1391,1185,0
20110307,7.1867,7.2344,7.063,7.2344,7369,0
20110308,7.282,7.3105,7.2344,7.3105,2217,0
20110309,7.3105,7.3105,7.2344,7.282,3305,0
20110310,7.2344,7.7103,7.2344,7.7008,3856,0
20110311,7.7008,7.7008,7.5199,7.5294,569,0
20110314,7.539,7.7769,7.2344,7.6151,5735,0
20110315,7.5865,7.5865,7.2344,7.4247,3756,0
20110316,7.5103,7.5103,7.2344,7.4152,3110,0
20110317,7.282,7.3295,7.282,7.3295,935,0
20110318,7.3295,7.3295,7.1867,7.2344,957,0
20110321,7.2344,7.3295,6.9488,7.32,2968,0
20110322,7.32,7.32,7.2344,7.3105,888,0
20110323,7.3105,7.3105,7.1391,7.3009,865,0
20110324,7.3009,7.3009,7.1867,7.282,1565,0
20110325,7.3105,7.3105,7.1867,7.3105,2701,0
20110328,7.32,7.32,7.1867,7.2344,2971,0
20110329,7.282,7.282,7.1867,7.2344,894,0
20110330,7.32,7.32,7.1867,7.2438,5373,0
20110331,7.32,7.32,7.1962,7.2344,884,0
20110401,7.2344,7.2344,7.2058,7.2153,1014,0
20110404,7.1773,7.5199,7.1773,7.4247,177255,0
20110405,7.4056,7.4247,7.3295,7.4247,33591,0
20110406,7.5199,7.5199,7.3581,7.4723,54074,0
20110407,7.4723,7.4723,7.4247,7.4723,4032,0
20110408,7.5103,7.5103,7.4247,7.5103,1471,0
20110411,7.5103,7.5103,7.3771,7.4723,871,0
